node,energy_kev,histories,error_pct,seconds_wall,dropped,scored,dropped_pct,dropped_scat,scat_pct
0,5.000,3000000,100.000,7.989,0,0,0.000,0,0.000
1,5.235,3000000,100.000,8.657,0,0,0.000,0,0.000
2,5.482,3000000,100.000,8.754,0,0,0.000,0,0.000
3,5.740,3000000,100.000,9.157,0,0,0.000,0,0.000
4,6.011,3000000,100.000,9.341,0,0,0.000,0,0.000
5,6.294,3000000,100.000,9.219,0,0,0.000,0,0.000
6,6.590,3000000,100.000,9.025,0,0,0.000,0,0.000
7,6.900,3000000,100.000,9.252,0,0,0.000,0,0.000
8,7.225,3000000,100.000,8.069,0,0,0.000,0,0.000
9,7.566,3000000,100.000,9.159,0,0,0.000,0,0.000
10,7.922,3000000,100.000,9.455,0,0,0.000,0,0.000
11,8.295,3000000,100.000,9.428,0,0,0.000,0,0.000
12,8.686,3000000,100.000,9.896,0,0,0.000,0,0.000
13,9.095,3000000,100.000,10.120,0,0,0.000,0,0.000
14,9.523,3000000,100.000,23.295,0,0,0.000,0,0.000
15,9.972,3000000,100.000,23.661,0,0,0.000,0,0.000
16,10.441,3000000,100.000,24.137,0,0,0.000,0,0.000
17,10.933,3000000,100.000,24.410,0,0,0.000,0,0.000
18,11.448,3000000,100.000,24.575,0,0,0.000,0,0.000
19,11.987,3000000,100.000,25.137,0,0,0.000,0,0.000
20,12.552,3000000,100.000,27.166,0,0,0.000,0,0.000
21,13.143,3000000,100.000,28.011,0,0,0.000,0,0.000
22,13.762,3000000,100.000,27.170,0,0,0.000,0,0.000
23,14.410,3000000,100.000,27.272,0,0,0.000,0,0.000
24,15.089,3000000,100.000,27.769,0,0,0.000,0,0.000
25,15.799,3000000,100.000,28.032,4,0,100.000,1,25.000
26,16.543,3000000,100.000,28.255,7,0,100.000,0,0.000
27,17.323,3000000,100.000,28.478,23,0,100.000,0,0.000
28,18.138,3000000,100.000,28.326,45,0,100.000,4,8.889
29,18.993,3000000,100.000,29.083,98,0,100.000,4,4.082
30,19.887,3000000,70.711,28.845,184,2,98.925,8,4.301
31,20.824,3000000,70.711,30.288,320,3,99.071,14,4.334
32,21.804,3000000,50.585,30.997,482,8,98.367,30,6.122
33,22.831,3000000,58.734,31.194,721,4,99.448,39,5.379
34,23.907,3000000,37.936,32.206,1180,38,96.880,65,5.337
35,25.033,3000000,23.087,30.288,1633,147,91.742,3,0.169
36,26.211,3000000,35.800,30.072,2432,58,97.671,151,6.064
37,27.446,3000000,26.979,30.061,3276,206,94.084,76,2.183
38,28.739,3000000,24.532,30.446,4668,105,97.800,335,7.019
39,30.092,3000000,17.697,31.031,5917,295,95.251,325,5.232
40,31.509,3000000,17.247,31.653,7550,580,92.866,224,2.755
