node,energy_kev,histories,error_pct,seconds_wall,dropped,scored,dropped_pct,dropped_scat,scat_pct
0,5.000,3000000,100.000,8.970,0,0,0.000,0,0.000
1,5.235,3000000,100.000,8.913,0,0,0.000,0,0.000
2,5.482,3000000,100.000,9.119,0,0,0.000,0,0.000
3,5.740,3000000,100.000,9.306,0,0,0.000,0,0.000
4,6.011,3000000,100.000,9.744,0,0,0.000,0,0.000
5,6.294,3000000,100.000,10.632,0,0,0.000,0,0.000
6,6.590,3000000,100.000,11.144,0,0,0.000,0,0.000
7,6.900,3000000,100.000,15.458,0,0,0.000,0,0.000
8,7.098,3000000,100.000,16.090,0,0,0.000,0,0.000
9,7.126,3000000,100.000,22.960,0,0,0.000,0,0.000
10,7.225,3000000,100.000,21.032,0,0,0.000,0,0.000
11,7.566,3000000,100.000,19.793,0,0,0.000,0,0.000
12,7.922,3000000,100.000,19.899,0,0,0.000,0,0.000
13,8.295,3000000,100.000,20.663,0,0,0.000,0,0.000
14,8.686,3000000,100.000,21.509,0,0,0.000,0,0.000
15,9.095,3000000,100.000,21.876,0,0,0.000,0,0.000
16,9.523,3000000,100.000,23.627,0,0,0.000,0,0.000
17,9.972,3000000,100.000,25.141,0,0,0.000,0,0.000
18,10.441,3000000,100.000,26.652,0,0,0.000,0,0.000
19,10.933,3000000,100.000,27.846,0,0,0.000,0,0.000
20,11.448,3000000,100.000,28.893,0,0,0.000,0,0.000
21,11.987,3000000,100.000,29.349,0,0,0.000,0,0.000
22,12.552,3000000,100.000,28.082,1,0,100.000,0,0.000
23,13.143,3000000,100.000,28.621,5,0,100.000,0,0.000
24,13.762,3000000,100.000,28.958,20,0,100.000,2,10.000
25,14.410,3000000,100.000,28.977,64,0,100.000,1,1.563
26,15.089,3000000,57.735,28.850,116,3,97.479,2,1.681
27,15.799,3000000,70.711,28.941,288,3,98.969,15,5.155
28,16.543,3000000,58.000,29.374,583,5,99.150,31,5.272
29,17.323,3000000,39.902,29.144,1004,31,97.005,27,2.609
30,18.138,3000000,46.235,28.925,1856,12,99.358,84,4.497
31,18.993,3000000,26.825,29.000,3162,29,99.091,213,6.675
32,19.887,3000000,21.354,29.108,4935,92,98.170,307,6.107
33,20.824,3000000,17.345,29.345,7843,73,99.078,577,7.289
34,21.804,3000000,15.018,29.609,10827,387,96.549,639,5.698
35,22.831,3000000,12.124,29.227,15917,217,98.655,1355,8.398
36,23.907,3000000,11.320,29.027,21224,914,95.871,1406,6.351
37,25.033,3000000,9.363,28.945,26309,3368,88.651,39,0.131
38,26.211,3000000,8.364,29.330,37630,1768,95.512,3052,7.747
39,27.446,3000000,6.929,29.430,46004,4877,90.415,1736,3.412
40,28.739,3000000,6.108,29.793,61667,2820,95.627,6071,9.414
41,30.092,3000000,5.325,29.912,74733,6140,92.408,5649,6.985
42,31.509,3000000,4.645,29.661,84730,11977,87.615,3393,3.509
43,32.993,3000000,4.108,29.634,107959,7455,93.541,11791,10.216
44,34.547,3000000,0.885,30.168,94775,42110,69.237,9318,6.807
45,36.174,3000000,0.777,30.486,106608,50738,67.754,8008,5.089
46,37.878,3000000,0.679,30.147,119433,60722,66.295,6785,3.766
47,39.662,3000000,0.605,30.412,132798,71324,65.058,5372,2.632
48,41.530,3000000,0.569,30.448,147135,80583,64.613,4641,2.038
49,43.486,3000000,0.549,30.322,161071,88481,64.544,4387,1.758
50,45.534,3000000,0.529,30.223,176623,95699,64.858,5026,1.846
51,47.678,3000000,0.507,30.075,191249,102446,65.118,6367,2.168
52,49.923,3000000,0.480,29.619,208672,107517,65.996,9047,2.861
53,52.275,3000000,0.487,29.800,224520,109213,67.275,12440,3.728
54,54.737,3000000,0.482,29.357,240864,111216,68.412,16746,4.756
55,57.315,3000000,0.463,29.204,239152,131088,64.594,2570,0.694
56,60.014,3000000,0.457,29.369,258188,129217,66.646,9358,2.416
57,62.840,3000000,0.462,29.289,274139,124360,68.793,16639,4.175
58,65.800,3000000,0.468,29.242,273325,137485,66.533,6572,1.600
59,68.899,3000000,0.494,28.898,291735,129915,69.189,15623,3.705
60,72.144,3000000,0.534,29.038,295022,139619,67.877,9116,2.097
61,75.541,3000000,0.554,29.017,296799,146931,66.887,3678,0.829
62,79.099,3000000,0.597,28.678,300811,151297,66.535,410,0.091
63,82.824,3000000,0.671,28.853,318519,140109,69.450,12204,2.661
64,86.725,3000000,0.749,28.715,323412,141279,69.597,10831,2.331
65,90.810,3000000,0.814,28.967,327283,142914,69.606,10511,2.235
66,95.086,3000000,0.870,28.936,322126,152402,67.883,267,0.056
67,99.565,3000000,0.906,29.317,327894,149877,68.630,2558,0.535
68,104.254,3000000,0.939,29.277,335384,146372,69.617,5750,1.194
69,109.164,3000000,0.894,29.414,331493,151036,68.699,460,0.095
70,114.305,3000000,0.911,29.178,338450,144881,70.024,5080,1.051
71,119.688,3000000,0.923,29.127,337453,146967,69.661,2315,0.478
72,125.325,3000000,0.886,29.258,337474,147959,69.520,927,0.191
73,131.228,3000000,0.888,29.097,336676,148098,69.450,528,0.109
74,137.408,3000000,0.861,29.237,336076,145732,69.753,956,0.198
75,143.880,3000000,0.868,29.153,336401,144863,69.899,2141,0.445
76,150.656,3000000,0.844,29.159,337207,142371,70.313,3933,0.820
77,157.751,3000000,0.813,29.144,332970,144538,69.731,1487,0.311
78,165.181,3000000,0.785,29.197,329121,145623,69.326,250,0.053
79,172.960,3000000,0.787,29.316,327842,141470,69.856,3508,0.747
80,181.106,3000000,0.740,29.041,320962,144661,68.932,96,0.021
81,189.635,3000000,0.713,29.097,317596,143980,68.807,797,0.173
82,198.566,3000000,0.689,29.114,313070,142667,68.695,1990,0.437
83,207.918,3000000,0.668,29.033,306763,144504,67.978,971,0.215
84,217.710,3000000,0.665,28.859,300336,144427,67.527,613,0.138
85,227.964,3000000,0.662,28.859,293254,145625,66.819,788,0.180
86,238.700,3000000,0.642,28.617,286599,145727,66.292,1361,0.315
87,249.942,3000000,0.634,28.470,279535,147630,65.440,607,0.142
88,261.714,3000000,0.628,28.601,270686,149238,64.461,390,0.093
89,274.039,3000000,0.649,28.238,263377,150942,63.569,530,0.128
90,286.946,3000000,0.670,28.295,255670,151583,62.779,955,0.234
91,300.460,3000000,0.696,28.007,246655,154138,61.542,587,0.146
92,314.610,3000000,0.719,27.816,237379,156019,60.341,672,0.171
93,329.427,3000000,0.729,27.680,228637,159574,58.895,120,0.031
94,344.942,3000000,0.730,27.395,220890,160843,57.865,572,0.150
95,361.188,3000000,0.718,27.232,211241,163270,56.404,28,0.007
96,378.198,3000000,0.707,26.859,202861,165018,55.143,252,0.069
97,396.010,3000000,0.699,26.802,194224,167753,53.656,195,0.054
98,414.661,3000000,0.695,26.591,187043,169101,52.519,336,0.094
99,434.190,3000000,0.690,26.284,179409,170884,51.217,166,0.047
100,454.639,3000000,0.685,26.208,171474,173380,49.724,205,0.059
101,476.051,3000000,0.687,26.027,163467,174868,48.315,128,0.038
102,498.471,3000000,0.686,25.601,156948,176201,47.110,170,0.051
103,521.947,3000000,0.691,25.415,149587,177875,45.681,74,0.023
104,546.529,3000000,0.691,25.370,143774,179383,44.490,134,0.041
105,572.269,3000000,0.690,24.893,137716,180652,43.257,83,0.026
106,599.221,3000000,0.691,24.888,130920,182183,41.814,3,0.001
107,627.442,3000000,0.696,24.837,125871,182544,40.812,16,0.005
108,656.992,3000000,0.695,24.455,120939,182739,39.825,95,0.031
109,687.934,3000000,0.699,24.249,114982,183781,38.486,43,0.014
110,720.333,3000000,0.711,24.073,110749,184194,37.549,46,0.016
111,754.259,3000000,0.725,23.924,105748,184776,36.399,54,0.019
112,789.782,3000000,0.733,23.961,101507,184566,35.483,28,0.010
113,826.977,3000000,0.741,23.744,97945,184429,34.686,54,0.019
114,865.925,3000000,0.755,23.531,92900,184729,33.462,22,0.008
115,906.707,3000000,0.768,23.185,89188,184089,32.636,38,0.014
116,949.410,3000000,0.783,23.175,85779,183498,31.855,6,0.002
117,994.124,3000000,0.792,23.056,81864,183741,30.822,17,0.006
118,1040.944,3000000,0.808,22.747,78302,182001,30.081,31,0.012
119,1089.968,3000000,0.824,22.789,75549,181952,29.339,7,0.003
120,1141.302,3000000,0.836,22.570,72419,181392,28.533,2,0.001
121,1195.053,3000000,0.852,22.455,69185,180764,27.680,0,0.000
122,1251.336,3000000,0.867,22.510,66478,180165,26.953,5,0.002
123,1310.270,3000000,0.881,22.321,64116,178755,26.399,15,0.006
124,1371.979,3000000,0.899,22.461,61405,177052,25.751,6,0.003
125,1436.594,3000000,0.912,22.227,58747,176894,24.931,10,0.004
126,1504.253,3000000,0.918,22.179,56297,176450,24.188,12,0.005
127,1575.098,3000000,0.935,24.270,54161,176549,23.476,0,0.000
128,1649.279,3000000,0.962,23.984,51599,175137,22.757,1,0.000
129,1726.954,3000000,0.981,24.710,49683,174513,22.161,10,0.004
130,1808.288,3000000,0.991,24.198,47321,173728,21.407,7,0.003
131,1893.452,3000000,1.007,24.560,44665,173235,20.498,0,0.000
132,1982.627,3000000,1.017,25.044,43337,172661,20.064,4,0.002
133,2076.001,3000000,1.027,25.147,41229,173249,19.223,4,0.002
134,2173.774,3000000,1.043,23.939,39003,171893,18.494,2,0.001
135,2276.151,3000000,1.052,24.822,37113,171961,17.751,6,0.003
136,2383.350,3000000,1.072,24.931,35796,171914,17.234,1,0.000
137,2495.597,3000000,1.105,25.274,33651,171232,16.424,2,0.001
138,2613.131,3000000,1.129,24.839,32538,171300,15.963,0,0.000
139,2736.200,3000000,1.163,24.549,30835,171913,15.209,1,0.000
140,2865.065,3000000,1.212,25.321,28811,173206,14.262,0,0.000
141,3000.000,3000000,1.231,26.721,28031,174230,13.859,3,0.001
