node,energy_kev,histories,error_pct,seconds_wall,dropped,scored,dropped_pct,dropped_scat,scat_pct
0,5.000,3000000,100.000,5.154,0,0,0.000,0,0.000
1,5.235,3000000,100.000,5.725,0,0,0.000,0,0.000
2,5.482,3000000,100.000,7.337,0,0,0.000,0,0.000
3,5.740,3000000,100.000,8.662,0,0,0.000,0,0.000
4,6.011,3000000,100.000,8.693,0,0,0.000,0,0.000
5,6.294,3000000,100.000,8.332,0,0,0.000,0,0.000
6,6.590,3000000,100.000,8.901,0,0,0.000,0,0.000
7,6.900,3000000,100.000,11.465,0,0,0.000,0,0.000
8,7.225,3000000,100.000,13.931,0,0,0.000,0,0.000
9,7.566,3000000,100.000,15.248,0,0,0.000,0,0.000
10,7.922,3000000,100.000,16.806,0,0,0.000,0,0.000
11,8.295,3000000,100.000,17.823,0,0,0.000,0,0.000
12,8.686,3000000,100.000,18.682,0,0,0.000,0,0.000
13,9.095,3000000,100.000,19.008,0,0,0.000,0,0.000
14,9.523,3000000,100.000,19.620,0,0,0.000,0,0.000
15,9.972,3000000,100.000,20.175,0,0,0.000,0,0.000
16,10.441,3000000,100.000,20.384,0,0,0.000,0,0.000
17,10.933,3000000,100.000,20.591,0,0,0.000,0,0.000
18,11.448,3000000,100.000,20.747,1,0,100.000,0,0.000
19,11.987,3000000,100.000,20.787,3,0,100.000,1,33.333
20,12.552,3000000,100.000,20.192,6,0,100.000,1,16.667
21,13.143,3000000,70.711,20.754,33,2,94.286,2,5.714
22,13.762,3000000,70.711,21.089,70,2,97.222,5,6.944
23,14.410,3000000,70.711,21.427,235,2,99.156,28,11.814
24,15.089,3000000,13.951,21.698,467,57,89.122,15,2.863
25,15.799,3000000,39.453,22.076,1144,19,98.366,119,10.232
26,16.543,3000000,30.258,22.532,2300,28,98.797,295,12.672
27,17.323,3000000,12.942,22.809,3750,410,90.144,252,6.058
28,18.138,3000000,16.359,23.165,6717,166,97.588,959,13.933
29,18.993,3000000,14.757,23.537,11135,107,99.048,1897,16.874
30,19.887,3000000,12.630,24.016,15736,1137,93.261,2010,11.913
31,20.824,3000000,9.546,24.751,23624,474,98.033,4431,18.387
32,21.804,3000000,6.382,24.805,29181,3595,89.032,3326,10.148
33,22.831,3000000,7.221,24.993,41495,1537,96.428,8114,18.856
34,23.907,3000000,6.440,25.106,48574,7273,86.977,5783,10.355
35,25.033,3000000,1.714,25.888,52663,17086,75.504,131,0.188
36,26.211,3000000,4.504,26.100,74148,11626,86.446,10223,11.919
37,27.446,3000000,4.813,26.314,80080,22977,77.705,4528,4.394
38,28.739,3000000,4.194,26.560,106235,15849,87.018,18081,14.810
39,30.092,3000000,3.875,26.930,114425,27270,80.754,12893,9.099
40,31.509,3000000,2.361,27.086,118658,40881,74.376,6358,3.985
41,32.993,3000000,3.384,27.115,145964,29461,83.206,24104,13.740
42,34.547,3000000,0.556,28.155,116983,77953,60.011,15981,8.198
43,36.174,3000000,0.531,28.089,121829,89559,57.633,12017,5.685
44,37.878,3000000,0.507,28.549,127870,100336,56.033,9141,4.006
45,39.662,3000000,0.513,28.528,135295,111155,54.898,6926,2.810
46,41.530,3000000,0.484,28.984,140726,118788,54.227,5208,2.007
47,43.486,3000000,0.482,28.951,146882,125313,53.962,4782,1.757
48,45.534,3000000,0.482,29.327,155001,129895,54.406,5000,1.755
49,47.678,3000000,0.487,29.256,163555,133141,55.125,6308,2.126
50,49.923,3000000,0.474,29.110,172301,134528,56.155,8548,2.786
51,52.275,3000000,0.476,29.303,181016,134876,57.303,11448,3.624
52,54.737,3000000,0.468,29.181,190189,133961,58.673,15000,4.627
53,57.315,3000000,0.464,29.263,183052,148952,55.135,2158,0.650
54,60.014,3000000,0.470,29.483,194922,144575,57.415,7846,2.311
55,62.840,3000000,0.479,29.250,204673,139443,59.478,13309,3.868
56,65.800,3000000,0.487,29.254,200755,147640,57.623,5300,1.521
57,68.899,3000000,0.514,29.060,211187,140372,60.072,12493,3.554
58,72.144,3000000,0.549,29.449,209284,146228,58.868,6906,1.943
59,75.541,3000000,0.569,29.507,209905,149734,58.365,2774,0.771
60,79.099,3000000,0.601,29.449,211384,152833,58.038,262,0.072
61,82.824,3000000,0.656,29.527,223940,142126,61.175,9217,2.518
62,86.725,3000000,0.708,29.931,225339,141961,61.350,7912,2.154
63,90.810,3000000,0.750,29.755,227381,141227,61.686,7864,2.133
64,95.086,3000000,0.774,29.861,222403,148010,60.042,202,0.055
65,99.565,3000000,0.802,31.015,225345,145241,60.808,1813,0.489
66,104.254,3000000,0.821,31.112,230350,141750,61.905,4256,1.144
67,109.164,3000000,0.782,30.953,228163,143876,61.328,366,0.098
68,114.305,3000000,0.793,30.768,232047,139435,62.465,3770,1.015
69,119.688,3000000,0.798,30.790,231505,139554,62.390,1657,0.447
70,125.325,3000000,0.773,31.311,231579,138894,62.509,634,0.171
71,131.228,3000000,0.780,30.986,231156,138814,62.480,348,0.094
72,137.408,3000000,0.761,30.933,231546,137161,62.799,694,0.188
73,143.880,3000000,0.770,31.039,233444,134962,63.366,1542,0.419
74,150.656,3000000,0.749,31.461,233811,133389,63.674,2809,0.765
75,157.751,3000000,0.728,31.389,231448,133900,63.350,1117,0.306
76,165.181,3000000,0.715,30.842,229549,133132,63.292,168,0.046
77,172.960,3000000,0.727,31.238,231545,130865,63.890,2647,0.730
78,181.106,3000000,0.692,31.056,227409,131892,63.292,63,0.018
79,189.635,3000000,0.690,31.336,225594,131407,63.191,536,0.150
80,198.566,3000000,0.689,30.099,223708,130567,63.145,1487,0.420
81,207.918,3000000,0.692,30.162,219850,130804,62.697,719,0.205
82,217.710,3000000,0.676,30.161,216354,130918,62.301,503,0.145
83,227.964,3000000,0.677,30.225,213291,131202,61.914,674,0.196
