node,energy_kev,histories,error_pct,seconds_wall,dropped,scored,dropped_pct,dropped_scat,scat_pct
0,5.000,3000000,100.000,11.430,0,0,0.000,0,0.000
1,5.235,3000000,100.000,11.584,0,0,0.000,0,0.000
2,5.482,3000000,100.000,12.250,0,0,0.000,0,0.000
3,5.740,3000000,100.000,12.343,0,0,0.000,0,0.000
4,6.011,3000000,100.000,10.226,0,0,0.000,0,0.000
5,6.294,3000000,100.000,17.670,0,0,0.000,0,0.000
6,6.590,3000000,100.000,18.114,0,0,0.000,0,0.000
7,6.900,3000000,100.000,17.455,0,0,0.000,0,0.000
8,7.225,3000000,100.000,18.640,0,0,0.000,0,0.000
9,7.566,3000000,100.000,18.156,0,0,0.000,0,0.000
10,7.922,3000000,100.000,19.148,0,0,0.000,0,0.000
11,8.295,3000000,100.000,20.379,0,0,0.000,0,0.000
12,8.686,3000000,100.000,21.581,0,0,0.000,0,0.000
13,9.095,3000000,100.000,22.697,0,0,0.000,0,0.000
14,9.523,3000000,100.000,23.221,0,0,0.000,0,0.000
15,9.972,3000000,100.000,24.071,0,0,0.000,0,0.000
16,10.441,3000000,100.000,24.455,0,0,0.000,0,0.000
17,10.933,3000000,100.000,24.789,0,0,0.000,0,0.000
18,11.448,3000000,100.000,25.214,1,0,100.000,0,0.000
19,11.987,3000000,100.000,25.281,0,0,0.000,0,0.000
20,12.552,3000000,100.000,23.295,1,0,100.000,0,0.000
21,13.143,3000000,100.000,23.939,14,1,93.333,0,0.000
22,13.762,3000000,100.000,24.449,34,0,100.000,0,0.000
23,14.410,3000000,100.000,24.618,104,0,100.000,4,3.846
24,15.089,3000000,88.894,24.469,213,8,96.380,5,2.262
25,15.799,3000000,62.547,24.507,473,7,98.542,27,5.625
26,16.543,3000000,88.457,24.836,960,2,99.792,54,5.613
27,17.323,3000000,30.596,24.453,1807,61,96.734,73,3.908
28,18.138,3000000,25.861,24.328,3250,37,98.874,226,6.876
29,18.993,3000000,19.826,24.376,5530,48,99.139,378,6.777
30,19.887,3000000,16.407,24.668,8987,210,97.717,582,6.328
31,20.824,3000000,13.812,25.336,13513,126,99.076,1097,8.043
32,21.804,3000000,10.670,25.004,19100,764,96.154,1258,6.333
33,22.831,3000000,9.002,25.152,27719,421,98.504,2692,9.566
34,23.907,3000000,7.937,24.908,36869,1888,95.129,2702,6.972
35,25.033,3000000,6.679,25.094,45505,6366,87.727,65,0.125
36,26.211,3000000,5.795,25.155,63781,3423,94.907,5417,8.061
37,27.446,3000000,5.210,25.412,76610,9319,89.155,2919,3.397
38,28.739,3000000,4.579,25.318,102030,5469,94.913,10878,10.119
