node,energy_kev,histories,error_pct,seconds_wall,dropped,scored,dropped_pct,dropped_scat,scat_pct
0,5.000,3000000,100.000,2.527,0,0,0.000,0,0.000
1,5.235,3000000,100.000,2.522,0,0,0.000,0,0.000
2,5.482,3000000,100.000,2.567,0,0,0.000,0,0.000
3,5.740,3000000,100.000,2.675,0,0,0.000,0,0.000
4,6.011,3000000,100.000,4.378,0,0,0.000,0,0.000
5,6.294,3000000,100.000,11.289,0,0,0.000,0,0.000
6,6.590,3000000,100.000,18.145,0,0,0.000,0,0.000
7,6.900,3000000,100.000,18.492,0,0,0.000,0,0.000
8,7.225,3000000,100.000,18.715,0,0,0.000,0,0.000
9,7.566,3000000,100.000,18.757,0,0,0.000,0,0.000
10,7.922,3000000,100.000,18.563,0,0,0.000,0,0.000
11,8.295,3000000,100.000,18.759,0,0,0.000,0,0.000
12,8.686,3000000,100.000,18.661,0,0,0.000,0,0.000
13,9.095,3000000,100.000,18.738,0,0,0.000,0,0.000
14,9.523,3000000,100.000,19.104,0,0,0.000,0,0.000
15,9.972,3000000,100.000,18.742,0,0,0.000,0,0.000
16,10.441,3000000,100.000,18.624,0,0,0.000,0,0.000
17,10.933,3000000,100.000,18.670,3,0,100.000,0,0.000
18,11.448,3000000,100.000,18.703,3,0,100.000,0,0.000
19,11.987,3000000,100.000,18.478,30,0,100.000,0,0.000
20,12.552,3000000,100.000,18.418,61,0,100.000,2,3.279
21,13.143,3000000,70.711,18.522,220,2,99.099,1,0.450
22,13.762,3000000,40.825,18.376,510,6,98.837,15,2.907
23,14.410,3000000,31.623,18.409,1057,10,99.063,21,1.968
24,15.089,3000000,26.038,18.472,2058,49,97.674,10,0.475
25,15.799,3000000,24.715,18.524,3841,32,99.174,89,2.298
26,16.543,3000000,20.370,18.459,6304,46,99.276,183,2.882
27,17.323,3000000,15.022,18.651,10079,171,98.332,178,1.737
28,18.138,3000000,12.754,18.630,14642,130,99.120,440,2.979
29,18.993,3000000,11.979,18.538,20751,144,99.311,617,2.953
30,19.887,3000000,10.711,18.722,27849,265,99.057,837,2.977
31,20.824,3000000,8.948,18.905,35574,272,99.241,1237,3.451
32,21.804,3000000,7.947,18.702,44452,610,98.646,1363,3.025
33,22.831,3000000,7.521,18.906,53808,410,99.244,1994,3.678
34,23.907,3000000,6.696,19.366,62988,963,98.494,2015,3.151
35,25.033,3000000,6.141,19.589,70054,3426,95.338,41,0.056
