node,energy_kev,histories,error_pct,seconds_wall,dropped,scored,dropped_pct,dropped_scat,scat_pct
0,5.000,3000000,100.000,13.156,0,0,0.000,0,0.000
1,5.235,3000000,100.000,13.340,0,0,0.000,0,0.000
2,5.482,3000000,100.000,13.735,0,0,0.000,0,0.000
3,5.740,3000000,100.000,13.781,0,0,0.000,0,0.000
4,6.011,3000000,100.000,10.388,0,0,0.000,0,0.000
5,6.294,3000000,100.000,17.140,0,0,0.000,0,0.000
6,6.590,3000000,100.000,17.322,0,0,0.000,0,0.000
7,6.900,3000000,100.000,17.721,0,0,0.000,0,0.000
8,7.225,3000000,100.000,17.338,0,0,0.000,0,0.000
9,7.566,3000000,100.000,17.660,0,0,0.000,0,0.000
10,7.922,3000000,100.000,17.533,0,0,0.000,0,0.000
11,8.295,3000000,100.000,18.042,0,0,0.000,0,0.000
12,8.686,3000000,100.000,18.199,0,0,0.000,0,0.000
13,9.095,3000000,100.000,17.181,0,0,0.000,0,0.000
14,9.523,3000000,100.000,17.512,0,0,0.000,0,0.000
15,9.972,3000000,100.000,18.199,0,0,0.000,0,0.000
16,10.441,3000000,100.000,18.600,0,0,0.000,0,0.000
17,10.933,3000000,100.000,17.810,0,0,0.000,0,0.000
18,11.448,3000000,100.000,19.898,0,0,0.000,0,0.000
19,11.987,3000000,100.000,19.728,1,0,100.000,0,0.000
20,12.552,3000000,100.000,19.574,0,0,0.000,0,0.000
21,13.143,3000000,100.000,20.284,1,0,100.000,0,0.000
22,13.762,3000000,100.000,20.373,1,0,100.000,0,0.000
23,14.410,3000000,100.000,21.852,4,0,100.000,0,0.000
24,15.089,3000000,100.000,23.668,7,1,87.500,0,0.000
25,15.799,3000000,100.000,24.173,11,0,100.000,1,9.091
26,16.543,3000000,100.000,23.775,22,0,100.000,1,4.545
27,17.323,3000000,74.316,24.448,32,2,94.118,1,2.941
28,18.138,3000000,100.000,25.084,57,0,100.000,2,3.509
29,18.993,3000000,100.000,24.967,90,1,98.901,11,12.088
30,19.887,3000000,57.735,26.531,114,3,97.436,9,7.692
31,20.824,3000000,100.000,26.481,139,1,99.286,6,4.286
32,21.804,3000000,50.384,26.289,229,12,95.021,17,7.054
33,22.831,3000000,44.721,27.115,293,5,98.322,22,7.383
34,23.907,3000000,45.684,27.802,383,27,93.415,24,5.854
35,25.033,3000000,27.350,26.956,456,58,88.716,1,0.195
36,26.211,3000000,31.698,27.146,612,39,94.009,38,5.837
37,27.446,3000000,31.192,26.047,754,88,89.549,11,1.306
38,28.739,3000000,38.584,27.235,1041,41,96.211,91,8.410
39,30.092,3000000,24.027,27.653,1217,100,92.407,66,5.011
40,31.509,3000000,22.103,27.495,1384,174,88.832,45,2.888
41,32.993,3000000,22.657,27.472,1718,134,92.765,152,8.207
42,34.547,3000000,5.851,28.885,1688,558,75.156,125,5.565
43,36.174,3000000,4.889,27.626,1822,931,66.182,100,3.632
44,37.878,3000000,4.018,28.492,2007,1197,62.640,96,2.996
45,39.662,3000000,3.923,28.639,2425,1323,64.701,90,2.401
46,41.530,3000000,3.583,28.647,2653,1580,62.674,61,1.441
47,43.486,3000000,3.418,28.797,3146,1890,62.470,73,1.450
48,45.534,3000000,3.093,28.155,3519,2177,61.780,76,1.334
49,47.678,3000000,3.164,28.264,4150,2339,63.954,126,1.942
50,49.923,3000000,2.974,28.066,4602,2614,63.775,199,2.758
51,52.275,3000000,2.732,27.942,5007,2979,62.697,259,3.243
52,54.737,3000000,2.610,28.082,5615,3121,64.274,362,4.144
53,57.315,3000000,2.487,28.320,5903,3784,60.937,44,0.454
54,60.014,3000000,2.408,28.698,6515,4005,61.930,221,2.101
55,62.840,3000000,2.341,28.995,7155,4156,63.257,382,3.377
56,65.800,3000000,2.357,29.391,7181,4714,60.370,163,1.370
57,68.899,3000000,2.347,29.485,7952,4766,62.526,430,3.381
58,72.144,3000000,2.366,29.205,7935,5452,59.274,246,1.838
59,75.541,3000000,2.395,29.899,8371,5526,60.236,93,0.669
60,79.099,3000000,2.338,30.059,8649,6219,58.172,10,0.067
61,82.824,3000000,2.461,29.734,9276,6053,60.513,359,2.342
62,86.725,3000000,2.451,30.338,9395,6511,59.066,333,2.094
63,90.810,3000000,2.605,30.195,9566,6550,59.357,342,2.122
64,95.086,3000000,2.610,29.700,9555,7335,56.572,6,0.036
65,99.565,3000000,2.739,29.238,9600,7159,57.283,67,0.400
66,104.254,3000000,2.806,29.707,9715,7287,57.140,171,1.006
67,109.164,3000000,2.612,29.185,9484,7617,55.459,14,0.082
68,114.305,3000000,2.653,28.866,9718,7589,56.151,151,0.872
69,119.688,3000000,2.685,28.198,9608,7505,56.144,62,0.362
70,125.325,3000000,2.494,28.479,9315,7702,54.739,18,0.106
71,131.228,3000000,2.530,28.131,9418,7841,54.569,11,0.064
72,137.408,3000000,2.402,27.654,9269,7752,54.456,27,0.159
73,143.880,3000000,2.451,26.989,9220,7749,54.334,59,0.348
74,150.656,3000000,2.460,26.938,9011,7745,53.778,112,0.668
75,157.751,3000000,2.419,26.410,8564,7818,52.277,28,0.171
76,165.181,3000000,2.432,26.061,8246,7809,51.361,6,0.037
77,172.960,3000000,2.547,25.932,7829,7477,51.150,68,0.444
78,181.106,3000000,2.458,25.372,7445,7590,49.518,0,0.000
79,189.635,3000000,2.526,25.179,7381,7423,49.858,16,0.108
80,198.566,3000000,2.509,25.008,6759,7504,47.388,46,0.323
81,207.918,3000000,2.575,24.904,6233,7376,45.801,26,0.191
82,217.710,3000000,2.646,24.402,5869,7333,44.455,17,0.129
83,227.964,3000000,2.673,24.060,5461,7249,42.966,18,0.142
84,238.700,3000000,2.785,23.658,5108,7015,42.135,32,0.264
85,249.942,3000000,2.918,23.570,4832,7047,40.677,12,0.101
86,261.714,3000000,3.049,22.990,4268,6898,38.223,3,0.027
87,274.039,3000000,3.061,23.014,4076,6891,37.166,9,0.082
88,286.946,3000000,3.180,22.458,3634,6788,34.869,13,0.125
89,300.460,3000000,3.213,22.402,3344,6662,33.420,7,0.070
90,314.610,3000000,3.190,22.064,3068,6372,32.500,10,0.106
91,329.427,3000000,3.143,21.819,2908,6409,31.212,1,0.011
92,344.942,3000000,3.207,21.493,2541,6243,28.928,4,0.046
93,361.188,3000000,3.209,21.332,2427,6149,28.300,0,0.000
94,378.198,3000000,3.226,20.907,2163,6016,26.446,5,0.061
95,396.010,3000000,3.291,21.417,2035,5947,25.495,2,0.025
96,414.661,3000000,3.259,20.713,1903,5885,24.435,2,0.026
97,434.190,3000000,3.369,20.764,1658,5619,22.784,1,0.014
98,454.639,3000000,3.430,20.567,1612,5572,22.439,0,0.000
99,476.051,3000000,3.523,20.334,1382,5415,20.332,3,0.044
100,498.471,3000000,3.572,20.089,1361,5321,20.368,2,0.030
101,521.947,3000000,3.621,20.214,1237,5238,19.104,3,0.046
102,546.529,3000000,3.921,19.920,1100,5074,17.817,0,0.000
103,572.269,3000000,3.854,19.804,984,5145,16.055,1,0.016
104,599.221,3000000,4.050,19.660,948,4943,16.092,0,0.000
105,627.442,3000000,4.228,19.462,869,4803,15.321,0,0.000
106,656.992,3000000,4.323,19.718,762,4602,14.206,3,0.056
107,687.934,3000000,4.456,19.091,679,4586,12.896,0,0.000
108,720.333,3000000,4.546,19.195,675,4618,12.753,0,0.000
109,754.259,3000000,4.770,19.014,618,4383,12.358,0,0.000
110,789.782,3000000,4.780,19.002,535,4381,10.883,0,0.000
111,826.977,3000000,4.930,18.628,549,4188,11.590,0,0.000
112,865.925,3000000,5.028,18.908,475,4237,10.081,0,0.000
113,906.707,3000000,5.128,18.610,466,4046,10.328,0,0.000
114,949.410,3000000,5.113,18.079,420,3997,9.509,0,0.000
115,994.124,3000000,5.487,18.242,370,3958,8.549,0,0.000
116,1040.944,3000000,5.557,18.432,330,3782,8.025,0,0.000
