node,energy_kev,histories,error_pct,seconds_wall,dropped,scored,dropped_pct,dropped_scat,scat_pct
0,5.000,3000000,100.000,16.388,0,0,0.000,0,0.000
1,5.235,3000000,100.000,16.227,0,0,0.000,0,0.000
2,5.482,3000000,100.000,18.770,0,0,0.000,0,0.000
3,5.740,3000000,100.000,21.891,0,0,0.000,0,0.000
4,6.011,3000000,100.000,18.343,0,0,0.000,0,0.000
5,6.294,3000000,100.000,18.668,0,0,0.000,0,0.000
6,6.590,3000000,100.000,19.751,0,0,0.000,0,0.000
7,6.900,3000000,100.000,28.543,0,0,0.000,0,0.000
8,7.225,3000000,100.000,29.459,0,0,0.000,0,0.000
9,7.566,3000000,100.000,29.881,0,0,0.000,0,0.000
10,7.922,3000000,100.000,21.550,0,0,0.000,0,0.000
11,8.295,3000000,100.000,24.350,0,0,0.000,0,0.000
12,8.686,3000000,100.000,31.786,0,0,0.000,0,0.000
13,9.095,3000000,100.000,25.396,2,0,100.000,0,0.000
14,9.523,3000000,100.000,25.956,9,0,100.000,0,0.000
15,9.972,3000000,100.000,26.019,27,0,100.000,0,0.000
16,10.441,3000000,100.000,25.724,97,1,98.980,1,1.020
17,10.933,3000000,57.735,26.290,256,3,98.842,5,1.931
18,11.448,3000000,30.151,29.178,670,11,98.385,5,0.734
19,11.987,3000000,20.851,29.112,1594,23,98.578,30,1.855
20,12.552,3000000,14.744,25.582,3275,46,98.615,71,2.138
21,13.143,3000000,7.881,28.304,6375,161,97.537,64,0.979
22,13.762,3000000,8.392,24.942,11550,142,98.785,214,1.830
23,14.410,3000000,6.468,28.518,19621,239,98.797,494,2.487
24,15.089,3000000,4.833,26.229,30235,966,96.904,131,0.420
25,15.799,3000000,5.204,26.024,45483,619,98.657,1247,2.705
26,16.543,3000000,4.875,26.148,65139,704,98.931,1966,2.986
27,17.323,3000000,2.857,23.113,88505,2371,97.391,1547,1.702
28,18.138,3000000,3.419,23.282,120316,1408,98.843,4080,3.352
29,18.993,3000000,3.219,24.313,154675,1551,99.007,5862,3.752
30,19.887,3000000,2.581,42.362,192481,3322,98.303,6427,3.282
31,20.824,3000000,2.648,43.812,233636,2524,98.931,9985,4.228
32,21.804,3000000,1.951,25.493,271474,6833,97.545,8462,3.041
33,22.831,3000000,2.230,45.217,319611,3819,98.819,14892,4.604
34,23.907,3000000,1.901,45.978,358709,10419,97.177,11795,3.195
35,25.033,3000000,1.346,27.373,389894,25553,93.849,228,0.055
36,26.211,3000000,1.686,34.153,448413,12919,97.200,17141,3.716
37,27.446,3000000,1.599,44.552,481164,26509,94.778,8025,1.581
38,28.739,3000000,1.767,36.212,536742,14168,97.428,25034,4.544
39,30.092,3000000,1.499,36.739,567178,24809,95.809,18529,3.130
40,31.509,3000000,1.527,35.788,586245,37966,93.918,9280,1.487
41,32.993,3000000,1.638,35.529,634062,21855,96.668,29415,4.485
42,34.547,3000000,0.340,34.433,552965,145954,79.117,21651,3.098
43,36.174,3000000,0.292,36.164,518941,211860,71.010,16928,2.316
44,37.878,3000000,0.279,40.148,538369,219984,70.992,11573,1.526
45,39.662,3000000,0.283,42.302,556384,227495,70.978,8659,1.105
46,41.530,3000000,0.279,41.080,574221,229191,71.473,6410,0.798
47,43.486,3000000,0.285,37.876,591898,228854,72.117,5599,0.682
48,45.534,3000000,0.285,54.104,608805,226663,72.870,6143,0.735
49,47.678,3000000,0.307,39.932,627538,221965,73.871,7172,0.844
50,49.923,3000000,0.304,55.825,646680,217683,74.816,9606,1.111
51,52.275,3000000,0.322,38.903,664682,209471,76.037,12659,1.448
52,54.737,3000000,0.317,54.794,680934,199929,77.303,16596,1.884
53,57.315,3000000,0.330,38.736,680272,208657,76.527,2443,0.275
54,60.014,3000000,0.371,53.508,699063,196404,78.067,8376,0.935
55,62.840,3000000,0.368,39.320,714657,183746,79.547,14650,1.631
56,65.800,3000000,0.363,51.249,714322,185449,79.389,5596,0.622
57,68.899,3000000,0.390,39.060,730384,171442,80.989,13251,1.469
