spectrum,peak_kev,peak_counts,fwhm_kev,has_curve,nuclide,line_kev,intensity_pct,is_xray,low_yield,rivals,rival_factor,coeff_ok,bq_coeff,verdict
AS1Pro_Ra226,25.940,175.0,21.651,0,Am-241,26.345,2.27,0,0,0,1.000,0,0,кривой нет
AS1Pro_Ra226,45.849,321.0,25.763,0,Pb-210,46.539,4.25,0,0,0,1.000,0,0,кривой нет
AS1Pro_Ra226,78.295,722.0,37.288,0,Pb x-ray,74.969,100,0,0,0,1.000,0,0,кривой нет
AS1Pro_Ra226,153.165,6.0,37.238,0,Pu-238,152.000,0.0009,0,0,0,1.000,0,0,кривой нет
AS1Pro_Ra226,186.578,49.0,52.082,0,Ra-226,186.211,3.64,0,0,0,1.000,0,0,кривой нет
AS1Pro_Ra226,241.339,37.0,58.759,0,Pb-214,241.000,7.2615,0,0,0,1.000,0,0,кривой нет
AS1Pro_Ra226,296.649,50.0,64.900,0,Pb-214,295.000,18.4672,0,0,0,1.000,0,0,кривой нет
AS1Pro_Ra226,354.495,61.0,83.109,0,Pb-214,353.000,35.7166,0,0,0,1.000,0,0,кривой нет
AS1Pro_Ra226,476.280,0.0,84.430,0,Ac-228,463.000,4.4,0,0,0,1.000,0,0,кривой нет
AS1Pro_Ra226,611.259,14.0,122.721,0,Bi-214,609.000,45.44,0,0,0,1.000,0,0,кривой нет
AS1Pro_Ra226,773.852,1.0,137.330,0,Bi-214,768.360,4.89,0,0,0,1.000,0,0,кривой нет
AS1Pro_Ra226,935.279,0.0,135.018,0,Ac-228,911.000,25.8,0,0,0,1.000,0,0,кривой нет
AS1Pro_Ra226,1115.235,1.0,171.434,0,Eu-152,1111.000,13.67,0,0,0,1.000,0,0,кривой нет
AS1Pro_Ra226,1246.956,0.0,111.334,0,Bi-214,1238.000,5.83,0,0,0,1.000,0,0,кривой нет
AS1Pro_Ra226,1395.321,0.0,195.028,0,Bi-214,1377.000,3.985,0,0,0,1.000,0,0,кривой нет
AS1Pro_Ra226,1763.223,0.0,253.683,0,Bi-214,1764.000,15.29,0,0,0,1.000,0,0,кривой нет
AS1Pro_Ra226,2217.449,0.0,315.016,0,Bi-214,2204.000,4.92,0,0,0,1.000,0,0,кривой нет
AS1Pro_Ra226,2495.744,0.0,273.704,0,Bi-214,2447.000,1.545,0,0,0,1.000,0,0,кривой нет
AS80_Charoite,36.403,2.0,25.707,0,,,,0,0,0,1.000,0,0,нет подписи
AS80_Charoite,81.826,3.0,32.373,0,Pb x-ray,84.936,23,0,0,0,1.000,0,0,кривой нет
AS80_Charoite,96.847,1.0,22.828,0,Np-239,106.000,25.34,0,0,0,1.000,0,0,кривой нет
AS80_Charoite,135.914,0.0,37.550,0,Ac-228,129.065,2.42,0,0,0,1.000,0,0,кривой нет
AS80_Charoite,254.727,1.0,63.665,0,Eu-152,244.000,7.55,0,0,0,1.000,0,0,кривой нет
AS80_Charoite,364.662,0.0,80.119,0,I-131,364.000,81.5,0,0,0,1.000,0,0,кривой нет
AS80_Charoite,621.975,0.0,125.955,0,Ag-108m,614.000,89.8,0,0,0,1.000,0,0,кривой нет
AS80_Charoite,768.327,0.0,93.881,0,Bi-214,768.360,4.89,0,0,0,1.000,0,0,кривой нет
AS80_Charoite,958.535,0.0,161.876,0,Ac-228,964.000,4.99,0,0,0,1.000,0,0,кривой нет
AS80_Charoite,1171.210,0.0,216.196,0,Co-60,1173.000,99.85,0,0,0,1.000,0,0,кривой нет
AS80_Charoite,1515.997,0.0,219.770,0,K-40,1460.000,10.66,0,0,0,1.000,0,0,кривой нет
AS80_Charoite,1841.824,0.0,201.583,0,Bi-214,1764.000,15.29,0,0,0,1.000,0,0,кривой нет
AS80_Charoite,2218.848,0.0,275.955,0,Bi-214,2204.000,4.92,0,0,0,1.000,0,0,кривой нет
