spectrum,det,n,level,arm,place,e_star,ch_star,tag_before,tag_after,d_max_kev,d_max_fwhm,ch_max,d_at_star_kev,cause
HPGE_Uranium,HPGE,16,choose,null,low,31.64,191.13,stored,stored,0.0,0.0,0,0.0,neutral
HPGE_Uranium,HPGE,16,choose,shift,low,31.64,195.39,stored,stored,0.0,0.0,0,0.0,frozen
HPGE_Uranium,HPGE,16,choose,null,mid,406.78,2457.12,stored,stored,0.0,0.0,0,0.0,neutral
HPGE_Uranium,HPGE,16,choose,shift,mid,406.78,2472.41,stored,stored,0.0,0.0,0,0.0,frozen
GS4000_Ra226,GS4000,12,choose,null,low,23.94,30.54,stored,stored,0.0,0.0,0,0.0,neutral
GS4000_Ra226,GS4000,12,choose,shift,low,23.94,47.26,stored,affine,25.7699,1.6007,3999,-5.405,reacted
GS4000_Ra226,GS4000,12,choose,null,mid,290.23,312.18,stored,stored,0.0,0.0,0,0.0,neutral
GS4000_Ra226,GS4000,12,choose,shift,mid,290.23,369.67,stored,stored,0.0,0.0,0,0.0,frozen
GS4000_Ra226,GS4000,12,choose,null,high,2638.46,2654.47,stored,stored,0.0,0.0,0,0.0,neutral
GS4000_Ra226,GS4000,12,choose,shift,high,2638.46,2811.03,stored,stored,0.0,0.0,0,0.0,frozen
GS4000_Th232,GS4000,8,choose,null,low,119.19,136.77,affine,affine,0.0,0.0,1104,-0.0,neutral
GS4000_Th232,GS4000,8,choose,shift,low,119.19,168.24,affine,affine,35.2772,2.0211,3999,-4.6959,reacted
GS4000_Th232,GS4000,8,choose,null,mid,480.23,510.65,affine,affine,0.0,0.0,2141,-0.0,neutral
GS4000_Th232,GS4000,8,choose,shift,mid,480.23,572.76,affine,stored,40.1655,2.1233,3999,0.4114,reacted
GS4000_Th232,GS4000,8,choose,null,high,1451.2,1486.17,affine,affine,0.0,0.0,793,-0.0,neutral
GS4000_Th232,GS4000,8,choose,shift,high,1451.2,1589.58,affine,gain,99.6557,2.1145,3999,-33.4223,reacted
GS4000_U,GS4000,7,choose,null,mid,196.26,208.68,affine,affine,0.0,0.0,3808,-0.0,neutral
GS4000_U,GS4000,7,choose,shift,mid,196.26,260.96,affine,affine,3.7707,0.915,0,-3.663,reacted
GS4000_U,GS4000,7,choose,null,high,2191.1,2097.31,affine,affine,0.0,0.0,2093,0.0,neutral
GS4000_U,GS4000,7,choose,shift,high,2191.1,2250.59,affine,gain,157.7391,1.2818,3999,-81.5597,reacted
GS4000_Lu176,GS4000,4,choose,null,low,44.17,54.89,gain,gain,0.0,0.0,0,0.0,neutral
GS4000_Lu176,GS4000,4,choose,shift,low,44.17,73.35,gain,affine,82.0505,3.098,3999,-7.0489,reacted
GS4000_Lu176,GS4000,4,choose,null,mid,212.46,242.94,gain,gain,0.0,0.0,0,0.0,neutral
GS4000_Lu176,GS4000,4,choose,shift,mid,212.46,283.04,gain,gain,110.8225,1.4363,3999,-7.0757,reacted
GS4000_Lu176,GS4000,4,choose,null,high,766.44,850.34,gain,poly2,173.1225,2.2438,3999,-0.7646,gate:fit
GS4000_Lu176,GS4000,4,choose,shift,high,766.44,924.35,gain,gain,144.0149,1.8665,3999,-30.8923,reacted
ASN3_Tile,ASN3,7,choose,null,low,119.72,104.26,stored,stored,0.0,0.0,0,0.0,neutral
ASN3_Tile,ASN3,7,choose,shift,low,119.72,119.88,stored,affine,22.4313,3.9289,2499,-6.199,reacted
ASN3_Tile,ASN3,7,choose,null,mid,591.81,492.4,stored,stored,0.0,0.0,0,0.0,neutral
ASN3_Tile,ASN3,7,choose,shift,mid,591.81,525.9,stored,stored,0.0,0.0,0,0.0,frozen
ASN3_Tile,ASN3,7,choose,null,high,2194.09,1718.66,stored,stored,0.0,0.0,0,0.0,neutral
ASN3_Tile,ASN3,7,choose,shift,high,2194.09,1776.73,stored,gain,51.9139,1.0598,2499,-35.7611,reacted
ASN8_Th232_1024,ASN8_1024,11,choose,null,low,119.43,43.72,gain,gain,0.0,0.0,0,0.0,neutral
ASN8_Th232_1024,ASN8_1024,11,choose,shift,low,119.43,55.89,gain,stored,7.8854,0.084,1023,-0.3788,reacted
ASN8_Th232_1024,ASN8_1024,11,choose,null,mid,790.25,266.25,gain,gain,0.0,0.0,720,-0.0,neutral
ASN8_Th232_1024,ASN8_1024,11,choose,shift,mid,790.25,296.52,gain,stored,7.8854,0.084,1023,-2.151,reacted
ASN8_Th232_2048,ASN8_2048,10,choose,null,low,119.19,87.12,stored,stored,0.0,0.0,0,0.0,neutral
ASN8_Th232_2048,ASN8_2048,10,choose,shift,low,119.19,113.06,stored,affine,5.8776,1.4082,2047,-4.957,reacted
ASN8_Th232_2048,ASN8_2048,10,choose,null,mid,789.45,533.02,stored,stored,0.0,0.0,0,0.0,neutral
ASN8_Th232_2048,ASN8_2048,10,choose,shift,mid,789.45,597.57,stored,stored,0.0,0.0,0,0.0,frozen
ASN8_Th232_3000,ASN8_3000,10,choose,null,low,119.37,127.09,stored,stored,0.0,0.0,0,0.0,neutral
