spectrum,arm,n,tag_head,tag_v26,same,drift_pct
AS1Pro_Ra226,B_null_n>=3,14,poly2,poly2,True,
AS80_Cs137_0cm,B_null_n>=3,11,affine,affine,True,
AS80_K40,B_null_n>=3,13,affine,affine,True,
AS80_Lu176,B_null_n>=3,9,stored,stored,True,
AS80_Onyx,B_null_n>=3,9,stored,stored,True,
AS80_Th232Medal,B_null_n>=3,15,gain,gain,True,
AS80_Th232WT20,B_null_n>=3,15,affine,affine,True,
ASN16_Am241,B_null_n>=3,8,gain,gain,True,
ASN16_BrazilNuts,B_null_n>=3,13,stored,stored,True,
ASN16_Charoite_v2,B_null_n>=3,14,affine,affine,True,
ASN16_Cs137,B_null_n>=3,8,affine,affine,True,
ASN16_Lu176,B_null_n>=3,7,stored,stored,True,
ASN16_Lu176_P0,B_null_n>=3,6,stored,stored,True,
ASN16_Th232_Am241,B_null_n>=3,16,stored,stored,True,
ASN3_Tile,B_null_n>=3,9,stored,stored,True,
ASN8_Am241,B_null_n>=3,5,gain,gain,True,
ASN8_Th232_1024,B_null_n>=3,13,gain,gain,True,
ASN8_Th232_2048,B_null_n>=3,12,stored,stored,True,
ASN8_Th232_3000,B_null_n>=3,12,stored,stored,True,
ASN8_Th232_4096,B_null_n>=3,13,stored,stored,True,
ASN8_Th232_8192,B_null_n>=3,12,stored,stored,True,
ASN8_UGlass,B_null_n>=3,6,affine,affine,True,
G1S16_Am241_P25,B_null_n>=3,3,gain,gain,True,
G1S16_Am241_P25,A_gain_consistent,2,stored,stored,True,8.99
G1S16_Am241_P25,A_gain_consistent,3,poly1,poly1,True,8.99
G1S16_Ba133_P25,B_null_n>=3,7,poly2,poly2,True,
G1S16_Ba133_P5,B_null_n>=3,6,gain,gain,True,
G1S16_Cd109_P25,B_null_n>=3,5,gain,gain,True,
G1S16_Cd109_P5,B_null_n>=3,3,gain,gain,True,
G1S16_Ce139_P25,B_null_n>=3,8,stored,stored,True,
G1S16_Ce139_P5,B_null_n>=3,4,poly1,poly1,True,
G1S16_Co57_P5,B_null_n>=3,3,stored,stored,True,
G1S16_Co60_P25,B_null_n>=3,6,affine,affine,True,
G1S16_Co60_P5,B_null_n>=3,7,affine,affine,True,
G1S16_Cs137_Mar,B_null_n>=3,5,poly2,poly2,True,
G1S16_Cs137_Mar_2,B_null_n>=3,3,gain,gain,True,
G1S16_Cs137_P25,B_null_n>=3,4,affine,affine,True,
G1S16_Cs137_P5,B_null_n>=3,5,affine,affine,True,
G1S16_Eu152_P25,B_null_n>=3,12,gain,gain,True,
