spectrum,det,n,tag_pipeline,tag_choose,null_worst_kev,null_worst_fwhm,null_worst_cause,shift_weakest_fwhm,shift_weakest_cause,pipe_null_worst_kev,pipe_null_worst_fwhm,pipe_shift_weakest_fwhm,trace
HPGE_Uranium,HPGE,16,affine/robust,stored,0.0,0.0,neutral,0.0,frozen,,,,"poly1=extrap_below; poly2=extrap_below; stored=ok(0.267); gain=ok(0.270,paid); affine=ok(0.252,paid)"
GS4000_Ra226,GS4000,12,stored/robust,stored,0.0,0.0,neutral,0.0,frozen,,,,"poly1=extrap_below; poly2=extrap_below; stored=ok(0.151); gain=ok(0.150,paid); affine=ok(0.153,paid)"
GS4000_Th232,GS4000,8,affine/robust,affine,0.0,0.0,neutral,2.0211,reacted,,,,"poly1=extrap_below; poly2=extrap_below; stored=ok(0.159); gain=ok(0.162,paid); affine=ok(0.133,paid)"
GS4000_U,GS4000,7,affine,affine,0.0,0.0,neutral,0.915,reacted,,,,"poly1=extrap_below; stored=ok(0.374); gain=ok(0.292,paid); affine=ok(0.128,paid); poly2=ok(0.132,paid)"
GS4000_Lu176,GS4000,4,gain,gain,173.1225,2.2438,gate:fit,1.4363,reacted,,,,"poly2=fit; stored=ok(0.196); gain=ok(0.126,paid); affine=ok(0.130,paid); poly1=ok(0.574,paid)"
ASN3_Tile,ASN3,7,stored,stored,0.0,0.0,neutral,0.0,frozen,,,,"poly1=extrap_below; poly2=extrap_below; stored=ok(0.181); gain=ok(0.177,paid); affine=ok(0.174,paid)"
ASN8_Th232_1024,ASN8_1024,11,gain,gain,0.0,0.0,neutral,0.084,reacted,,,,"poly1=extrap_below; stored=ok(0.096); gain=ok(0.085,paid); affine=ok(0.077,paid); poly2=ok(0.078,paid)"
ASN8_Th232_2048,ASN8_2048,10,stored,stored,0.0,0.0,neutral,0.0,frozen,,,,"poly1=extrap_below; stored=ok(0.084); gain=ok(0.083,paid); affine=ok(0.082,paid); poly2=ok(0.083,paid)"
ASN8_Th232_3000,ASN8_3000,10,stored,stored,0.0,0.0,neutral,0.0,frozen,,,,"poly1=extrap_below; stored=ok(0.106); gain=ok(0.106,paid); affine=ok(0.106,paid); poly2=ok(0.106,paid)"
ASN8_Th232_4096,ASN8_4096,11,stored,stored,0.0,0.0,neutral,0.0,frozen,,,,"poly1=extrap_below; stored=ok(0.095); gain=ok(0.088,paid); affine=ok(0.089,paid); poly2=ok(0.089,paid)"
ASN8_Th232_8192,ASN8_8192,10,stored,stored,0.0,0.0,neutral,0.0,frozen,,,,"poly1=extrap_below; stored=ok(0.112); gain=ok(0.112,paid); affine=ok(0.113,paid); poly2=ok(0.113,paid)"
ASN8_UGlass,ASN8_8192,4,affine,affine,0.0,0.0,neutral,1.1218,reacted,,,,"poly1=extrap_below; poly2=extrap_below; stored=ok(0.410); gain=ok(0.363,paid); affine=ok(0.224,paid)"
ASN8_Am241,ASN8_8192,3,gain,affine,0.0,0.0,neutral,1.1473,reacted,,,,"poly2=count; stored=ok(0.240); gain=ok(0.207,paid); affine=ok(0.084,paid); poly1=ok(0.203,paid)"
OBS_UGlass,OBS,2,stored,gain,1.6585,0.413,unlock,0.759,reacted,,,,"affine=count; poly1=count; poly2=count; stored=ok(0.297); gain=ok(0.139,paid)"
RC101_I131,RC101,2,gain,gain,51.3741,1.4152,unlock,0.1203,reacted,,,,"affine=count; poly1=count; poly2=count; stored=ok(0.064); gain=ok(0.040,paid)"
AS1Pro_Ra226,AS1PRO,12,poly2,affine,11.7722,0.669,rank:margin,1.7199,reacted,,,,"poly1=extrap_below; stored=ok(0.223); gain=ok(0.153,paid); affine=ok(0.092,paid); poly2=ok(0.112,paid)"
ASN16_Charoite_v2,ASN16,12,affine/robust,affine,0.0,0.0,neutral,1.1272,reacted,,,,"poly1=extrap_below; poly2=extrap_below; stored=ok(0.145); gain=ok(0.127,paid); affine=ok(0.095,paid)"
