family,det,members,anchors,kept,family_fit,spectrum,n_own,mode_donor,mode_family,d_max_kev,d_max_fwhm,d_work_kev,d_work_fwhm,e_lo_own,e_lo_family
AS80_Th232Medal,AS80x80,3,30,28,gain/robust,AS80_Cs137_0cm,8,affine/robust/grp,affine/robust/grp,0.0,0.0,0.0,0.0,198.1,198.1
AS80_Th232Medal,AS80x80,3,30,28,gain/robust,AS80_Onyx,10,stored/grp,stored/grp,0.0,0.0,0.0,0.0,239.0,198.1
AS80_Th232Medal,AS80x80,3,30,28,gain/robust,AS80_Th232Medal,12,gain/robust/grp,gain/robust/grp,0.0,0.0,0.0,0.0,238.4,198.1
ASN16_Charoite_v2,ASN16,4,26,26,affine,ASN16_Charoite_v2,13,affine/grp,affine/grp,0.0,0.0,0.0,0.0,186.8,88.3
ASN16_Charoite_v2,ASN16,4,26,26,affine,ASN16_Cs137,6,affine,affine,0.0,0.0,0.0,0.0,186.2,88.3
ASN16_Charoite_v2,ASN16,4,26,26,affine,ASN16_Cs137_10cm,3,gain/grp,gain/grp,0.0,0.0,0.0,0.0,186.2,88.3
ASN16_Charoite_v2,ASN16,4,26,26,affine,ASN16_Lu176_P0,4,stored/grp,stored/grp,0.0,0.0,0.0,0.0,88.3,88.3
ASN8_Th232_8192,ASN8_8192,3,18,17,stored/robust,ASN8_Am241,3,affine/grp,affine/grp,0.0,0.0,0.0,0.0,59.5,50.3
ASN8_Th232_8192,ASN8_8192,3,18,17,stored/robust,ASN8_Th232_8192,10,stored/grp,stored/grp,0.0,0.0,0.0,0.0,238.4,50.3
ASN8_Th232_8192,ASN8_8192,3,18,17,stored/robust,ASN8_UGlass,5,affine/grp,affine/grp,0.0,0.0,0.0,0.0,50.3,50.3
G1S16_Eu152_P25,G1S16,11,51,49,affine/robust,G1S16_Am241_P25,3,affine/grp,affine/grp,0.0,0.0,0.0,0.0,59.5,59.5
G1S16_Eu152_P25,G1S16,11,51,49,affine/robust,G1S16_Ba133_P25,3,gain/grp,gain/grp,0.0,0.0,0.0,0.0,80.9,59.5
G1S16_Eu152_P25,G1S16,11,51,49,affine/robust,G1S16_Cd109_P25,3,gain/grp,gain/grp,0.0,0.0,0.0,0.0,88.0,59.5
G1S16_Eu152_P25,G1S16,11,51,49,affine/robust,G1S16_Ce139_P25,3,stored/grp,stored/grp,0.0,0.0,0.0,0.0,165.9,59.5
G1S16_Eu152_P25,G1S16,11,51,49,affine/robust,G1S16_Co60_P25,4,affine/grp,affine/grp,0.0,0.0,0.0,0.0,348.7,59.5
G1S16_Eu152_P25,G1S16,11,51,49,affine/robust,G1S16_Cs137_P25,4,stored/grp,stored/grp,0.0,0.0,0.0,0.0,186.2,59.5
G1S16_Eu152_P25,G1S16,11,51,49,affine/robust,G1S16_Eu152_P25,10,gain/grp,gain/grp,0.0,0.0,0.0,0.0,121.8,59.5
G1S16_Eu152_P25,G1S16,11,51,49,affine/robust,G1S16_Mn54_P25,4,gain,gain,0.0,0.0,0.0,0.0,292.4,59.5
G1S16_Eu152_P25,G1S16,11,51,49,affine/robust,G1S16_Na22_P25,3,affine/grp,affine/grp,0.0,0.0,0.0,0.0,511.0,59.5
G1S16_Eu152_P25,G1S16,11,51,49,affine/robust,G1S16_Th228_P25,7,affine/robust/grp,affine/robust/grp,0.0,0.0,0.0,0.0,238.7,59.5
G1S16_Eu152_P25,G1S16,11,51,49,affine/robust,G1S16_Y88_P25,7,gain/recal/grp,gain/recal/grp,0.0,0.0,0.0,0.0,348.7,59.5
G1S16_Eu152_P5,G1S16,11,41,37,affine/robust,G1S16_Am241_P5,1,ref-cal(G1S16_Eu152_P5),fam(G1S16_Eu152_P5),28.718,0.772,26.312,0.295,59.5,59.5
G1S16_Eu152_P5,G1S16,11,41,37,affine/robust,G1S16_Ba133_P5,4,gain,gain,0.0,0.0,0.0,0.0,80.9,59.5
G1S16_Eu152_P5,G1S16,11,41,37,affine/robust,G1S16_Cd109_P5,2,gain/grp,gain/grp,0.0,0.0,0.0,0.0,88.0,59.5
G1S16_Eu152_P5,G1S16,11,41,37,affine/robust,G1S16_Ce139_P5,3,gain/grp,gain/grp,0.0,0.0,0.0,0.0,165.9,59.5
G1S16_Eu152_P5,G1S16,11,41,37,affine/robust,G1S16_Co57_P5,1,ref-cal(G1S16_Eu152_P5),fam(G1S16_Eu152_P5),28.718,0.772,26.312,0.295,123.7,59.5
