file	side	api	kind	line	receiver	args
BecquerelMonitor/AboutForm.cs	print	string.Format	UNK	19		Resources.AboutVersionFormat
BecquerelMonitor/AboutForm.cs	print	string.Format	UNK	66		Resources.ERROpenLinkFailure
BecquerelMonitor/AppLog.cs	print	ToString	UNK	351	.GetName().Version	
BecquerelMonitor/AtomSpectraVCPDeviceForm.cs	print	ToString	UNK	42	comPortsBox.SelectedItem	
BecquerelMonitor/AtomSpectraVCPDeviceForm.cs	print	ToString	UNK	43	baudratesBox.SelectedItem	
BecquerelMonitor/AtomSpectraVCPDeviceForm.cs	print	ToString	UNK	48	Guid.NewGuid()	
BecquerelMonitor/AtomSpectraVCPDeviceForm.cs	print	ToString	UNK	199	comPortsBox.SelectedItem	
BecquerelMonitor/AtomSpectraVCPDeviceForm.cs	print	ToString	UNK	200	baudratesBox.SelectedItem	
BecquerelMonitor/AtomSpectraVCPDeviceForm.cs	print	ToString	UNK	230	comPortsBox.SelectedItem	
BecquerelMonitor/AtomSpectraVCPDeviceForm.cs	print	ToString	UNK	231	baudratesBox.SelectedItem	
BecquerelMonitor/AtomSpectraVCPDeviceForm.cs	print	ToString	UNK	236	Guid.NewGuid()	
BecquerelMonitor/AtomSpectraVCPDeviceForm.cs	print	ToString	UNK	285	Guid.NewGuid()	
BecquerelMonitor/AtomSpectraVCPDeviceForm.cs	print	concat	NUM	361	status	
BecquerelMonitor/AtomSpectraVCPDeviceForm.cs	print	string.Format	UNK	337		Resources.VCPDeviceStatusReason
BecquerelMonitor/AtomSpectraVCPDeviceForm.cs	print	string.Format	UNK	347		Resources.LabelVCPSpectraInfo
BecquerelMonitor/AtomSpectraVCPDeviceForm.cs	print	string.Format	UNK	366		Resources.LabelVCPSpectraInfo
BecquerelMonitor/AtomSpectraVCPDeviceForm.cs	print	string.Format	UNK	375		Resources.LabelVCPSpectraInfo
BecquerelMonitor/AtomSpectraVCPDeviceForm.cs	print	string.Format	UNK	381		Resources.LabelVCPSpectraInfo
BecquerelMonitor/AudioInputDeviceController.cs	print	concat	NUM	76	deviceId	
BecquerelMonitor/AudioInputDeviceController.cs	print	concat	NUM	76	deviceId	
BecquerelMonitor/AudioVolumeController.cs	print	ToString	UNK	41	stringBuilder	
BecquerelMonitor/AudioVolumeController.cs	print	ToString	UNK	64	properties[guid].Value	
BecquerelMonitor/ChanNumberChangeDialog.cs	parse	int.TryParse	NUM	38	int	textBox1.Text, out int newChan
BecquerelMonitor/DCControlPanel.cs	print	string.Format	UNK	664		Resources.EfficiencyFromFile
BecquerelMonitor/DCEnergyCalibrationView.cs	print	string.Format	UNK	729		Resources.ERRAddCalibrationPoints
BecquerelMonitor/DCFwhmCalibrationView.cs	print	ToString	UNK	747	messageBuilder	
BecquerelMonitor/DCPeakDetectionView.cs	print	concat	NUM	344	num2	
BecquerelMonitor/DCPeakDetectionView.cs	print	concat	NUM	358	resolution	
BecquerelMonitor/DCPeakDetectionView.cs	print	string.Format	UNK	546		Resources.ERRAddCalibrationPoints
BecquerelMonitor/DCResultView.cs	print	ToString	UNK	59	base.GetType()	
BecquerelMonitor/DCResultView.cs	print	ToString	UNK	61	this.resultTranslation	
BecquerelMonitor/DCResultView.cs	print	ToString	UNK	63	this.resultCorrection	
BecquerelMonitor/DCResultView.cs	print	concat	NUM	112	errorLevel	
BecquerelMonitor/DCResultView.cs	print	concat	NUM	147	epsilon	
BecquerelMonitor/DCResultView.cs	print	concat	NUM	203	epsilon	
BecquerelMonitor/DeviceConfigForm.cs	print	ToString	UNK	524	rc_config.RC_EnergyCalibration	
BecquerelMonitor/DeviceConfigForm.cs	print	ToString	UNK	541	obs_config.OBS_EnergyCalibration	
BecquerelMonitor/DeviceConfigForm.cs	print	ToString	UNK	764	Guid.NewGuid()	
BecquerelMonitor/DeviceConfigForm.cs	print	ToString	UNK	1094	ex	
BecquerelMonitor/DeviceConfigForm.cs	print	ToString	UNK	1396	deviceconfig.OBS_EnergyCalibration	
BecquerelMonitor/DeviceConfigForm.cs	print	concat	NUM	295	i	
BecquerelMonitor/DeviceConfigForm.cs	print	concat	NUM	1490	i	
BecquerelMonitor/DeviceConfigForm.cs	print	concat	NUM	1494	i	
BecquerelMonitor/DeviceConfigForm.cs	print	string.Format	UNK	239		Resources.MessageRemoveDeviceConfig
BecquerelMonitor/DeviceConfigForm.cs	print	string.Format	UNK	1290		Resources.ERRReadDataFromPort
BecquerelMonitor/DeviceConfigForm.cs	print	string.Format	UNK	1351		Resources.ERRReadDataFromPort
BecquerelMonitor/DeviceConfigForm.cs	print	string.Format	UNK	1377		Resources.ERRReadDataFromPort
BecquerelMonitor/DeviceConfigForm.cs	print	string.Format	UNK	1403		Resources.ERRReadDataFromPort
BecquerelMonitor/DeviceConfigForm.cs	print	string.Format	UNK	2634		Resources.ERRFileOpenFailure
BecquerelMonitor/DeviceConfigForm.cs	print	string.Format	UNK	2846		Resources.ERRFileOpenFailure
BecquerelMonitor/DeviceConfigForm.cs	print	interpolation	UNK	942		
BecquerelMonitor/DeviceConfigForm.Efficiency.cs	print	string.Format	UNK	476		Resources.EfficiencyTabCopySuffix
BecquerelMonitor/DeviceConfigForm.Efficiency.cs	print	string.Format	UNK	491		Resources.EfficiencyTabDeleteConfirm
BecquerelMonitor/DeviceConfigManager.cs	print	ToString	UNK	165	Guid.NewGuid()	
BecquerelMonitor/DeviceConfigManager.cs	print	ToString	UNK	205	Guid.NewGuid()	
BecquerelMonitor/DeviceConfigManager.cs	print	string.Format	UNK	121		Resources.ERRDuplicateDeviceConfigGUID
BecquerelMonitor/DeviceConfigManager.cs	print	string.Format	UNK	307		Resources.ERRConfigFileRenameFailed
BecquerelMonitor/DeviceConfigManager.cs	print	string.Format	UNK	465		Resources.ERRConfigFileDeleteFailed
BecquerelMonitor/DocEnergySpectrum.cs	print	ToString	UNK	567	base.GetType()	
BecquerelMonitor/DocEnergySpectrum.cs	print	string.Format	UNK	1121		Properties.Resources.FsaNoFwhmSource
BecquerelMonitor/DocumentManager.cs	print	concat	NUM	794	list_count	
BecquerelMonitor/DocumentManager.cs	print	concat	NUM	820	list_count	
BecquerelMonitor/DocumentManager.cs	print	concat	NUM	848	list_count	
BecquerelMonitor/DocumentManager.cs	print	string.Format	UNK	90		Resources.ERRFileOpenFailure
BecquerelMonitor/DocumentManager.cs	print	string.Format	UNK	348		Resources.ERRFileOpenFailure
BecquerelMonitor/DocumentManager.cs	print	string.Format	UNK	360		Resources.ERRFileOpenFailure
BecquerelMonitor/DocumentManager.cs	print	string.Format	UNK	413		Resources.ERRFileOpenFailure
BecquerelMonitor/DocumentManager.cs	print	string.Format	UNK	443		Resources.ERRFileOpenFailure
BecquerelMonitor/DocumentManager.cs	print	string.Format	UNK	453		Resources.ERRFileOpenFailure
BecquerelMonitor/DocumentManager.cs	print	string.Format	UNK	556		Resources.ERRFileOpenFailure
BecquerelMonitor/DocumentManager.cs	print	string.Format	UNK	1049		Resources.ERRFileOpenFailure
BecquerelMonitor/DocumentManager.cs	print	string.Format	UNK	1085		Resources.ERROpenGBSFormat
BecquerelMonitor/DocumentManager.cs	print	string.Format	UNK	1188		Resources.ERRFileOpenFailure
BecquerelMonitor/DocumentManager.cs	print	string.Format	UNK	1225		Resources.ERRImportAtomSpectra
BecquerelMonitor/DocumentManager.cs	print	string.Format	UNK	1235		Resources.ERRFileOpenFailure
BecquerelMonitor/DocumentManager.cs	print	string.Format	UNK	1246		Resources.ERRFileOpenFailure
BecquerelMonitor/DocumentManager.cs	print	string.Format	UNK	1272		Resources.ERROpenAtomSpectraFormat
BecquerelMonitor/DocumentManager.cs	print	string.Format	UNK	1307		Resources.ERRUnsupportedCalibrationOrder
BecquerelMonitor/DocumentManager.cs	print	string.Format	UNK	1370		Resources.ERRFileOpenFailure
BecquerelMonitor/DocumentManager.cs	print	string.Format	UNK	1481		Resources.ERRFileOpenFailure
BecquerelMonitor/DocumentManager.cs	print	string.Format	UNK	1515		Resources.ERRFileOpenFailure
BecquerelMonitor/DocumentManager.cs	print	string.Format	UNK	1619		Resources.ERRFileSaveFailure
BecquerelMonitor/DocumentManager.cs	print	string.Format	UNK	1663		Resources.ERRFileSaveFailure
BecquerelMonitor/DocumentManager.cs	print	string.Format	UNK	1709		Resources.ERRFileSaveFailure
BecquerelMonitor/DocumentManager.cs	print	string.Format	UNK	1848		Resources.ERRFileOpenFailure
BecquerelMonitor/DocumentManager.cs	print	string.Format	UNK	1874		Resources.ERRBackgroundLoadFailure
BecquerelMonitor/DocumentManager.cs	print	string.Format	UNK	1955		Resources.ERRFileSaveFailure
BecquerelMonitor/DocumentManager.cs	print	string.Format	UNK	2026		Resources.ERRFileSaveFailure
BecquerelMonitor/DocumentManager.cs	print	string.Format	UNK	2057		" "
BecquerelMonitor/DocumentManager.cs	print	string.Format	UNK	2071		" "
BecquerelMonitor/DocumentManager.cs	print	string.Format	UNK	2075		" "
BecquerelMonitor/DocumentManager.cs	print	string.Format	UNK	2085		Resources.ERRFileOpenFailure
BecquerelMonitor/DocumentManager.cs	print	string.Format	UNK	2179		" "
BecquerelMonitor/DocumentManager.cs	print	string.Format	UNK	2182		" "
BecquerelMonitor/DocumentManager.cs	print	string.Format	UNK	2185		" "
BecquerelMonitor/DocumentManager.cs	print	string.Format	UNK	2188		" "
BecquerelMonitor/DocumentManager.cs	print	string.Format	UNK	2232		Resources.ERRFileOpenFailure
