спектр                 файл   manifest  parts   materials   вердикт
AS80_Background        нет    нет       нет     нет         СНЯТ
ASN16_Background       нет    нет       нет     нет         СНЯТ
ASN8_Background        нет    нет       нет     нет         СНЯТ
CZTTeCd_Mix            нет    нет       нет     нет         СНЯТ
CZT_Cs137              нет    нет       нет     нет         СНЯТ
CZT_Th232              нет    нет       нет     нет         СНЯТ
LaBr3_Ore              нет    нет       нет     нет         СНЯТ
LaBrBril_Background    нет    нет       нет     нет         СНЯТ
OBS_Background         нет    нет       нет     нет         СНЯТ
OBS_Th232WT20          нет    нет       нет     нет         СНЯТ
RC101_Th232            нет    нет       нет     нет         СНЯТ
RC103_Background       нет    нет       нет     нет         СНЯТ
RC103_Co60             нет    нет       нет     нет         СНЯТ
SrI2_Th232             нет    нет       нет     нет         СНЯТ

OBS_UGlass             есть   есть      есть    есть        жив (контроль шаблона)
RC101_I131             есть   есть      есть    есть        жив (контроль шаблона)
RC103_K40              есть   есть      есть    есть        жив (контроль шаблона)
AS80_K40               есть   есть      есть    есть        жив (контроль шаблона)
ASN16_Cs137            есть   есть      есть    есть        жив (контроль шаблона)
ASN8_Am241             есть   есть      есть    есть        жив (контроль шаблона)
LaBrBril_Eu152         есть   есть      есть    есть        жив (контроль шаблона)

файлов в corpus/spectra: 129
ПРИГОВОР: СОШЛОСЬ (расхождений 0)
