key,channels,anchors,lines,order_req,order_before,order_after,miss_before,miss_after,miss_out_before,miss_out_after,worst_before,worst_after
AS1Pro_Ra226,8192,12,14,4,4,4,57.5631,57.5631,6.0821,6.0821,38.4998,38.4998
AS80_Cs137_0cm,8192,8,10,4,4,4,59.3836,59.3836,0.7751,0.7751,30.7553,30.7553
AS80_K40,8192,11,13,4,4,2,213.3407,245.9903,3.8430,33.4129,84.6140,72.3048
AS80_Lu176,8192,6,7,4,4,3,601.7060,29.7211,599.2022,17.2958,598.6492,13.5560
AS80_Onyx,8192,10,11,4,4,2,128.4940,186.8244,46.7256,58.2133,42.2676,46.1185
AS80_Th232Medal,8192,12,13,4,4,2,116.7472,196.6451,5.1184,11.6631,72.5083,57.9404
AS80_Th232WT20,8192,13,14,4,4,4,85.9687,85.9687,0.0775,0.0775,28.9230,28.9230
ASN16_Am241,8192,8,10,4,4,4,101.7788,101.7788,0.2702,0.2702,47.2689,47.2689
ASN16_BrazilNuts,8192,11,11,4,4,4,26.9517,26.9517,0.9887,0.9887,7.6649,7.6649
ASN16_Charoite_v2,8192,13,16,4,4,4,42.7905,42.7905,2.0924,2.0924,22.2007,22.2007
ASN16_Cs137,8192,6,6,4,4,4,15.9879,15.9879,0.7862,0.7862,5.7757,5.7757
ASN16_Cs137_10cm,8192,3,4,2,2,2,48.4563,48.4563,13.3521,13.3521,35.0313,35.0313
ASN16_Lu176,8192,5,7,4,4,2,138.5085,86.0609,0.0000,0.0000,106.0223,49.4636
ASN16_Lu176_P0,8192,4,5,3,3,1,31.7903,32.1774,0.1096,1.0983,31.6374,28.8535
ASN16_Th232_Am241,8192,13,14,4,4,4,129.1382,129.1382,4.0313,4.0313,86.0576,86.0576
ASN3_Tile,2500,10,12,4,4,3,236.9208,114.8850,176.2698,54.7953,154.0859,45.3125
ASN8_Am241,8192,3,5,2,2,2,71.8114,71.8114,55.9398,55.9398,55.9398,55.9398
ASN8_Th232_1024,1024,11,11,4,4,4,27.3012,27.3012,0.0000,0.0000,6.7242,6.7242
ASN8_Th232_2048,2048,10,11,4,4,4,43.0312,43.0312,4.5309,4.5309,10.3402,10.3402
ASN8_Th232_3000,3000,10,11,4,4,4,50.9747,50.9747,0.4485,0.4485,11.9931,11.9931
ASN8_Th232_4096,4096,10,11,4,4,4,45.6909,45.6909,0.0000,0.0000,11.2475,11.2475
ASN8_Th232_8192,8192,10,11,4,4,4,41.4798,41.4798,3.8431,3.8431,12.2754,12.2754
ASN8_UGlass,8192,5,6,4,4,4,89.2130,89.2130,0.0307,0.0307,85.4368,85.4368
G1S16_Am241_P25,1024,3,5,2,2,2,122.5591,122.5591,0.0000,0.0000,58.9591,58.9591
G1S16_Ba133_P25,1024,3,4,2,2,1,39.7230,17.8899,4.6017,0.9204,28.5295,16.2823
G1S16_Ba133_P5,1024,4,5,3,3,2,55.2417,26.1334,0.0000,0.0000,39.7947,22.5418
G1S16_Cd109_P25,1024,3,4,2,2,2,48.1890,48.1890,0.3943,0.3943,46.1907,46.1907
G1S16_Cd109_P5,1024,2,4,1,1,1,78.2865,78.2865,0.0758,0.0758,54.3482,54.3482
G1S16_Ce139_P25,1024,3,4,2,2,2,47.6036,47.6036,45.0336,45.0336,44.7277,44.7277
G1S16_Ce139_P5,1024,3,4,2,2,2,79.7070,79.7070,77.9528,77.9528,77.9528,77.9528
G1S16_Co60_P25,1024,4,7,3,3,3,65.5907,65.5907,12.5816,12.5816,46.7251,46.7251
G1S16_Co60_P5,1024,5,7,4,4,4,170.4931,170.4931,109.5057,109.5057,93.6900,93.6900
G1S16_Cs137_Mar,1024,3,3,2,2,2,15.0310,15.0310,14.8017,14.8017,13.6058,13.6058
G1S16_Cs137_P25,1024,4,4,3,3,3,3.8652,3.8652,1.1071,1.1071,1.3963,1.3963
G1S16_Cs137_P5,1024,3,5,2,2,2,114.9273,114.9273,64.2231,64.2231,64.2231,64.2231
G1S16_Eu152_P25,1024,10,12,4,4,4,65.2533,65.2533,1.9900,1.9900,20.0375,20.0375
G1S16_Eu152_P5,1024,8,11,4,4,3,107.5513,113.8354,50.8661,54.7522,50.3271,53.7794
G1S16_K40_Mar,1024,3,4,2,2,1,116.0450,157.6725,0.9251,13.0934,113.4163,94.5023
G1S16_K40_Mar_2,1024,3,5,2,2,1,189.1445,198.3595,0.0000,0.0000,150.1786,122.1500
G1S16_Mix_Denta100,1024,10,10,4,4,3,19.8351,19.0121,0.0000,0.0000,5.2324,5.1855
G1S16_Mix_Mar,1024,11,12,4,4,3,30.0636,27.7306,0.0000,0.0000,5.6605,6.0149
G1S16_Mix_Petri,1024,11,12,4,4,3,60.8073,55.7772,0.0000,0.0000,18.6938,17.5347
G1S16_Mn54_P25,1024,4,5,3,3,3,62.0572,62.0572,0.0000,0.0000,59.8453,59.8453
G1S16_Mn54_P5,1024,5,5,4,4,2,19.7356,18.7517,0.0000,0.0000,11.5968,7.6585
G1S16_Na22_P25,1024,3,3,2,2,2,2.2811,2.2811,0.2987,0.2987,1.0486,1.0486
G1S16_Na22_P5,1024,5,9,4,4,4,192.7055,192.7055,0.8684,0.8684,65.0676,65.0676
G1S16_Ra226_Mar,1024,12,12,4,4,4,17.1769,17.1769,0.1744,0.1744,3.0740,3.0740
