key,channels,anchors,lines,order_req,order_before,order_after,miss_before,miss_after,miss_out_before,miss_out_after,worst_before,worst_after
AS1Pro_Ra226,8192,12,14,2,2,2,75.7206,75.7206,15.9612,15.9612,35.4743,35.4743
AS80_Cs137_0cm,8192,8,10,2,2,2,89.1209,89.1209,7.5835,7.5835,29.8009,29.8009
AS80_K40,8192,11,13,2,2,2,245.9903,245.9903,33.4129,33.4129,72.3048,72.3048
AS80_Lu176,8192,6,7,2,2,2,131.8460,131.8460,113.8365,113.8365,109.3992,109.3992
AS80_Onyx,8192,10,11,2,2,2,186.8244,186.8244,58.2133,58.2133,46.1185,46.1185
AS80_Th232Medal,8192,12,13,2,2,2,196.6451,196.6451,11.6631,11.6631,57.9404,57.9404
AS80_Th232WT20,8192,13,14,2,2,2,108.7404,108.7404,2.8898,2.8898,31.0036,31.0036
ASN16_Am241,8192,8,10,2,2,2,97.2872,97.2872,3.2779,3.2779,41.0328,41.0328
ASN16_BrazilNuts,8192,11,11,2,2,2,33.9696,33.9696,7.9196,7.9196,8.8203,8.8203
ASN16_Charoite_v2,8192,13,16,2,2,2,70.8658,70.8658,21.1466,21.1466,25.7314,25.7314
ASN16_Cs137,8192,6,6,2,2,2,14.4112,14.4112,1.0049,1.0049,6.4175,6.4175
ASN16_Cs137_10cm,8192,3,4,2,2,2,48.4563,48.4563,13.3521,13.3521,35.0313,35.0313
ASN16_Lu176,8192,5,7,2,2,2,86.0609,86.0609,0.0000,0.0000,49.4636,49.4636
ASN16_Lu176_P0,8192,4,5,2,2,1,32.0131,32.1774,0.6260,1.0983,29.5291,28.8535
ASN16_Th232_Am241,8192,13,14,2,2,2,129.8294,129.8294,9.9667,9.9667,77.3235,77.3235
ASN3_Tile,2500,10,12,2,2,2,116.8083,116.8083,57.2812,57.2812,48.5877,48.5877
ASN8_Am241,8192,3,5,2,2,2,71.8114,71.8114,55.9398,55.9398,55.9398,55.9398
ASN8_Th232_1024,1024,11,11,2,2,2,34.0952,34.0952,0.0000,0.0000,7.1253,7.1253
ASN8_Th232_2048,2048,10,11,2,2,2,43.1751,43.1751,0.0131,0.0131,12.4020,12.4020
ASN8_Th232_3000,3000,10,11,2,2,2,49.9168,49.9168,1.6437,1.6437,13.4472,13.4472
ASN8_Th232_4096,4096,10,11,2,2,2,47.5228,47.5228,0.0000,0.0000,13.0115,13.0115
ASN8_Th232_8192,8192,10,11,2,2,2,46.0388,46.0388,0.0678,0.0678,13.7923,13.7923
ASN8_UGlass,8192,5,6,2,2,2,91.4640,91.4640,0.4294,0.4294,79.5102,79.5102
G1S16_Am241_P25,1024,3,5,2,2,2,122.5591,122.5591,0.0000,0.0000,58.9591,58.9591
G1S16_Ba133_P25,1024,3,4,2,2,1,39.7230,17.8899,4.6017,0.9204,28.5295,16.2823
G1S16_Ba133_P5,1024,4,5,2,2,2,26.1334,26.1334,0.0000,0.0000,22.5418,22.5418
G1S16_Cd109_P25,1024,3,4,2,2,2,48.1890,48.1890,0.3943,0.3943,46.1907,46.1907
G1S16_Cd109_P5,1024,2,4,2,-1,1,3582.7986,78.2865,88.0336,0.0758,1460.8200,54.3482
G1S16_Ce139_P25,1024,3,4,2,2,2,47.6036,47.6036,45.0336,45.0336,44.7277,44.7277
G1S16_Ce139_P5,1024,3,4,2,2,2,79.7070,79.7070,77.9528,77.9528,77.9528,77.9528
G1S16_Co60_P25,1024,4,7,2,2,2,158.6075,158.6075,107.6858,107.6858,91.7491,91.7491
G1S16_Co60_P5,1024,5,7,2,2,2,168.9579,168.9579,111.2081,111.2081,107.2717,107.2717
G1S16_Cs137_Mar,1024,3,3,2,2,2,15.0310,15.0310,14.8017,14.8017,13.6058,13.6058
G1S16_Cs137_P25,1024,4,4,2,2,2,3.3006,3.3006,0.2998,0.2998,2.2418,2.2418
G1S16_Cs137_P5,1024,3,5,2,2,2,114.9273,114.9273,64.2231,64.2231,64.2231,64.2231
G1S16_Eu152_P25,1024,10,12,2,2,2,81.1282,81.1282,4.4288,4.4288,18.6397,18.6397
G1S16_Eu152_P5,1024,8,11,2,2,2,111.8996,111.8996,54.0879,54.0879,52.5572,52.5572
G1S16_K40_Mar,1024,3,4,2,2,1,116.0450,157.6725,0.9251,13.0934,113.4163,94.5023
G1S16_K40_Mar_2,1024,3,5,2,2,1,189.1445,198.3595,0.0000,0.0000,150.1786,122.1500
G1S16_Mix_Denta100,1024,10,10,2,2,2,19.4627,19.4627,0.0000,0.0000,4.8080,4.8080
G1S16_Mix_Mar,1024,11,12,2,2,2,27.7576,27.7576,0.0000,0.0000,5.9293,5.9293
G1S16_Mix_Petri,1024,11,12,2,2,2,55.1087,55.1087,0.0000,0.0000,17.3888,17.3888
G1S16_Mn54_P25,1024,4,5,2,2,2,72.6435,72.6435,0.0000,0.0000,55.2709,55.2709
G1S16_Mn54_P5,1024,5,5,2,2,2,18.7517,18.7517,0.0000,0.0000,7.6585,7.6585
G1S16_Na22_P25,1024,3,3,2,2,2,2.2811,2.2811,0.2987,0.2987,1.0486,1.0486
G1S16_Na22_P5,1024,5,9,2,2,2,240.1783,240.1783,5.7406,5.7406,67.0501,67.0501
G1S16_Ra226_Mar,1024,12,12,2,2,2,24.7984,24.7984,2.9299,2.9299,4.6171,4.6171
G1S16_Ra226_Mar_2,1024,12,12,2,2,2,15.9751,15.9751,0.0000,0.0000,5.5478,5.5478
G1S16_Th228_P25,1024,7,9,2,2,2,136.5354,136.5354,0.0000,0.0000,52.4705,52.4705
G1S16_Th228_P5,1024,6,8,2,2,2,85.4060,85.4060,0.0000,0.0000,64.9316,64.9316
