key,channels,ch,e,count,sig
AS1Pro_Ra226,8192,141,47.8872,30943,350.733
AS1Pro_Ra226,8192,503,186.2110,22284,386.389
AS1Pro_Ra226,8192,644,242.1346,20012,518.779
AS1Pro_Ra226,8192,779,295.0377,27905,910.899
AS1Pro_Ra226,8192,925,351.7207,34871,1409.082
AS1Pro_Ra226,8192,1566,608.2504,14466,1094.293
AS1Pro_Ra226,8192,1970,775.9746,2584,158.936
AS1Pro_Ra226,8192,2367,935.1162,1691,81.723
AS1Pro_Ra226,8192,2815,1123.7353,2573,308.089
AS1Pro_Ra226,8192,3116,1246.5688,1412,86.122
AS1Pro_Ra226,8192,3470,1390.6382,1428,190.353
AS1Pro_Ra226,8192,4365,1758.9760,1397,485.668
AS80_Cs137_0cm,8192,550,198.1145,6468,61.550
AS80_Cs137_0cm,8192,972,348.6671,3341,5.132
AS80_Cs137_0cm,8192,1810,661.6570,23426,1531.335
AS80_Cs137_0cm,8192,2460,906.5067,143,7.099
AS80_Cs137_0cm,8192,3021,1120.2940,86,17.807
AS80_Cs137_0cm,8192,3894,1460.8200,156,106.971
AS80_Cs137_0cm,8192,4680,1764.4910,19,30.770
AS80_Cs137_0cm,8192,6953,2614.5110,15,42.040
AS80_K40,8192,672,239.2519,41025,74.734
AS80_K40,8192,982,348.6671,19377,95.361
AS80_K40,8192,1425,510.9612,9097,12.913
AS80_K40,8192,1669,598.8146,8607,193.661
AS80_K40,8192,2494,913.6510,4219,31.982
AS80_K40,8192,2649,963.5695,4092,24.474
AS80_K40,8192,3058,1120.2940,3841,103.544
AS80_K40,8192,3975,1460.8200,11388,1717.477
AS80_K40,8192,4766,1764.4910,563,234.802
AS80_K40,8192,5705,2204.1000,236,72.546
AS80_K40,8192,7067,2614.5110,268,213.598
AS80_Lu176,8192,260,88.3400,1634,22.173
AS80_Lu176,8192,568,201.8121,3738,308.697
AS80_Lu176,8192,853,306.6556,2879,399.167
AS80_Lu176,8192,1431,510.9612,266,100.090
AS80_Lu176,8192,3868,1460.8200,49,66.613
AS80_Lu176,8192,4655,1764.4910,5,21.995
AS80_Onyx,8192,684,239.0064,42395,63.063
AS80_Onyx,8192,994,347.2333,20269,118.022
AS80_Onyx,8192,1421,510.2144,8909,12.758
AS80_Onyx,8192,1685,598.7245,8807,234.192
AS80_Onyx,8192,2533,906.9511,3589,58.614
AS80_Onyx,8192,2666,963.4324,3157,7.942
AS80_Onyx,8192,3080,1122.0567,2711,107.643
AS80_Onyx,8192,3988,1459.0087,4445,743.214
AS80_Onyx,8192,5797,2204.1083,282,46.931
AS80_Onyx,8192,7137,2614.5110,372,240.959
AS80_Th232Medal,8192,673,238.3713,54055,1085.256
AS80_Th232Medal,8192,951,337.7977,16121,417.332
AS80_Th232Medal,8192,1273,462.2400,5587,43.324
AS80_Th232Medal,8192,1407,511.1524,5774,74.184
AS80_Th232Medal,8192,1605,584.2982,9928,622.782
AS80_Th232Medal,8192,1983,739.3053,3279,70.592
AS80_Th232Medal,8192,2463,904.4670,4691,214.820
AS80_Th232Medal,8192,2629,967.4683,3201,79.691
AS80_Th232Medal,8192,3001,1103.8172,1240,121.219
AS80_Th232Medal,8192,3896,1472.3221,1096,184.496
AS80_Th232Medal,8192,5653,2204.1000,432,80.113
AS80_Th232Medal,8192,6955,2614.5110,791,308.311
AS80_Th232WT20,8192,178,60.3406,60855,347.039
AS80_Th232WT20,8192,669,238.8582,68950,871.523
AS80_Th232WT20,8192,935,337.7977,34038,580.851
AS80_Th232WT20,8192,1268,462.2400,16007,77.336
AS80_Th232WT20,8192,1402,510.7364,16888,159.266
AS80_Th232WT20,8192,1591,584.4152,23348,827.185
AS80_Th232WT20,8192,1965,730.6708,8951,126.259
AS80_Th232WT20,8192,2136,785.5184,7664,43.722
AS80_Th232WT20,8192,2447,910.8873,15502,440.731
AS80_Th232WT20,8192,2614,967.4683,10294,174.113
AS80_Th232WT20,8192,2964,1103.8172,2170,126.518
AS80_Th232WT20,8192,3878,1470.0484,1916,104.636
AS80_Th232WT20,8192,6902,2614.5110,2410,612.997
ASN16_Am241,8192,182,59.5409,1126654,5361.432
ASN16_Am241,8192,669,239.2519,445,16.975
ASN16_Am241,8192,1982,727.3300,75,10.343
ASN16_Am241,8192,2949,1120.2940,53,7.085
ASN16_Am241,8192,3823,1460.8200,52,58.236
ASN16_Am241,8192,4156,1588.2000,15,8.512
ASN16_Am241,8192,4560,1764.4910,6,18.165
ASN16_Am241,8192,6679,2614.5110,5,5.503
ASN16_BrazilNuts,8192,135,47.8872,745,6.899
ASN16_BrazilNuts,8192,501,186.2110,832,6.239
ASN16_BrazilNuts,8192,640,242.1346,977,57.166
ASN16_BrazilNuts,8192,774,295.0377,588,17.447
ASN16_BrazilNuts,8192,909,351.7207,507,47.669
ASN16_BrazilNuts,8192,1319,507.3923,239,13.349
ASN16_BrazilNuts,8192,1543,608.2504,245,49.924
ASN16_BrazilNuts,8192,2793,1123.7353,72,18.586
ASN16_BrazilNuts,8192,3606,1459.5395,78,58.502
ASN16_BrazilNuts,8192,4305,1758.9760,26,16.064
ASN16_BrazilNuts,8192,6294,2614.5110,5,24.566
ASN16_Charoite_v2,8192,511,186.8335,10432,42.555
ASN16_Charoite_v2,8192,652,239.3357,6863,105.524
ASN16_Charoite_v2,8192,792,291.1072,4629,109.168
ASN16_Charoite_v2,8192,936,347.2328,4015,219.146
ASN16_Charoite_v2,8192,1348,509.8079,834,8.486
ASN16_Charoite_v2,8192,1588,598.7245,1342,189.534
ASN16_Charoite_v2,8192,2360,913.3733,340,12.120
ASN16_Charoite_v2,8192,2486,963.4324,292,6.919
ASN16_Charoite_v2,8192,2864,1122.0567,303,39.538
ASN16_Charoite_v2,8192,3696,1462.7260,241,100.143
ASN16_Charoite_v2,8192,4418,1759.2079,76,63.610
ASN16_Charoite_v2,8192,5485,2204.1083,22,6.460
ASN16_Charoite_v2,8192,6454,2614.5110,19,60.628
ASN16_Cs137,8192,529,186.2110,222438,916.946
ASN16_Cs137,8192,1718,661.6570,580382,7828.081
ASN16_Cs137,8192,2832,1120.2940,310,38.152
ASN16_Cs137,8192,3691,1460.8200,111,52.745
ASN16_Cs137,8192,4408,1764.4910,22,13.137
ASN16_Cs137,8192,6423,2614.5110,17,26.155
ASN16_Cs137_10cm,8192,538,186.2110,112,15.926
ASN16_Cs137_10cm,8192,1716,661.6570,62,80.275
ASN16_Cs137_10cm,8192,3675,1460.8200,1,6.629
ASN16_Lu176,8192,255,88.3400,3730,127.654
ASN16_Lu176,8192,554,201.8121,22509,995.531
ASN16_Lu176,8192,825,306.6556,14681,981.499
ASN16_Lu176,8192,1373,510.9612,971,263.428
ASN16_Lu176,8192,3703,1460.8200,6,16.381
ASN16_Lu176_P0,8192,252,88.3400,54,6.259
ASN16_Lu176_P0,8192,549,201.8121,201,81.757
ASN16_Lu176_P0,8192,817,306.6556,111,94.860
ASN16_Lu176_P0,8192,1357,510.9612,4,12.225
ASN16_Th232_Am241,8192,173,59.5488,139797,1278.171
ASN16_Th232_Am241,8192,670,238.7413,70996,1236.443
ASN16_Th232_Am241,8192,821,291.0894,9747,104.956
ASN16_Th232_Am241,8192,938,337.7977,12892,480.957
ASN16_Th232_Am241,8192,1255,462.2400,3595,60.547
ASN16_Th232_Am241,8192,1388,510.7364,3929,136.325
ASN16_Th232_Am241,8192,1580,584.2982,6814,459.884
