key,e,ch
AS1Pro_Ra226,47.8872,141.3679
AS1Pro_Ra226,187.3798,502.7219
AS1Pro_Ra226,242.6044,643.6774
AS1Pro_Ra226,295.0377,778.8156
AS1Pro_Ra226,351.7212,924.6262
AS1Pro_Ra226,507.3923,1217.7121
AS1Pro_Ra226,608.2504,1566.3233
AS1Pro_Ra226,775.9746,1969.5186
AS1Pro_Ra226,935.1162,2367.3563
AS1Pro_Ra226,1123.7353,2814.5078
AS1Pro_Ra226,1246.5688,3116.1213
AS1Pro_Ra226,1390.5999,3470.3182
AS1Pro_Ra226,1758.9760,4365.4499
AS1Pro_Ra226,2187.8249,5405.6426
AS80_Cs137_0cm,198.1145,549.5188
AS80_Cs137_0cm,239.2519,622.1868
AS80_Cs137_0cm,292.4343,898.1822
AS80_Cs137_0cm,348.6671,972.0382
AS80_Cs137_0cm,661.6570,1809.7703
AS80_Cs137_0cm,914.0820,2461.9960
AS80_Cs137_0cm,1120.2940,3020.5572
AS80_Cs137_0cm,1460.8200,3894.4208
AS80_Cs137_0cm,1764.4910,4679.8103
AS80_Cs137_0cm,2614.5110,6952.9733
AS80_K40,239.2519,672.3510
AS80_K40,292.4343,833.1524
AS80_K40,348.6671,981.7047
AS80_K40,510.9612,1424.7348
AS80_K40,598.8146,1668.6855
AS80_K40,914.0820,2498.6604
AS80_K40,963.5695,2649.2989
AS80_K40,1120.2940,3057.8178
AS80_K40,1238.1220,3180.8996
AS80_K40,1460.8200,3975.2116
AS80_K40,1764.4910,4765.5535
AS80_K40,2204.1000,5705.3147
AS80_K40,2614.5110,7067.3377
AS80_Lu176,88.3400,259.8607
AS80_Lu176,201.8121,568.2026
AS80_Lu176,306.6556,852.6446
AS80_Lu176,510.9612,1430.9529
AS80_Lu176,1460.8200,3867.9812
AS80_Lu176,1764.4910,4655.4751
AS80_Lu176,2614.5110,6962.4912
AS80_Onyx,197.7829,484.8796
AS80_Onyx,238.8865,683.8884
AS80_Onyx,294.7635,839.4742
AS80_Onyx,347.2333,993.5333
AS80_Onyx,510.2144,1420.8954
AS80_Onyx,598.3164,1685.2958
AS80_Onyx,1122.0567,3080.0991
AS80_Onyx,1456.4154,3989.2967
AS80_Onyx,1768.0274,4806.0434
AS80_Onyx,2187.8249,5786.3118
AS80_Onyx,2614.5110,7136.6703
AS80_Th232Medal,238.3713,672.6799
AS80_Th232Medal,337.7977,950.8656
AS80_Th232Medal,462.2400,1273.1021
AS80_Th232Medal,510.7364,1406.7193
AS80_Th232Medal,584.2982,1604.5291
AS80_Th232Medal,733.9501,1979.1062
AS80_Th232Medal,911.6266,2463.0480
AS80_Th232Medal,967.4683,2628.7181
AS80_Th232Medal,1103.8172,3000.6369
AS80_Th232Medal,1472.3221,3895.8549
AS80_Th232Medal,1768.8629,4770.8263
AS80_Th232Medal,2204.1000,5652.6238
AS80_Th232Medal,2614.5110,6954.9875
AS80_Th232WT20,60.3406,178.3453
AS80_Th232WT20,209.7787,521.0304
AS80_Th232WT20,238.7413,669.3255
AS80_Th232WT20,291.0894,726.8254
AS80_Th232WT20,337.7977,935.2638
AS80_Th232WT20,462.2400,1268.4477
AS80_Th232WT20,510.7364,1402.1612
AS80_Th232WT20,584.2982,1590.6955
AS80_Th232WT20,733.0083,1965.3217
AS80_Th232WT20,911.1443,2446.4663
AS80_Th232WT20,967.4683,2613.6443
AS80_Th232WT20,1103.8172,2964.0870
AS80_Th232WT20,1472.3221,3878.3505
AS80_Th232WT20,2614.5110,6902.1083
ASN16_Am241,59.5409,182.0746
ASN16_Am241,239.2519,669.1145
ASN16_Am241,510.9612,1343.6040
ASN16_Am241,727.3300,1981.5627
ASN16_Am241,913.6510,2325.0080
ASN16_Am241,1120.2940,2948.9948
ASN16_Am241,1460.8200,3823.2664
ASN16_Am241,1588.2000,4155.9745
ASN16_Am241,1764.4910,4559.6469
ASN16_Am241,2614.5110,6679.4309
ASN16_BrazilNuts,47.8872,134.6142
ASN16_BrazilNuts,186.2110,500.8580
ASN16_BrazilNuts,242.1346,639.6214
ASN16_BrazilNuts,295.0377,774.0123
ASN16_BrazilNuts,351.7212,909.3259
ASN16_BrazilNuts,507.3923,1319.0206
ASN16_BrazilNuts,608.2504,1542.7212
ASN16_BrazilNuts,1123.7353,2792.5657
ASN16_BrazilNuts,1455.5749,3607.2220
ASN16_BrazilNuts,1758.9760,4304.7348
ASN16_BrazilNuts,2614.5110,6294.2741
ASN16_Charoite_v2,46.5537,127.6935
ASN16_Charoite_v2,186.8335,510.7911
ASN16_Charoite_v2,239.0064,652.7435
ASN16_Charoite_v2,291.1072,792.2054
ASN16_Charoite_v2,347.2328,936.0007
ASN16_Charoite_v2,509.8079,1347.6947
ASN16_Charoite_v2,598.7245,1587.8851
ASN16_Charoite_v2,744.0849,1997.8578
ASN16_Charoite_v2,856.1329,2220.3670
ASN16_Charoite_v2,913.7887,2357.7732
ASN16_Charoite_v2,963.4324,2485.6702
ASN16_Charoite_v2,1122.0567,2864.3589
ASN16_Charoite_v2,1459.0087,3696.0099
ASN16_Charoite_v2,1759.2079,4417.9339
ASN16_Charoite_v2,2204.1083,5485.3038
ASN16_Charoite_v2,2614.5110,6454.0216
ASN16_Cs137,186.2110,528.5326
ASN16_Cs137,661.6570,1717.9013
ASN16_Cs137,1120.2940,2831.6184
ASN16_Cs137,1460.8200,3691.0941
ASN16_Cs137,1764.4910,4407.6953
ASN16_Cs137,2614.5110,6423.4260
ASN16_Cs137_10cm,198.1145,534.4643
ASN16_Cs137_10cm,510.9612,1430.2950
ASN16_Cs137_10cm,661.6570,1715.8201
ASN16_Cs137_10cm,1460.8200,3675.0667
ASN16_Lu176,88.3400,255.2084
ASN16_Lu176,201.8121,553.8529
ASN16_Lu176,306.6556,825.1141
ASN16_Lu176,348.6671,1019.1689
ASN16_Lu176,510.9612,1372.7430
ASN16_Lu176,913.6510,2261.6796
ASN16_Lu176,1460.8200,3702.9231
ASN16_Lu176_P0,88.3400,251.8646
ASN16_Lu176_P0,201.8121,548.9687
ASN16_Lu176_P0,306.6556,817.0795
ASN16_Lu176_P0,348.6671,1006.5322
ASN16_Lu176_P0,510.9612,1357.1658
ASN16_Th232_Am241,59.5488,172.6243
ASN16_Th232_Am241,238.8582,669.7397
ASN16_Th232_Am241,291.0894,820.6929
ASN16_Th232_Am241,337.7977,937.5017
ASN16_Th232_Am241,462.2400,1255.4303
ASN16_Th232_Am241,510.7364,1388.4011
ASN16_Th232_Am241,584.2982,1579.5123
ASN16_Th232_Am241,733.0083,1948.6875
ASN16_Th232_Am241,911.1443,2423.2437
ASN16_Th232_Am241,967.4683,2586.3470
ASN16_Th232_Am241,1103.8172,2942.7778
ASN16_Th232_Am241,1768.8629,4580.1904
ASN16_Th232_Am241,2204.1000,5873.6772
ASN16_Th232_Am241,2614.5110,6693.1765
ASN3_Tile,46.5537,34.9961
ASN3_Tile,187.2620,159.4622
ASN3_Tile,239.2519,203.7477
ASN3_Tile,294.0542,249.5505
ASN3_Tile,348.4712,294.4557
ASN3_Tile,509.8090,415.1845
ASN3_Tile,598.7245,501.3535
ASN3_Tile,913.1540,742.9799
ASN3_Tile,963.4324,798.6951
ASN3_Tile,1123.5209,906.4750
ASN3_Tile,1463.8268,1160.5493
ASN3_Tile,2204.1000,1679.3870
ASN8_Am241,59.4644,171.0037
ASN8_Am241,348.6671,1002.1311
ASN8_Am241,598.8146,1623.8543
ASN8_Am241,1460.8200,3799.8634
ASN8_Am241,2204.1000,5427.6602
ASN8_Th232_1024,238.3713,83.1602
ASN8_Th232_1024,337.7977,117.4696
ASN8_Th232_1024,462.2400,157.0854
ASN8_Th232_1024,510.7364,173.9594
ASN8_Th232_1024,584.2982,198.5126
ASN8_Th232_1024,733.9501,245.5520
ASN8_Th232_1024,911.6266,304.5661
ASN8_Th232_1024,967.4683,325.1574
ASN8_Th232_1024,1103.8172,370.5369
ASN8_Th232_1024,1768.8629,578.0620
ASN8_Th232_1024,2614.5110,838.8867
ASN8_Th232_2048,238.3713,166.7538
ASN8_Th232_2048,337.7977,235.6677
ASN8_Th232_2048,462.2400,314.6158
ASN8_Th232_2048,511.1524,348.1277
ASN8_Th232_2048,584.2982,397.6629
ASN8_Th232_2048,739.3053,490.9562
ASN8_Th232_2048,912.5915,609.4474
ASN8_Th232_2048,967.4683,650.6887
ASN8_Th232_2048,1103.8172,743.0769
ASN8_Th232_2048,1768.8629,1156.1155
ASN8_Th232_2048,2614.5110,1677.7033
ASN8_Th232_3000,238.3713,244.3276
ASN8_Th232_3000,337.7977,345.1423
ASN8_Th232_3000,462.2400,462.4886
ASN8_Th232_3000,511.1524,510.5880
ASN8_Th232_3000,584.2982,582.5780
ASN8_Th232_3000,739.3053,717.3082
ASN8_Th232_3000,912.5915,891.9745
ASN8_Th232_3000,967.4683,952.4827
ASN8_Th232_3000,1103.8172,1088.8439
ASN8_Th232_3000,1768.8629,1687.5987
ASN8_Th232_3000,2614.5110,2456.3086
ASN8_Th232_4096,238.3713,334.2426
ASN8_Th232_4096,337.7977,471.9514
ASN8_Th232_4096,462.2400,630.2956
ASN8_Th232_4096,511.1524,697.9121
ASN8_Th232_4096,584.2982,796.5841
ASN8_Th232_4096,739.3053,982.3060
ASN8_Th232_4096,912.5915,1220.9407
ASN8_Th232_4096,967.4683,1302.7553
ASN8_Th232_4096,1103.8172,1489.9211
ASN8_Th232_4096,1768.8629,2311.4133
ASN8_Th232_4096,2614.5110,3358.9756
ASN8_Th232_8192,238.3713,667.9810
ASN8_Th232_8192,337.7977,942.9526
ASN8_Th232_8192,462.2400,1259.3479
ASN8_Th232_8192,511.1524,1394.4981
ASN8_Th232_8192,584.2982,1591.4304
ASN8_Th232_8192,739.3053,1962.0325
ASN8_Th232_8192,912.5915,2438.7080
ASN8_Th232_8192,967.4683,2602.2605
ASN8_Th232_8192,1103.8172,2970.1886
ASN8_Th232_8192,1768.8629,4616.7819
ASN8_Th232_8192,2614.5110,6708.8038
ASN8_UGlass,53.6547,182.0070
ASN8_UGlass,186.1551,520.5330
ASN8_UGlass,1236.1460,3028.1569
ASN8_UGlass,1460.8481,3807.0933
ASN8_UGlass,1765.2344,4552.8381
ASN8_UGlass,2614.5110,6662.0818
G1S16_Am241_P25,59.4644,23.4745
G1S16_Am241_P25,292.4343,116.0421
G1S16_Am241_P25,906.5067,331.6025
G1S16_Am241_P25,1120.2940,406.8816
G1S16_Am241_P25,1460.8200,494.9207
G1S16_Am241_P5,59.5409,23.4296
G1S16_Ba133_P25,80.8949,31.3721
G1S16_Ba133_P25,276.2537,93.4607
G1S16_Ba133_P25,302.4648,108.3645
G1S16_Ba133_P25,355.7449,126.3189
G1S16_Ba133_P5,80.8949,31.3762
G1S16_Ba133_P5,278.3751,92.7707
G1S16_Ba133_P5,302.4648,108.3539
G1S16_Ba133_P5,355.7449,126.5178
G1S16_Ba133_P5,913.6510,309.8440
G1S16_Cd109_P25,88.0336,33.8617
G1S16_Cd109_P25,598.8146,209.9328
G1S16_Cd109_P25,963.5695,316.7589
G1S16_Cd109_P25,1460.8200,493.5491
G1S16_Cd109_P5,88.0336,33.9747
G1S16_Cd109_P5,913.6510,301.6533
G1S16_Cd109_P5,1120.2940,360.2589
G1S16_Cd109_P5,1460.8200,491.8346
G1S16_Ce139_P25,165.8575,60.8862
G1S16_Ce139_P25,1460.8200,492.4473
G1S16_Ce139_P25,1764.4910,596.5587
G1S16_Ce139_P25,2614.5110,883.5775
G1S16_Ce139_P5,165.9038,61.0148
G1S16_Ce139_P5,510.9612,179.2084
G1S16_Ce139_P5,1460.8200,492.6462
G1S16_Ce139_P5,1588.2000,558.9451
G1S16_Co57_P5,123.6594,45.9106
G1S16_Co57_P5,1120.2940,386.3294
G1S16_Co57_P5,1460.8200,484.9134
G1S16_Co60_P25,348.6671,126.0289
G1S16_Co60_P25,598.8146,222.4120
G1S16_Co60_P25,906.5067,311.2124
G1S16_Co60_P25,1172.8360,399.1671
G1S16_Co60_P25,1332.5819,451.7066
G1S16_Co60_P25,1764.4910,592.8597
G1S16_Co60_P25,2204.1000,717.2835
G1S16_Co60_P5,239.2519,82.5978
G1S16_Co60_P5,510.9612,178.2778
G1S16_Co60_P5,963.5695,312.6765
G1S16_Co60_P5,1172.8360,399.6128
G1S16_Co60_P5,1332.5819,452.3738
G1S16_Co60_P5,1588.2000,534.7004
G1S16_Co60_P5,2204.1000,761.0046
G1S16_Cs137_Mar,198.1145,70.4322
G1S16_Cs137_Mar,661.6570,229.0759
G1S16_Cs137_Mar,1460.8200,492.3912
G1S16_Cs137_Mar_2,186.2110,70.2463
G1S16_Cs137_Mar_2,661.6570,228.7869
G1S16_Cs137_Mar_2,963.5695,338.8376
G1S16_Cs137_P25,186.2110,69.8199
G1S16_Cs137_P25,661.6570,229.4665
G1S16_Cs137_P25,1460.8200,494.4466
G1S16_Cs137_P25,1764.4910,593.1841
G1S16_Cs137_P5,186.2110,72.2418
G1S16_Cs137_P5,661.6570,229.5801
G1S16_Cs137_P5,1120.2940,397.4446
G1S16_Cs137_P5,1460.8200,493.6180
G1S16_Cs137_P5,1588.2000,514.7803
G1S16_Eu152_P25,121.7817,45.7498
G1S16_Eu152_P25,186.2110,62.9499
G1S16_Eu152_P25,243.2443,87.9515
G1S16_Eu152_P25,345.3022,122.3257
G1S16_Eu152_P25,510.9612,170.7902
G1S16_Eu152_P25,778.9666,268.8076
G1S16_Eu152_P25,876.9542,295.8610
G1S16_Eu152_P25,965.6812,329.8658
G1S16_Eu152_P25,1100.7317,375.1341
G1S16_Eu152_P25,1414.3437,477.1815
G1S16_Eu152_P25,1764.4910,590.9019
G1S16_Eu152_P25,2614.5110,875.9391
G1S16_Eu152_P5,121.7817,45.8021
G1S16_Eu152_P5,243.2443,88.0738
G1S16_Eu152_P5,345.3022,122.4050
G1S16_Eu152_P5,510.9612,174.3982
G1S16_Eu152_P5,598.8146,197.6885
G1S16_Eu152_P5,778.9666,268.7272
G1S16_Eu152_P5,876.9542,297.6373
G1S16_Eu152_P5,965.6812,330.2789
G1S16_Eu152_P5,1100.7317,375.4327
G1S16_Eu152_P5,1414.3437,477.8159
G1S16_Eu152_P5,1588.2000,517.8283
G1S16_K40_Mar,239.1001,84.6318
G1S16_K40_Mar,930.0898,332.0603
G1S16_K40_Mar,1238.1220,393.7201
G1S16_K40_Mar,1459.6246,493.5607
G1S16_K40_Mar_2,239.1001,85.0292
G1S16_K40_Mar_2,534.9816,177.4779
G1S16_K40_Mar_2,1238.1220,399.6382
G1S16_K40_Mar_2,1120.2940,412.7511
G1S16_K40_Mar_2,1459.6246,492.6896
G1S16_Mix_Denta100,73.1888,30.2374
G1S16_Mix_Denta100,121.7817,45.4527
G1S16_Mix_Denta100,243.6904,87.7407
G1S16_Mix_Denta100,345.3022,121.9618
G1S16_Mix_Denta100,510.9612,178.7323
G1S16_Mix_Denta100,661.9260,229.3449
G1S16_Mix_Denta100,778.9666,269.1717
G1S16_Mix_Denta100,965.6812,328.8587
G1S16_Mix_Denta100,1152.1586,393.2365
G1S16_Mix_Denta100,1414.3437,476.7825
G1S16_Mix_Mar,73.1888,30.2349
G1S16_Mix_Mar,121.7817,45.1222
G1S16_Mix_Mar,186.2110,66.2870
G1S16_Mix_Mar,243.2443,87.1869
G1S16_Mix_Mar,345.3022,121.5744
G1S16_Mix_Mar,510.9612,178.0762
G1S16_Mix_Mar,661.9260,228.5271
G1S16_Mix_Mar,778.9666,267.2016
G1S16_Mix_Mar,876.9542,297.8188
G1S16_Mix_Mar,965.6812,328.9917
G1S16_Mix_Mar,1151.4062,392.3435
G1S16_Mix_Mar,1414.3437,475.5265
G1S16_Mix_Petri,73.1888,30.4101
G1S16_Mix_Petri,121.7817,45.4942
G1S16_Mix_Petri,186.2110,62.2292
G1S16_Mix_Petri,243.2443,87.6936
G1S16_Mix_Petri,345.3022,121.8365
G1S16_Mix_Petri,510.9612,178.6684
G1S16_Mix_Petri,661.9260,229.1401
G1S16_Mix_Petri,778.9666,268.2564
G1S16_Mix_Petri,876.9542,296.1499
G1S16_Mix_Petri,965.6812,328.4478
G1S16_Mix_Petri,1151.4062,393.1528
G1S16_Mix_Petri,1414.3437,476.5721
G1S16_Mn54_P25,598.8146,209.8649
G1S16_Mn54_P25,834.9056,287.0192
G1S16_Mn54_P25,1238.1220,438.0138
G1S16_Mn54_P25,1460.8200,492.0316
G1S16_Mn54_P25,1764.4910,595.6153
G1S16_Mn54_P5,198.1145,77.0922
G1S16_Mn54_P5,345.4786,127.2213
G1S16_Mn54_P5,598.8146,207.7603
G1S16_Mn54_P5,835.6282,286.8640
G1S16_Mn54_P5,1455.6413,484.1830
G1S16_Na22_P25,510.9612,178.9006
G1S16_Na22_P25,1274.4311,432.6894
G1S16_Na22_P25,1460.8200,494.6512
G1S16_Na22_P5,198.1145,66.4357
G1S16_Na22_P5,237.2690,94.2404
G1S16_Na22_P5,292.4343,114.1503
G1S16_Na22_P5,510.9612,178.8826
G1S16_Na22_P5,744.6861,275.6045
G1S16_Na22_P5,930.0898,337.4185
G1S16_Na22_P5,1274.4311,432.8742
G1S16_Na22_P5,1460.8200,499.8268
G1S16_Na22_P5,1764.4910,613.3238
G1S16_Ra226_Mar,186.2110,67.6777
G1S16_Ra226_Mar,242.1346,86.6409
G1S16_Ra226_Mar,295.0377,104.9286
G1S16_Ra226_Mar,351.7212,124.4580
G1S16_Ra226_Mar,608.2504,211.5588
G1S16_Ra226_Mar,775.9746,266.0169
G1S16_Ra226_Mar,935.1162,320.7072
G1S16_Ra226_Mar,1123.7353,381.3948
G1S16_Ra226_Mar,1246.5688,423.2759
G1S16_Ra226_Mar,1390.5999,469.8937
G1S16_Ra226_Mar,1758.9760,593.4468
G1S16_Ra226_Mar,2204.1083,741.8965
G1S16_Ra226_Mar_2,186.2110,67.4782
G1S16_Ra226_Mar_2,242.1346,86.5465
G1S16_Ra226_Mar_2,295.0377,104.7109
G1S16_Ra226_Mar_2,351.7212,124.2621
G1S16_Ra226_Mar_2,608.2504,211.2177
G1S16_Ra226_Mar_2,775.9746,265.1724
G1S16_Ra226_Mar_2,935.1162,318.2511
G1S16_Ra226_Mar_2,1123.7353,380.9633
G1S16_Ra226_Mar_2,1246.5688,421.5454
G1S16_Ra226_Mar_2,1390.5999,470.3169
G1S16_Ra226_Mar_2,1758.9760,592.3101
G1S16_Ra226_Mar_2,2204.1083,739.5916
G1S16_Th228_P25,238.8582,86.1630
G1S16_Th228_P25,347.6245,123.1319
G1S16_Th228_P25,510.8154,178.7030
G1S16_Th228_P25,584.8740,203.7401
G1S16_Th228_P25,913.0929,297.5313
G1S16_Th228_P25,1465.3930,489.9241
G1S16_Th228_P25,1768.8629,598.1598
