spectrum,peak_kev,peak_counts,snr,fwhm_ch,fwhm_kev,nuclide,line_kev,intensity_pct,miss_kev,miss_fwhm,tol_pct,range_min_kev,range_max_kev,candidates,label_text,label_token
AS1Pro_Ra226,45.849,367.0,290.907,25.163,9.828,Pb-210,46.539,4.25,0.690,0.0702,10,29.842,2799.850,Pb-210,Pb-210,Pb-210
AS1Pro_Ra226,78.295,804.0,796.905,37.606,14.713,Pb x-ray,74.969,100,3.326,0.2260,10,29.842,2799.850,Pb x-ray|Am-243,Pb x-ray / Am-243,Pb
AS1Pro_Ra226,150.416,7.0,33.771,44.273,17.386,U-235,145.000,10.96,5.416,0.3115,10,29.842,2799.850,U-235,U-235,U-235
AS1Pro_Ra226,186.578,56.0,312.148,52.209,20.540,Ra-226,186.211,3.64,0.367,0.0178,10,29.842,2799.850,Ra-226|U-235,Ra-226 / U-235,Ra-226
AS1Pro_Ra226,241.734,43.0,361.882,58.230,22.973,Pb-214,241.000,7.2615,0.734,0.0319,10,29.842,2799.850,Pb-214|Eu-152,Pb-214 / Eu-152,Pb-214
AS1Pro_Ra226,297.045,57.0,561.919,64.564,25.544,Pb-214,295.000,18.4672,2.045,0.0801,10,29.842,2799.850,Pb-214,Pb-214,Pb-214
AS1Pro_Ra226,354.495,70.0,796.776,82.434,32.708,Pb-214,353.000,35.7166,1.495,0.0457,10,29.842,2799.850,Pb-214|Ba-133,Pb-214 / Ba-133,Pb-214
AS1Pro_Ra226,474.284,0.0,19.249,84.529,33.741,Ac-228,463.000,4.4,11.284,0.3344,10,29.842,2799.850,Ac-228,Ac-228,Ac-228
AS1Pro_Ra226,611.259,16.0,612.680,122.342,49.165,Bi-214,609.000,45.44,2.259,0.0459,10,29.842,2799.850,Bi-214|Ag-108m,Bi-214 / Ag-108m,Bi-214
AS1Pro_Ra226,773.852,1.0,94.964,138.033,55.910,Bi-214,768.360,4.89,5.492,0.0982,10,29.842,2799.850,Bi-214|Eu-152|Pa-234m,Bi-214 / Eu-152 / Pa-234m,Bi-214
AS1Pro_Ra226,935.279,0.0,53.233,134.488,54.896,Ac-228,911.000,25.8,24.279,0.4423,10,29.842,2799.850,Ac-228,Ac-228,Ac-228
AS1Pro_Ra226,1115.235,1.0,196.820,171.790,70.718,Eu-152,1111.000,13.67,4.235,0.0599,10,29.842,2799.850,Eu-152|Bi-214,Eu-152 / Bi-214,Eu-152
AS1Pro_Ra226,1246.956,0.0,47.706,110.571,45.796,Bi-214,1238.000,5.83,8.956,0.1956,10,29.842,2799.850,Bi-214,Bi-214,Bi-214
AS1Pro_Ra226,1395.321,0.0,101.359,194.736,81.205,Bi-214,1377.000,3.985,18.321,0.2256,10,29.842,2799.850,Bi-214,Bi-214,Bi-214
AS1Pro_Ra226,1763.223,0.0,216.378,253.475,107.453,Bi-214,1764.000,15.29,0.777,0.0072,10,29.842,2799.850,Bi-214,Bi-214,Bi-214
AS1Pro_Ra226,2217.449,0.0,88.229,315.299,136.305,Bi-214,2204.000,4.92,13.449,0.0987,10,29.842,2799.850,Bi-214,Bi-214,Bi-214
AS1Pro_Ra226,2495.744,0.0,43.962,274.537,120.073,Bi-214,2447.000,1.545,48.744,0.4060,10,29.842,2799.850,Bi-214,Bi-214,Bi-214
AS80_Charoite,81.826,3.0,22.218,32.373,12.156,Pb x-ray,84.936,23,3.110,0.2559,10,30.023,2800.136,Pb x-ray,Pb x-ray,Pb
AS80_Charoite,254.727,1.0,39.360,63.665,23.954,,,,,,10,30.023,2800.136,,,
AS80_Charoite,364.662,0.0,14.859,80.119,30.183,I-131,364.000,81.5,0.662,0.0219,10,30.023,2800.136,I-131,I-131,I-131
AS80_Charoite,621.975,0.0,21.598,125.955,47.592,Ag-108m,614.000,89.8,7.975,0.1676,10,30.023,2800.136,Ag-108m,Ag-108m,Ag-108m
AS80_Charoite,958.535,0.0,13.586,161.876,61.402,Ac-228,964.000,4.99,5.465,0.0890,10,30.023,2800.136,Ac-228,Ac-228,Ac-228
AS80_Charoite,1515.997,0.0,24.716,219.770,83.892,K-40,1460.000,10.66,55.997,0.6675,10,30.023,2800.136,K-40,K-40,K-40
AS80_Charoite,2751.746,0.0,19.848,331.091,128.137,,,,,,10,30.023,2800.136,,,
AS80_Cs137_0cm,33.277,435.0,75.137,18.955,7.182,,,,,,10,29.866,2799.973,,,
AS80_Cs137_0cm,203.654,4.0,29.820,65.976,24.084,Lu-176,202.000,77.9688,1.654,0.0687,10,29.866,2799.973,Lu-176,Lu-176,Lu-176
AS80_Cs137_0cm,446.914,1.0,56.483,113.146,40.661,,,,,,10,29.866,2799.973,,,
AS80_Cs137_0cm,655.435,22.0,1026.732,138.595,50.545,Cs-137,662.000,85.1,6.565,0.1299,10,29.866,2799.973,Cs-137,Cs-137,Cs-137
AS80_Cs137_0cm,1104.800,0.0,16.460,189.927,74.127,Eu-152,1111.000,13.67,6.200,0.0836,10,29.866,2799.973,Eu-152,Eu-152,Eu-152
AS80_Cs137_0cm,1456.909,0.0,77.884,246.035,100.263,K-40,1460.000,10.66,3.091,0.0308,10,29.866,2799.973,K-40,K-40,K-40
AS80_Cs137_0cm,1793.108,0.0,22.341,268.260,110.087,,,,,,10,29.866,2799.973,,,
AS80_Cs137_0cm,2618.201,0.0,34.588,386.216,104.200,Tl-208,2614.000,35.8516,4.201,0.0403,10,29.866,2799.973,Tl-208,Tl-208,Tl-208
AS80_K40,84.350,151.0,44.535,34.882,12.638,Pb x-ray,84.936,23,0.586,0.0463,10,30.058,2776.285,Pb x-ray,Pb x-ray,Pb
