spectrum,peak_kev,fwhm_kev,label,line_kev,intensity_pct,rivals_app,factor_app,rivals_real,factor_real,rivals_xray,rivals_low,cursor_text,table_text,cursor_agrees
AS80_Cs137_0cm,203.654,24.084,Lu-176,202.000,77.9688,2,20.043,2,20.043,0,0,Lu-176,Lu-176,1
AS80_Cs137_0cm,655.435,50.545,Cs-137,662.000,85.1,1,11.893,1,11.893,0,0,Cs-137,Cs-137,1
AS80_Cs137_0cm,1104.800,74.127,Eu-152,1111.000,13.67,1,1.090,1,1.090,0,0,Eu-152,Eu-152,1
AS80_Cs137_0cm,1456.909,100.263,K-40,1460.000,10.66,0,1.000,0,1.000,0,0,K-40,K-40,1
AS80_Cs137_0cm,2618.201,104.200,Tl-208,2614.000,35.8516,0,1.000,0,1.000,0,0,Tl-208,Tl-208,1
AS80_Lu176,200.486,21.083,Lu-176,202.000,77.9688,2,20.043,2,20.043,0,0,Lu-176,Lu-176,1
AS80_Lu176,304.486,29.133,Lu-176,307.000,93.6,2,58.500,2,58.500,0,0,Lu-176,Lu-176,1
AS80_Lu176,598.126,37.352,Bi-214,609.000,45.44,2,1.976,2,1.976,0,0,Bi-214,Bi-214,1
AS80_Lu176,1454.857,82.996,K-40,1460.000,10.66,0,1.000,0,1.000,0,0,K-40,K-40,1
AS80_Lu176,1772.757,91.046,Bi-214,1764.000,15.29,0,1.000,0,1.000,0,0,Bi-214,Bi-214,1
AS80_Lu176,2686.554,129.733,Tl-208,2614.000,35.8516,0,1.000,0,1.000,0,0,Tl-208,Tl-208,1
ASN16_Lu176,123.081,12.466,Eu-152,125.000,28.53,1,11.789,1,11.789,0,0,Eu-152,Eu-152,1
ASN16_Lu176,201.412,22.106,Lu-176,202.000,77.9688,2,20.043,2,20.043,0,0,Lu-176,Lu-176,1
ASN16_Lu176,304.315,28.323,Lu-176,307.000,93.6,2,58.500,2,58.500,0,0,Lu-176,Lu-176,1
ASN16_Lu176,1461.409,68.792,K-40,1460.000,10.66,0,1.000,0,1.000,0,0,K-40,K-40,1
ASN16_Lu176_P0,202.236,21.591,Lu-176,202.000,77.9688,2,20.043,2,20.043,0,0,Lu-176,Lu-176,1
ASN16_Lu176_P0,306.202,27.588,Lu-176,307.000,93.6,2,58.500,2,58.500,0,0,Lu-176,Lu-176,1
G1S16_Am241_P25,60.691,10.540,Am-241,59.541,35.9,0,1.000,0,1.000,2,0,Am-241 / W x-ray,Am-241 / W x-ray,1
G1S16_Ba133_P25,48.227,8.216,Pb-210,46.539,4.25,0,1.000,0,1.000,0,0,Pb-210,Pb-210,1
G1S16_Ba133_P25,354.589,30.847,Pb-214,353.000,35.7166,3,2.282,3,2.282,0,0,Pb-214 / Ba-133,Pb-214 / Ba-133,1
G1S16_Ba133_P25,1466.779,79.079,K-40,1460.000,10.66,0,1.000,0,1.000,0,0,K-40,K-40,1
G1S16_Ba133_P5,47.498,8.085,Pb-210,46.539,4.25,0,1.000,0,1.000,0,0,Pb-210,Pb-210,1
G1S16_Ba133_P5,358.302,31.606,Ba-133,358.000,62.05,3,2.334,3,2.334,0,0,Ba-133,Ba-133,1
G1S16_Cd109_P25,1472.472,77.994,K-40,1460.000,10.66,0,1.000,0,1.000,0,0,K-40,K-40,1
G1S16_Ce139_P25,1452.611,77.196,K-40,1460.000,10.66,0,1.000,0,1.000,0,0,K-40,K-40,1
G1S16_Ce139_P5,105.730,15.659,Np-239,106.000,25.34,0,1.000,0,1.000,0,1,Np-239,Np-239,1
G1S16_Ce139_P5,205.235,10.772,U-237,208.005,21.2,1,3.678,1,3.678,0,0,U-237 / Lu-176,U-237 / Lu-176,1
G1S16_Co60_P25,1170.069,66.742,Co-60,1173.000,99.85,0,1.000,0,1.000,0,0,Co-60,Co-60,1
G1S16_Co60_P25,1329.878,73.113,Co-60,1332.000,99.9826,0,1.000,0,1.000,0,0,Co-60,Co-60,1
G1S16_Co60_P5,229.424,39.873,Np-239,228.000,10.73,4,4.063,4,4.063,0,0,Np-239,Np-239,1
G1S16_Co60_P5,916.155,59.963,Ac-228,911.000,25.8,0,1.000,0,1.000,0,0,Ac-228,Ac-228,1
G1S16_Co60_P5,1173.432,65.934,Co-60,1173.000,99.85,0,1.000,0,1.000,0,0,Co-60,Co-60,1
G1S16_Co60_P5,1334.406,73.303,Co-60,1332.000,99.9826,0,1.000,0,1.000,0,0,Co-60,Co-60,1
G1S16_Cs137_Mar,663.134,47.791,Cs-137,662.000,85.1,0,1.000,0,1.000,0,0,Cs-137,Cs-137,1
G1S16_Cs137_Mar_2,189.499,25.406,Ra-226,186.211,3.64,2,21.420,2,21.420,0,0,Ra-226 / U-235,Ra-226 / U-235,1
G1S16_Cs137_Mar_2,667.217,47.342,Cs-137,662.000,85.1,0,1.000,0,1.000,0,0,Cs-137,Cs-137,1
G1S16_Cs137_P25,440.141,37.758,Ag-108m,433.000,90.5,0,1.000,0,1.000,0,0,Ag-108m,Ag-108m,1
G1S16_Cs137_P25,656.937,47.674,Cs-137,662.000,85.1,1,11.893,1,11.893,0,0,Cs-137,Cs-137,1
G1S16_Cs137_P25,1458.695,78.993,K-40,1460.000,10.66,0,1.000,0,1.000,0,0,K-40,K-40,1
G1S16_Cs137_P5,186.535,29.792,Ra-226,186.211,3.64,1,15.659,1,15.659,0,0,Ra-226 / U-235,Ra-226 / U-235,1
G1S16_Cs137_P5,440.311,40.598,Ag-108m,433.000,90.5,0,1.000,0,1.000,0,0,Ag-108m,Ag-108m,1
G1S16_Cs137_P5,661.291,47.435,Cs-137,662.000,85.1,0,1.000,0,1.000,0,0,Cs-137,Cs-137,1
G1S16_Eu152_P25,120.326,14.850,Eu-152,125.000,28.53,0,1.000,0,1.000,0,0,Eu-152,Eu-152,1
G1S16_Eu152_P25,242.602,23.242,Eu-152,244.000,7.55,2,5.775,2,5.775,0,0,Eu-152 / Pb-214,Eu-152 / Pb-214,1
G1S16_Eu152_P25,342.507,30.975,Eu-152,345.000,26.59,3,9.014,3,9.014,0,0,Eu-152 / Ac-228,Eu-152 / Ac-228,1
G1S16_Eu152_P25,782.106,47.472,Eu-152,780.000,12.93,3,6.609,3,6.609,0,1,Eu-152,Eu-152,1
G1S16_Eu152_P25,967.240,54.620,Ac-228,968.000,15.8,1,3.166,1,3.166,0,0,Ac-228,Ac-228,1
G1S16_Eu152_P25,1104.468,69.153,Eu-152,1111.000,13.67,1,1.090,1,1.090,0,0,Eu-152,Eu-152,1
G1S16_Eu152_P25,1422.746,77.030,K-40,1460.000,10.66,0,1.000,0,1.000,0,0,K-40,K-40,1
G1S16_Eu152_P5,120.292,15.202,Eu-152,125.000,28.53,0,1.000,0,1.000,0,1,Eu-152,Eu-152,1
G1S16_Eu152_P5,243.437,23.604,Eu-152,244.000,7.55,2,5.775,2,5.775,0,0,Eu-152 / Pb-214,Eu-152 / Pb-214,1
G1S16_Eu152_P5,346.903,31.222,Eu-152,345.000,26.59,3,2.359,3,2.359,0,0,Eu-152,Eu-152,1
G1S16_Eu152_P5,685.359,34.694,Cs-137,662.000,85.1,0,1.000,0,1.000,0,0,Cs-137,Cs-137,1
G1S16_Eu152_P5,785.244,48.786,Eu-152,780.000,12.93,3,6.609,3,6.609,0,1,Eu-152 / Ac-228,Eu-152 / Ac-228,1
G1S16_Eu152_P5,876.372,24.193,Ac-228,911.000,25.8,0,1.000,0,1.000,0,0,Ac-228,Ac-228,1
G1S16_Eu152_P5,970.815,55.128,Ac-228,968.000,15.8,1,3.166,1,3.166,0,0,Ac-228,Ac-228,1
G1S16_Eu152_P5,1111.377,68.160,Eu-152,1111.000,13.67,1,1.090,1,1.090,0,0,Eu-152,Eu-152,1
G1S16_Eu152_P5,1421.079,75.729,K-40,1460.000,10.66,0,1.000,0,1.000,0,0,K-40 / Bi-214,K-40 / Bi-214,1
G1S16_K40_Mar,1452.043,75.595,K-40,1460.000,10.66,0,1.000,0,1.000,0,0,K-40,K-40,1
G1S16_K40_Mar_2,1490.336,78.135,K-40,1460.000,10.66,0,1.000,0,1.000,0,0,K-40,K-40,1
G1S16_Mix_Denta100,120.633,14.847,Eu-152,125.000,28.53,0,1.000,0,1.000,0,0,Eu-152,Eu-152,1
G1S16_Mix_Denta100,241.666,22.286,Pb-214,241.000,7.2615,2,6.004,2,6.004,0,0,Pb-214 / Eu-152,Pb-214 / Eu-152,1
G1S16_Mix_Denta100,345.210,29.806,Eu-152,345.000,26.59,3,2.359,3,2.359,0,0,Eu-152,Eu-152,1
G1S16_Mix_Denta100,660.053,46.059,Cs-137,662.000,85.1,0,1.000,0,1.000,0,0,Cs-137,Cs-137,1
G1S16_Mix_Denta100,779.351,46.632,Eu-152,780.000,12.93,3,6.609,3,6.609,0,1,Eu-152,Eu-152,1
G1S16_Mix_Denta100,964.794,49.845,Ac-228,964.000,4.99,1,3.166,1,3.166,0,0,Ac-228,Ac-228,1
G1S16_Mix_Denta100,1694.787,78.849,Bi-214,1764.000,15.29,0,1.000,0,1.000,0,0,Bi-214,Bi-214,1
G1S16_Mix_Mar,146.974,10.401,U-235,145.000,10.96,0,1.000,0,1.000,0,1,U-235,U-235,1
G1S16_Mix_Mar,185.617,23.398,U-235,185.715,57,1,15.659,1,15.659,0,0,U-235 / Ra-226,U-235 / Ra-226,1
G1S16_Mix_Mar,242.134,22.535,Pb-214,241.000,7.2615,2,6.004,2,6.004,0,0,Pb-214 / Eu-152,Pb-214 / Eu-152,1
G1S16_Mix_Mar,343.377,29.265,Eu-152,345.000,26.59,3,2.359,3,2.359,0,0,Eu-152,Eu-152,1
G1S16_Mix_Mar,665.910,46.267,Cs-137,662.000,85.1,0,1.000,0,1.000,0,0,Cs-137,Cs-137,1
G1S16_Mix_Mar,779.731,45.218,Eu-152,780.000,12.93,3,6.609,3,6.609,0,1,Eu-152,Eu-152,1
G1S16_Mix_Mar,965.817,50.354,Ac-228,964.000,4.99,1,3.166,1,3.166,0,0,Ac-228,Ac-228,1
G1S16_Mix_Petri,120.479,14.782,Eu-152,125.000,28.53,0,1.000,0,1.000,0,0,Eu-152,Eu-152,1
G1S16_Mix_Petri,244.503,22.487,Eu-152,244.000,7.55,2,5.775,2,5.775,0,0,Eu-152,Eu-152,1
G1S16_Mix_Petri,339.170,29.678,Ac-228,338.000,11.27,3,3.820,3,3.820,0,0,Ac-228,Ac-228,1
G1S16_Mix_Petri,662.743,46.076,Cs-137,662.000,85.1,0,1.000,0,1.000,0,0,Cs-137,Cs-137,1
G1S16_Mix_Petri,778.937,45.181,Eu-152,780.000,12.93,3,6.609,3,6.609,0,1,Eu-152,Eu-152,1
G1S16_Mix_Petri,1704.329,81.444,Bi-214,1764.000,15.29,0,1.000,0,1.000,0,0,Bi-214,Bi-214,1
G1S16_Mn54_P25,836.424,55.205,Ac-228,835.000,1.61,0,1.000,0,1.000,0,0,Ac-228,Ac-228,1
G1S16_Mn54_P25,1456.964,77.060,K-40,1460.000,10.66,0,1.000,0,1.000,0,0,K-40,K-40,1
G1S16_Mn54_P5,187.853,30.782,Ra-226,186.211,3.64,2,21.420,2,21.420,0,0,Ra-226 / U-235,Ra-226 / U-235,1
G1S16_Mn54_P5,584.557,51.709,Tl-208,583.000,30.549,1,1.487,1,1.487,0,0,Tl-208,Tl-208,1
G1S16_Mn54_P5,837.726,55.687,Ac-228,835.000,1.61,0,1.000,0,1.000,0,0,Ac-228,Ac-228,1
G1S16_Na22_P25,186.613,28.716,Ra-226,186.211,3.64,1,15.659,1,15.659,0,0,Ra-226 / U-235,Ra-226 / U-235,1
G1S16_Na22_P25,1460.400,62.650,K-40,1460.000,10.66,0,1.000,0,1.000,0,0,K-40,K-40,1
G1S16_Na22_P5,43.015,13.177,Pb-210,46.539,4.25,0,1.000,0,1.000,0,0,Pb-210,Pb-210,1
G1S16_Na22_P5,1254.473,70.924,Bi-214,1238.000,5.83,0,1.000,0,1.000,0,0,Bi-214,Bi-214,1
G1S16_Na22_P5,1460.773,81.738,K-40,1460.000,10.66,0,1.000,0,1.000,0,0,K-40,K-40,1
G1S16_Na22_P5,1793.338,85.472,Bi-214,1764.000,15.29,0,1.000,0,1.000,0,0,Bi-214,Bi-214,1
G1S16_Ra226_Mar,182.573,17.921,U-235,185.715,57,1,15.659,1,15.659,0,0,U-235 / Ra-226,U-235 / Ra-226,1
G1S16_Ra226_Mar,241.818,21.921,Pb-214,241.000,7.2615,2,6.004,2,6.004,0,0,Pb-214 / Eu-152,Pb-214 / Eu-152,1
G1S16_Ra226_Mar,295.181,25.229,Pb-214,295.000,18.4672,2,5.068,2,5.068,0,0,Pb-214,Pb-214,1
G1S16_Ra226_Mar,354.518,30.712,Pb-214,353.000,35.7166,3,2.282,3,2.282,0,0,Pb-214 / Ba-133,Pb-214 / Ba-133,1
G1S16_Ra226_Mar,613.202,43.626,Ag-108m,614.000,89.8,1,1.976,1,1.976,0,0,Ag-108m / Bi-214,Ag-108m / Bi-214,1
G1S16_Ra226_Mar,774.225,48.790,Eu-152,780.000,12.93,3,6.609,3,6.609,0,1,Eu-152 / Bi-214 / Pa-234m,Eu-152 / Bi-214 / Pa-234m,1
G1S16_Ra226_Mar,1118.325,62.767,Bi-214,1120.000,14.9,1,1.090,1,1.090,0,0,Bi-214 / Eu-152,Bi-214 / Eu-152,1
G1S16_Ra226_Mar,1247.400,55.391,Bi-214,1238.000,5.83,0,1.000,0,1.000,0,0,Bi-214,Bi-214,1
G1S16_Ra226_Mar,1385.728,68.587,Bi-214,1377.000,3.985,0,1.000,0,1.000,0,0,Bi-214,Bi-214,1
G1S16_Ra226_Mar,1756.868,87.190,Bi-214,1764.000,15.29,0,1.000,0,1.000,0,0,Bi-214,Bi-214,1
G1S16_Ra226_Mar,2202.831,99.705,Bi-214,2204.000,4.92,0,1.000,0,1.000,0,0,Bi-214,Bi-214,1
G1S16_Ra226_Mar_2,240.576,21.703,Pb-214,241.000,7.2615,2,6.004,2,6.004,0,0,Pb-214 / Pb-212,Pb-214 / Pb-212,1
G1S16_Ra226_Mar_2,294.657,24.777,Pb-214,295.000,18.4672,2,5.068,2,5.068,0,0,Pb-214,Pb-214,1
G1S16_Ra226_Mar_2,351.743,30.270,Pb-214,353.000,35.7166,4,3.169,4,3.169,0,0,Pb-214,Pb-214,1
G1S16_Ra226_Mar_2,613.136,44.053,Ag-108m,614.000,89.8,1,1.976,1,1.976,0,0,Ag-108m / Bi-214,Ag-108m / Bi-214,1
G1S16_Ra226_Mar_2,778.384,50.281,Eu-152,780.000,12.93,3,6.609,3,6.609,0,1,Eu-152,Eu-152,1
G1S16_Ra226_Mar_2,937.623,53.758,Ac-228,964.000,4.99,1,5.170,1,5.170,0,0,Ac-228,Ac-228,1
G1S16_Ra226_Mar_2,1120.898,62.017,Bi-214,1120.000,14.9,1,1.090,1,1.090,0,0,Bi-214,Bi-214,1
G1S16_Ra226_Mar_2,1247.088,53.941,Bi-214,1238.000,5.83,0,1.000,0,1.000,0,0,Bi-214,Bi-214,1
G1S16_Ra226_Mar_2,1388.300,67.820,Bi-214,1377.000,3.985,0,1.000,0,1.000,0,0,Bi-214,Bi-214,1
G1S16_Ra226_Mar_2,1751.846,85.111,Bi-214,1764.000,15.29,0,1.000,0,1.000,0,0,Bi-214,Bi-214,1
G1S16_Ra226_Mar_2,2205.528,97.274,Bi-214,2204.000,4.92,0,1.000,0,1.000,0,0,Bi-214,Bi-214,1
G1S16_Ra226_Mar_2,2454.902,103.740,Bi-214,2447.000,1.545,0,1.000,0,1.000,0,0,Bi-214,Bi-214,1
G1S16_Th228_P25,238.254,23.088,Pb-212,238.000,43.6,3,6.004,3,6.004,0,0,Pb-212,Pb-212,1
G1S16_Th228_P25,585.661,42.476,Tl-208,583.000,30.549,0,1.000,0,1.000,0,0,Tl-208,Tl-208,1
G1S16_Th228_P25,1462.362,74.193,K-40,1460.000,10.66,0,1.000,0,1.000,0,0,K-40,K-40,1
G1S16_Th228_P25,2622.846,105.346,Tl-208,2614.000,35.8516,0,1.000,0,1.000,0,0,Tl-208,Tl-208,1
G1S16_Th228_P5,128.163,19.254,Ac-228,129.065,2.42,1,11.789,1,11.789,0,0,Ac-228,Ac-228,1
G1S16_Th228_P5,237.706,23.969,Pb-212,238.000,43.6,3,6.004,3,6.004,0,0,Pb-212,Pb-212,1
G1S16_Th228_P5,299.934,25.638,Pb-214,295.000,18.4672,1,5.068,1,5.068,0,0,Pb-214 / Lu-176,Pb-214 / Lu-176,1
G1S16_Th228_P5,587.888,41.776,Tl-208,583.000,30.549,0,1.000,0,1.000,0,0,Tl-208,Tl-208,1
G1S16_Th228_P5,730.695,47.999,Bi-212,727.330,6.67,1,3.771,1,3.771,0,1,Bi-212 / Ac-228,Bi-212 / Ac-228,1
G1S16_Th228_P5,864.767,50.447,Ac-228,835.000,1.61,0,1.000,0,1.000,0,0,Ac-228,Ac-228,1
G1S16_Th228_P5,1585.917,72.738,Ac-228,1588.000,3.22,0,1.000,0,1.000,0,0,Ac-228,Ac-228,1
G1S16_Th228_P5,2618.323,110.483,Tl-208,2614.000,35.8516,0,1.000,0,1.000,0,0,Tl-208,Tl-208,1
G1S16_Th232_Denta100,238.504,23.130,Pb-212,238.000,43.6,3,6.004,3,6.004,0,0,Pb-212 / Pb-214,Pb-212 / Pb-214,1
G1S16_Th232_Denta100,336.035,28.164,Ac-228,338.000,11.27,2,3.820,2,3.820,0,0,Ac-228,Ac-228,1
G1S16_Th232_Denta100,585.120,40.055,Tl-208,583.000,30.549,0,1.000,0,1.000,0,0,Tl-208,Tl-208,1
G1S16_Th232_Denta100,910.099,50.130,Ac-228,911.000,25.8,0,1.000,0,1.000,0,0,Ac-228,Ac-228,1
G1S16_Th232_Denta100,2623.441,110.290,Tl-208,2614.000,35.8516,0,1.000,0,1.000,0,0,Tl-208,Tl-208,1
G1S16_Th232_Mar_2,124.239,14.680,Eu-152,125.000,28.53,1,11.789,1,11.789,0,0,Eu-152,Eu-152,1
G1S16_Th232_Mar_2,234.033,23.053,Pb-212,238.000,43.6,3,6.004,3,6.004,0,0,Pb-212 / Np-239,Pb-212 / Np-239,1
G1S16_Th232_Mar_2,335.072,28.474,Ac-228,338.000,11.27,2,3.820,2,3.820,0,0,Ac-228,Ac-228,1
G1S16_Th232_Mar_2,585.298,41.530,Tl-208,583.000,30.549,0,1.000,0,1.000,0,0,Tl-208,Tl-208,1
G1S16_Th232_Mar_2,731.660,43.168,Bi-212,727.330,6.67,1,3.771,1,3.771,0,1,Bi-212 / Ac-228,Bi-212 / Ac-228,1
G1S16_Th232_Mar_2,914.273,52.246,Ac-228,911.000,25.8,0,1.000,0,1.000,0,0,Ac-228,Ac-228,1
G1S16_Th232_Mar_2,968.245,43.846,Ac-228,968.000,15.8,1,3.166,1,3.166,0,0,Ac-228,Ac-228,1
G1S16_Th232_Mar_2,1597.805,81.646,Ac-228,1588.000,3.22,0,1.000,0,1.000,0,0,Ac-228,Ac-228,1
G1S16_Th232_Mar_2,2627.180,109.262,Tl-208,2614.000,35.8516,0,1.000,0,1.000,0,0,Tl-208,Tl-208,1
G1S16_Th232_Mar_3,74.381,11.824,Am-243,74.660,67.2,0,1.000,0,1.000,3,0,Am-243 / Pb x-ray,Am-243 / Pb x-ray,1
G1S16_Th232_Mar_3,127.464,15.398,Ac-228,129.065,2.42,1,11.789,1,11.789,0,0,Ac-228 / Eu-152,Ac-228 / Eu-152,1
G1S16_Th232_Mar_3,236.703,22.843,Pb-212,238.000,43.6,3,6.004,3,6.004,0,0,Pb-212,Pb-212,1
G1S16_Th232_Mar_3,337.230,28.243,Ac-228,338.000,11.27,2,3.820,2,3.820,0,0,Ac-228,Ac-228,1
G1S16_Th232_Mar_3,461.603,21.888,Ac-228,463.000,4.4,0,1.000,0,1.000,0,0,Ac-228,Ac-228,1
G1S16_Th232_Mar_3,586.190,41.041,Tl-208,583.000,30.549,0,1.000,0,1.000,0,0,Tl-208,Tl-208,1
G1S16_Th232_Mar_3,731.811,41.273,Bi-212,727.330,6.67,1,3.771,1,3.771,0,1,Bi-212 / Ac-228,Bi-212 / Ac-228,1
G1S16_Th232_Mar_3,910.518,53.283,Ac-228,911.000,25.8,0,1.000,0,1.000,0,0,Ac-228,Ac-228,1
G1S16_Th232_Mar_3,967.199,43.252,Ac-228,968.000,15.8,1,3.166,1,3.166,0,0,Ac-228,Ac-228,1
G1S16_Th232_Mar_3,1590.564,86.485,Ac-228,1588.000,3.22,0,1.000,0,1.000,0,0,Ac-228,Ac-228,1
G1S16_Th232_Mar_3,2611.640,110.467,Tl-208,2614.000,35.8516,0,1.000,0,1.000,0,0,Tl-208,Tl-208,1
G1S16_Th232_Petri,239.215,23.298,Pb-212,238.000,43.6,3,6.004,3,6.004,0,0,Pb-212 / Pb-214,Pb-212 / Pb-214,1
G1S16_Th232_Petri,339.963,28.063,Ac-228,338.000,11.27,3,3.820,3,3.820,0,0,Ac-228,Ac-228,1
G1S16_Th232_Petri,586.308,40.908,Tl-208,583.000,30.549,0,1.000,0,1.000,0,0,Tl-208,Tl-208,1
G1S16_Th232_Petri,904.730,47.792,Ac-228,911.000,25.8,0,1.000,0,1.000,0,0,Ac-228,Ac-228,1
G1S16_Th232_Petri,2604.901,113.422,Tl-208,2614.000,35.8516,0,1.000,0,1.000,0,0,Tl-208,Tl-208,1
G1S16_Y88_P25,1466.314,79.609,K-40,1460.000,10.66,0,1.000,0,1.000,0,0,K-40,K-40,1
G1S16_Y88_P5,900.097,57.675,Ac-228,911.000,25.8,0,1.000,0,1.000,0,0,Ac-228,Ac-228,1
G1S24_Am241_P5,123.947,12.513,Eu-152,125.000,28.53,1,11.789,1,11.789,0,0,Eu-152,Eu-152,1
G1S24_Ba133_P5,49.781,7.919,Pb-210,46.539,4.25,0,1.000,0,1.000,0,0,Pb-210,Pb-210,1
G1S24_Ba133_P5,299.552,22.734,Pb-214,295.000,18.4672,1,5.068,1,5.068,0,0,Pb-214,Pb-214,1
G1S24_Ba133_P5,355.198,33.270,Pb-214,353.000,35.7166,3,2.282,3,2.282,0,0,Pb-214 / Ba-133,Pb-214 / Ba-133,1
G1S24_Ba133_P5,1461.892,87.052,K-40,1460.000,10.66,0,1.000,0,1.000,0,0,K-40,K-40,1
G1S24_Bi207_P5,50.838,9.338,Pb-210,46.539,4.25,0,1.000,0,1.000,0,0,Pb-210,Pb-210,1
G1S24_Bi207_P5,370.819,36.887,I-131,364.000,81.5,2,2.282,2,2.282,0,1,I-131,I-131,1
G1S24_Bi207_P5,811.618,67.106,Cs-134,798.000,85.46,3,53.081,3,53.081,0,0,Cs-134 / Ac-228,Cs-134 / Ac-228,1
G1S24_Bi207_P5,1271.023,66.814,Bi-214,1238.000,5.83,0,1.000,0,1.000,0,0,Bi-214,Bi-214,1
G1S24_Bi207_P5,1446.813,110.739,K-40,1460.000,10.66,0,1.000,0,1.000,0,0,K-40,K-40,1
G1S24_Bi207_P5,1757.835,87.505,Bi-214,1764.000,15.29,0,1.000,0,1.000,0,0,Bi-214,Bi-214,1
G1S24_Bi207_P5,2341.785,106.709,Bi-214,2447.000,1.545,0,1.000,0,1.000,0,0,Bi-214,Bi-214,1
G1S24_Co60_P5,235.390,35.839,Pb-212,238.000,43.6,3,6.004,3,6.004,0,0,Pb-212 / Pb-214,Pb-212 / Pb-214,1
G1S24_Co60_P5,919.468,68.933,Ac-228,911.000,25.8,0,1.000,0,1.000,0,0,Ac-228,Ac-228,1
G1S24_Co60_P5,1173.714,71.034,Co-60,1173.000,99.85,0,1.000,0,1.000,0,0,Co-60,Co-60,1
G1S24_Co60_P5,1329.215,78.335,Co-60,1332.000,99.9826,0,1.000,0,1.000,0,0,Co-60,Co-60,1
G1S24_Cs137_Denta120,665.256,51.027,Cs-137,662.000,85.1,0,1.000,0,1.000,0,0,Cs-137,Cs-137,1
G1S24_Cs137_Denta120_2,663.179,51.215,Cs-137,662.000,85.1,0,1.000,0,1.000,0,0,Cs-137,Cs-137,1
G1S24_Cs137_Denta120_2,1455.810,86.173,K-40,1460.000,10.66,0,1.000,0,1.000,0,0,K-40,K-40,1
G1S24_Cs137_Mar,190.747,31.127,Ra-226,186.211,3.64,2,21.420,2,21.420,0,0,Ra-226 / U-235,Ra-226 / U-235,1
G1S24_Cs137_Mar,662.801,52.724,Cs-137,662.000,85.1,0,1.000,0,1.000,0,0,Cs-137,Cs-137,1
G1S24_Cs137_Mar,1465.210,86.550,K-40,1460.000,10.66,0,1.000,0,1.000,0,0,K-40,K-40,1
G1S24_Cs137_Mar_2,663.772,52.752,Cs-137,662.000,85.1,0,1.000,0,1.000,0,0,Cs-137,Cs-137,1
G1S24_Cs137_Mar_2,1453.236,77.923,K-40,1460.000,10.66,0,1.000,0,1.000,0,0,K-40,K-40,1
G1S24_Cs137_P25,667.786,52.505,Cs-137,662.000,85.1,0,1.000,0,1.000,0,0,Cs-137,Cs-137,1
G1S24_Cs137_P25,1461.604,86.077,K-40,1460.000,10.66,0,1.000,0,1.000,0,0,K-40,K-40,1
G1S24_Cs137_P5,199.366,30.176,Lu-176,202.000,77.9688,4,21.420,4,21.420,0,0,Lu-176,Lu-176,1
G1S24_Cs137_P5,447.507,44.891,Ac-228,463.000,4.4,1,20.568,1,20.568,0,0,Ac-228 / Ag-108m,Ac-228 / Ag-108m,1
G1S24_Cs137_P5,659.577,52.215,Cs-137,662.000,85.1,1,11.893,1,11.893,0,0,Cs-137,Cs-137,1
G1S24_Cs137_Petri,661.894,50.094,Cs-137,662.000,85.1,0,1.000,0,1.000,0,0,Cs-137,Cs-137,1
G1S24_Cs137_Petri,1442.678,89.540,K-40,1460.000,10.66,0,1.000,0,1.000,0,0,K-40,K-40,1
