=== СПИСОК ПОЛОН | документ пробы | дверь SpecUtils ===
  AS80_Th232_v2.n42 | ВВЕЗЁН | спектр:есть, поиск пиков:есть
  ASN16_Cs137.n42 | ВВЕЗЁН | спектр:есть, поиск пиков:есть
  ASN3_Tile.n42 | ВВЕЗЁН | спектр:есть, поиск пиков:есть
  ASN8_Th232_2048.n42 | ВВЕЗЁН | спектр:есть, поиск пиков:есть
  ASN8_Th232_4096.n42 | ВВЕЗЁН | спектр:есть, поиск пиков:есть
  G1S16_Cs137_Mar_2.n42 | ВВЕЗЁН | спектр:есть, поиск пиков:есть
  G1S16_Eu152_P25.n42 | ВВЕЗЁН | спектр:есть, поиск пиков:есть
  G1S24_Cs137_P5.n42 | ВВЕЗЁН | спектр:есть, поиск пиков:есть
  GS4000_Th232.n42 | ВВЕЗЁН | спектр:есть, поиск пиков:есть
  HPGE_Uranium.n42 | ВВЕЗЁН | спектр:есть, поиск пиков:есть
  OBS_UGlass.n42 | ВВЕЗЁН | спектр:есть, поиск пиков:есть
  RC103_K40.n42 | ВВЕЗЁН | спектр:есть, поиск пиков:есть
  ИТОГ: СПИСОК ПОЛОН | документ пробы | дверь SpecUtils -> ВВЕЗЕНО 12 / ОТКАЗ 0 (из 12), без ПШПВ у документа: 0

=== СПИСОК ПОЛОН | документ пробы | дверь N42 ===
  AS80_Th232_v2.n42 | ВВЕЗЁН | спектр:есть, поиск пиков:есть
  ASN16_Cs137.n42 | ВВЕЗЁН | спектр:есть, поиск пиков:есть
  ASN3_Tile.n42 | ВВЕЗЁН | спектр:есть, поиск пиков:есть
  ASN8_Th232_2048.n42 | ВВЕЗЁН | спектр:есть, поиск пиков:есть
  ASN8_Th232_4096.n42 | ВВЕЗЁН | спектр:есть, поиск пиков:есть
  G1S16_Cs137_Mar_2.n42 | ВВЕЗЁН | спектр:есть, поиск пиков:есть
  G1S16_Eu152_P25.n42 | ВВЕЗЁН | спектр:есть, поиск пиков:есть
  G1S24_Cs137_P5.n42 | ВВЕЗЁН | спектр:есть, поиск пиков:есть
  GS4000_Th232.n42 | ВВЕЗЁН | спектр:есть, поиск пиков:есть
  HPGE_Uranium.n42 | ВВЕЗЁН | спектр:есть, поиск пиков:есть
  OBS_UGlass.n42 | ВВЕЗЁН | спектр:есть, поиск пиков:есть
  RC103_K40.n42 | ВВЕЗЁН | спектр:есть, поиск пиков:есть
  ИТОГ: СПИСОК ПОЛОН | документ пробы | дверь N42 -> ВВЕЗЕНО 12 / ОТКАЗ 0 (из 12), без ПШПВ у документа: 0

=== СПИСОК ПОЛОН | документ приложения | дверь SpecUtils ===
  AS80_Th232_v2.n42 | ВВЕЗЁН | спектр:есть, поиск пиков:есть
  ASN16_Cs137.n42 | ВВЕЗЁН | спектр:есть, поиск пиков:есть
  ASN3_Tile.n42 | ВВЕЗЁН | спектр:есть, поиск пиков:есть
  ASN8_Th232_2048.n42 | ВВЕЗЁН | спектр:есть, поиск пиков:есть
  ASN8_Th232_4096.n42 | ВВЕЗЁН | спектр:есть, поиск пиков:есть
  G1S16_Cs137_Mar_2.n42 | ВВЕЗЁН | спектр:есть, поиск пиков:есть
  G1S16_Eu152_P25.n42 | ВВЕЗЁН | спектр:есть, поиск пиков:есть
  G1S24_Cs137_P5.n42 | ВВЕЗЁН | спектр:есть, поиск пиков:есть
  GS4000_Th232.n42 | ВВЕЗЁН | спектр:есть, поиск пиков:есть
  HPGE_Uranium.n42 | ВВЕЗЁН | спектр:есть, поиск пиков:есть
  OBS_UGlass.n42 | ВВЕЗЁН | спектр:есть, поиск пиков:есть
  RC103_K40.n42 | ВВЕЗЁН | спектр:есть, поиск пиков:есть
  ИТОГ: СПИСОК ПОЛОН | документ приложения | дверь SpecUtils -> ВВЕЗЕНО 12 / ОТКАЗ 0 (из 12), без ПШПВ у документа: 0

=== СПИСОК ПОЛОН | документ приложения | дверь N42 ===
  AS80_Th232_v2.n42 | ВВЕЗЁН | спектр:есть, поиск пиков:есть
  ASN16_Cs137.n42 | ВВЕЗЁН | спектр:есть, поиск пиков:есть
  ASN3_Tile.n42 | ВВЕЗЁН | спектр:есть, поиск пиков:есть
  ASN8_Th232_2048.n42 | ВВЕЗЁН | спектр:есть, поиск пиков:есть
  ASN8_Th232_4096.n42 | ВВЕЗЁН | спектр:есть, поиск пиков:есть
  G1S16_Cs137_Mar_2.n42 | ВВЕЗЁН | спектр:есть, поиск пиков:есть
  G1S16_Eu152_P25.n42 | ВВЕЗЁН | спектр:есть, поиск пиков:есть
  G1S24_Cs137_P5.n42 | ВВЕЗЁН | спектр:есть, поиск пиков:есть
  GS4000_Th232.n42 | ВВЕЗЁН | спектр:есть, поиск пиков:есть
  HPGE_Uranium.n42 | ВВЕЗЁН | спектр:есть, поиск пиков:есть
  OBS_UGlass.n42 | ВВЕЗЁН | спектр:есть, поиск пиков:есть
  RC103_K40.n42 | ВВЕЗЁН | спектр:есть, поиск пиков:есть
  ИТОГ: СПИСОК ПОЛОН | документ приложения | дверь N42 -> ВВЕЗЕНО 12 / ОТКАЗ 0 (из 12), без ПШПВ у документа: 0

--- список конфигураций приборов ОПУСТОШЁН: 0 ---
