file,phys,histories,nodes,noise_median,noise_worst,nodes_empty,cone,created,seconds,stamp,body_sha256,fingerprint
AS80_lu_front.rmx,15,3000000,142,0.6904,0.9992,30,0,2026-09-03 09:52,592.5,phys=15;d9c33e0c7ba8b6c4d3ae48cb45d17f5a79b6f6b7a0e6d6c17206ea19d45eeb4b,16276fc0b747613878a847c58e2efd8d00f351e0cd2f9efffa5314e57b0adb9c,нет
AS80_point0.rmx,15,3000000,140,0.5414,0.6996,24,0,2026-09-03 11:02,284.1,phys=15;e36585e0aafa9e49f395dd324e1e035d4ea067bd1516ab4ea906ddc5474be97d,0574593d29bca28706954b0fd13296ce0e2f10ea4c91e2d20a9917d500ae5bcd,нет
ASN16_lu_side.rmx,15,3000000,142,1.1374,1.5283,28,0,2026-09-03 10:06,451.2,phys=15;2a3eb73eb0336e76c3362f9507452b50061b849b1a321e8ff87cfd2d099d32e2,37037fe73581df59500d683363710f6455a58b67509cdb5e786dbf5652507e48,нет
G1S_denta100_oisn10_100_p16.rmx,15,3000000,142,0.8879,1.1755,28,0,2026-09-03 10:16,606.3,phys=15;90924ab7ee0cb55118f8e536ba5186a568e1756836cf16af128addea313da744,02ede93d5ba5b0473d54f8084e509cf04a5fd6998a0a0547d5b12c6a36160226,нет
G1S_denta100_risn379_100_p16.rmx,15,3000000,140,0.7423,1.1893,24,0,2026-09-03 10:27,642.0,phys=15;9e23a03901327ebfa00736d223b71e23a50af844e874a62a4f3160ccaa987c29,e1babba6f88208ebe660d12fadad0b5c589a9837ca26f4eecb7e7135426ca08f,нет
G1S_denta120_oisn06_057_p24.rmx,15,3000000,142,0.8827,1.2431,26,0,2026-09-03 10:37,593.6,phys=15;df733fd057e5c844f17bc70d4afc4c2b1aa3828c053b81a345be49394157354c,48874744690ba306ca55c89ca973afe3ea7caf4b8e4a0eaef31ef5b6fc09bf82,нет
G1S_denta120_oisn06_062_p24.rmx,15,3000000,142,0.8771,1.2396,27,0,2026-09-03 10:47,590.3,phys=15;744c84683c1aeb7678ca8c3ee4cc6957dcab8e436751e7b9afc84825c8340cdc,be0b705e2073137115d51845579d36225afb36c6b50a8a9f55b79fd8a5634027,нет
G1S_denta120_oisn06_064_p24.rmx,15,3000000,142,0.8733,1.2393,27,0,2026-09-03 11:19,540.1,phys=15;e83373453c4ca8d5df47a88d4c62edbf1228a96aabe78c9a0099537d270d357a,98df3acd13e5df3475b877ab76785fb6d2e2b702e3504f2661477dc3d26f66cd,нет
G1S_denta120_oisn06_066_p24.rmx,15,3000000,142,0.8668,1.2405,27,0,2026-09-03 11:27,520.8,phys=15;18791869b80f7c45da375d79481cd98d5dffd7c61dd9b4beb2d3ca701ef9a1f3,a0543be1ee234e706f9435efc35891d6f005d5bc4119cc4a4c56485a83c8712b,нет
G1S_denta120_oisn16_155_p24.rmx,15,3000000,142,1.0423,1.2012,29,0,2026-09-03 11:37,557.3,phys=15;c93267d01a626f108bfb9df3fccd622185bd98e9fe71f3e65dbf875c5145e13c,5dc3808c654450e2a4c88cad04fb2bd329d35b2e925994f561020f975d2f90aa,нет
