прибор: RC-103
  кривая «Кубик»: геометрия есть, точек 34, клеймо (нет)

считаю «Кубик»: geometry: кристалл Cesium iodide брусок 10.0x10.0x10.0 мм, ро 4.510; источник — кювета 40.0x40.0 H=20.0 на 5.0 мм, Air, dry
== штатная сетка, историй 100000 ==
     E, кэВ          eff   к соседу
       10.0  5.9891E-007           
       20.0  3.6826E-003   6148.907
       30.0  9.9314E-003      2.697
       40.0  9.8051E-003 0.987  <-- ВНИЗ
       50.0  1.1275E-002      1.150
       60.0  1.2383E-002      1.098
       70.0  1.2656E-002      1.022
       80.0  1.2917E-002      1.021
       90.0  1.3189E-002      1.021
      100.0  1.3078E-002 0.992  <-- ВНИЗ
      120.0  1.2451E-002 0.952  <-- ВНИЗ
      150.0  1.1049E-002 0.887  <-- ВНИЗ
      186.0  8.8092E-003 0.797  <-- ВНИЗ
      240.0  6.0454E-003 0.686  <-- ВНИЗ
      300.0  4.0630E-003 0.672  <-- ВНИЗ
      352.0  2.9336E-003 0.722  <-- ВНИЗ
      400.0  2.2762E-003 0.776  <-- ВНИЗ
      460.0  1.7484E-003 0.768  <-- ВНИЗ
      510.0  1.4484E-003 0.828  <-- ВНИЗ
      583.0  1.0745E-003 0.742  <-- ВНИЗ
      609.0  1.0107E-003 0.941  <-- ВНИЗ
      662.0  8.4205E-004 0.833  <-- ВНИЗ
      720.0  7.6961E-004 0.914  <-- ВНИЗ
      800.0  6.0605E-004 0.787  <-- ВНИЗ
      900.0  4.9058E-004 0.809  <-- ВНИЗ
     1000.0  4.2270E-004 0.862  <-- ВНИЗ
     1120.0  3.5636E-004 0.843  <-- ВНИЗ
     1250.0  2.5280E-004 0.709  <-- ВНИЗ
     1461.0  2.1035E-004 0.832  <-- ВНИЗ
     1600.0  1.8661E-004 0.887  <-- ВНИЗ
     1765.0  1.5167E-004 0.813  <-- ВНИЗ
     2000.0  1.2195E-004 0.804  <-- ВНИЗ
     2200.0  1.0629E-004 0.872  <-- ВНИЗ
     2450.0  6.9906E-005 0.658  <-- ВНИЗ
     2615.0  6.8537E-005 0.980  <-- ВНИЗ
     2800.0  4.1086E-005 0.599  <-- ВНИЗ
     3000.0  3.9742E-005 0.967  <-- ВНИЗ
