node,energy_kev,histories,error_pct,seconds_wall,dropped,scored,dropped_pct,dropped_scat,scat_pct
0,5.000,3000000,100.000,8.820,0,0,0.000,0,0.000
1,5.235,3000000,100.000,8.915,0,0,0.000,0,0.000
2,5.482,3000000,100.000,9.152,0,0,0.000,0,0.000
3,5.740,3000000,100.000,9.638,0,0,0.000,0,0.000
4,6.011,3000000,100.000,9.951,0,0,0.000,0,0.000
5,6.294,3000000,100.000,11.352,0,0,0.000,0,0.000
6,6.590,3000000,100.000,12.421,0,0,0.000,0,0.000
7,6.900,3000000,100.000,15.084,0,0,0.000,0,0.000
8,7.098,3000000,100.000,15.907,0,0,0.000,0,0.000
9,7.126,3000000,100.000,22.187,0,0,0.000,0,0.000
10,7.225,3000000,100.000,19.784,0,0,0.000,0,0.000
11,7.566,3000000,100.000,18.814,0,0,0.000,0,0.000
12,7.922,3000000,100.000,19.569,0,0,0.000,0,0.000
13,8.295,3000000,100.000,20.479,0,0,0.000,0,0.000
14,8.686,3000000,100.000,21.177,0,0,0.000,0,0.000
15,9.095,3000000,100.000,21.843,0,0,0.000,0,0.000
16,9.523,3000000,100.000,23.725,0,0,0.000,0,0.000
17,9.972,3000000,100.000,24.929,0,0,0.000,0,0.000
18,10.441,3000000,100.000,25.777,0,0,0.000,0,0.000
19,10.933,3000000,100.000,27.094,0,0,0.000,0,0.000
20,11.448,3000000,100.000,27.616,0,0,0.000,0,0.000
21,11.987,3000000,100.000,28.313,0,0,0.000,0,0.000
22,12.552,3000000,100.000,28.735,1,0,100.000,0,0.000
23,13.143,3000000,100.000,28.616,5,0,100.000,0,0.000
24,13.762,3000000,100.000,28.832,18,0,100.000,2,11.111
25,14.410,3000000,100.000,29.588,75,0,100.000,2,2.667
26,15.089,3000000,57.735,29.360,121,3,97.581,2,1.613
27,15.799,3000000,70.711,29.222,311,3,99.045,19,6.051
28,16.543,3000000,66.014,29.375,632,4,99.371,35,5.503
29,17.323,3000000,37.062,29.380,1080,36,96.774,32,2.867
30,18.138,3000000,41.933,29.149,2004,14,99.306,92,4.559
31,18.993,3000000,25.633,29.469,3398,33,99.038,209,6.092
32,19.887,3000000,20.931,29.463,5438,108,98.053,323,5.824
33,20.824,3000000,16.565,30.400,8393,82,99.032,624,7.363
34,21.804,3000000,15.759,30.076,11791,406,96.671,686,5.624
35,22.831,3000000,12.232,30.226,17077,216,98.751,1470,8.501
36,23.907,3000000,10.300,29.546,22920,965,95.960,1504,6.297
37,25.033,3000000,8.899,30.979,28424,3551,88.894,46,0.144
38,26.211,3000000,7.934,30.412,40520,1900,95.521,3335,7.862
39,27.446,3000000,6.804,31.521,49444,5170,90.534,1825,3.342
40,28.739,3000000,5.739,31.329,66150,3075,95.558,6470,9.346
41,30.092,3000000,5.142,31.188,79437,6554,92.378,5908,6.870
42,31.509,3000000,4.625,30.595,90683,12483,87.900,3532,3.424
43,32.993,3000000,4.016,31.795,114339,7780,93.629,12205,9.994
44,34.547,3000000,0.868,32.535,100096,44182,69.377,9682,6.711
45,36.174,3000000,0.757,32.080,112180,53533,67.695,8254,4.981
46,37.878,3000000,0.671,32.829,125427,63077,66.538,6903,3.662
47,39.662,3000000,0.602,32.155,139087,73536,65.415,5554,2.612
48,41.530,3000000,0.557,31.517,153267,83154,64.828,4731,2.001
49,43.486,3000000,0.542,31.420,167430,90523,64.907,4458,1.728
50,45.534,3000000,0.522,32.410,182853,97719,65.172,5091,1.815
51,47.678,3000000,0.499,32.519,197936,104165,65.520,6383,2.113
52,49.923,3000000,0.479,30.314,215142,109053,66.362,9022,2.783
53,52.275,3000000,0.481,31.197,231008,110489,67.646,12326,3.609
54,54.737,3000000,0.477,30.800,246769,111827,68.815,16592,4.627
55,57.315,3000000,0.460,31.340,245361,130919,65.207,2501,0.665
56,60.014,3000000,0.454,30.948,264233,128539,67.274,9230,2.350
57,62.840,3000000,0.460,31.259,280512,123527,69.427,16495,4.083
58,65.800,3000000,0.465,31.008,279771,136399,67.225,6597,1.585
59,68.899,3000000,0.491,31.038,297520,129095,69.740,15330,3.593
60,72.144,3000000,0.533,30.915,300384,137671,68.572,8817,2.013
61,75.541,3000000,0.554,31.616,302624,143981,67.761,3693,0.827
62,79.099,3000000,0.597,30.920,306462,148399,67.375,393,0.086
63,82.824,3000000,0.675,30.657,324406,137044,70.301,12016,2.604
64,86.725,3000000,0.755,30.913,328023,138066,70.378,10440,2.240
65,90.810,3000000,0.821,31.245,331856,139327,70.430,10340,2.194
66,95.086,3000000,0.881,31.178,326850,148694,68.732,267,0.056
67,99.565,3000000,0.928,29.567,332545,146120,69.473,2587,0.540
68,104.254,3000000,0.965,30.292,339112,142347,70.434,5601,1.163
69,109.164,3000000,0.918,30.376,335505,146409,69.619,468,0.097
70,114.305,3000000,0.935,30.402,343639,140495,70.980,5012,1.035
71,119.688,3000000,0.953,30.208,342222,142152,70.652,2247,0.464
72,125.325,3000000,0.910,30.359,342114,143694,70.422,886,0.182
73,131.228,3000000,0.920,30.563,341565,143704,70.387,513,0.106
74,137.408,3000000,0.890,30.472,340118,141262,70.655,946,0.197
75,143.880,3000000,0.898,30.464,340334,140002,70.853,2099,0.437
76,150.656,3000000,0.870,30.222,341577,137718,71.267,3799,0.793
77,157.751,3000000,0.843,30.481,337063,139391,70.744,1460,0.306
78,165.181,3000000,0.812,30.370,333257,140960,70.275,226,0.048
79,172.960,3000000,0.813,30.222,331727,136676,70.821,3394,0.725
80,181.106,3000000,0.762,30.147,324936,140004,69.888,96,0.021
81,189.635,3000000,0.727,30.068,321487,139626,69.720,793,0.172
82,198.566,3000000,0.709,29.825,317077,138122,69.657,1894,0.416
83,207.918,3000000,0.681,30.282,310163,139955,68.907,942,0.209
84,217.710,3000000,0.675,30.548,303668,140343,68.392,604,0.136
85,227.964,3000000,0.671,29.915,296841,141108,67.780,744,0.170
86,238.700,3000000,0.654,29.892,289296,141741,67.116,1322,0.307
87,249.942,3000000,0.642,29.902,281780,143509,66.256,593,0.139
88,261.714,3000000,0.638,29.845,273873,144604,65.445,401,0.096
89,274.039,3000000,0.660,29.437,265405,147399,64.293,518,0.125
90,286.946,3000000,0.680,29.320,257729,148377,63.463,905,0.223
91,300.460,3000000,0.707,29.581,248632,150652,62.269,588,0.147
92,314.610,3000000,0.729,29.163,239162,152860,61.007,629,0.160
93,329.427,3000000,0.738,29.008,230631,155593,59.714,103,0.027
94,344.942,3000000,0.735,28.988,222520,157181,58.604,542,0.143
95,361.188,3000000,0.720,28.618,213136,160553,57.036,24,0.006
96,378.198,3000000,0.709,28.478,204429,162239,55.753,262,0.071
97,396.010,3000000,0.699,28.417,196315,165096,54.319,208,0.058
98,414.661,3000000,0.696,28.030,188179,166217,53.099,310,0.087
99,434.190,3000000,0.693,27.382,180489,168180,51.765,177,0.051
100,454.639,3000000,0.685,27.464,173098,171406,50.246,211,0.061
101,476.051,3000000,0.686,27.556,164424,172993,48.730,107,0.032
102,498.471,3000000,0.689,27.345,158003,174000,47.591,162,0.049
103,521.947,3000000,0.693,27.094,150636,175824,46.142,71,0.022
104,546.529,3000000,0.691,27.107,145016,177775,44.926,137,0.042
105,572.269,3000000,0.692,26.794,138742,178858,43.685,86,0.027
106,599.221,3000000,0.692,26.431,131654,180145,42.224,4,0.001
107,627.442,3000000,0.700,25.962,126901,180373,41.299,20,0.007
108,656.992,3000000,0.699,25.706,121637,180989,40.194,92,0.030
109,687.934,3000000,0.700,25.721,115485,182246,38.788,41,0.014
110,720.333,3000000,0.713,25.641,111445,182226,37.949,44,0.015
111,754.259,3000000,0.726,25.493,106637,183240,36.787,50,0.017
112,789.782,3000000,0.734,24.692,102333,183148,35.846,27,0.009
113,826.977,3000000,0.743,24.143,98487,183007,34.987,51,0.018
114,865.925,3000000,0.757,24.040,93847,183007,33.898,20,0.007
115,906.707,3000000,0.769,23.591,89504,182903,32.857,29,0.011
116,949.410,3000000,0.786,23.519,86240,181791,32.175,7,0.003
117,994.124,3000000,0.793,23.506,82319,182826,31.047,25,0.009
118,1040.944,3000000,0.812,23.094,78616,180389,30.353,33,0.013
119,1089.968,3000000,0.827,23.211,75723,180589,29.543,10,0.004
120,1141.302,3000000,0.840,22.890,72939,179825,28.857,3,0.001
121,1195.053,3000000,0.852,22.850,69706,179469,27.975,1,0.000
122,1251.336,3000000,0.869,22.947,67102,178676,27.302,5,0.002
123,1310.270,3000000,0.883,22.705,64340,177533,26.601,15,0.006
124,1371.979,3000000,0.903,22.539,61836,175695,26.033,2,0.001
125,1436.594,3000000,0.915,22.608,58768,175878,25.045,9,0.004
126,1504.253,3000000,0.922,22.548,56549,175282,24.392,10,0.004
127,1575.098,3000000,0.942,22.765,54235,175127,23.646,0,0.000
128,1649.279,3000000,0.964,22.829,51954,174170,22.976,1,0.000
129,1726.954,3000000,0.984,22.592,49962,173636,22.345,11,0.005
130,1808.288,3000000,0.995,22.761,47454,172480,21.576,9,0.004
131,1893.452,3000000,1.009,22.712,45086,172641,20.708,0,0.000
132,1982.627,3000000,1.019,23.280,43422,171865,20.169,3,0.001
133,2076.001,3000000,1.028,22.740,41264,172531,19.301,3,0.001
134,2173.774,3000000,1.048,23.004,39278,171270,18.655,2,0.001
135,2276.151,3000000,1.061,22.824,37356,171030,17.926,6,0.003
136,2383.350,3000000,1.078,23.478,36081,171240,17.403,0,0.000
137,2495.597,3000000,1.112,23.247,33636,170559,16.472,3,0.001
138,2613.131,3000000,1.140,23.429,32669,170895,16.049,0,0.000
139,2736.200,3000000,1.169,23.675,30938,171264,15.301,1,0.000
140,2865.065,3000000,1.215,23.674,28981,172642,14.374,0,0.000
141,3000.000,3000000,1.236,24.468,28174,173811,13.949,2,0.001
