node,energy_kev,histories,error_pct,seconds_wall,dropped,scored,dropped_pct,dropped_scat,scat_pct
0,5.000,3000000,100.000,9.758,0,0,0.000,0,0.000
1,5.235,3000000,100.000,9.894,0,0,0.000,0,0.000
2,5.482,3000000,100.000,10.066,0,0,0.000,0,0.000
3,5.740,3000000,100.000,10.219,0,0,0.000,0,0.000
4,6.011,3000000,100.000,10.081,0,0,0.000,0,0.000
5,6.294,3000000,100.000,10.809,0,0,0.000,0,0.000
6,6.590,3000000,100.000,10.948,0,0,0.000,0,0.000
7,6.900,3000000,100.000,16.251,0,0,0.000,0,0.000
8,7.098,3000000,100.000,17.480,0,0,0.000,0,0.000
9,7.126,3000000,100.000,23.265,0,0,0.000,0,0.000
10,7.225,3000000,100.000,22.277,0,0,0.000,0,0.000
11,7.566,3000000,100.000,21.691,0,0,0.000,0,0.000
12,7.922,3000000,100.000,21.730,0,0,0.000,0,0.000
13,8.295,3000000,100.000,22.390,0,0,0.000,0,0.000
14,8.686,3000000,100.000,22.837,0,0,0.000,0,0.000
15,9.095,3000000,100.000,22.610,0,0,0.000,0,0.000
16,9.523,3000000,100.000,22.757,0,0,0.000,0,0.000
17,9.972,3000000,100.000,22.112,0,0,0.000,0,0.000
18,10.441,3000000,100.000,22.960,0,0,0.000,0,0.000
19,10.933,3000000,100.000,22.979,0,0,0.000,0,0.000
20,11.448,3000000,100.000,22.697,0,0,0.000,0,0.000
21,11.987,3000000,100.000,22.726,0,0,0.000,0,0.000
22,12.552,3000000,100.000,22.230,0,0,0.000,0,0.000
23,13.143,3000000,100.000,22.601,0,0,0.000,0,0.000
24,13.762,3000000,100.000,22.315,1,0,100.000,0,0.000
25,14.410,3000000,100.000,22.983,3,0,100.000,0,0.000
26,15.089,3000000,100.000,22.398,4,0,100.000,0,0.000
27,15.799,3000000,100.000,23.248,15,0,100.000,3,20.000
28,16.543,3000000,100.000,23.246,31,0,100.000,1,3.226
29,17.323,3000000,100.000,23.826,45,0,100.000,1,2.222
30,18.138,3000000,100.000,24.175,87,0,100.000,8,9.195
31,18.993,3000000,100.000,24.396,167,1,99.405,5,2.976
32,19.887,3000000,100.000,25.590,242,1,99.588,9,3.704
33,20.824,3000000,100.000,26.118,378,1,99.736,22,5.805
34,21.804,3000000,65.679,27.288,571,11,98.110,25,4.296
35,22.831,3000000,56.738,28.204,766,7,99.094,61,7.891
36,23.907,3000000,72.855,29.346,1037,33,96.916,77,7.196
37,25.033,3000000,40.351,29.870,1392,151,90.214,0,0.000
38,26.211,3000000,32.736,29.618,1992,62,96.981,117,5.696
39,27.446,3000000,27.065,31.056,2645,189,93.331,87,3.070
40,28.739,3000000,26.012,31.233,3585,116,96.866,303,8.187
41,30.092,3000000,25.403,31.660,4444,267,94.332,281,5.965
42,31.509,3000000,20.290,31.391,5547,514,91.520,177,2.920
43,32.993,3000000,16.783,31.596,7356,332,95.682,625,8.130
44,34.547,3000000,4.104,32.978,6632,2692,71.128,499,5.352
45,36.174,3000000,3.379,32.624,8149,3518,69.847,442,3.788
