node,energy_kev,histories,error_pct,seconds_wall,dropped,scored,dropped_pct,dropped_scat,scat_pct
0,5.000,3000000,100.000,8.825,0,0,0.000,0,0.000
1,5.235,3000000,100.000,8.820,0,0,0.000,0,0.000
2,5.482,3000000,100.000,8.988,0,0,0.000,0,0.000
3,5.740,3000000,100.000,8.973,0,0,0.000,0,0.000
4,6.011,3000000,100.000,9.521,0,0,0.000,0,0.000
5,6.294,3000000,100.000,10.562,0,0,0.000,0,0.000
6,6.590,3000000,100.000,11.054,0,0,0.000,0,0.000
7,6.900,3000000,100.000,16.286,0,0,0.000,0,0.000
8,7.098,3000000,100.000,16.063,0,0,0.000,0,0.000
9,7.126,3000000,100.000,22.569,0,0,0.000,0,0.000
10,7.225,3000000,100.000,21.154,0,0,0.000,0,0.000
11,7.566,3000000,100.000,20.346,0,0,0.000,0,0.000
12,7.922,3000000,100.000,20.463,0,0,0.000,0,0.000
13,8.295,3000000,100.000,21.008,0,0,0.000,0,0.000
14,8.686,3000000,100.000,19.716,0,0,0.000,0,0.000
15,9.095,3000000,100.000,21.132,0,0,0.000,0,0.000
16,9.523,3000000,100.000,21.017,0,0,0.000,0,0.000
17,9.972,3000000,100.000,21.320,0,0,0.000,0,0.000
18,10.441,3000000,100.000,21.308,0,0,0.000,0,0.000
19,10.933,3000000,100.000,21.492,0,0,0.000,0,0.000
20,11.448,3000000,100.000,21.725,0,0,0.000,0,0.000
21,11.987,3000000,100.000,22.015,0,0,0.000,0,0.000
22,12.552,3000000,100.000,21.212,0,0,0.000,0,0.000
23,13.143,3000000,100.000,21.693,0,0,0.000,0,0.000
24,13.762,3000000,100.000,22.203,3,0,100.000,0,0.000
25,14.410,3000000,100.000,22.655,6,0,100.000,0,0.000
26,15.089,3000000,70.711,23.253,26,2,92.857,0,0.000
27,15.799,3000000,100.000,24.065,46,0,100.000,1,2.174
28,16.543,3000000,100.000,24.754,101,1,99.020,4,3.922
29,17.323,3000000,57.735,24.894,186,3,98.413,3,1.587
30,18.138,3000000,70.711,25.770,362,4,98.907,11,3.005
31,18.993,3000000,87.717,25.982,558,3,99.465,32,5.704
32,19.887,3000000,56.172,25.542,915,15,98.387,50,5.376
33,20.824,3000000,59.208,27.425,1429,9,99.374,74,5.146
34,21.804,3000000,29.242,27.428,2053,70,96.703,109,5.134
35,22.831,3000000,30.265,27.838,3014,31,98.982,186,6.108
36,23.907,3000000,20.005,27.744,4219,133,96.944,201,4.619
37,25.033,3000000,19.361,27.418,5534,485,91.942,7,0.116
38,26.211,3000000,18.811,27.788,8033,239,97.111,491,5.936
39,27.446,3000000,13.907,27.883,10270,726,93.398,270,2.455
40,28.739,3000000,12.186,28.433,13953,428,97.024,1079,7.503
41,30.092,3000000,11.291,28.425,17616,1011,94.572,986,5.293
42,31.509,3000000,9.338,28.491,21500,1926,91.778,625,2.668
43,32.993,3000000,8.534,28.539,27873,1157,96.014,2192,7.551
44,34.547,3000000,1.941,28.296,25566,10587,70.716,1784,4.935
45,36.174,3000000,1.714,29.482,31027,13302,69.993,1709,3.855
46,37.878,3000000,1.310,29.360,37197,16667,69.057,1563,2.902
47,39.662,3000000,1.260,29.393,44886,20418,68.734,1401,2.145
48,41.530,3000000,1.133,29.603,52865,24086,68.700,1225,1.592
49,43.486,3000000,1.004,29.636,62846,28982,68.439,1329,1.447
50,45.534,3000000,0.913,29.784,73407,33444,68.700,1597,1.495
51,47.678,3000000,0.863,29.696,86218,38077,69.366,2282,1.836
52,49.923,3000000,0.794,29.161,100296,43241,69.875,3517,2.450
53,52.275,3000000,0.758,29.960,115852,47689,70.840,5444,3.329
54,54.737,3000000,0.718,29.454,133870,51965,72.037,7852,4.225
55,57.315,3000000,0.637,29.808,142404,65734,68.418,1394,0.670
56,60.014,3000000,0.606,29.696,162725,69163,70.174,5254,2.266
57,62.840,3000000,0.589,28.713,183501,71793,71.878,10008,3.920
58,65.800,3000000,0.552,29.582,192109,85303,69.250,4187,1.509
59,68.899,3000000,0.568,29.562,214186,85240,71.532,10798,3.606
60,72.144,3000000,0.600,29.555,226187,97913,69.789,6468,1.996
61,75.541,3000000,0.611,29.668,238026,109533,68.485,2935,0.844
62,79.099,3000000,0.644,29.441,251665,120070,67.700,296,0.080
63,82.824,3000000,0.719,29.664,274321,116474,70.196,10831,2.772
