node,energy_kev,histories,error_pct,seconds_wall,dropped,scored,dropped_pct,dropped_scat,scat_pct
0,5.000,3000000,100.000,2.063,0,0,0.000,0,0.000
1,5.235,3000000,100.000,2.567,0,0,0.000,0,0.000
2,5.482,3000000,100.000,2.579,0,0,0.000,0,0.000
3,5.740,3000000,100.000,3.596,0,0,0.000,0,0.000
4,6.011,3000000,100.000,3.723,0,0,0.000,0,0.000
5,6.294,3000000,100.000,9.858,0,0,0.000,0,0.000
6,6.590,3000000,100.000,16.583,0,0,0.000,0,0.000
7,6.900,3000000,100.000,17.056,0,0,0.000,0,0.000
8,7.225,3000000,100.000,17.196,0,0,0.000,0,0.000
9,7.566,3000000,100.000,17.088,0,0,0.000,0,0.000
10,7.922,3000000,100.000,16.756,0,0,0.000,0,0.000
11,8.295,3000000,100.000,17.298,0,0,0.000,0,0.000
12,8.686,3000000,100.000,17.093,0,0,0.000,0,0.000
13,9.095,3000000,100.000,17.267,0,0,0.000,0,0.000
14,9.523,3000000,100.000,16.960,0,0,0.000,0,0.000
15,9.972,3000000,100.000,17.386,0,0,0.000,0,0.000
16,10.441,3000000,100.000,17.346,0,0,0.000,0,0.000
17,10.933,3000000,100.000,17.307,3,0,100.000,0,0.000
18,11.448,3000000,100.000,16.694,3,0,100.000,0,0.000
19,11.987,3000000,100.000,16.738,30,0,100.000,0,0.000
20,12.552,3000000,100.000,17.021,61,0,100.000,2,3.279
21,13.143,3000000,70.711,16.407,220,2,99.099,1,0.450
22,13.762,3000000,40.825,16.788,510,6,98.837,15,2.907
23,14.410,3000000,31.623,16.675,1057,10,99.063,21,1.968
24,15.089,3000000,26.038,17.027,2058,49,97.674,10,0.475
25,15.799,3000000,24.715,17.210,3841,32,99.174,89,2.298
26,16.543,3000000,20.370,16.826,6304,46,99.276,183,2.882
27,17.323,3000000,15.022,17.096,10079,171,98.332,178,1.737
28,18.138,3000000,12.754,17.448,14642,130,99.120,440,2.979
29,18.993,3000000,11.979,17.265,20751,144,99.311,617,2.953
30,19.887,3000000,10.711,17.216,27849,265,99.057,837,2.977
31,20.824,3000000,8.948,17.379,35574,272,99.241,1237,3.451
32,21.804,3000000,7.947,17.497,44452,610,98.646,1363,3.025
33,22.831,3000000,7.521,17.448,53808,410,99.244,1994,3.678
34,23.907,3000000,6.696,17.648,62988,963,98.494,2015,3.151
35,25.033,3000000,6.141,16.916,70054,3426,95.338,41,0.056
36,26.211,3000000,6.301,17.278,82707,1188,98.584,2947,3.513
37,27.446,3000000,5.580,17.305,90838,3212,96.585,1591,1.692
38,28.739,3000000,5.379,17.569,103464,1303,98.756,4290,4.095
39,30.092,3000000,4.851,17.018,111403,2825,97.527,3593,3.145
40,31.509,3000000,4.742,17.573,116513,5153,95.765,1907,1.567
41,32.993,3000000,4.320,17.278,126811,2237,98.267,5470,4.239
42,34.547,3000000,1.049,18.417,104150,33353,75.744,4338,3.155
43,36.174,3000000,0.955,18.746,109259,35035,75.720,3567,2.472
44,37.878,3000000,0.819,18.927,114656,36173,76.017,2533,1.679
45,39.662,3000000,0.868,19.149,119843,37679,76.080,1916,1.216
46,41.530,3000000,0.855,19.202,124438,37910,76.649,1478,0.910
47,43.486,3000000,1.051,18.471,128502,37741,77.298,1253,0.754
48,45.534,3000000,1.002,19.420,132989,37599,77.959,1393,0.817
49,47.678,3000000,1.089,19.840,137980,36564,79.052,1765,1.011
50,49.923,3000000,1.101,19.138,141862,35220,80.111,2291,1.294
51,52.275,3000000,1.141,19.206,146094,33479,81.356,2934,1.634
52,54.737,3000000,1.183,19.358,149823,31704,82.535,3782,2.083
53,57.315,3000000,0.984,19.434,149934,34068,81.485,577,0.314
54,60.014,3000000,1.041,19.552,154026,31530,83.008,2027,1.092
55,62.840,3000000,1.139,20.042,157844,28530,84.692,3461,1.857
56,65.800,3000000,1.030,19.990,158162,29398,84.326,1304,0.695
57,68.899,3000000,1.105,20.270,161490,26372,85.962,2945,1.568
58,72.144,3000000,1.031,20.377,162433,27260,85.629,1718,0.906
59,75.541,3000000,1.009,20.527,162923,27176,85.704,718,0.378
60,79.099,3000000,1.061,20.445,163632,27109,85.788,74,0.039
61,82.824,3000000,1.275,20.545,167209,23575,87.643,2222,1.165
62,86.725,3000000,1.570,20.163,167449,23242,87.812,1924,1.009
63,90.810,3000000,1.951,20.783,168608,22659,88.153,1848,0.966
