keV,response
0.000,3.75000000E-007
1.000,2.62500000E-006
2.000,4.75000000E-006
3.000,4.37500000E-006
4.000,4.62500000E-006
5.000,9.12500000E-006
6.000,1.21250000E-005
7.000,1.32500000E-005
8.000,1.21250000E-005
9.000,1.72500000E-005
10.000,1.36250000E-005
11.000,1.42500000E-005
12.000,1.46250000E-005
13.000,1.42500000E-005
14.000,1.56250000E-005
15.000,1.71250000E-005
16.000,1.80000000E-005
17.000,2.17500000E-005
18.000,3.22500000E-005
19.000,3.77500000E-005
20.000,3.68750000E-005
21.000,4.91250000E-005
22.000,5.30000000E-005
23.000,5.70000000E-005
24.000,2.88625000E-004
25.000,5.91250000E-005
26.000,6.42500000E-005
27.000,4.61875000E-004
28.000,6.96250000E-005
29.000,1.62550000E-003
30.000,3.70000000E-005
31.000,1.37462500E-003
32.000,8.25000000E-006
33.000,7.62500000E-006
34.000,7.87500000E-006
35.000,1.00000000E-005
36.000,8.87500000E-006
37.000,1.25000000E-005
38.000,1.01250000E-005
39.000,1.35000000E-005
40.000,1.35000000E-005
41.000,1.72500000E-005
42.000,2.05000000E-005
43.000,2.65000000E-005
44.000,2.87500000E-005
45.000,3.62500000E-005
46.000,3.95000000E-005
47.000,4.58750000E-005
48.000,6.93750000E-005
49.000,1.19750000E-004
50.000,1.60875000E-004
51.000,1.77250000E-004
52.000,2.00750000E-004
53.000,2.23375000E-004
54.000,2.57875000E-004
55.000,3.01625000E-004
56.000,3.82375000E-004
57.000,4.73250000E-004
58.000,4.95250000E-004
59.000,5.28250000E-004
60.000,2.10225634E-002
