node,energy_kev,histories,error_pct,seconds_wall,dropped,scored,dropped_pct,dropped_scat,scat_pct,q2,q4,dq2,dq4,q2t,q4t,dq2t,dq4t,eps_peak,eps_total,qk_histories
0,5.000,3000000,100.000,7.412,0,0,0.000,0,0.000,0.87578734689505022,0.64146150871971486,0.012193586395079526,0.033353241677039978,0.87494154695610327,0.63942215649478507,0.012263122647808202,0.03348809376027944,1.0529650336629503E-12,1.0562407831527204E-12,3000000
1,5.235,3000000,100.000,7.710,0,0,0.000,0,0.000,0.8318664223416482,0.534921303287147,0.017544640076889797,0.046551426301167764,0.837569455258963,0.548042924493412,0.016235515750905427,0.043457739136557996,7.8336712529045E-12,8.8310508833693845E-12,3000000
2,5.482,3000000,100.000,7.832,0,0,0.000,0,0.000,0.80133186524690714,0.46006173912296167,0.017752729870591243,0.045159044950337374,0.80434641547098273,0.46733704251613195,0.017301386562735051,0.0440041853737878,5.3747281976913838E-11,5.5172882358493277E-11,3000000
3,5.740,3000000,100.000,7.949,0,0,0.000,0,0.000,0.77711161263511841,0.407498889339809,0.019350338519393641,0.047743936426175734,0.776070116874401,0.40475419454635631,0.019290894862499745,0.047611697337397729,2.5786965853032313E-10,2.6014923883897457E-10,3000000
4,6.011,3000000,100.000,7.142,0,0,0.000,0,0.000,0.78835787492487275,0.4495066519530565,0.019523563323361789,0.046430756659415165,0.7979822626821258,0.47104933254283476,0.018050047054062962,0.043167423965791776,1.0708775187712522E-09,1.1725193241184707E-09,3000000
5,6.294,3000000,100.000,7.775,0,0,0.000,0,0.000,0.779445479832394,0.4311301116665735,0.018058392078212807,0.043368537354199412,0.775553733701391,0.42317723004324531,0.018217617179908611,0.043538667414479794,4.7650581894153931E-09,4.822886074077434E-09,3000000
6,6.590,3000000,100.000,8.629,0,0,0.000,0,0.000,0.71825743750503646,0.299485278309897,0.022073097490587022,0.048757548043687919,0.71746629043463139,0.29824543521981556,0.021667960007881966,0.047702783268217107,1.1087144664275246E-08,1.1424714631575214E-08,3000000
7,6.900,3000000,100.000,9.403,0,0,0.000,0,0.000,0.74830064457122447,0.37527046167504752,0.020768881694519632,0.046278506093668959,0.74757766652906821,0.37447592630275911,0.020803151298666549,0.046282831948449434,3.1481730860189219E-08,3.1513888475159057E-08,3000000
8,7.225,3000000,100.000,9.878,0,0,0.000,0,0.000,0.66572399828712636,0.2169100818906704,0.026296919828022128,0.055414612558735074,0.66524009353868219,0.2165300252195658,0.026314334735226746,0.055400821380510668,6.4051031326861123E-08,6.4094158186833441E-08,3000000
9,7.566,3000000,100.000,10.428,0,0,0.000,0,0.000,0.61291585796438708,0.1560847246071573,0.031962261833492642,0.062932781990558739,0.61120887177007055,0.15299360746463783,0.031919321187501459,0.062801282370976638,1.2645246329757867E-07,1.2725387373078739E-07,3000000
10,7.922,3000000,100.000,12.064,0,0,0.000,0,0.000,0.63202251833471612,0.18580120376576337,0.027489395426144855,0.05372614141473589,0.63689661807703224,0.19500909170133671,0.027127541821295571,0.053042850135151649,2.8080869244099188E-07,2.8615616131937818E-07,3000000
11,8.295,3000000,100.000,13.140,0,0,0.000,0,0.000,0.5963406798044506,0.14672197870297987,0.033287851562527053,0.062788934646126046,0.59564540252852338,0.14489368097679456,0.032640456618955871,0.061278242677143269,3.8823730616974224E-07,4.0028720646297261E-07,3000000
12,8.686,3000000,100.000,13.082,0,0,0.000,0,0.000,0.5486905810539594,0.062637159262936767,0.031051330298880006,0.054739401422495226,0.54805104051030762,0.062436291642927154,0.031065545950280014,0.054702868579381385,7.1127220138441831E-07,7.1186967434915833E-07,3000000
13,9.095,3000000,100.000,13.919,0,0,0.000,0,0.000,0.59103902662666274,0.15594079690008023,0.028928295234185896,0.050376405699970761,0.58769520547064447,0.1520374218006034,0.028975668602708192,0.050268271962483436,1.3395326865102396E-06,1.3494791536298459E-06,3000000
14,9.523,3000000,100.000,14.346,0,0,0.000,0,0.000,0.55080511372709318,0.0890567164006234,0.028824720288871761,0.049933978707922815,0.54974288808225924,0.089743783881721578,0.028581467306485045,0.049222804268793025,2.0575864690138303E-06,2.1176077053212459E-06,3000000
15,9.972,3000000,100.000,14.354,0,0,0.000,0,0.000,0.47927433703412092,0.0080069472257192562,0.029506257352975285,0.042914542673237188,0.47661729109148454,0.00087856383126613607,0.029014565443917784,0.042351245691178541,2.8756204559960703E-06,2.9435173439609828E-06,3000000
16,10.441,3000000,100.000,14.148,0,0,0.000,0,0.000,0.53358448347670184,0.088065944422419828,0.028074962602486254,0.0443383585912047,0.53247763024816153,0.087691915508105664,0.028089743451529012,0.044269555457292234,4.1703744337250405E-06,4.1779800862336011E-06,3000000
17,10.933,3000000,100.000,14.595,1,0,100.000,0,0.000,0.51383746717823076,0.0644974450673948,0.025646510275624836,0.037017275560690663,0.51191910554182662,0.064034650423844763,0.025652013799163959,0.036886225643659391,5.8526428496899774E-06,5.8757542144171636E-06,3000000
18,11.448,3000000,100.000,15.671,9,0,100.000,0,0.000,0.49380420508790629,0.063130764735272141,0.021014251656469349,0.029499512545742575,0.49283782705834617,0.060496454144809177,0.020771669434943563,0.029042298516519773,7.8288072823604941E-06,8.0504343081800932E-06,3000000
19,11.987,3000000,100.000,15.862,23,0,100.000,0,0.000,0.60636535712081685,0.20428045982842902,0.013569270838605738,0.019385010092194607,0.60526402559592374,0.20293615318871888,0.013518647046216433,0.019313546592022703,1.7530822491437493E-05,1.7685942564705151E-05,3000000
20,12.552,3000000,100.000,15.336,102,0,100.000,4,3.922,0.65290320874443708,0.25815107792292152,0.007651717260976864,0.0101951875262203,0.65182903754860322,0.25743110156563243,0.0076422650499441821,0.010124822017909183,4.3445595182069579E-05,4.3856786081265769E-05,3000000
21,13.143,3000000,35.355,15.761,283,8,97.251,4,1.375,0.67113801502376391,0.26951148012167697,0.0036781958512733062,0.0047711838723919217,0.67004007470855731,0.26822875611824182,0.0036872665625603293,0.0047844651057694174,0.00010585643029497069,0.00010692465694268166,3000000
22,13.762,3000000,44.721,16.631,754,5,99.341,11,1.449,0.65614667078913369,0.24204713531583089,0.0021989613444637788,0.0027017872037977926,0.65608834491500057,0.2418338043763886,0.0021822456364029184,0.0026820700628162933,0.00026091516911009444,0.00026297408937764691,3000000
23,14.410,3000000,25.000,14.925,1676,16,99.054,42,2.482,0.64654143156554111,0.2200420538731368,0.0010317586770876457,0.0013705485230170213,0.64618931165419091,0.21959444266830583,0.0010296589832641239,0.001364450999898087,0.00057968151309805631,0.00058445999266473422,3000000
24,15.089,3000000,19.144,15.136,3528,133,96.367,19,0.519,0.62335742470712663,0.1868795848054435,0.00073533365401691768,0.0010434330549299235,0.62294430538138024,0.18638856761406761,0.00073365003623877877,0.0010399364994684937,0.0011996091287939359,0.001209449338645478,3000000
25,15.799,3000000,16.124,15.231,6812,73,98.940,214,3.108,0.59919276539401811,0.15455113505778714,0.00054910384779177309,0.00083669559060270621,0.59872553326311,0.15410012976870505,0.00054936078982374356,0.00083409990528330051,0.0022611020893962739,0.0022792022186012223,3000000
26,16.543,3000000,14.468,16.996,12144,87,99.289,471,3.851,0.57467570703909732,0.12497703888780302,0.00047496075151436888,0.00073885999945597915,0.57418573317427368,0.12455251225369116,0.00047362116409983948,0.00073661823686735958,0.0039874841238035528,0.0040184043868469552,3000000
27,17.323,3000000,8.562,15.722,20199,531,97.438,504,2.431,0.54917579588992216,0.096528393030336945,0.000436792047113808,0.000678521233959271,0.54841048251577351,0.0959096646800055,0.0004362487221004514,0.00067675977323412,0.0066451395257524932,0.0066977495176018843,3000000
