node,energy_kev,histories,error_pct,seconds_wall,dropped,scored,dropped_pct,dropped_scat,scat_pct,q2,q4,dq2,dq4,q2t,q4t,dq2t,dq4t,eps_peak,eps_total,qk_histories
0,5.000,3000000,100.000,6.061,0,0,0.000,0,0.000,0,0,0,0,0,0,0,0,0,0,3000000
1,5.235,3000000,100.000,6.720,0,0,0.000,0,0.000,0,0,0,0,0,0,0,0,0,0,3000000
2,5.482,3000000,100.000,12.730,0,0,0.000,0,0.000,0,0,0,0,0,0,0,0,0,0,3000000
3,5.740,3000000,100.000,11.433,0,0,0.000,0,0.000,0,0,0,0,0,0,0,0,0,0,3000000
4,6.011,3000000,100.000,12.186,0,0,0.000,0,0.000,0,0,0,0,0,0,0,0,0,0,3000000
5,6.294,3000000,100.000,12.277,0,0,0.000,0,0.000,0.5550879376731952,0.020195787189123748,0.012016252725989435,0.020146373512994326,0.56057906180883088,0.027832531139593226,0.01204167845747175,0.020467199596313875,3.2846562269311286E-30,3.4323178141813407E-30,3000000
6,6.590,3000000,100.000,11.392,0,0,0.000,0,0.000,0.56137303703794361,0.039700631034436565,0.0076700249371377633,0.013302872464991249,0.56353264598430375,0.044161244572109168,0.0076574293530816311,0.013357605811395891,8.7282722752035E-27,8.9835987595294172E-27,3000000
7,6.900,3000000,100.000,13.117,0,0,0.000,0,0.000,0.56138787142703084,0.052695771778858709,0.007225293167708936,0.012393887572904241,0.561160404758483,0.052662733197803145,0.0072187939544483028,0.012404686195552956,6.17177101815424E-24,6.2595132030772373E-24,3000000
8,7.098,3000000,100.000,13.698,0,0,0.000,0,0.000,0.55933766287736619,0.054942482272245026,0.0069589928194536792,0.012352124240398494,0.55908671278000055,0.05535926520898226,0.0069206339303965261,0.012275234059487104,2.0908318010887714E-22,2.116477317216112E-22,3000000
9,7.126,3000000,100.000,13.662,0,0,0.000,0,0.000,0.54639257262530827,0.014647675959189411,0.018579532311244314,0.028592246754093439,0.54515662491983452,0.01128532904338731,0.018329264658468632,0.028277743565183457,4.6323433845776328E-23,4.7004555110121337E-23,3000000
10,7.225,3000000,100.000,13.991,0,0,0.000,0,0.000,0.55024437594647657,0.020937551436927937,0.016444161959135631,0.027117590841246327,0.54851573811629362,0.017569936443469169,0.016189735668937718,0.026707493337817613,2.8967702438326417E-22,2.9487606614756525E-22,3000000
11,7.566,3000000,100.000,14.395,0,0,0.000,0,0.000,0.54067675744451782,0.018133690044085667,0.016279562161245695,0.025346138196777859,0.54004273084372534,0.016911709003254553,0.016164702172557759,0.025159019634174867,3.7201949756110184E-20,3.7488637491500264E-20,3000000
12,7.922,3000000,100.000,14.700,0,0,0.000,0,0.000,0.5506461964043714,0.049595485416920618,0.014235214828263371,0.021277389384080889,0.54941799399548252,0.046619579785114461,0.014064869475067921,0.021056960425806535,2.905372240774568E-18,2.9517416032458595E-18,3000000
13,8.295,3000000,100.000,14.487,0,0,0.000,0,0.000,0.53536654481416324,0.020016850051644844,0.014935531337146849,0.02163676677355,0.53525034179239273,0.020159963665712606,0.014842717914075106,0.021512671506774939,1.6536807920971314E-16,1.6676892301322242E-16,3000000
14,8.686,3000000,100.000,14.468,0,0,0.000,0,0.000,0.54639903981376647,0.0504145991061979,0.011671292433931882,0.019358507220471045,0.547573572802733,0.0517433740506538,0.01152414679029487,0.019097320214335259,5.8705586969352075E-15,5.9769485568222487E-15,3000000
15,9.095,3000000,100.000,14.420,0,0,0.000,0,0.000,0.54085418119205508,0.044243179210190463,0.011512727622626754,0.017255094836327353,0.54076955162610574,0.044481048232678906,0.011433387059053732,0.017125111362639129,1.2734107930887217E-13,1.2841144102824752E-13,3000000
16,9.523,3000000,100.000,14.792,0,0,0.000,0,0.000,0.53307148882069988,0.052535701818649708,0.010964039679315035,0.016933991962451492,0.53187823736670614,0.050100813272213246,0.010855246751643165,0.016748340047914721,1.8816146112927928E-12,1.9105663428282717E-12,3000000
17,9.972,3000000,100.000,14.821,0,0,0.000,0,0.000,0.532943473708944,0.043106790707204176,0.0088890480884097848,0.015825565067496019,0.5332566575828992,0.043313783778550469,0.0088364580441923843,0.015734247722427,2.123790461039456E-11,2.1410277698653918E-11,3000000
18,10.441,3000000,100.000,15.706,0,0,0.000,0,0.000,0.52281456566610385,0.058052720146968585,0.0098835187990498549,0.014433277745965358,0.52286374164667893,0.057670373871966885,0.0098084124116550875,0.014333146089511374,1.8348727414092939E-10,1.8542397758679219E-10,3000000
19,10.933,3000000,100.000,15.716,0,0,0.000,0,0.000,0.51516798214683013,0.041772944830769938,0.0079807893214645254,0.012188266770423327,0.51589015507448743,0.0426840523050591,0.007936080951962932,0.012117889710322707,1.2589220936097755E-09,1.2682601158588663E-09,3000000
20,11.448,3000000,100.000,17.248,0,0,0.000,0,0.000,0.50568932506862674,0.053821145147925534,0.010032540462461969,0.011976478940084962,0.504854424634642,0.052874720767513504,0.0099685988267989752,0.011905293429925615,7.0234464432578372E-09,7.0850853474880826E-09,3000000
21,11.987,3000000,100.000,18.080,0,0,0.000,0,0.000,0.4946091566394174,0.040167497655578976,0.009648004473820573,0.01412580756622041,0.49429090106573637,0.039937723225317905,0.0096010331860750687,0.014055239604445092,3.3648346148513154E-08,3.3834920695519061E-08,3000000
22,12.552,3000000,100.000,16.442,1,0,100.000,0,0.000,0.48669166121037372,0.036660776267796853,0.016724033158988932,0.021742050906516441,0.4867985848574633,0.03661918789429023,0.016607556088435508,0.0215969347733073,1.3168459277759775E-07,1.3265366344220704E-07,3000000
23,13.143,3000000,100.000,17.418,0,0,0.000,0,0.000,0.47530545570381488,0.031482005126918462,0.0091723226039898131,0.017106586614866272,0.47574951549208472,0.032673283240835974,0.0091884730476382778,0.017096118824071742,4.3642048793089821E-07,4.3987273221066969E-07,3000000
24,13.762,3000000,100.000,19.012,4,0,100.000,0,0.000,0.48532923210794604,0.062641012796163117,0.010858276576433524,0.0140942373504436,0.48449239158141261,0.062386209728478421,0.010828728526385807,0.014028502973120098,1.2514261440910071E-06,1.258271692119433E-06,3000000
25,14.410,3000000,100.000,18.098,11,0,100.000,1,9.091,0.463595217101509,0.040494854769012913,0.008680538929232904,0.0087996258051101645,0.46397286272632748,0.041013704661571754,0.0086371327255402083,0.0087610774842371841,3.1282884934387896E-06,3.1476667406834747E-06,3000000
26,15.089,3000000,100.000,18.950,25,0,100.000,0,0.000,0.45533669061282867,0.042532906639711161,0.00690855263908331,0.0075378805959310973,0.45517185343211281,0.042433101291257345,0.006877540175638199,0.0075072924005948182,7.7146620346894824E-06,7.7589329505508753E-06,3000000
27,15.799,3000000,100.000,20.486,50,0,100.000,1,2.000,0.44482918819831735,0.040473446439810622,0.0055131327391412374,0.0058974314518544894,0.44463698518426925,0.040538563054590145,0.0054955572880445351,0.0058785304982207093,1.6494671262710332E-05,1.6587172437919923E-05,3000000
28,16.543,3000000,100.000,21.429,83,0,100.000,3,3.614,0.44373433832460918,0.0435989448413545,0.004915659807542337,0.0057426884386715012,0.44389607699071448,0.043633774763528616,0.004887944956298922,0.0057341005336563559,3.339630309441267E-05,3.3650346061967444E-05,3000000
29,17.323,3000000,47.191,21.250,198,5,97.537,5,2.463,0.42540984936970366,0.037314534624464039,0.0042203128986851466,0.0045755416509707754,0.42516390669283188,0.037505928570018471,0.004205042878776326,0.0045575568740701209,6.2593551220771571E-05,6.2968735844282518E-05,3000000
30,18.138,3000000,96.640,22.670,356,2,99.441,15,4.190,0.43112705126428758,0.046598628593430329,0.0035951544244471802,0.0041175094619598446,0.4303423210821401,0.046172320321813731,0.0035954775447592691,0.0041066665803053924,0.00011209819479616929,0.00011295572003503742,3000000
31,18.993,3000000,62.072,23.180,584,3,99.489,32,5.451,0.42468776838385625,0.0515019081486011,0.0033509170664796336,0.0036899504990700522,0.42352041161426168,0.051162591385350939,0.0033566503847153573,0.0036753217043632731,0.00018810641330440229,0.00018967545601697539,3000000
32,19.887,3000000,54.710,23.417,965,7,99.280,46,4.733,0.40974456680791571,0.042567837734791031,0.0030115881659029454,0.0031796691184006469,0.40849983858109207,0.042196901777661056,0.0030147970707567022,0.0031689419290304847,0.00030777753495172372,0.00031042754818242469,3000000
33,20.824,3000000,45.465,28.166,1458,13,99.116,90,6.118,0.40716127736461549,0.0445754513065534,0.00275277570167305,0.0029117189107585092,0.40585339020658417,0.044346637093776023,0.0027473053617489657,0.0028997419562603803,0.0004707390498958738,0.00047559197909143714,3000000
34,21.804,3000000,40.059,25.356,2133,42,98.069,89,4.092,0.406623993320053,0.047060650308629715,0.0024849611856796222,0.0026783192726776866,0.40459884732509532,0.047093776747580023,0.00248990026821907,0.0026729550687760342,0.00068786429002212421,0.000697276880961585,3000000
35,22.831,3000000,40.839,26.953,3156,30,99.058,198,6.215,0.39899901531401383,0.044247722455652574,0.0023115346070707254,0.0024271557540137419,0.39594111954768585,0.043379630845492859,0.0023109950580371815,0.0024109420659293433,0.0010057447791617523,0.0010225849403471257,3000000
36,23.907,3000000,20.525,27.604,4323,141,96.841,231,5.175,0.39477585772350621,0.042190864070415432,0.0021270498834926872,0.0021877199754984419,0.39072101448291835,0.041213091813888519,0.0021234727172264232,0.0021707157147649071,0.0014002771731362251,0.0014258977803134163,3000000
37,25.033,3000000,21.443,26.609,5565,539,91.170,10,0.164,0.39241744774030551,0.041890566024993449,0.0019656201612306369,0.0019991232866086155,0.38839483884221054,0.04089889980640312,0.0019614334002346552,0.0019849053626856453,0.0019383452241358214,0.0019807683384779474,3000000
38,26.211,3000000,18.044,26.872,7984,242,97.058,461,5.604,0.38707708819184072,0.044015453039494855,0.0018263730801304527,0.0018295917295146505,0.38159456931095376,0.042606975827783278,0.0018227176761776388,0.0018136590228027304,0.0026248659030421871,0.0026924347738253853,3000000
39,27.446,3000000,15.794,28.031,10115,703,93.502,287,2.653,0.38440341610273809,0.042747365661602123,0.0016949084063003327,0.001693502879279492,0.3776300109719683,0.041185003325697578,0.0016946799963028097,0.001674251310275206,0.0034592990063961764,0.0035649635882094052,3000000
40,28.739,3000000,12.612,29.013,13936,395,97.244,1032,7.201,0.38020031967673362,0.040033986708566185,0.0015772805022845442,0.0015477640728739333,0.37279568911400018,0.038296942255546175,0.00157448565715338,0.0015274897709441778,0.0045327037581633922,0.0046923797366668282,3000000
41,30.092,3000000,10.070,30.771,17542,995,94.632,978,5.276,0.37903299506937072,0.039948219773282952,0.0014564846472774372,0.001419488334129761,0.370940304945789,0.037761848132358035,0.0014530007582179824,0.0013998162166604998,0.00580321848815844,0.0060351480171930679,3000000
42,31.509,3000000,9.401,29.361,21505,1927,91.776,620,2.646,0.37791644961801396,0.039445881298146711,0.0013625795674529998,0.0013164638287065371,0.368687908377728,0.036971559595943969,0.0013590981138400361,0.0012949155700967964,0.007195548720287985,0.0075341529578614522,3000000
43,32.993,3000000,8.793,29.529,28299,1190,95.965,2210,7.494,0.37823441466239888,0.040433744830912714,0.0012694315654944047,0.0012265415379041093,0.36718788278741027,0.037546807148696758,0.001266385172567254,0.0012047881261967961,0.0088622285971064179,0.0093303663696818057,3000000
44,34.547,3000000,2.118,33.032,25805,10337,71.399,1874,5.185,0.37893044082167,0.039838694014047438,0.0013330727573823452,0.0012820558070707978,0.36530620941260644,0.03628698316370748,0.001173378121469962,0.0011079246836739854,0.0082238808871853333,0.011607972632762078,3000000
45,36.174,3000000,1.779,33.942,31321,13130,70.462,1641,3.692,0.37773972131750871,0.037978273077219661,0.0012326886888512861,0.0011808938447150806,0.36229563217590943,0.033447747738082567,0.0010893295856854368,0.0010203426184456129,0.010142239624143875,0.014240997253930205,3000000
46,37.878,3000000,1.310,32.798,37387,16560,69.303,1625,3.012,0.37957386107374913,0.039703460549062819,0.0011532433985347863,0.0010959235646736214,0.36185437874551157,0.034329783539944154,0.0010217349276464762,0.00094800081438488337,0.012334294290374345,0.017269618915174048,3000000
47,39.662,3000000,1.303,34.335,44654,20438,68.601,1430,2.197,0.38046570884230357,0.037964051806945745,0.0010723989468775965,0.0010187307673128767,0.36155840605671263,0.031830696354112627,0.00095169560418965741,0.00088169507950293564,0.014939908492389645,0.020805737146030158,3000000
48,41.530,3000000,1.113,34.177,53038,24496,68.406,1275,1.644,0.38260082759465869,0.037893277119519155,0.00099707994679561532,0.00094496762812548273,0.36198113533156467,0.031364713474550304,0.000889029447725524,0.00081913393720957871,0.017751165801610857,0.024648734064397156,3000000
49,43.486,3000000,1.008,33.756,62614,28574,68.665,1385,1.519,0.38305769718626437,0.035276891972791512,0.00092953746896824621,0.00087998842461047141,0.35966555276801021,0.02846711144089311,0.00083513584485715459,0.00076455040646475315,0.020957257397976454,0.028921553377998795,3000000
50,45.534,3000000,0.915,34.611,73405,33306,68.789,1618,1.516,0.384506137900102,0.037990765868732887,0.0008799075050762319,0.00082655127780787113,0.36058926815042264,0.03016523618391332,0.00078893223873442427,0.00071937295211709342,0.024613495837614265,0.03386285027680562,3000000
51,47.678,3000000,0.853,34.888,86286,38469,69.164,2281,1.828,0.38572906235115506,0.036223288212553183,0.000826520384697812,0.00077698238060738855,0.35967655997799491,0.027583377274348515,0.00074366495166992646,0.00067749699890615525,0.02869393789145645,0.039274457845570911,3000000
