node,energy_kev,histories,error_pct,seconds_wall,dropped,scored,dropped_pct,dropped_scat,scat_pct,q2,q4,dq2,dq4,q2t,q4t,dq2t,dq4t,eps_peak,eps_total,qk_histories
0,5.000,6000000,100.000,12.436,0,0,0.000,0,0.000,0,0,0,0,0,0,0,0,0,0,6000000
1,5.235,6000000,100.000,14.451,0,0,0.000,0,0.000,0,0,0,0,0,0,0,0,0,0,6000000
2,5.482,6000000,100.000,16.223,0,0,0.000,0,0.000,0,0,0,0,0,0,0,0,0,0,6000000
3,5.740,6000000,100.000,16.098,0,0,0.000,0,0.000,0,0,0,0,0,0,0,0,0,0,6000000
4,6.011,6000000,100.000,13.449,0,0,0.000,0,0.000,0.99190959543829793,0.97320051692638754,0.0016390127476630649,0.0054192462551328714,0.99186006420584671,0.973037427372892,0.0016161849994531271,0.0053439579365150182,2.7163031511058995E-34,2.7342463503175787E-34,6000000
5,6.294,6000000,100.000,20.932,0,0,0.000,0,0.000,0.99390494716440836,0.97978699032520555,5.2814495848443007E-06,1.7460855987485265E-05,0.9939055286504852,0.979788921261935,5.2216094838467482E-06,1.7263057937263962E-05,3.8046847599187782E-28,3.8878768030853851E-28,6000000
6,6.590,6000000,100.000,20.052,0,0,0.000,0,0.000,0.99387351169924221,0.97968315744068346,5.38407361268243E-06,1.7799252894893361E-05,0.99387267094675258,0.97968038826017889,5.3386042239255179E-06,1.7649056252434636E-05,4.6442391433986142E-25,4.7387184514643946E-25,6000000
7,6.900,6000000,100.000,23.667,0,0,0.000,0,0.000,0.99382303331562849,0.97951612421131029,1.6432067613996986E-05,5.4456106881983131E-05,0.993823412097312,0.979517371635054,1.6140785974036E-05,5.3490520702614724E-05,2.3408361538539514E-22,2.3855779330717476E-22,6000000
8,7.225,6000000,100.000,23.033,0,0,0.000,0,0.000,0.99520991666968228,0.9841051267617561,0.00090539852069720147,0.0029957108504283085,0.9951936783652966,0.98405139946916476,0.00090089698229055791,0.002980816267215402,8.4609516489191782E-20,8.5579764232346813E-20,6000000
9,7.566,6000000,100.000,25.063,0,0,0.000,0,0.000,0.99378775476404069,0.97939880602748186,9.5041904468628943E-06,3.1024559644568019E-05,0.99378666165413931,0.97939520554737924,9.38970100089308E-06,3.0651453143740354E-05,6.5329787331906966E-18,6.63883859781929E-18,6000000
10,7.922,6000000,100.000,24.093,0,0,0.000,0,0.000,0.99375212572749783,0.97928176242962117,9.3797687366158315E-06,3.1077584492408684E-05,0.9937512983074871,0.97927903755843815,9.2939583086096014E-06,3.0790807654753286E-05,4.1126375678198907E-16,4.1780245058110029E-16,6000000
11,8.295,6000000,100.000,23.104,0,0,0.000,0,0.000,0.99372331298439343,0.97918651395114675,1.3584278875447317E-05,4.4917961926256074E-05,0.99372282689698688,0.97918490593696372,1.3405999969175375E-05,4.4328414583064967E-05,1.64407845535617E-14,1.6676009313512291E-14,6000000
12,8.686,6000000,100.000,25.875,0,0,0.000,0,0.000,0.99374159503031767,0.97924691697718835,1.4945377176065774E-05,4.9334747028885527E-05,0.99373984077166744,0.97924112434910615,1.4768812448751106E-05,4.8751983767547874E-05,4.1721185207251769E-13,4.2278231120290014E-13,6000000
13,9.095,6000000,100.000,22.989,0,0,0.000,0,0.000,0.99369505895234722,0.9790934316606944,1.9223195518469493E-05,6.3456717841579361E-05,0.99369426087837731,0.97909079142610578,1.8994021742046194E-05,6.2700285305353418E-05,6.9969939984137018E-12,7.0848380479222839E-12,6000000
14,9.523,6000000,100.000,26.317,0,0,0.000,0,0.000,0.99376648159174641,0.979330630514368,0.00011479716216173828,0.00038020439622497729,0.99376583805022556,0.97932850214031364,0.000113493663573625,0.00037588717466135741,8.4996502397766872E-11,8.5984903107373307E-11,6000000
15,9.972,6000000,100.000,26.274,0,0,0.000,0,0.000,0.99384479420195648,0.97958766955001575,0.00024752251602383978,0.00081834418139635067,0.99384243929908822,0.97957989534100876,0.00024527865841205267,0.000810924800372773,8.0267404942025943E-10,8.1056101246329371E-10,6000000
16,10.441,6000000,100.000,25.362,0,0,0.000,0,0.000,0.99364103920436053,0.978915907111034,8.8942776387008181E-05,0.00029467140843113411,0.99364110956091889,0.97891612611942724,8.8059462618755429E-05,0.000291744926976685,4.8971344139540106E-09,4.946368154243645E-09,6000000
17,10.933,6000000,100.000,26.598,0,0,0.000,0,0.000,0.993471972405524,0.97835698067247334,8.9652157382508462E-05,0.00029549109962692026,0.99347324870361187,0.97836119317981263,8.884465133458813E-05,0.00029282972054412869,2.6147587347395728E-08,2.6389635947507479E-08,6000000
18,11.448,6000000,100.000,27.409,0,0,0.000,0,0.000,0.99361435928133723,0.97882706904332373,3.2814194190029292E-05,0.00010831833878832131,0.993615848606446,0.97883202623905352,3.263621516145013E-05,0.0001077334891339474,1.0961269732811542E-07,1.1068691512489177E-07,6000000
19,11.987,6000000,100.000,28.003,2,0,100.000,0,0.000,0.99357461449140283,0.97869590826456565,2.1142164357956154E-05,6.9799592353601418E-05,0.993574095828343,0.97869418466316394,2.0972649486849216E-05,6.92403333350088E-05,3.8586502554672605E-07,3.8919539326444875E-07,6000000
20,12.552,6000000,100.000,27.136,6,0,100.000,0,0.000,0.99359108073600466,0.978750273317569,1.2286693736506772E-05,4.059122802530976E-05,0.993589491288639,0.97874505598870931,1.2500018825538705E-05,4.1288444038529011E-05,1.1520062361269058E-06,1.1623029211003526E-06,6000000
21,13.143,6000000,100.000,23.049,18,0,100.000,0,0.000,0.99356874237467219,0.97867665761070288,1.0005347932172472E-05,3.3043849036803464E-05,0.99356765034451011,0.97867305590037112,1.0006734487398264E-05,3.304738766891399E-05,3.0349707049223174E-06,3.0597312334717036E-06,6000000
22,13.762,6000000,100.000,26.187,40,0,100.000,0,0.000,0.99355635553808763,0.978635721032483,7.9041783247428464E-06,2.6112379405585657E-05,0.99355541404855963,0.97863261424662606,7.8794378093557163E-06,2.6030796597813124E-05,6.9902044450898282E-06,7.04418108617264E-06,6000000
23,14.410,6000000,100.000,26.622,97,0,100.000,0,0.000,0.99355742270823677,0.97863939345484552,6.7731535968609781E-06,2.2375836925809775E-05,0.99355561128546721,0.9786334302780656,6.76734226183523E-06,2.2356426656912956E-05,1.4557570911399037E-05,1.4663869642862181E-05,6000000
24,15.089,6000000,71.941,25.800,167,5,97.093,0,0.000,0.99353314637977375,0.97855927588046665,6.2299309049790029E-06,2.0581994106202852E-05,0.99353078409485451,0.97855148453782514,6.221412002692604E-06,2.0553708352655098E-05,2.7549953707750997E-05,2.77395614535861E-05,6000000
25,15.799,6000000,70.795,26.680,307,4,98.714,7,2.251,0.99352466365477532,0.97853135102716993,5.879529097427214E-06,1.9425993366785803E-05,0.99352041576898131,0.97851734060093853,5.874661594419051E-06,1.9409723695892113E-05,4.7528961364561427E-05,4.7866706057948326E-05,6000000
26,16.543,6000000,62.510,27.092,482,3,99.381,11,2.268,0.99351294898896736,0.97849273895307687,5.630451631436721E-06,1.8603800616040072E-05,0.99350732800944508,0.97847420082907266,5.6269713600177919E-06,1.8592042366435885E-05,7.6827417742638687E-05,7.7346037057114865E-05,6000000
