node,energy_kev,histories,error_pct,seconds_wall,dropped,scored,dropped_pct,dropped_scat,scat_pct,q2,q4,dq2,dq4,q2t,q4t,dq2t,dq4t,eps_peak,eps_total,qk_histories
0,5.000,6000000,100.000,20.978,0,0,0.000,0,0.000,0,0,0,0,0,0,0,0,0,0,6000000
1,5.235,6000000,100.000,17.683,0,0,0.000,0,0.000,0,0,0,0,0,0,0,0,0,0,6000000
2,5.482,6000000,100.000,18.055,0,0,0.000,0,0.000,0,0,0,0,0,0,0,0,0,0,6000000
3,5.740,6000000,100.000,18.060,0,0,0.000,0,0.000,0,0,0,0,0,0,0,0,0,0,6000000
4,6.011,6000000,100.000,25.867,0,0,0.000,0,0.000,0.98921849488557678,0.96434891989391169,0.00092599509076520686,0.0030395591253506589,0.98920738679616249,0.96431279148669147,0.00091610736791214963,0.0030070573196217922,4.5620842125759636E-34,4.6175553968670477E-34,6000000
5,6.294,6000000,100.000,44.290,0,0,0.000,0,0.000,0.98989199505226466,0.96658081077501645,3.90710637382986E-06,1.286630079199189E-05,0.98989221912223457,0.96658155063670337,3.8674608308556543E-06,1.2735775897148787E-05,6.3533575096474658E-28,6.4692035771888886E-28,6000000
6,6.590,6000000,100.000,54.114,0,0,0.000,0,0.000,0.98979465138713019,0.96626033619210216,4.7558824528207588E-06,1.5650800293875505E-05,0.98979474236242582,0.96626064215749119,4.7177614375987156E-06,1.5525942349836684E-05,7.8337217131273212E-25,7.9670242391387209E-25,6000000
7,6.900,6000000,100.000,43.072,0,0,0.000,0,0.000,0.98404786037311931,0.94740129326035738,0.0024477640447664074,0.00803229386894465,0.98408750194142758,0.94753138900917322,0.0024532000049418746,0.0080501389996269889,9.2048431273195179E-22,9.26872585122398E-22,6000000
8,7.225,6000000,100.000,58.717,0,0,0.000,0,0.000,0.9896546577463865,0.96579954367631937,1.0241525531072042E-05,3.37542404627013E-05,0.989654016068093,0.96579744263698664,1.0103947900290623E-05,3.3300721912559662E-05,9.29704529302763E-20,9.4355879320370754E-20,6000000
9,7.566,6000000,100.000,60.378,0,0,0.000,0,0.000,0.98964728830562554,0.96577101685138267,0.00012285843482753685,0.00040076121311124097,0.98964521966373764,0.96576426019459749,0.0001214121811358597,0.00039604327158488474,1.1860438551646167E-17,1.2013063348454985E-17,6000000
