keV,response
0.000,1.50000000E-005
1.000,5.00000000E-005
2.000,4.00000000E-005
3.000,5.00000000E-006
4.000,3.00000000E-005
5.000,1.50000000E-005
6.000,3.00000000E-005
7.000,2.50000000E-005
8.000,3.50000000E-005
9.000,3.50000000E-005
10.000,1.50000000E-005
11.000,3.00000000E-005
12.000,2.50000000E-005
13.000,4.50000000E-005
14.000,3.50000000E-005
15.000,2.50000000E-005
16.000,4.50000000E-005
17.000,3.00000000E-005
18.000,3.00000000E-005
19.000,3.00000000E-005
20.000,3.00000000E-005
21.000,3.00000000E-005
22.000,3.50000000E-005
23.000,2.50000000E-005
24.000,4.00000000E-005
25.000,1.00000000E-005
26.000,2.50000000E-005
27.000,4.00000000E-005
28.000,1.00000000E-005
29.000,2.00000000E-005
30.000,4.00000000E-005
31.000,4.00000000E-005
32.000,2.00000000E-005
33.000,3.50000000E-005
34.000,3.50000000E-005
35.000,5.50000000E-005
36.000,2.50000000E-005
37.000,2.00000000E-005
38.000,5.50000000E-005
39.000,2.50000000E-005
40.000,4.50000000E-005
41.000,3.00000000E-005
42.000,1.50000000E-005
43.000,3.00000000E-005
44.000,3.00000000E-005
45.000,2.00000000E-005
46.000,3.00000000E-005
47.000,1.50000000E-005
48.000,2.00000000E-005
49.000,1.50000000E-005
50.000,3.00000000E-005
51.000,3.00000000E-005
52.000,3.00000000E-005
53.000,1.50000000E-005
54.000,2.50000000E-005
55.000,2.00000000E-005
56.000,4.50000000E-005
57.000,2.00000000E-005
58.000,3.50000000E-005
59.000,1.00000000E-005
60.000,5.00000000E-006
61.000,1.50000000E-005
62.000,1.50000000E-005
63.000,4.00000000E-005
64.000,1.00000000E-005
65.000,1.50000000E-005
66.000,3.00000000E-005
67.000,1.00000000E-005
68.000,5.00000000E-005
69.000,1.50000000E-005
70.000,2.50000000E-005
71.000,1.50000000E-005
72.000,3.50000000E-005
73.000,1.00000000E-005
74.000,3.50000000E-005
75.000,3.50000000E-005
76.000,0.00000000E+000
77.000,2.00000000E-005
78.000,3.00000000E-005
79.000,2.00000000E-005
80.000,2.50000000E-005
81.000,2.50000000E-005
82.000,3.50000000E-005
83.000,1.50000000E-005
84.000,1.00000000E-005
85.000,1.50000000E-005
86.000,1.00000000E-005
87.000,1.00000000E-005
88.000,1.50000000E-005
89.000,5.00000000E-006
90.000,3.50000000E-005
91.000,1.00000000E-005
92.000,2.00000000E-005
93.000,3.00000000E-005
94.000,3.50000000E-005
95.000,1.50000000E-005
96.000,3.00000000E-005
97.000,1.00000000E-005
98.000,1.50000000E-005
99.000,3.50000000E-005
100.000,2.00000000E-005
101.000,1.50000000E-005
102.000,1.50000000E-005
103.000,3.50000000E-005
104.000,1.00000000E-005
105.000,2.00000000E-005
106.000,3.00000000E-005
107.000,1.00000000E-005
108.000,1.50000000E-005
109.000,1.00000000E-005
110.000,2.50000000E-005
111.000,1.50000000E-005
112.000,2.00000000E-005
113.000,1.50000000E-005
114.000,1.00000000E-005
115.000,1.00000000E-005
116.000,2.00000000E-005
117.000,2.00000000E-005
118.000,2.50000000E-005
119.000,1.50000000E-005
120.000,2.50000000E-005
121.000,1.50000000E-005
122.000,3.50000000E-005
123.000,1.50000000E-005
124.000,1.00000000E-005
125.000,0.00000000E+000
126.000,3.50000000E-005
127.000,1.50000000E-005
128.000,1.00000000E-005
129.000,1.00000000E-005
130.000,3.50000000E-005
131.000,3.00000000E-005
132.000,1.50000000E-005
133.000,3.50000000E-005
134.000,3.00000000E-005
135.000,2.00000000E-005
136.000,1.50000000E-005
137.000,4.00000000E-005
138.000,2.50000000E-005
139.000,1.50000000E-005
140.000,2.00000000E-005
141.000,4.00000000E-005
142.000,2.00000000E-005
143.000,2.50000000E-005
144.000,0.00000000E+000
145.000,3.50000000E-005
146.000,3.00000000E-005
147.000,1.00000000E-005
148.000,5.00000000E-006
149.000,1.00000000E-005
150.000,2.50000000E-005
151.000,4.00000000E-005
152.000,2.50000000E-005
153.000,2.00000000E-005
154.000,2.00000000E-005
155.000,2.50000000E-005
156.000,1.50000000E-005
157.000,1.00000000E-005
158.000,1.50000000E-005
159.000,1.50000000E-005
160.000,3.50000000E-005
161.000,1.50000000E-005
162.000,1.00000000E-005
163.000,2.00000000E-005
164.000,2.50000000E-005
165.000,1.00000000E-005
166.000,3.00000000E-005
167.000,1.50000000E-005
168.000,1.50000000E-005
169.000,2.00000000E-005
170.000,1.50000000E-005
171.000,4.00000000E-005
172.000,3.00000000E-005
173.000,1.00000000E-005
174.000,1.50000000E-005
175.000,1.00000000E-005
176.000,1.00000000E-005
177.000,1.50000000E-005
178.000,3.00000000E-005
179.000,1.00000000E-005
180.000,1.50000000E-005
181.000,1.00000000E-005
182.000,2.50000000E-005
183.000,2.00000000E-005
184.000,2.50000000E-005
185.000,3.50000000E-005
186.000,2.00000000E-005
187.000,1.00000000E-005
188.000,1.00000000E-005
189.000,1.00000000E-005
190.000,2.00000000E-005
191.000,1.50000000E-005
192.000,1.50000000E-005
193.000,3.00000000E-005
194.000,5.00000000E-005
195.000,2.50000000E-005
196.000,1.00000000E-005
197.000,5.00000000E-006
198.000,4.50000000E-005
199.000,2.00000000E-005
200.000,2.50000000E-005
201.000,5.00000000E-006
202.000,2.50000000E-005
203.000,1.00000000E-005
204.000,2.00000000E-005
205.000,3.00000000E-005
206.000,5.00000000E-006
207.000,3.00000000E-005
208.000,5.50000000E-005
209.000,2.00000000E-005
210.000,2.00000000E-005
211.000,1.50000000E-005
212.000,1.50000000E-005
213.000,1.00000000E-005
214.000,2.50000000E-005
215.000,1.00000000E-005
216.000,5.00000000E-006
217.000,1.00000000E-005
218.000,2.00000000E-005
219.000,2.00000000E-005
220.000,1.00000000E-005
221.000,5.00000000E-006
222.000,3.50000000E-005
223.000,3.50000000E-005
224.000,1.00000000E-005
225.000,5.00000000E-006
226.000,5.00000000E-006
227.000,1.50000000E-005
228.000,4.00000000E-005
229.000,1.00000000E-005
230.000,1.50000000E-005
231.000,4.00000000E-005
232.000,2.50000000E-005
233.000,1.00000000E-005
234.000,4.00000000E-005
235.000,2.00000000E-005
236.000,1.00000000E-005
237.000,1.50000000E-005
238.000,2.00000000E-005
239.000,3.50000000E-005
240.000,1.00000000E-005
241.000,3.00000000E-005
242.000,2.00000000E-005
243.000,4.50000000E-005
244.000,2.50000000E-005
245.000,1.50000000E-005
246.000,2.50000000E-005
247.000,2.00000000E-005
248.000,2.00000000E-005
249.000,1.50000000E-005
250.000,4.00000000E-005
251.000,0.00000000E+000
252.000,2.00000000E-005
253.000,1.50000000E-005
254.000,4.50000000E-005
255.000,5.00000000E-006
256.000,2.00000000E-005
257.000,1.00000000E-005
258.000,1.00000000E-005
259.000,1.50000000E-005
260.000,1.00000000E-005
261.000,2.50000000E-005
262.000,1.50000000E-005
263.000,4.00000000E-005
264.000,2.50000000E-005
265.000,5.00000000E-006
266.000,3.00000000E-005
267.000,2.50000000E-005
268.000,3.50000000E-005
269.000,2.00000000E-005
270.000,1.50000000E-005
271.000,5.00000000E-006
272.000,5.00000000E-006
273.000,1.50000000E-005
274.000,5.00000000E-006
275.000,3.00000000E-005
276.000,2.50000000E-005
277.000,3.00000000E-005
278.000,1.50000000E-005
279.000,2.00000000E-005
280.000,5.00000000E-006
281.000,5.00000000E-006
282.000,3.00000000E-005
283.000,1.50000000E-005
284.000,2.50000000E-005
285.000,2.00000000E-005
286.000,2.00000000E-005
287.000,2.50000000E-005
288.000,2.50000000E-005
289.000,1.00000000E-005
290.000,3.00000000E-005
291.000,2.00000000E-005
292.000,5.00000000E-006
293.000,1.50000000E-005
294.000,2.00000000E-005
295.000,1.50000000E-005
296.000,2.50000000E-005
297.000,1.00000000E-005
298.000,3.50000000E-005
299.000,0.00000000E+000
300.000,3.00000000E-005
301.000,5.00000000E-006
302.000,4.50000000E-005
303.000,1.00000000E-005
304.000,1.50000000E-005
305.000,3.00000000E-005
306.000,1.50000000E-005
307.000,5.00000000E-006
308.000,1.00000000E-005
309.000,1.00000000E-005
310.000,2.00000000E-005
311.000,1.50000000E-005
312.000,3.50000000E-005
313.000,5.00000000E-006
314.000,5.00000000E-006
315.000,1.50000000E-005
316.000,1.00000000E-005
317.000,5.00000000E-006
318.000,2.50000000E-005
319.000,1.00000000E-005
320.000,2.00000000E-005
321.000,1.50000000E-005
322.000,1.00000000E-005
323.000,1.50000000E-005
324.000,0.00000000E+000
325.000,1.50000000E-005
326.000,0.00000000E+000
327.000,2.50000000E-005
328.000,5.00000000E-006
329.000,2.00000000E-005
330.000,5.00000000E-006
331.000,2.50000000E-005
332.000,1.50000000E-005
333.000,1.50000000E-005
334.000,2.50000000E-005
335.000,3.00000000E-005
336.000,1.50000000E-005
337.000,2.00000000E-005
338.000,1.50000000E-005
339.000,2.00000000E-005
340.000,1.00000000E-005
341.000,2.50000000E-005
342.000,5.00000000E-006
343.000,1.50000000E-005
344.000,0.00000000E+000
345.000,2.00000000E-005
346.000,2.00000000E-005
347.000,2.00000000E-005
348.000,2.00000000E-005
349.000,5.00000000E-006
350.000,0.00000000E+000
351.000,4.00000000E-005
352.000,2.00000000E-005
353.000,5.00000000E-006
354.000,2.00000000E-005
355.000,1.50000000E-005
356.000,2.00000000E-005
357.000,0.00000000E+000
358.000,1.00000000E-005
359.000,2.50000000E-005
360.000,1.00000000E-005
361.000,1.00000000E-005
362.000,1.50000000E-005
363.000,1.50000000E-005
364.000,1.50000000E-005
365.000,3.50000000E-005
366.000,2.50000000E-005
367.000,1.50000000E-005
368.000,2.50000000E-005
369.000,1.50000000E-005
370.000,1.50000000E-005
371.000,1.00000000E-005
372.000,5.00000000E-006
373.000,2.00000000E-005
374.000,0.00000000E+000
375.000,1.50000000E-005
376.000,1.00000000E-005
377.000,2.00000000E-005
378.000,3.00000000E-005
379.000,4.00000000E-005
380.000,2.50000000E-005
381.000,3.50000000E-005
382.000,5.00000000E-006
383.000,5.00000000E-006
384.000,1.00000000E-005
385.000,2.50000000E-005
386.000,1.50000000E-005
387.000,1.00000000E-005
388.000,0.00000000E+000
389.000,0.00000000E+000
390.000,2.00000000E-005
391.000,1.50000000E-005
392.000,5.00000000E-006
393.000,1.00000000E-005
394.000,5.00000000E-006
395.000,3.00000000E-005
396.000,1.50000000E-005
397.000,2.50000000E-005
398.000,2.00000000E-005
399.000,2.00000000E-005
400.000,1.00000000E-005
401.000,1.00000000E-005
402.000,2.50000000E-005
403.000,2.50000000E-005
404.000,2.50000000E-005
405.000,5.00000000E-006
406.000,5.00000000E-006
407.000,0.00000000E+000
408.000,1.50000000E-005
409.000,5.00000000E-006
410.000,0.00000000E+000
411.000,1.50000000E-005
412.000,2.50000000E-005
413.000,1.00000000E-005
414.000,5.00000000E-006
415.000,5.00000000E-006
416.000,1.50000000E-005
417.000,2.50000000E-005
418.000,5.00000000E-006
419.000,2.50000000E-005
420.000,3.00000000E-005
421.000,1.50000000E-005
422.000,1.00000000E-005
423.000,2.00000000E-005
424.000,2.00000000E-005
425.000,1.00000000E-005
426.000,5.00000000E-006
427.000,1.00000000E-005
428.000,1.00000000E-005
429.000,1.50000000E-005
430.000,1.00000000E-005
431.000,2.00000000E-005
432.000,2.00000000E-005
433.000,2.00000000E-005
434.000,2.00000000E-005
435.000,5.00000000E-006
436.000,2.00000000E-005
437.000,1.50000000E-005
438.000,3.00000000E-005
439.000,2.00000000E-005
440.000,2.50000000E-005
441.000,1.00000000E-005
442.000,0.00000000E+000
443.000,5.00000000E-006
444.000,2.00000000E-005
445.000,5.00000000E-006
446.000,1.50000000E-005
447.000,1.50000000E-005
448.000,2.50000000E-005
449.000,2.50000000E-005
450.000,3.00000000E-005
451.000,3.00000000E-005
452.000,2.00000000E-005
453.000,1.00000000E-005
454.000,2.00000000E-005
455.000,2.00000000E-005
456.000,2.00000000E-005
457.000,1.50000000E-005
458.000,1.50000000E-005
459.000,1.00000000E-005
460.000,2.50000000E-005
461.000,2.00000000E-005
462.000,2.00000000E-005
463.000,4.00000000E-005
464.000,1.50000000E-005
465.000,3.50000000E-005
466.000,1.00000000E-005
467.000,1.00000000E-005
468.000,2.50000000E-005
469.000,2.50000000E-005
470.000,1.00000000E-005
471.000,1.00000000E-005
472.000,1.50000000E-005
473.000,1.00000000E-005
474.000,2.00000000E-005
475.000,5.00000000E-006
476.000,1.00000000E-005
477.000,2.00000000E-005
478.000,0.00000000E+000
479.000,2.00000000E-005
480.000,1.50000000E-005
481.000,1.50000000E-005
482.000,1.00000000E-005
483.000,1.50000000E-005
484.000,5.00000000E-006
485.000,1.50000000E-005
486.000,1.00000000E-005
487.000,0.00000000E+000
488.000,1.00000000E-005
489.000,5.00000000E-006
490.000,1.00000000E-005
491.000,1.50000000E-005
492.000,1.50000000E-005
493.000,5.00000000E-006
494.000,1.50000000E-005
495.000,5.00000000E-006
496.000,5.00000000E-006
497.000,1.50000000E-005
498.000,1.50000000E-005
