keV,response
0.000,4.05000000E-006
1.000,2.78500000E-005
2.000,3.90500000E-005
3.000,4.49500000E-005
4.000,4.96500000E-005
5.000,7.94500000E-005
6.000,1.12500000E-004
7.000,1.19850000E-004
8.000,1.34800000E-004
9.000,1.40050000E-004
10.000,1.46350000E-004
11.000,1.40450000E-004
12.000,1.12050000E-004
13.000,1.02600000E-004
14.000,1.09600000E-004
15.000,1.16750000E-004
16.000,1.35950000E-004
17.000,1.62850000E-004
18.000,2.19000000E-004
19.000,2.67250000E-004
20.000,3.03050000E-004
21.000,3.52050000E-004
22.000,3.67900000E-004
23.000,3.69950000E-004
24.000,2.87500000E-003
25.000,3.76000000E-004
26.000,3.96850000E-004
27.000,4.57365000E-003
28.000,4.28850000E-004
29.000,1.77160500E-002
30.000,2.57150000E-004
31.000,1.49012000E-002
32.000,6.91000000E-005
33.000,6.30500000E-005
34.000,6.80500000E-005
35.000,6.63500000E-005
36.000,7.03500000E-005
37.000,8.51500000E-005
38.000,8.70000000E-005
39.000,8.85000000E-005
40.000,9.21000000E-005
41.000,1.06050000E-004
42.000,1.31000000E-004
43.000,1.48500000E-004
44.000,1.66100000E-004
45.000,1.90600000E-004
46.000,2.20300000E-004
47.000,3.02550000E-004
48.000,4.69300000E-004
49.000,8.76700000E-004
50.000,1.22140000E-003
51.000,1.37985000E-003
52.000,1.45160000E-003
53.000,1.50560000E-003
54.000,1.62740000E-003
55.000,1.90895000E-003
56.000,2.32360000E-003
57.000,2.85305000E-003
58.000,2.95075000E-003
59.000,2.91405000E-003
60.000,2.29218365E-001
