scene,phys,body,qk_nodes,d_peak_662,d_q0_662,d_k100_662,d_sum_662,d_peak_1461,d_q0_1461,d_k100_1461,d_sum_1461,d_peak_2614,d_q0_2614,d_k100_2614,d_sum_2614
AS80_lu_front,21,РАЗОШЛОСЬ,142,-0.007661888394183691,0.4995636015248772,-0.055744472378205234,-0.07040852802465691,-0.13371424521495534,-0.7846849790511312,-0.8644875003733565,-0.2768710238032823,-0.030317577174221455,-1.1483692221813668,-2.5281459701775977,-0.4509734485170447
AS80_point0,21,РАЗОШЛОСЬ,140,0.03766403056697509,-0.38502441415154687,-0.5289404676575904,-0.053615658988992454,-0.08018518103868333,0.2725447420375282,0.29764681597745923,-0.09181094307403326,0.054541662350149345,-1.9222156562820447,-3.795095580152652,-0.388048576789235
AS80_th_disk,21,РАЗОШЛОСЬ,146,0.046092606774705835,0.9558057427530686,1.5656617724773447,0.13612089552859086,0.11540494849233696,-0.4480041572458182,0.46120281830601684,-0.2748544669233688,0.27040325967786494,-0.8209411675027978,-0.4454752881698165,-0.16606075186842428
ASN16_lu_side,21,РАЗОШЛОСЬ,142,-0.10248547896395399,0.06909919958499877,-0.47664437195129583,0.6147220790215124,0.15678427449612453,0.4855000232390383,2.920168467818307,0.0926006372457655,0.5466137819587491,-1.9254946643131543,-1.0692870983312064,-0.3680568692076891
ASN16_point0_house,21,РАЗОШЛОСЬ,140,-0.16831845683937807,0.41410444346874353,0.8286734839939358,-0.02132529897534985,0.2798159348397222,-0.07854192293014206,-0.6981509046905754,-0.5452412850545207,-0.31121065578940676,-2.992301729582636,-8.094084093735743,-0.765712439718691
ASN16_point10_house,21,РАЗОШЛОСЬ,140,-0.025292953130517937,1.345032829725823,1.088942453274333,-0.29504386355524437,0.14624052987624037,-4.730058871974552,-3.559414014354567,-1.3998405069962527,0.37795825220325874,-3.4470085671986506,-5.5543897199798025,-1.4157057689086927
G1S_denta100_oisn10_100_p16,21,РАЗОШЛОСЬ,142,0.009228616000478418,0.29842545013114563,0.8013248395139172,-0.03761694170264507,-0.2762936833900387,0.02717361516173522,1.0937730950568936,0.1154519143262922,-0.225403889721687,-0.7734434343050101,-1.8458691604396837,-0.42282044172993194
G1S_denta100_risn379_100_p16,21,РАЗОШЛОСЬ,140,0.03967790541929972,0.7382223933293908,1.01998204829028,0.1463455706465222,0.12329404498532259,-0.14403134070005708,-0.6984047212043931,-0.044524454752670195,-0.04994371985757029,-1.0168660195368884,-1.4199046728251452,-0.09743989952147869
G1S_denta120_oisn06_057_p24,21,РАЗОШЛОСЬ,142,0.12324126563840743,0.2727243643669608,0.0051296007482326544,0.06814279612852303,0.25002561245486277,0.9302063531531957,1.494343438910617,0.14694070804801562,-0.1747058442352567,-0.10945674620347345,-2.21007510946738,0.1308255866592667
G1S_denta120_oisn06_062_p24,21,РАЗОШЛОСЬ,142,0.014534557047074514,-0.7147355311827086,-0.7333942133819771,-0.06635770741281188,-0.011869091368144069,0.2252164256699718,-0.1289093881101544,0.08547111789816153,0.1616344660505753,-0.4006582629276001,-2.3652468541463745,0.18651266217997176
G1S_denta120_oisn06_064_p24,21,РАЗОШЛОСЬ,142,0.08830825742884851,0.1586675391114678,-0.24734872836200683,0.121725578093268,-0.11944843915296932,-0.2928194790032368,-0.919086992710294,-0.12119223315425476,0.4038317449738038,0.49023696499792546,-0.4604043809931402,0.15406963072179813
G1S_denta120_oisn06_066_p24,21,РАЗОШЛОСЬ,142,-0.07274039293826418,0.015134315154496925,0.041502341450350144,-0.20649461722890283,0.14997132914165157,-0.1544140804015215,0.2912781000885323,0.267360012843576,-0.016777087686392633,-0.20531480721766027,-1.5569429726567163,0.15067185744255251
G1S_denta120_oisn16_155_p24,21,РАЗОШЛОСЬ,142,0.046800693209991806,0.1780887148839394,0.38209244590452496,-0.015240085098577882,0.009688453658696083,0.44737454716734515,1.6548004591468768,0.3162290428856851,-0.034329762768958716,-0.7869625302565186,-0.0550643114635152,0.06877908259734777
G1S_denta120_oisn16_160_p24,21,РАЗОШЛОСЬ,142,-0.046972749653384493,-0.06778768103639088,0.6508836016619446,0.09432800429618471,-0.07092973238237432,0.004166208954914374,1.2662574911250113,0.14442421551521534,-0.08859840654842355,-1.8238821391178939,-0.9366239595244408,-0.40008857466370396
G1S_denta120_oisn16_166_p24,21,РАЗОШЛОСЬ,142,-0.015389661387477105,0.11485026786648422,0.6116618191118972,0.04282089438603087,-0.00561603991104942,-0.527848124301411,0.22873463928012594,-0.08810439884380239,-0.0501090525929504,-1.1254447876086537,-1.3041004681288881,-0.5287751581990241
G1S_denta120_oisn16_167_p24,21,РАЗОШЛОСЬ,142,0.007486535539436012,-0.2132155229014554,-0.2746169976030832,-0.039156040525900604,-0.008151635874675822,-1.2798823295989359,-0.8284895799501424,-0.10809949142825959,-0.01200900812488026,-1.0474759534659484,-1.4252872164798869,-0.23867854424782786
G1S_mar1l_coal_046_p24,21,РАЗОШЛОСЬ,140,-0.06110374537853236,-0.3964578192571122,-0.40258726123334476,-0.06385815940624928,0.03381228383183554,-0.7044668158896705,-0.5347628965712392,-0.5339406456227103,0.36988584703117056,0.4177705899080175,-3.2315826441159268,0.12430003969043923
G1S_mar1l_oisn06_055_p16,21,РАЗОШЛОСЬ,140,-0.06869568454315189,0.04227678325783302,0.29509337086530696,-0.02171729467791428,0.06821916477173229,-0.441535285322292,-0.8058637129796598,0.13398603555161426,0.18278803813156497,-0.5707182897474072,-3.9912839627471386,0.3132693126917552
G1S_mar1l_oisn06_057_p16,21,РАЗОШЛОСЬ,140,-0.026093851280462044,-0.7485174097654035,-0.6737556778750764,-0.1475689113704215,-0.2158592140884874,-0.8208925850247795,-1.219256308556027,-0.12893985373640948,0.02909557567074561,-0.8537114557408132,-4.608639104625878,-0.0384431690572451
G1S_mar1l_oisn06_057_p24,21,РАЗОШЛОСЬ,142,0.1974616375074456,0.3276285526278233,0.655350994720183,0.1509831490888569,-0.12885253384391504,-0.1727410102827731,-1.365450135055546,-0.258993196875279,0.11848757453958303,-0.6784529041083842,-2.4559731806158003,-0.2652235461997221
G1S_mar1l_oisn06_062_p16,21,РАЗОШЛОСЬ,140,-0.06373462075329739,-0.23271772455167872,0.5165634315181133,-0.30082012657283164,0.06686536820881273,-1.300399934639307,-0.8456656378162175,0.001684734583529135,0.053045499408654884,-1.3050120962468936,-3.182156828693661,-0.27230086006477805
G1S_mar1l_oisn06_062_p24,21,РАЗОШЛОСЬ,142,0.08787460250221368,-0.5690509512054964,-0.3420238652058205,-0.12224596829502055,0.10664456326381355,-0.03132844373702204,-1.4821085193132078,-0.0013753682301942405,-0.2303583205055415,-0.07980401947369486,-0.6694044774449126,-0.05235637197538168
G1S_mar1l_oisn06_064_p24,21,РАЗОШЛОСЬ,142,0.09816935121020887,-0.5251169139838918,0.2942707225640495,0.1798968916296495,0.013610392868779186,-0.744561588049808,-4.198718050445649,0.10564794064129579,-0.07928557414372817,-0.5207415747742861,-3.5668998359151938,-0.23548540464516377
G1S_mar1l_oisn06_066_p16,21,РАЗОШЛОСЬ,140,-0.030537756815240957,0.5765579257556164,0.6225426805186673,0.02189781190853335,-0.20714098156768834,-0.8945837667233003,1.3536552653957479,-0.3491016636763544,-0.22453997116367308,-0.4200648483101532,-3.6602648541217864,-0.28056409042976904
G1S_mar1l_oisn06_066_p24,21,РАЗОШЛОСЬ,142,0.01012022028246129,-0.24505055752550575,-0.14249690340754073,0.12021216189603834,-0.023813748661105638,0.23202518457572374,-0.9695352422257719,-0.39446553959110453,0.1471692186397311,-0.1363854799709574,-1.2290746911745587,-0.07217850578714602
G1S_mar1l_oisn16_155_p16,21,РАЗОШЛОСЬ,142,0.10392195259967263,-0.20863842418226142,-0.6962492990125413,0.1478251822265353,-0.09786030355261044,-0.4996947539867347,0.4482293713785612,-0.11559034602739438,0.0004756985878540121,-1.6842499072313166,-2.6076037816912367,-0.9919066894887085
G1S_mar1l_oisn16_155_p24,21,РАЗОШЛОСЬ,142,0.1254344604739499,-0.05422969633093189,-0.15624358943139294,0.09335311936160551,-0.015283111361752422,-0.20413393362357368,0.5882326858471121,0.33238337138139507,-0.14796382678164965,-2.4572035204606157,-0.9412073042347369,-0.9726384224811424
G1S_mar1l_oisn16_160_p16,21,РАЗОШЛОСЬ,142,0.10019165848524914,-0.09501010115933184,-0.5383708379221086,-0.06660397566690124,-0.16162295379836822,0.12667135479209612,0.38606319669922673,-0.040571460496341416,-0.057378275570807435,-0.8182853635217313,-2.099468086049905,-0.36031333949783084
G1S_mar1l_oisn16_160_p24,21,РАЗОШЛОСЬ,142,0.12930083071187592,-0.2398360667837829,-0.11665502596901467,-0.13999501005858006,0.09492752730619891,0.7320338705236296,-0.17422967500067,0.1970528393655524,0.026489877807023277,-1.3505227653316298,-3.338349473139701,-0.4174845953457962
G1S_mar1l_oisn16_166_p16,21,РАЗОШЛОСЬ,142,0.07488154908881217,-0.4422200001922172,-1.1065086931107748,0.07516655117729698,-0.08916718908008603,-0.24928601767366665,-0.22849811537138942,-0.23232221852814705,0.3160570467168,-1.2723541361104207,-3.01243024176181,-0.31011036754620136
G1S_mar1l_oisn16_166_p24,21,РАЗОШЛОСЬ,142,0.14776971336720734,-0.1866105788194128,-0.8634696489984939,0.05132787611057399,-0.22403575268850062,-0.2726174833137196,-0.2993106049216099,-0.09320839490938315,-0.04126323326214543,-1.1213259064152048,-5.454574941931146,-0.28580161269190496
G1S_mar1l_oisn16_167_p16,21,РАЗОШЛОСЬ,142,0.04967228197390039,-0.39558033733491094,-0.47001100740493573,0.15031810727221817,0.045252227082070995,-0.695720654046994,-1.2354020027531498,-0.6475333878216638,0.3012967243630982,-2.4598087746005914,-4.483424402321356,-0.8178163322038023
G1S_mar1l_oisn16_167_p24,21,РАЗОШЛОСЬ,142,0.09002443662033954,0.12760687690631656,-0.2582624642933351,0.13045959417172792,-0.13625472434907193,-0.6473885477304431,-1.0981037203116606,-0.25902546097413826,0.2597351549441296,-0.5598327091909328,-1.4247829218032582,0.02997587117281597
G1S_mar1l_risn379_100_p16,21,РАЗОШЛОСЬ,140,0.08529170173279255,0.05464222971476307,0.3394929286232973,0.22355250950034655,0.11152592653247417,0.39659193672398896,0.5431374792343346,0.31863154032916174,0.2105524167611117,-1.6332096545844887,-4.604844484307247,-0.48493578816326544
G1S_petri60_oisn06_057_p24,21,РАЗОШЛОСЬ,142,0.010283869065785822,0.026014100433902065,0.13741987207633866,-0.11017597063014417,-0.021256861589424858,0.19248016394637357,-0.6607431262213526,0.04162199362214292,0.09809975002723625,-1.325400476567784,-2.498941844291125,-0.09894454203986935
G1S_petri60_oisn06_062_p24,21,РАЗОШЛОСЬ,142,0.09434312892298014,-0.02771933244225533,0.0647154095525293,-0.22887745794758496,0.16229527042681546,-0.004770961794198225,0.7792319719477803,-0.07918309533574419,-0.10320252513225103,-1.0074423207139582,-2.1757997015210084,-0.1323744434012175
G1S_petri60_oisn06_064_p24,21,РАЗОШЛОСЬ,142,5.8605710084869145e-05,0.17881660290857138,0.0565453427933571,0.03210905921287033,-0.03627459459164539,-0.17439150865191655,-1.2617655000930816,0.04194822283154487,-0.07154264179196623,-1.5385448583074446,-2.991627719122103,-0.18652148566785653
G1S_petri60_oisn06_067_p24,21,РАЗОШЛОСЬ,142,0.05923648680024041,0.7043126503942121,0.3499928323445811,0.07061044204115241,0.1602892895274488,0.15996126404669297,0.1372309775470315,0.04346708871982852,0.4704654174420453,-0.8796278248135447,-1.8137621910180757,-0.17194740280769283
G1S_petri60_oisn10_100_p16,21,РАЗОШЛОСЬ,142,-0.1507940497000093,0.4229573037782153,0.308278440446319,-0.056342971631628824,0.1543033262197291,0.34183223444366195,-0.28863529377978203,-0.1233110627235301,-0.16307448605547004,-0.8653848144050236,-1.2616440551956765,-0.44373416343017613
G1S_petri60_oisn16_155_p24,21,РАЗОШЛОСЬ,142,-0.006409813993957236,-0.15773305720451214,-0.31456993259716404,0.05985365802179121,0.14145565251448833,-0.41103676017235635,-0.6641966037232216,0.3425247851485347,0.15945753126913598,-1.1664425309844129,-1.3136115110611524,-0.08425716110430637
G1S_petri60_oisn16_160_p24,21,РАЗОШЛОСЬ,142,-0.05821046616791836,-0.5831165533299765,-0.6727697455547244,0.03656011578325735,0.14080921179386863,-0.43903697905232075,-1.5230253087834211,-0.3876035959417101,0.06349203017153027,-0.5697819950704841,-1.861313120128294,-0.08525176630618247
G1S_petri60_oisn16_167_p24,21,РАЗОШЛОСЬ,142,0.027327155163470174,-0.22020973341656536,-0.3277116499734056,-0.03311730074418984,-0.1258830223776819,-0.39459717195721167,-0.9330919156706252,-0.22157498504152828,0.04611329129007302,-1.4152751110709128,-1.9970813198129989,-0.3782461534344361
G1S_petri60_risn379_100_p16,21,РАЗОШЛОСЬ,140,-0.1345408754266031,0.2843867693393065,0.5800476724925563,-0.07745846090939645,-0.022153692967674665,0.17765814227341803,-0.8187615015436966,0.13470965220814257,0.6815207999920414,-0.8587440251977219,-0.8120666090433937,0.15659377022534393
G1S_point25,21,РАЗОШЛОСЬ,140,0.0015152392418782412,-0.07750906061571028,0.12171971471079956,-0.21472296878485286,0.0346737100935357,-1.0459300877194155,-0.6589499433028778,-0.22444462032035206,-0.04504716605742143,-2.286465706449581,-10.714715133541752,-0.30880511595249294
G1S_point5,21,РАЗОШЛОСЬ,140,0.05363611025257509,0.354334489167929,0.05395750574301861,0.05997212338015867,-0.021066679726133852,1.0093470972440066,1.306891237219343,-0.03527278081429941,-0.2998322670085263,0.02346249135594114,-2.3647553777521257,0.31584004801794574
RC103_lu_front,21,РАЗОШЛОСЬ,142,-0.21855600870104297,-0.9231782296337698,-1.8941743168937375,0.749623715233172,-0.04738221629879691,-2.5640423956662994,-10.223783124900166,-0.2926315811357161,0.07976693218392228,-3.170467087139861,-4.80671337918237,-0.3122279860527377
RC103_marinelli05_kcl,21,РАЗОШЛОСЬ,140,-0.023133954115550637,-1.4816195023812595,-1.1772927196718852,-1.7049706054425129,0.13974537360448291,-1.5311299873209672,-4.851956163142479,-0.3453552417617578,-1.1558002974818682,-6.04595949383524,-14.300114429913114,-5.655310215260901
RC103_point0,21,РАЗОШЛОСЬ,140,0.14493904834214089,0.004254434470607471,-0.7507768350887845,0.1580324466110783,0.3946301487807169,0.10281507352885022,-0.9628985410666813,0.15456533898599023,-0.21672292021035489,-3.9002832022043354,-12.384126232894932,-1.6636243275732099
RC103_point50,21,РАЗОШЛОСЬ,140,0.00604389292775398,-0.6596527466586677,-0.6506832808885976,-1.4794555847121416,0.1259337607020461,0.125053583789847,-6.118371141942436,0.3954072000122322,1.2023944024923239,2.154626112784963,8.27067144242597,-0.5666614208960308
