node,energy_kev,histories,error_pct,seconds_wall,dropped,scored,dropped_pct,dropped_scat,scat_pct,q2,q4,dq2,dq4,q2t,q4t,dq2t,dq4t,eps_peak,eps_total,qk_histories
0,5.000,3000000,100.000,5.810,0,0,0.000,0,0.000,0,0,0,0,0,0,0,0,0,0,3000000
1,5.235,3000000,100.000,6.649,0,0,0.000,0,0.000,0.86272244955483213,0.64440301443877568,0.03150108418953005,0.067797355076145246,0.86272244955483213,0.64440301443877568,0.03150108418953005,0.067797355076145246,6.0242031465877689E-32,6.0242031465877689E-32,3000000
2,5.482,3000000,100.000,9.070,0,0,0.000,0,0.000,0.76966776008351423,0.37466386289193138,0.019475781335317244,0.047490597557584446,0.77156773329830375,0.3779926837223565,0.018778251959117635,0.045886366377855127,1.1820988011493075E-28,1.2287996027829568E-28,3000000
3,5.740,3000000,100.000,9.180,0,0,0.000,0,0.000,0.833758994329338,0.55511012725448527,0.02446867396378721,0.063772076540363945,0.83682529607939538,0.56141857428556463,0.023201727543245558,0.060485866061429867,8.2578672907717119E-26,8.7497685637047735E-26,3000000
4,6.011,3000000,100.000,9.345,0,0,0.000,0,0.000,0.82762066391573785,0.5433061464324771,0.021425195471418731,0.055966678446968447,0.82765541018866684,0.54350510742914826,0.021406346789284793,0.055915008092671269,3.6303532189187008E-23,3.6333333685592575E-23,3000000
5,6.294,3000000,100.000,9.356,0,0,0.000,0,0.000,0.80498491118542537,0.49041799876049524,0.021744962760268841,0.050676308016083756,0.80326490243592985,0.4840616913567562,0.021131182608164309,0.049420714512474491,3.6889847032253961E-21,3.8124633350513867E-21,3000000
6,6.590,3000000,100.000,9.717,0,0,0.000,0,0.000,0.84691774466736081,0.60437823380149258,0.02164127032391058,0.054683462543377012,0.84666788603694665,0.603840211832951,0.021638991866408046,0.054660379183839883,3.3756364079551028E-19,3.3806837183776968E-19,3000000
7,6.900,3000000,100.000,9.900,0,0,0.000,0,0.000,0.80490794847628666,0.49301077852989333,0.018807178490225868,0.04779730293076874,0.80481184648964121,0.49264752138465928,0.018633056559597426,0.047348380441550889,2.2148073818508082E-17,2.2421851760387295E-17,3000000
8,7.225,3000000,100.000,10.316,0,0,0.000,0,0.000,0.80399689630572257,0.49622666857036685,0.015579706506146136,0.035718349053378728,0.803761591073521,0.49520997244746329,0.015281229368495044,0.034985225116848248,7.42603506062983E-16,7.6013705005413864E-16,3000000
9,7.566,3000000,100.000,10.136,0,0,0.000,0,0.000,0.79452230141357827,0.4766392137422919,0.013983742650941832,0.0325317876296178,0.79684505646322734,0.48196988670556384,0.013820050522902406,0.032242658049681711,1.4885920150743679E-14,1.5215829398629323E-14,3000000
