device_file;device_name;device_guid;curve_guid;curve_name;last_updated;source_type;scene;crystal;front_gap_mm;side_gap_mm;gap_material;gap_density;source_material;use_matrix;curve_stamp;rmx_present
1.Atom Spectra Nano 16 Pro PM 1610B.xml;1.Atom Spectra Nano 16 Pro PM 1610B;2a0651a2-0b84-5c4e-8be8-c2d286eb82eb;;;;;;;;;;;;;;
1.Atom Spectra Nano 16 Pro RadiaScan 701A.xml;1.Atom Spectra Nano 16 Pro RadiaScan 701A;1a0651a2-0b84-4c4e-8be8-c2d286eb82eb;7fbb8fc3-24b8-440a-b750-80fb11b5a0e6;Точка;2026-09-15T10:19;Point;None;Cesium iodide;0;0;Air, dry;0.001205;Air, dry;true;phys=18, hist=200000, grid=40-3000 keV/34 std, kdip=1, lys=2, etr=1, e+tr=1, e+off=1, rayl2=1, ecomp=1, bpath=2;да
1.Atom Spectra Nano 16 Pro RadiaScan 701A.xml;1.Atom Spectra Nano 16 Pro RadiaScan 701A;1a0651a2-0b84-4c4e-8be8-c2d286eb82eb;41dc6e6a-c186-474f-96d3-4cc500538ab7;Маринелли;2026-09-15T10:20;Marinelli;None;Cesium iodide;0;0;Air, dry;0.001205;Air, dry;true;phys=18, hist=200000, grid=40-3000 keV/34 std, sample=air, kdip=1, lys=2, etr=1, e+tr=1, e+off=1, rayl2=1, ecomp=1, bpath=2;да
1.Atom Spectra Nano 16 Pro RadiaScan 701A.xml;1.Atom Spectra Nano 16 Pro RadiaScan 701A;1a0651a2-0b84-4c4e-8be8-c2d286eb82eb;42333387-5295-4665-8c82-6e85c8498a18;Цилиндр;2026-09-18T13:08;Cylinder;None;Cesium iodide;0;0;Water, liquid;1;Water, liquid;true;phys=19, hist=1000000, grid=6.5-3000 keV/96 log, kdip=1, lys=2, etr=1, e+tr=1, e+off=1, rayl2=1, ecomp=1, bpath=2, eltr=1;да
1.Atom Spectra Nano 16 Pro RadiaScan 701A.xml;1.Atom Spectra Nano 16 Pro RadiaScan 701A;1a0651a2-0b84-4c4e-8be8-c2d286eb82eb;3b84ce13-d635-47d0-b734-62caa283e3f3;Точка впритык;2026-09-15T10:21;Point;None;Cesium iodide;0;0;Water, liquid;1;Air, dry;true;phys=18, hist=1000000, grid=5-3000 keV/100 log, kdip=1, lys=2, etr=1, e+tr=1, e+off=1, rayl2=1, ecomp=1, bpath=2;да
1.Atom Spectra Nano 16 Pro RadiaScan 701A.xml;1.Atom Spectra Nano 16 Pro RadiaScan 701A;1a0651a2-0b84-4c4e-8be8-c2d286eb82eb;aa8a6ecb-5866-4f9d-b359-3c68dba82e5a;Цилиндр с боку;2026-09-18T12:45;Cylinder;None;Cesium iodide;0;0;Water, liquid;1;Water, liquid;true;phys=19, hist=200000, grid=6.5-3000 keV/96 log, kdip=1, lys=2, etr=1, e+tr=1, e+off=1, rayl2=1, ecomp=1, bpath=2, eltr=1;да
1.Atom Spectra Nano 16 Pro RadiaScan 701A.xml;1.Atom Spectra Nano 16 Pro RadiaScan 701A;1a0651a2-0b84-4c4e-8be8-c2d286eb82eb;c482e3bc-e2a8-491f-8759-5df93827eaef;Точка в защите;2026-09-18T12:58;Point;None;Cesium iodide;0;0;Air, dry;0.001205;Air, dry;true;phys=19, hist=1000000, grid=5-3000 keV/100 log, kdip=1, lys=2, etr=1, e+tr=1, e+off=1, rayl2=1, ecomp=1, bpath=2, eltr=1;да
4.Atom Spectra Nano 16 Pro 1024.xml;4.Atom Spectra Nano 16 Pro 1024;bf007ecf-4ad0-40a1-aade-df1d266b598a;;;;;;;;;;;;;;
Atom Spectra 80x80.xml;Atom Spectra 80x80;33100348-421f-475d-adda-33736e6af7f8;4c5aa26d-d776-481f-96d8-c01022590f39;Точка;2026-09-15T10:09;Point;None;Sodium iodide;21.7;0;Water, liquid;1;Water, liquid;true;phys=18, hist=1000000, grid=6.5-3000 keV/96 log, kdip=1, lys=2, etr=1, e+tr=1, e+off=1, rayl2=1, ecomp=1, bpath=2;да
Atom Spectra 80x80.xml;Atom Spectra 80x80;33100348-421f-475d-adda-33736e6af7f8;5cb11287-beed-4fa3-bf52-21453effbdc8;Точка 10 см;2026-09-15T10:12;Point;None;Sodium iodide;21.7;0;Water, liquid;1;Water, liquid;true;phys=18, hist=1000000, grid=8.4-3000 keV/92 log, kdip=1, lys=2, etr=1, e+tr=1, e+off=1, rayl2=1, ecomp=1, bpath=2;да
Atom Spectra 80x80.xml;Atom Spectra 80x80;33100348-421f-475d-adda-33736e6af7f8;04cb27d4-6b6e-4c6c-b665-b6175d78bdcb;Th медальон;2026-09-18T13:25;Cylinder;None;Sodium iodide;21.7;0;Air, dry;0.001205;Glass, plate;true;phys=19, hist=1000000, grid=7.4-3000 keV/94 log, kdip=1, lys=2, etr=1, e+tr=1, e+off=1, rayl2=1, ecomp=1, bpath=2, eltr=1;да
Atom Spectra 80x80.xml;Atom Spectra 80x80;33100348-421f-475d-adda-33736e6af7f8;50a57c5a-3237-4154-b269-b9fd1a2c7d88;Цилиндр;2026-09-15T10:16;Cylinder;None;Sodium iodide;21.7;0;Air, dry;0.001205;Air, dry;true;phys=18, hist=200000, grid=7.4-3000 keV/94 log, sample=air, kdip=1, lys=2, etr=1, e+tr=1, e+off=1, rayl2=1, ecomp=1, bpath=2;да
Atom Spectra Nano 8 1024 ch.xml;Atom Spectra Nano 8 1024 ch;3d3bef77-7c91-47a8-9787-393afc84ad99;;;;;;;;;;;;;;
Atom Spectra Nano 8 3000 ch.xml;Atom Spectra Nano 8 3000 ch;d4f7912a-fd90-473f-9412-7dd98d1da6eb;;;;;;;;;;;;;;
Obsidian.xml;Obsidian;cf61ba09-b2fe-46df-97c6-3acac82c9283;;;;;;;;;;;;;;
RC-101.xml;RC-101;71687ebf-6c58-47b8-85d2-aece957edbdf;;;;;;;;;;;;;;
RC-103.xml;RC-103;7fe39199-d0fe-455a-aef7-ac98e1cd58ec;755bbe16-49f5-465c-8407-0e2520d106fd;Цилиндр;2026-09-15T13:16;Cylinder;None;Cesium iodide;0;0;Air, dry;0.001205;Water, liquid;true;phys=18, hist=1000000, grid=5.3-3000 keV/99 log, kdip=1, lys=2, etr=1, e+tr=1, e+off=1, rayl2=1, ecomp=1, bpath=2;да

# матрицы без кривой (сироты): 8
# 1b586b57-4250-470d-8faa-635a5a5e31fc.rmx
# 57512f8b-1ef0-40af-9aae-aa26f7e51463.rmx
# 9a30db50-ee7b-4b68-ade0-2411d63966c1.rmx
# a01fc126-1450-45f4-9240-f61eef4a1e55.rmx
# a05a2f61-99b5-4a3c-b72c-737fd82e20ac.rmx
# a6ac85bb-dbb4-4d04-ab69-6d355d246db7.rmx
# db2b0a22-5b35-454b-96fa-033045004d96.rmx
# dd45c6ae-9009-4148-872f-d866a3947ccb.rmx
