rmx;дата файла;прибор;кривая;формат;физика;Load HEAD читает;FSA HEAD использует;пересчёт;ссылок из спектров;узлов;историй/узел;секунд сборки;ЦП-с
41dc6e6a…;2026-09-15;1.Atom Spectra Nano 16 Pro RadiaScan 701A;Маринелли;8;18;нет — OldFormat (формат 8);нет — не прочитана;ДА (в EffMaker, после обновления сборки до физики 21);1;100;1000000;395.9;5071.8
7fbb8fc3…;2026-09-15;1.Atom Spectra Nano 16 Pro RadiaScan 701A;Точка;8;18;нет — OldFormat (формат 8);нет — не прочитана;ДА (в EffMaker, после обновления сборки до физики 21);0;100;1000000;447.9;6156.4
c482e3bc…;2026-09-18;1.Atom Spectra Nano 16 Pro RadiaScan 701A;Точка в защите;9;19;да;нет — физика 19 ≠ 21 (клеймо);ДА (в EffMaker, после обновления сборки до физики 21);1;100;1000000;313.3;3012.8
3b84ce13…;2026-09-15;1.Atom Spectra Nano 16 Pro RadiaScan 701A;Точка впритык;8;18;нет — OldFormat (формат 8);нет — не прочитана;ДА (в EffMaker, после обновления сборки до физики 21);0;100;1000000;279.7;3186.1
42333387…;2026-09-18;1.Atom Spectra Nano 16 Pro RadiaScan 701A;Цилиндр;9;19;да;нет — физика 19 ≠ 21 (клеймо);ДА (в EffMaker, после обновления сборки до физики 21);2;100;1000000;683.0;5829.0
aa8a6ecb…;2026-09-18;1.Atom Spectra Nano 16 Pro RadiaScan 701A;Цилиндр с боку;9;19;да;нет — физика 19 ≠ 21 (клеймо);ДА (в EffMaker, после обновления сборки до физики 21);2;100;1000000;505.4;4184.3
04cb27d4…;2026-09-18;Atom Spectra 80x80;Th медальон;9;19;да;нет — физика 19 ≠ 21 (клеймо);ДА (в EffMaker, после обновления сборки до физики 21);1;100;1000000;730.9;4745.2
4c5aa26d…;2026-09-15;Atom Spectra 80x80;Точка;8;18;нет — OldFormat (формат 8);нет — не прочитана;ДА (в EffMaker, после обновления сборки до физики 21);2;140;1000000;289.7;3437.5
5cb11287…;2026-09-15;Atom Spectra 80x80;Точка 10 см;8;18;нет — OldFormat (формат 8);нет — не прочитана;ДА (в EffMaker, после обновления сборки до физики 21);1;140;1000000;571.3;7620.1
50a57c5a…;2026-09-14;Atom Spectra 80x80;Цилиндр;8;18;нет — OldFormat (формат 8);нет — не прочитана;ДА (в EffMaker, после обновления сборки до физики 21);2;100;1000000;471.5;6380.0
755bbe16…;2026-09-15;RC-103;Цилиндр;8;18;нет — OldFormat (формат 8);нет — не прочитана;ДА (в EffMaker, после обновления сборки до физики 21);1;100;1000000;525.2;4498.5
1b586b57…;2026-08-18;—;— (сирота);6;12;нет — OldFormat (формат 6);нет — не прочитана;"нельзя — кривой нет ни в одном конфиге прибора; сирота — судьба файла за Amber (как в A50)";0;100;300000;56.6;839.1
57512f8b…;2026-09-04;—;— (сирота);7;15;нет — OldFormat (формат 7);нет — не прочитана;нельзя — кривой нет ни в одном конфиге прибора (кривая живёт только внутри файлов спектров — там перевыбрать кривую прибора);2;140;3000000;3074.5;19492.6
9a30db50…;2026-09-05;—;— (сирота);7;16;нет — OldFormat (формат 7);нет — не прочитана;"нельзя — кривой нет ни в одном конфиге прибора; сирота — судьба файла за Amber (как в A50)";0;140;3000000;1074.9;11626.1
a01fc126…;2026-08-14;—;— (сирота);6;11;нет — OldFormat (формат 6);нет — не прочитана;"нельзя — кривой нет ни в одном конфиге прибора; сирота — судьба файла за Amber (как в A50)";0;100;300000;219.9;—
a05a2f61…;2026-09-07;—;— (сирота);7;16;нет — OldFormat (формат 7);нет — не прочитана;"нельзя — кривой нет ни в одном конфиге прибора; сирота — судьба файла за Amber (как в A50)";0;100;1000000;176.0;2021.7
a6ac85bb…;2026-09-05;—;— (сирота);7;16;нет — OldFormat (формат 7);нет — не прочитана;"нельзя — кривой нет ни в одном конфиге прибора; сирота — судьба файла за Amber (как в A50)";0;140;3000000;807.3;7369.2
db2b0a22…;2026-09-05;—;— (сирота);7;16;нет — OldFormat (формат 7);нет — не прочитана;"нельзя — кривой нет ни в одном конфиге прибора; сирота — судьба файла за Amber (как в A50)";0;140;3000000;366.4;4488.7
dd45c6ae…;2026-09-07;—;— (сирота);7;16;нет — OldFormat (формат 7);нет — не прочитана;"нельзя — кривой нет ни в одном конфиге прибора; сирота — судьба файла за Amber (как в A50)";0;140;3000000;55.6;541.1
