T,кэВ  k,кэВ  Z |  Цай: назад  <cos>  <θ>° |  2BS: назад  <cos>  <θ>° | назад 2BS/Цай
  100     10  9 |      0.1523  0.531  52.4 |      0.2336  0.393  62.7 |   1.53
  100     10 13 |      0.1529  0.531  52.4 |      0.2368  0.388  63.0 |   1.55
  100     50  9 |      0.1516  0.534  52.2 |      0.2328  0.393  62.7 |   1.53
  100     50 13 |      0.1535  0.531  52.4 |      0.2353  0.389  63.0 |   1.53
  300     10  9 |      0.1001  0.637  44.2 |      0.1528  0.547  50.9 |   1.53
  300     10 13 |      0.1002  0.638  44.1 |      0.1538  0.546  51.0 |   1.54
  300     50  9 |      0.1014  0.637  44.2 |      0.1533  0.545  51.1 |   1.51
  300     50 13 |      0.1026  0.635  44.4 |      0.1528  0.546  51.0 |   1.49
  300    200  9 |      0.1017  0.637  44.3 |      0.1528  0.546  51.1 |   1.50
  300    200 13 |      0.0998  0.638  44.2 |      0.1532  0.544  51.2 |   1.53
  500     10  9 |      0.0731  0.707  38.3 |      0.1096  0.636  43.8 |   1.50
  500     10 13 |      0.0737  0.708  38.3 |      0.1097  0.635  43.8 |   1.49
  500     50  9 |      0.0733  0.708  38.3 |      0.1097  0.635  43.8 |   1.50
  500     50 13 |      0.0722  0.709  38.2 |      0.1105  0.635  43.9 |   1.53
  500    200  9 |      0.0728  0.709  38.2 |      0.1079  0.638  43.6 |   1.48
  500    200 13 |      0.0730  0.708  38.3 |      0.1098  0.634  44.0 |   1.50
 1000     10  9 |      0.0407  0.810  28.8 |      0.0572  0.764  32.7 |   1.41
 1000     10 13 |      0.0412  0.809  28.9 |      0.0580  0.764  32.7 |   1.41
 1000     50  9 |      0.0409  0.811  28.7 |      0.0573  0.765  32.6 |   1.40
 1000     50 13 |      0.0401  0.811  28.7 |      0.0581  0.763  32.8 |   1.45
 1000    200  9 |      0.0411  0.810  28.9 |      0.0569  0.765  32.6 |   1.39
 1000    200 13 |      0.0405  0.811  28.8 |      0.0580  0.763  32.7 |   1.43
 2000     10  9 |      0.0138  0.905  18.8 |      0.0240  0.873  21.9 |   1.74
 2000     10 13 |      0.0138  0.904  18.8 |      0.0247  0.871  22.0 |   1.78
 2000     50  9 |      0.0136  0.905  18.8 |      0.0247  0.872  21.9 |   1.82
 2000     50 13 |      0.0137  0.904  18.8 |      0.0248  0.872  21.9 |   1.82
 2000    200  9 |      0.0136  0.905  18.7 |      0.0243  0.872  21.9 |   1.79
 2000    200 13 |      0.0134  0.905  18.7 |      0.0250  0.870  22.0 |   1.86
