device;curve;guid;matrix_seconds;matrix_cpu_seconds;matrix_nodes;matrix_hist_spent;matrix_noise_weighted_pct;matrix_stamp;matrix_file_bytes;curve_seconds;curve_points;curve_emin;curve_emax;curve_stamp;rmx_path
1.Atom Spectra Nano 16 Pro RadiaScan 701A;Точка;7fbb8fc3-24b8-440a-b750-80fb11b5a0e6;224.7;1706.5;100;838307102;3.864;"phys=21;d4e05fa74f4f151f9fe69da3d4ea1a67ddd729f93ba45e55c32f95376eb361b6";443613;21.3;97;6.0695487763170108;2999.9999999999977;"phys=21; hist=1000000; grid=6.1-3000 keV/97 log; kdip=1; lys=2; etr=1; e+tr=1; e+off=1; rayl2=1; ecomp=1; bpath=2; eltr=1; elmix=1; lbrem=1";D:\BqMoni_Claude\p113\config\device\response\7fbb8fc3-24b8-440a-b750-80fb11b5a0e6.rmx
1.Atom Spectra Nano 16 Pro RadiaScan 701A;Маринелли;41dc6e6a-c186-474f-96d3-4cc500538ab7;350.9;2669.2;100;375606504;2.896;"phys=21;86b36062c4935de6fe8d950d5fe9a8737fa6c1ec4ac328b2645e7e99ce25febd";452369;78.8;97;6.0695487763170108;2999.9999999999977;"phys=21; hist=1000000; grid=6.1-3000 keV/97 log; sample=air; kdip=1; lys=2; etr=1; e+tr=1; e+off=1; rayl2=1; ecomp=1; bpath=2; eltr=1; elmix=1; lbrem=1";D:\BqMoni_Claude\p113\config\device\response\41dc6e6a-c186-474f-96d3-4cc500538ab7.rmx
1.Atom Spectra Nano 16 Pro RadiaScan 701A;Цилиндр;42333387-5295-4665-8c82-6e85c8498a18;258.6;1842.7;100;309315942;2.889;"phys=21;7b7ab5fe67ec1427d4065bfb12ecaf070d7e3c75e38b3056b0f4a92e0fe654f5";449437;59.1;96;6.47468343915881;2999.9999999999977;"phys=21; hist=1000000; grid=6.5-3000 keV/96 log; kdip=1; lys=2; etr=1; e+tr=1; e+off=1; rayl2=1; ecomp=1; bpath=2; eltr=1; elmix=1; lbrem=1";D:\BqMoni_Claude\p113\config\device\response\42333387-5295-4665-8c82-6e85c8498a18.rmx
1.Atom Spectra Nano 16 Pro RadiaScan 701A;Точка впритык;3b84ce13-d635-47d0-b734-62caa283e3f3;112.8;811.7;100;237899993;2.686;"phys=21;f8e589c961a702d9819073974518796bb5c286ae13302912c4d47a7e22e79494";447185;38.0;100;4.9999999999999991;2999.9999999999977;"phys=21; hist=1000000; grid=5-3000 keV/100 log; kdip=1; lys=2; etr=1; e+tr=1; e+off=1; rayl2=1; ecomp=1; bpath=2; eltr=1; elmix=1; lbrem=1";D:\BqMoni_Claude\p113\config\device\response\3b84ce13-d635-47d0-b734-62caa283e3f3.rmx
1.Atom Spectra Nano 16 Pro RadiaScan 701A;Цилиндр с боку;aa8a6ecb-5866-4f9d-b359-3c68dba82e5a;184.0;1287.7;100;287145735;2.849;"phys=21;babd9c39ad090af86e5578d45794554fe19418c92803f5e736e0fef28f64374f";445861;46.0;96;6.47468343915881;2999.9999999999977;"phys=21; hist=1000000; grid=6.5-3000 keV/96 log; kdip=1; lys=2; etr=1; e+tr=1; e+off=1; rayl2=1; ecomp=1; bpath=2; eltr=1; elmix=1; lbrem=1";D:\BqMoni_Claude\p113\config\device\response\aa8a6ecb-5866-4f9d-b359-3c68dba82e5a.rmx
1.Atom Spectra Nano 16 Pro RadiaScan 701A;Точка в защите;c482e3bc-e2a8-491f-8759-5df93827eaef;129.0;863.6;100;236013597;2.666;"phys=21;e81d249fd0c43761e84841cf1b72e94c4ead4ae142835c064962796c4aefe10c";445533;76.9;100;4.9999999999999991;2999.9999999999977;"phys=21; hist=1000000; grid=5-3000 keV/100 log; kdip=1; lys=2; etr=1; e+tr=1; e+off=1; rayl2=1; ecomp=1; bpath=2; eltr=1; elmix=1; lbrem=1";D:\BqMoni_Claude\p113\config\device\response\c482e3bc-e2a8-491f-8759-5df93827eaef.rmx
Atom Spectra 80x80;Точка;4c5aa26d-d776-481f-96d8-c01022590f39;204.2;1237.2;100;250056441;2.727;"phys=21;1d1abf4378a3212a556d949f00f676878d1f0113eab5f496fe29626075c10d7c";445421;70.6;100;4.9999999999999991;2999.9999999999977;"phys=21; hist=1000000; grid=5-3000 keV/100 log; kdip=1; lys=2; etr=1; e+tr=1; e+off=1; rayl2=1; ecomp=1; bpath=2; eltr=1; elmix=1; lbrem=1";D:\BqMoni_Claude\p113\config\device\response\4c5aa26d-d776-481f-96d8-c01022590f39.rmx
Atom Spectra 80x80;Точка 10 см;5cb11287-beed-4fa3-bf52-21453effbdc8;314.2;2157.7;100;412154954;2.884;"phys=21;669634b98027df5c89625f11b00c275fdba4bf39f9dc42e9e2861c60602338e5";445233;54.2;94;7.3678844696182653;2999.9999999999977;"phys=21; hist=1000000; grid=7.4-3000 keV/94 log; kdip=1; lys=2; etr=1; e+tr=1; e+off=1; rayl2=1; ecomp=1; bpath=2; eltr=1; elmix=1; lbrem=1";D:\BqMoni_Claude\p113\config\device\response\5cb11287-beed-4fa3-bf52-21453effbdc8.rmx
Atom Spectra 80x80;Th медальон;04cb27d4-6b6e-4c6c-b665-b6175d78bdcb;186.3;1262.2;100;261415507;2.777;"phys=21;8cc9552566a9bad8c160f83dd640a6df90c59813df89bd55c690d0dcba73055c";452481;55.4;94;7.3678844696182653;2999.9999999999977;"phys=21; hist=1000000; grid=7.4-3000 keV/94 log; kdip=1; lys=2; etr=1; e+tr=1; e+off=1; rayl2=1; ecomp=1; bpath=2; eltr=1; elmix=1; lbrem=1";D:\BqMoni_Claude\p113\config\device\response\04cb27d4-6b6e-4c6c-b665-b6175d78bdcb.rmx
Atom Spectra 80x80;Цилиндр;50a57c5a-3237-4154-b269-b9fd1a2c7d88;211.2;1496.2;100;264377069;2.860;"phys=21;0e46cb53dfd7de7a04da021f7cf5c7444deaee8e2af7cc57977dbc18e86bb8a6";445217;62.1;94;7.3678844696182653;2999.9999999999977;"phys=21; hist=1000000; grid=7.4-3000 keV/94 log; sample=air; kdip=1; lys=2; etr=1; e+tr=1; e+off=1; rayl2=1; ecomp=1; bpath=2; eltr=1; elmix=1; lbrem=1";D:\BqMoni_Claude\p113\config\device\response\50a57c5a-3237-4154-b269-b9fd1a2c7d88.rmx
RC-103;Цилиндр;755bbe16-49f5-465c-8407-0e2520d106fd;229.7;1677.1;100;339270182;2.857;"phys=21;9f8d5547fe5bd6f24cbf8ccf0e03dac9117c70df5f75af4d1404cbc60f3cfdb2";445697;50.0;99;5.3337436420501376;2999.9999999999977;"phys=21; hist=1000000; grid=5.3-3000 keV/99 log; kdip=1; lys=2; etr=1; e+tr=1; e+off=1; rayl2=1; ecomp=1; bpath=2; eltr=1; elmix=1; lbrem=1";D:\BqMoni_Claude\p113\config\device\response\755bbe16-49f5-465c-8407-0e2520d106fd.rmx
