file;size;mtime;created_utc;format;phys;has_ANGK;nodes;channels;emin;emax;bin_kev;histories_per_node;build_seconds;xray;coh;brem;scat;npl;acont;bound;bremsb;seed;noise_rel_pct;hist_spent;hist_worst_node;cpu_seconds;parallelism;tails_first;sha256;stamp
04cb27d4-6b6e-4c6c-b665-b6175d78bdcb.rmx;452481;2026-09-19 16:11;2026-09-19 13:11;9;21;1;100;6;5.0;3000.0;2.0;1000000;186.3;1;1;1;1;1;1;1;1;0;100.0;261415507;10329965;1249.9;6.7;ANGK(100)/NOIS;8167bba96f8baa57;phys=21|8cc9552566a9bad8c160f83dd640a6df90c59813df89bd55c690d0dcba73055c
3b84ce13-d635-47d0-b734-62caa283e3f3.rmx;447185;2026-09-19 15:49;2026-09-19 12:49;9;21;1;100;6;5.0;3000.0;2.0;1000000;112.8;1;1;1;1;1;1;1;1;0;100.0;237899993;8100000;791.8;7.0;ANGK(100)/NOIS;f7041d98fc62fdad;phys=21|f8e589c961a702d9819073974518796bb5c286ae13302912c4d47a7e22e79494
41dc6e6a-c186-474f-96d3-4cc500538ab7.rmx;452369;2026-09-19 15:41;2026-09-19 12:40;9;21;1;100;6;5.0;3000.0;2.0;1000000;350.9;1;1;1;1;1;1;1;1;0;100.0;375606504;8100000;2637.1;7.5;ANGK(100)/NOIS;41b8664515fda83e;phys=21|86b36062c4935de6fe8d950d5fe9a8737fa6c1ec4ac328b2645e7e99ce25febd
42333387-5295-4665-8c82-6e85c8498a18.rmx;449437;2026-09-19 15:46;2026-09-19 12:46;9;21;1;100;6;5.0;3000.0;2.0;1000000;258.6;1;1;1;1;1;1;1;1;0;100.0;309315942;15860497;1815.4;7.0;ANGK(100)/NOIS;b5cf36e65fc4f85c;phys=21|7b7ab5fe67ec1427d4065bfb12ecaf070d7e3c75e38b3056b0f4a92e0fe654f5
4c5aa26d-d776-481f-96d8-c01022590f39.rmx;445421;2026-09-19 16:00;2026-09-19 13:00;9;21;1;100;6;5.0;3000.0;2.0;1000000;204.2;1;1;1;1;1;1;1;1;0;100.0;250056441;9325314;1412.4;6.9;ANGK(100)/NOIS;836ee2008da7618c;phys=21|1d1abf4378a3212a556d949f00f676878d1f0113eab5f496fe29626075c10d7c
50a57c5a-3237-4154-b269-b9fd1a2c7d88.rmx;445217;2026-09-19 16:15;2026-09-19 13:15;9;21;1;100;6;5.0;3000.0;2.0;1000000;211.2;1;1;1;1;1;1;1;1;0;100.0;264377069;11284856;1464.6;6.9;ANGK(100)/NOIS;21bb56f5554ad8bb;phys=21|0e46cb53dfd7de7a04da021f7cf5c7444deaee8e2af7cc57977dbc18e86bb8a6
5cb11287-beed-4fa3-bf52-21453effbdc8.rmx;445233;2026-09-19 16:07;2026-09-19 13:07;9;21;1;100;6;5.0;3000.0;2.0;1000000;314.2;1;1;1;1;1;1;1;1;0;100.0;412154954;10024934;2381.0;7.6;ANGK(100)/NOIS;b32dadd93858c958;phys=21|669634b98027df5c89625f11b00c275fdba4bf39f9dc42e9e2861c60602338e5
755bbe16-49f5-465c-8407-0e2520d106fd.rmx;445697;2026-09-19 16:20;2026-09-19 13:20;9;21;1;100;6;5.0;3000.0;2.0;1000000;229.7;1;1;1;1;1;1;1;1;0;100.0;339270182;16086112;1665.5;7.3;ANGK(100)/NOIS;2480bfdb903350ef;phys=21|9f8d5547fe5bd6f24cbf8ccf0e03dac9117c70df5f75af4d1404cbc60f3cfdb2
7fbb8fc3-24b8-440a-b750-80fb11b5a0e6.rmx;443613;2026-09-19 15:34;2026-09-19 12:34;9;21;1;100;6;5.0;3000.0;2.0;1000000;224.5;1;1;1;1;1;1;1;1;0;100.0;838307102;15185982;1709.9;7.6;ANGK(100)/NOIS;cc464c0e823439a0;phys=21|d4e05fa74f4f151f9fe69da3d4ea1a67ddd729f93ba45e55c32f95376eb361b6
aa8a6ecb-5866-4f9d-b359-3c68dba82e5a.rmx;445861;2026-09-19 15:53;2026-09-19 12:53;9;21;1;100;6;5.0;3000.0;2.0;1000000;184.0;1;1;1;1;1;1;1;1;0;100.0;287145735;16095386;1267.3;6.9;ANGK(100)/NOIS;1853130e73893abd;phys=21|babd9c39ad090af86e5578d45794554fe19418c92803f5e736e0fef28f64374f
c482e3bc-e2a8-491f-8759-5df93827eaef.rmx;445533;2026-09-19 15:56;2026-09-19 12:56;9;21;1;100;6;5.0;3000.0;2.0;1000000;129.0;1;1;1;1;1;1;1;1;0;100.0;236013597;8100000;829.1;6.4;ANGK(100)/NOIS;c8dc4c99ee0f2491;phys=21|e81d249fd0c43761e84841cf1b72e94c4ead4ae142835c064962796c4aefe10c
