file,phys,histories,nodes,channels,noise_median,noise_worst,nodes_empty,cone,created,seconds,stamp,body_sha256,fingerprint
AS80_lu_front.rmx,22,3000000,142,6,0.9354,1.2865,31,0,2026-09-19 14:04,388.2,phys=22;b98a223995dfefd0db295c61180f54970f2b04670dbf56b0e99af2d010f4f6cd,121bee80b8d84d0382478a083c9f5fa9c721ed6cb4f594bcb5b7ed7574548ef9,сходится
AS80_point0.rmx,22,3000000,140,6,0.7831,1.0009,24,0,2026-09-19 14:08,228.3,phys=22;72f2f366f4aeb53eb8244868325fcd31c5f9ef08186691cf0a2fab9407e17003,df6a1cfa2f0f3837d758dd28f862df20a7c7da6e3865be3719589bcf7b4866cd,сходится
AS80_th_disk.rmx,22,3000000,146,6,1.1846,1.5095,32,0,2026-09-19 14:15,422.2,phys=22;cbf1a2a23d523559b8cfa4ecaa8e41562947c9ddc0c1b2db5a4260de97a59d89,961819eb8de4926fbfc1175176862ce696b1fb33c3e6aa74505c5f667238eb19,сходится
ASN16_lu_side.rmx,22,3000000,142,6,1.1423,1.5232,29,0,2026-09-19 14:21,344.1,phys=22;10cdba243af979ca9c4dc746723bf9c54958488948c0ddbbe24671694297c0cb,d7b9f104e857e2fe0bc103e665f6d3ec8811b1ec3ea3cb03e63a3069f63ad025,сходится
ASN16_point0_house.rmx,22,3000000,140,6,0.8517,1.1605,21,0,2026-09-19 14:25,262.9,phys=22;0561d6667a8b1e96304c5d88b46997406cfc7a27fd891363fcc7836fed3c2d96,19af25cbd3140096142bdfc104cecb199d4ca5f653f74b964ca132757be31064,сходится
ASN16_point10_house.rmx,22,6000000,140,6,5.4427,8.2704,24,0,2026-09-19 13:45,187.6,phys=22;4bff082dd24540bb17cf31e90b294767fd70c36f2cc108a0d36bda95895b0bb7,6903732406405d1d41e500530bd45e2e93e17ad2ce5a6c2ba2cba82524e39e13,сходится
G1S_denta100_oisn10_100_p16.rmx,22,3000000,142,6,0.8848,1.1589,28,0,2026-09-19 14:33,463.5,phys=22;7900514345bce1deef41211d6865fe527b08232d27beb1aaa2c750e6c8762e7c,457648d099fb163442d3672d7018bab86005fa2f2cd4f199840ae8268eac3c2d,сходится
G1S_denta100_risn379_100_p16.rmx,22,3000000,140,6,0.7412,1.1648,25,0,2026-09-19 14:41,461.3,phys=22;505180b0fca1e22bf523fa67bdd479f8b920704cb97b6a120396922f3a24946c,de4f847b99c6444ebf7e00dc787fdccf576814edbeb1b7ae4accdc795b196aca,сходится
G1S_denta120_oisn06_057_p24.rmx,22,3000000,142,6,0.8813,1.2433,26,0,2026-09-19 14:48,446.8,phys=22;ad1dd006a089871cf66887254da6fe365f8ea21869d281d45affae6c1b11898c,d32f897cf5d2d92caf0cc63c9eba05330a021e9bb839cf8f46d258ac1bed1c34,сходится
G1S_denta120_oisn06_062_p24.rmx,22,3000000,142,6,0.8763,1.2388,26,0,2026-09-19 14:56,448.3,phys=22;e525fb161366caf7376ffa8bb94d48065e18d5893860d463c10219c23e429082,31ccf3723092b7eb0be7713659cef5850f4adf9b664526740a1ddfd69894f8d2,сходится
G1S_denta120_oisn06_064_p24.rmx,22,3000000,142,6,0.8634,1.2400,26,0,2026-09-19 15:03,448.7,phys=22;6e54497d16e617752669cc5783726001505413d3feea948c6a2fef0261364ea6,a578db4ad42b340b5911def0f8922ff1cded5c6b25f16a366a6d42c7ffc78b10,сходится
G1S_denta120_oisn06_066_p24.rmx,22,3000000,142,6,0.8621,1.2354,26,0,2026-09-19 15:10,441.8,phys=22;0811598954be3418e432c6ed749370897a331a631c0094cb3ee1ff85615b6615,a3f654035beaeb785edd8bbb76989253344f49dd2de8c036bf2810b830e95ca2,сходится
G1S_denta120_oisn16_155_p24.rmx,22,3000000,142,6,1.0406,1.1733,29,0,2026-09-19 15:18,453.5,phys=22;2ee3e24c696db941f6bf6285812fe6ab1d74c57078f1de553cec6bb97044ac6c,c4d8081944702f95913128e7b140b4cc335e4e7b0a3281f4d9cb0b42086bb9cf,сходится
G1S_denta120_oisn16_160_p24.rmx,22,3000000,142,6,1.0448,1.1779,29,0,2026-09-19 15:25,451.9,phys=22;65664e1562a4a7db246861d8a3d65f6451bddbfd3b0f6ca7c0a35cd4437ba56a,b63f5b8b2a1c576fe862fe9dd59f9f7b27b14b253c34339268e793af82ab4ec0,сходится
G1S_denta120_oisn16_166_p24.rmx,22,3000000,142,6,1.0472,1.1924,30,0,2026-09-19 15:33,449.6,phys=22;3abc5a1a899baec9e0f05688807e09440a8ce4b93921c3fe73b4eca78d89fe8f,7f7e539907a9bb1807675a7bc4d3e832b324caba0e6a8a9aa95f809d85f0ea4a,сходится
G1S_denta120_oisn16_167_p24.rmx,22,3000000,142,6,1.0431,1.1892,30,0,2026-09-19 15:40,446.5,phys=22;768fb1a564ec64393145e71c5db7c041d1c18d54c7e81d7dd429b46c5d88e1cc,2d9c60620778d7d599d8206a3d1fbab571dc93a871a6020f87c7d522b6da8707,сходится
G1S_mar1l_coal_046_p24.rmx,22,3000000,140,6,1.0094,1.5834,23,0,2026-09-19 15:48,449.3,phys=22;e24b5bad891d6406dc680e2ce1b32d2aeb36c0d4278d9107d82d166fe7431f44,214d180d91a56da93f6bbe10e77e32887afca583d26cff7dad8825fb316598eb,сходится
G1S_mar1l_oisn06_055_p16.rmx,22,3000000,140,6,0.9467,1.5538,21,0,2026-09-19 15:56,470.5,phys=22;77eec69ed55cc0045406bbcd6d53c0a1a2086a1b4ad76697b013c75e38fbc079,ece8c6b86aaff4800a326b7cf41aaf3724f708cfa3c70e5b996a18fe52f2b649,сходится
G1S_mar1l_oisn06_057_p16.rmx,22,3000000,140,6,0.9474,1.5475,22,0,2026-09-19 16:04,471.1,phys=22;020d61278810195860878e3541f553aef6068bcefc34b1b207270132bbb3e50f,51a677d2c70acc1ae025d812109a964928d462d804c5ef94285c482df713a1d2,сходится
G1S_mar1l_oisn06_057_p24.rmx,22,3000000,142,6,0.9906,1.5504,28,0,2026-09-19 16:12,490.2,phys=22;a103cedf788aa03d032a5c6b8994d2a95e0b217981f6be56bcdce2bf3ab04e22,924e8ff78097ab4e2e5f87f90409c4f74dda847f1bbb4e623c0a74d4c8e55c8d,сходится
G1S_mar1l_oisn06_062_p16.rmx,22,3000000,140,6,0.9400,1.5379,23,0,2026-09-19 16:20,475.1,phys=22;d698e0dea136d8fb05f16ce1de996e68400f2d74527475cd2d05a89472f36d0e,465fb7856d8c635f3d30fc49f82299cd6bb772741fb3cef5dc1df96416c8a4c4,сходится
G1S_mar1l_oisn06_062_p24.rmx,22,3000000,142,6,0.9821,1.5356,27,0,2026-09-19 16:28,493.6,phys=22;1a03a144b96bd7081e03d93d00304ed6a16405f25a227c9972d0190c58950b6b,14494195ad6cacb0b88aa6643deaebef44bacbfb895c10c0d33573f77430c307,сходится
G1S_mar1l_oisn06_064_p24.rmx,22,3000000,142,6,0.9717,1.5413,27,0,2026-09-19 16:36,494.5,phys=22;87c1fa88a16db228ddccccfd90c70ed480acea632a5f374c4fdc88f17fd10736,90add573f62cc8576f0f27fe76267a1c250e9a7072a7a28000e6017cff57a6fe,сходится
G1S_mar1l_oisn06_066_p16.rmx,22,3000000,140,6,0.9409,1.5423,24,0,2026-09-21 09:20,497.9,phys=22;26892c34caa276a6ec06862c3030cbb39176d01d5ae7bb30177ea1756a3f5f24,d0792202bebc59b7cdd094a8bd33abb0fc68580042a6a1215d0235aba9437e5c,сходится
G1S_mar1l_oisn06_066_p24.rmx,22,3000000,142,6,0.9727,1.5388,27,0,2026-09-21 09:29,512.1,phys=22;c7e42d6d6aed9c24305240f5a230c4ce55caa2a3f64e6054a0bd5707eba61c3c,5e6aa3260803f69bc102ddce55b6b3e12ce80c586e75bca425e4dde1239481a6,сходится
G1S_mar1l_oisn16_155_p16.rmx,22,3000000,142,6,1.2238,1.4471,34,0,2026-09-21 09:37,525.7,phys=22;8ee41eaa8e2a0e2863868aa615cfad981ea20b5b340ea3e95ed971385f5a5a04,627c1e6d3028d1bef734eca3a6457da47b172eb6068dc5aa45ecc8edbbd2ffe3,сходится
G1S_mar1l_oisn16_155_p24.rmx,22,3000000,142,6,1.2304,1.4370,33,0,2026-09-21 09:46,523.7,phys=22;a841ebb71b5cbfb1b83a31a917ff5b2969ad3d05df25573d506552bb7bce3b80,3fdd24e9a1a2ad8a207cedd87cc831061d39d37141e0462dbe02c6ff712b5710,сходится
