спектр                       часть     χ²/ndf до      после      Δ %  что разошлось; состав (доля %, до → после, > 0.05 п.п.)
AS80_Am241                   known        2.3762     2.3758   -0.017  chi2ndf, chi2ndf_pois, collinearity, decay_s, decay_s, dt_decay_s
AS80_Cs137_0cm               known        4.0771     4.0859   +0.216  anchor_note, chi2ndf, chi2ndf_pois, collinearity, decay_s, decay_s
AS80_Lu176                   known        1.9095     1.9071   -0.126  anchor_note, chi2ndf, chi2ndf_pois, collinearity, decay_s, decay_s
AS80_Lu176_v2                known        1.8237     1.8260   +0.126  anchor_note, chi2ndf, chi2ndf_pois, collinearity, decay_s, decay_s
AS80_Th232Medal              known       12.7409    12.7321   -0.069  anchor_note, anchor_offset_kev, ch_hi, ch_lo, chi2ndf, chi2ndf_pois
ASN16_Cs137                  known       13.4308    13.4532   +0.167  anchor_note, anchor_offset_kev, chi2ndf, chi2ndf_pois, collinearity, decay_s
ASN16_Cs137_10cm             known        0.5363     0.5365   +0.037  anchor_note, anchor_offset_kev, chi2ndf, chi2ndf_pois, collinearity, decay_s; Backscatter 7.24→7.33; Cs-137 92.71→92.62
ASN16_Lu176                  known        3.6305     3.6363   +0.160  anchor_note, chi2ndf, chi2ndf_pois, collinearity, decay_s, decay_s
ASN16_Lu176_P0               known        0.4120     0.4118   -0.049  anchor_note, chi2ndf, chi2ndf_pois, collinearity, decay_s, decay_s
G1S16_Am241_P25              known        1.5949     1.5921   -0.176  chi2ndf, chi2ndf_pois, collinearity, decay_s, decay_s, dt_decay_s
G1S16_Am241_P5               known        2.6850     2.6857   +0.026  chi2ndf, chi2ndf_pois, collinearity, decay_s, decay_s, dt_decay_s
G1S16_Ba133_P25              known        2.6755     2.6747   -0.030  anchor_note, chi2ndf, chi2ndf_pois, collinearity, decay_s, decay_s
G1S16_Ba133_P5               known       11.5217    11.5274   +0.049  anchor_note, chi2ndf, chi2ndf_pois, collinearity, decay_s, decay_s
G1S16_Cd109_P25              known        1.3540     1.3540   +0.000  chi2ndf_pois, decay_s, decay_s, dt_decay_s, dt_decay_s, gain
G1S16_Cd109_P5               known        3.6346     3.6346   +0.000  chi2ndf_pois, decay_s, decay_s, dt_decay_s, dt_decay_s, mda_decay_s
G1S16_Ce139_P25              known        1.1926     1.1926   +0.000  anchor_note, chi2ndf_pois, decay_s, decay_s, dt_decay_s, dt_decay_s
