спектр             нуклид     паспорт      rev31      rev32      r31      r32
G1S16_Am241_P25    Am-241    117537.1   122690.0   122700.0    1.044    1.044
G1S16_Am241_P5     Am-241    117537.1   111630.0   111620.0    0.950    0.950
G1S16_Ba133_P25    Ba-133     26718.6    26227.0    26225.0    0.982    0.982
G1S16_Ba133_P5     Ba-133     26723.5    24909.0    24904.0    0.932    0.932
G1S16_Ce139_P25    Ce-139      2058.8     1952.2     1952.1    0.948    0.948
G1S16_Ce139_P5     Ce-139      2069.2     1869.6     1869.5    0.904    0.904
G1S16_Co57_P5      Co-57         82.1       79.5       79.5    0.968    0.968
G1S16_Co60_P25     Co-60      39539.6    38755.0    38761.0    0.980    0.980
G1S16_Co60_P5      Co-60      39553.8    37773.0    37777.0    0.955    0.955
G1S16_Cs137_P25    Cs-137     79026.2    78249.0    78263.0    0.990    0.990
G1S16_Cs137_P5     Cs-137     79026.2    76478.0    76473.0    0.968    0.968
G1S16_Eu152_P25    Eu-152     31582.4    30276.0    30276.0    0.959    0.959
G1S16_Eu152_P5     Eu-152     31586.9    27872.0    27865.0    0.882    0.882
G1S16_Mn54_P25     Mn-54      30490.6    29751.0    29747.0    0.976    0.976
G1S16_Mn54_P5      Mn-54      30626.1    29411.0    29410.0    0.960    0.960
G1S16_Na22_P25     Na-22      69035.8    69461.0    69453.0    1.006    1.006
G1S16_Na22_P5      Na-22      69136.6    65316.0    65328.0    0.945    0.945
G1S16_Th228_P25    Th-228      2372.3     2439.5     2440.0    1.028    1.029
G1S16_Th228_P5     Th-228      2377.0     2276.2     2275.6    0.958    0.957
G1S16_Y88_P25      Y-88         681.9      629.6      629.1    0.923    0.923
G1S16_Y88_P5       Y-88         686.4      667.2      667.0    0.972    0.972
G1S24_Am241_P5     Am-241    102513.3    94359.0    94358.0    0.920    0.920
G1S24_Ba133_P5     Ba-133     15356.9    12976.0    12974.0    0.845    0.845
G1S24_Bi207_P5     Bi-207     82424.7    76079.0    76069.0    0.923    0.923
G1S24_Cd109_P5     Cd-109      6808.7     1509.1     1509.1    0.222    0.222
G1S24_Co60_P5      Co-60      49908.4    45966.0    45961.0    0.921    0.921
G1S24_Cs137_P25    Cs-137     89324.6    84051.0    84121.0    0.941    0.942
G1S24_Cs137_P5     Cs-137     89330.3    83779.0    83786.0    0.938    0.938
G1S24_Eu152_P5     Eu-152    120540.4   113000.0   112980.0    0.937    0.937
G1S24_Na22_P25     Na-22     136634.9   131890.0   131920.0    0.965    0.965
G1S24_Na22_P5      Na-22     136734.6   123830.0   123920.0    0.906    0.906
G1S24_Th228_P25    Th-228     28146.8    28891.0    28923.0    1.026    1.028
G1S24_Th228_P5     Th-228     88637.4    85846.0    85841.0    0.969    0.968
G1S24_Y88_P25      Y-88       29782.9    28143.0    28128.0    0.945    0.944
G1S24_Y88_P5       Y-88       29977.2    27865.0    27859.0    0.930    0.929
G1S24_Zn65_P5      Zn-65        871.0      821.5      821.2    0.943    0.943
медиана _P5  rev31 0.938 -> rev32 0.938 (n=22)
медиана _P25 rev31 0.980 -> rev32 0.980 (n=14)

спектр             нуклид     паспорт      rev31      rev32      r31      r32
ASN16_Cs137        Cs-137      5715.5     6682.3     6682.0    1.169    1.169
ASN16_Cs137_10cm   Cs-137      5712.3     5525.6     5524.8    0.967    0.967
RC103_Cs137_0cm    Cs-137      5564.3     5483.8     5488.2    0.986    0.986
RC103_Cs137_50mm   Cs-137      5235.6     6171.3     6178.3    1.179    1.180
