file,phys,histories,nodes,channels,noise_median,noise_worst,nodes_empty,cone,created,seconds,stamp,body_sha256,fingerprint
04cb27d4-6b6e-4c6c-b665-b6175d78bdcb.rmx,22,1000000,100,6,2.8042,2.8866,18,0,2026-09-21 14:23,177.1,phys=22;12f33d20d0adce7434c8cf6e3802216881cdc665462988767ad7b084e4f282e3,33584c6c970a6d28f1e823330ecf64f41bb6b90620a47e7cd10feb1edadc7e81,сходится
3b84ce13-d635-47d0-b734-62caa283e3f3.rmx,22,1000000,100,6,2.7995,2.9095,15,0,2026-09-21 14:07,110.8,phys=22;a5cf00bc68ca7c4eb38fd14987a4c04e4c2ebdc7b49d078389a73613d4ae2e6c,74c04317ceebd9af63d70a76ba8af78f721b5beb8e26900938d91bd36932eba1,сходится
41dc6e6a-c186-474f-96d3-4cc500538ab7.rmx,22,1000000,100,6,2.8483,2.9986,16,0,2026-09-21 14:00,270.0,phys=22;5ed02d5b185e552124c81e86bf4e2326711650240db528e0ffce2d22fde2a766,f768978939a3f7dcfe05c086459aabe960c569284e18660f6ef1d2011a7260b0,сходится
42333387-5295-4665-8c82-6e85c8498a18.rmx,22,1000000,100,6,2.8121,2.9698,15,0,2026-09-21 14:05,203.2,phys=22;9ac11aea63de81cc95ebea238d4bad8705741b8c0eac04498c8453a63b2ac37c,1390cc90828f7c1be1fdc25e0183b69f45d18897ebb697e3f0d447dacb886f75,сходится
4c5aa26d-d776-481f-96d8-c01022590f39.rmx,22,1000000,100,6,2.8059,2.9410,17,0,2026-09-21 14:16,100.2,phys=22;7e28ad9a9694ae5c1727d23937bbdee999bf63a380ac676ae6ce5b0dd6a298e5,d36b0e2cd46a38b08e926df9795d12d706e25232c1fbc8dcec1f931dca0f97d2,сходится
50a57c5a-3237-4154-b269-b9fd1a2c7d88.rmx,22,1000000,100,6,2.8268,2.9406,17,0,2026-09-21 14:27,179.9,phys=22;3d896b60b03420d19feb273b97134fbef41c00053889596ff499bc8781282e33,cb5eafa6e1c747082586c2de3439b2631c19c50bb14ce0266aa36d0529789ec3,сходится
5cb11287-beed-4fa3-bf52-21453effbdc8.rmx,22,1000000,100,6,2.8506,2.9858,18,0,2026-09-21 14:19,199.4,phys=22;a9bd28e36f0c13701ad4416b3d2a6d1fbcea62d24e1636cabf68cc5cce49d510,0e5f5fbf8fe3d41f9731972fdfcad7472681b1bfea7c5ff2f177271e50cf9a23,сходится
755bbe16-49f5-465c-8407-0e2520d106fd.rmx,22,1000000,100,6,2.8205,2.9307,15,0,2026-09-21 14:31,189.6,phys=22;b29cea0ba4720466533325b6e6ae281977a2f20b1dc52764f76c51f55bf0cedc,074e52c5a9c15bd83c7a1c1661e09b47ec88af81699f030c157a841c9ce2efd8,сходится
7fbb8fc3-24b8-440a-b750-80fb11b5a0e6.rmx,22,1000000,100,6,4.8535,7.1584,18,0,2026-09-21 13:55,183.7,phys=22;71302f5e2429a5af99e6220aa83cf3cd81e7c839b47f6398f07af7d205620c0b,bb1ef55955e3560e3994ecbc9929bb11b4401e8bc4b11fdc330ad42fc17a581f,сходится
aa8a6ecb-5866-4f9d-b359-3c68dba82e5a.rmx,22,1000000,100,6,2.8252,2.9412,15,0,2026-09-21 14:11,174.7,phys=22;922169005e4b79c0480a0e3aa1db4a6957b79b02b3fd1660e7330006278e2bbe,ae210a92fc5933a88aa11bef6be22e9eeea30111dcd0e7f633ccdbba7c168de5,сходится
c482e3bc-e2a8-491f-8759-5df93827eaef.rmx,22,1000000,100,6,2.7990,2.9204,15,0,2026-09-21 14:13,109.6,phys=22;e246a40e1a76fe4cb48f4296a86147082f39c517389e5172825734230e0002be,549cf60f759ef302c277d80bca3e6947fcd4a8708807850d4cf25eb7fb9390b5,сходится
