AMBER50: saw_before (HEAD) против saw_a50only (только правка AMBER50), AS80_point0, 16 узлов 30-60 кэВ
узел E delta | побитово? (разн./всего) | sum_row до -> после (%) | bin_peak-1 до -> после
 0  30.0000 +0.0000 | ДА (0/22) | 7.103355e-02 -> 7.103355e-02 (+0.000%) | 2.2907e-03 -> 2.2907e-03
 1  31.4188 -0.5812 | ДА (0/22) | 8.138260e-02 -> 8.138260e-02 (+0.000%) | 3.4523e-03 -> 3.4523e-03
 2  32.9047 +0.9047 | нет (23/23) | 8.898630e-02 -> 9.142094e-02 (+2.736%) | 1.8460e-03 -> 4.5058e-03
 3  34.4610 +0.4610 | нет (4/40) | 1.013768e-01 -> 1.027201e-01 (+1.325%) | 3.9958e-03 -> 4.5715e-03
 4  36.0908 +0.0908 | нет (6/41) | 1.135045e-01 -> 1.138478e-01 (+0.302%) | 4.8552e-03 -> 5.3425e-03
 5  37.7976 -0.2024 | ДА (0/45) | 1.237668e-01 -> 1.237668e-01 (+0.000%) | 5.2292e-03 -> 5.2292e-03
 6  39.5852 -0.4148 | ДА (0/46) | 1.347758e-01 -> 1.347758e-01 (+0.000%) | 5.5406e-03 -> 5.5406e-03
 7  41.4574 -0.5426 | ДА (0/49) | 1.449775e-01 -> 1.449775e-01 (+0.000%) | 6.0322e-03 -> 6.0322e-03
 8  43.4181 -0.5819 | ДА (0/51) | 1.520897e-01 -> 1.520897e-01 (+0.000%) | 6.3155e-03 -> 6.3155e-03
 9  45.4715 -0.5285 | ДА (0/53) | 1.601859e-01 -> 1.601859e-01 (+0.000%) | 6.6784e-03 -> 6.6784e-03
10  47.6220 -0.3780 | ДА (0/55) | 1.660793e-01 -> 1.660793e-01 (+0.000%) | 6.8072e-03 -> 6.8072e-03
11  49.8743 -0.1257 | ДА (0/57) | 1.750537e-01 -> 1.750537e-01 (+0.000%) | 7.2233e-03 -> 7.2233e-03
12  52.2330 +0.2330 | нет (4/56) | 1.788901e-01 -> 1.797534e-01 (+0.483%) | 6.4201e-03 -> 7.6675e-03
13  54.7033 +0.7033 | нет (4/58) | 1.828929e-01 -> 1.854262e-01 (+1.385%) | 4.7470e-03 -> 8.1582e-03
14  57.2905 -0.7095 | ДА (0/65) | 1.891660e-01 -> 1.891660e-01 (+0.000%) | 6.4903e-03 -> 6.4903e-03
15  60.0000 -0.0000 | ДА (0/65) | 1.934123e-01 -> 1.934123e-01 (+0.000%) | 6.7843e-03 -> 6.7843e-03
