=== AS80_point0 ===
      узел     лин+конт    континуум   лин/конт   лин/Σстр
     906.7 5.096572E-004 5.088245E-004      0.002    0.0007%
     949.4 4.428145E-004 4.814038E-004     -0.080   -0.0336%
     994.1 4.490035E-004 4.493958E-004     -0.001   -0.0003%
    1040.9 4.630788E-004 4.367965E-004      0.060    0.0236%
    1090.0 4.218258E-004 4.103303E-004      0.028    0.0104%
    1141.3 3.896875E-004 3.838589E-004      0.015    0.0054%
    1195.1 3.709533E-004 3.694236E-004      0.004    0.0014%
    1251.3 3.657462E-004 3.364314E-004      0.087    0.0278%
    1310.3 3.629171E-004 3.301435E-004      0.099    0.0315%
    1372.0 3.305921E-004 3.038432E-004      0.088    0.0260%
    1436.6 3.396538E-004 2.960366E-004      0.147    0.0430%
    1504.3 3.434997E-004 2.717766E-004      0.264    0.0714%
    1575.1 3.534810E-004 2.593688E-004      0.363    0.0949%
    1649.3 3.114559E-004 2.428006E-004      0.283    0.0702%
    1727.0 3.525992E-004 2.365472E-004      0.491    0.1198%
    1808.3 3.510698E-004 2.226527E-004      0.577    0.1339%
    1893.5 3.325947E-004 2.201177E-004      0.511    0.1183%
    1982.6 3.744225E-004 2.018961E-004      0.855    0.1828%
    2076.0 3.718595E-004 1.908213E-004      0.949    0.1936%
    2173.8 3.748348E-004 1.852753E-004      1.023    0.2040%
    2276.2 4.088426E-004 1.781229E-004      1.295    0.2509%
    2383.3 3.290296E-004 1.593989E-004      1.064    0.1859%
    2495.6 3.168351E-004 1.516264E-004      1.090    0.1818%
    2613.1 3.638398E-004 1.510996E-004      1.408    0.2357%
    2736.2 3.556157E-004 1.332023E-004      1.670    0.2466%
    2865.1 3.165000E-004 1.359105E-004      1.329    0.2015%
    3000.0 3.391049E-004 1.258903E-004      1.694    0.2373%
=== G1S_mar1l_oisn16_155_p24 ===
      узел     лин+конт    континуум   лин/конт   лин/Σстр
     906.7 3.047596E-004 2.955412E-004      0.031    0.0138%
     949.4 2.707296E-004 2.757636E-004     -0.018   -0.0076%
     994.1 2.663638E-004 2.541569E-004      0.048    0.0188%
    1040.9 2.546294E-004 2.384884E-004      0.068    0.0253%
    1090.0 2.541116E-004 2.304341E-004      0.103    0.0375%
    1141.3 2.222196E-004 2.257228E-004     -0.016   -0.0056%
    1195.1 2.241690E-004 2.137894E-004      0.049    0.0170%
    1251.3 2.280303E-004 1.917853E-004      0.189    0.0603%
    1310.3 2.007728E-004 1.872282E-004      0.072    0.0228%
    1372.0 2.185579E-004 1.782623E-004      0.226    0.0689%
    1436.6 2.083008E-004 1.727091E-004      0.206    0.0615%
    1504.3 2.499018E-004 1.690952E-004      0.478    0.1415%
    1575.1 2.451246E-004 1.581977E-004      0.549    0.1549%
    1649.3 2.857148E-004 1.462022E-004      0.954    0.2524%
    1727.0 2.953001E-004 1.444376E-004      1.044    0.2750%
    1808.3 3.498454E-004 1.398603E-004      1.501    0.3873%
    1893.5 3.103564E-004 1.293537E-004      1.399    0.3369%
    1982.6 3.450416E-004 1.294363E-004      1.666    0.4055%
    2076.0 3.590614E-004 1.122381E-004      2.199    0.4694%
    2173.8 3.062338E-004 1.121749E-004      1.730    0.3731%
    2276.2 3.610338E-004 1.025041E-004      2.522    0.5009%
    2383.3 3.431481E-004 9.575860E-005      2.583    0.4836%
    2495.6 3.518607E-004 9.593954E-005      2.668    0.5020%
    2613.1 3.016936E-004 1.012355E-004      1.980    0.3955%
    2736.2 3.891643E-004 8.993481E-005      3.327    0.5915%
    2865.1 3.041309E-004 8.301291E-005      2.664    0.4412%
    3000.0 4.171593E-004 8.443770E-005      3.940    0.6592%
