arm;line_kev;delta_kev;peak_bin;centroid_kev;offset_kev;window_centroid_kev;window_offset_kev;area;in_peak_share;dipole_share;image_width_kev;sigma_growth_percent
pad0;59.5409;-0.4591;30;59.540900;0.000000;59.540900;0.000000;1.428257E-001;100.0000;1.0075;0.8411;1.0104
pad1;59.5409;-0.4591;30;59.540900;0.000000;59.540900;0.000000;1.428257E-001;100.0000;1.0075;0.8411;1.0104
pad0;80.9979;0.9979;40;80.000000;-0.997900;80.000000;-0.997900;1.609222E-001;100.0000;8.7775;0.0000;0.0000
pad1;80.9979;0.9979;40;80.997900;0.000000;80.997900;0.000000;1.609222E-001;100.0000;1.0497;1.0000;1.0497
pad0;511.0000;-1.0000;256;511.000000;0.000000;511.000000;0.000000;7.670058E-002;100.0000;0.1671;1.0000;0.1671
pad1;511.0000;-1.0000;256;511.000000;0.000000;511.000000;0.000000;7.670058E-002;100.0000;0.1671;1.0000;0.1671
pad0;661.6570;-0.3430;331;661.657000;0.000000;661.657000;0.000000;6.134978E-002;100.0000;0.0734;0.7539;0.0734
pad1;661.6570;-0.3430;331;661.657000;0.000000;661.657000;0.000000;6.134978E-002;100.0000;0.0734;0.7539;0.0734
pad0;964.0790;0.0790;482;964.000000;-0.079000;964.000000;-0.079000;4.411856E-002;100.0000;0.2018;0.0000;0.0000
pad1;964.0790;0.0790;482;964.079000;0.000000;964.079000;0.000000;4.411856E-002;100.0000;0.0134;0.3896;0.0135
pad0;1173.2280;-0.7720;587;1173.228000;0.000000;1173.228000;0.000000;3.747612E-002;100.0000;0.0690;0.9737;0.0690
pad1;1173.2280;-0.7720;587;1173.228000;0.000000;1173.228000;0.000000;3.747612E-002;100.0000;0.0690;0.9737;0.0690
pad0;1408.0000;0.0000;704;1408.000000;0.000000;1408.000000;0.000000;3.200736E-002;100.0000;0.0000;0.0000;0.0000
pad1;1408.0000;0.0000;704;1408.000000;0.000000;1408.000000;0.000000;3.200736E-002;100.0000;0.0000;0.0000;0.0000
pad0;1460.8220;0.8220;730;1460.000000;-0.822000;1460.000000;-0.822000;3.096686E-002;100.0000;1.7054;0.0000;0.0000
pad1;1460.8220;0.8220;730;1460.822000;0.000000;1460.822000;0.000000;3.096686E-002;100.0000;0.0566;0.9840;0.0566
pad0;2614.5110;0.5110;1307;2614.000000;-0.511000;2614.000000;-0.511000;1.853664E-002;100.0000;0.7925;0.0000;0.0000
pad1;2614.5110;0.5110;1307;2614.511000;0.000000;2614.511000;0.000000;1.853664E-002;100.0000;0.0249;0.8723;0.0249
