плечо p0. Все числа — кэВ по калибровке КОРПУСА; окно общее для данных и модели; 
вершина — парабола по трём точкам над линейной подложкой, центроид — над той же подложкой.
spectrum          линия        таблица | дан.верш дан.цент | мод.верш мод.цент |     д−т     м−т     д−м
G1S16_Ba133_P5    K-Cs 31        30.97 |    29.69    30.35 |    30.12    32.69 |   -1.29   -0.85   -0.44
G1S16_Ba133_P5    81.0           81.00 |    83.14    82.17 |    80.18    80.92 |   +2.14   -0.82   +2.96
G1S16_Ba133_P5    356.0         356.01 |   354.28   355.36 |   356.02   356.31 |   -1.73   +0.01   -1.73
G1S24_Ba133_P5    K-Cs 31        30.97 |    28.75     0.26 |    30.40    32.89 |   -2.22   -0.57   -1.65
G1S24_Ba133_P5    81.0           81.00 |    82.16    81.70 |    80.19    80.71 |   +1.16   -0.81   +1.98
G1S24_Ba133_P5    356.0         356.01 |   356.22   356.33 |   356.00   356.19 |   +0.21   -0.01   +0.22
G1S16_Ba133_P25   K-Cs 31        30.97 |    30.01    30.20 |    30.14    32.71 |   -0.96   -0.83   -0.13
G1S16_Ba133_P25   81.0           81.00 |    83.36    81.93 |    79.95    80.41 |   +2.37   -1.04   +3.41
G1S16_Ba133_P25   356.0         356.01 |   357.22   356.78 |   356.24   356.63 |   +1.21   +0.22   +0.98
G1S16_Eu152_P5    K-Sm 40        40.12 |    38.02    35.80 |    40.45    41.39 |   -2.10   +0.34   -2.43
G1S16_Eu152_P5    121.8         121.78 |   123.54   123.11 |   121.89   122.05 |   +1.75   +0.11   +1.65
G1S16_Eu152_P5    244.7         244.70 |   244.04   244.60 |   243.93   243.64 |   -0.66   -0.77   +0.11
G1S16_Eu152_P5    344.3         344.28 |   346.16   345.74 |   344.31   344.61 |   +1.88   +0.03   +1.86
G1S16_Eu152_P5    1408         1408.01 |  1408.54  1412.25 |  1408.85  1409.59 |   +0.53   +0.84   -0.31
G1S24_Eu152_P5    K-Sm 40        40.12 |    39.72    40.82 |    40.24    41.12 |   -0.40   +0.12   -0.52
G1S24_Eu152_P5    121.8         121.78 |   124.60   123.90 |   121.88   122.03 |   +2.82   +0.10   +2.72
G1S24_Eu152_P5    244.7         244.70 |   245.83   244.80 |   244.25   244.04 |   +1.13   -0.45   +1.58
G1S24_Eu152_P5    344.3         344.28 |   345.85   345.20 |   344.17   344.43 |   +1.57   -0.11   +1.68
G1S24_Eu152_P5    1408         1408.01 |  1411.91  1412.12 |  1408.91  1409.84 |   +3.90   +0.90   +3.00
G1S16_Th228_P5    K-Pb/Bi 77     76.50 |    72.00    73.39 |    76.78    78.07 |   -4.50   +0.28   -4.78
G1S16_Th228_P5    238.6         238.63 |   238.45   238.48 |   238.27   238.53 |   -0.18   -0.36   +0.17
G1S16_Th228_P5    583.2         583.19 |   589.69   585.74 |   584.08   584.23 |   +6.50   +0.89   +5.61
G1S16_Th228_P5    2614         2614.51 |  2599.82  2615.97 |  2614.14  2615.02 |  -14.69   -0.37  -14.32
G1S24_Th228_P5    K-Pb/Bi 77     76.50 |    71.19    68.14 |    76.91    78.12 |   -5.31   +0.41   -5.71
G1S24_Th228_P5    238.6         238.63 |   235.44   236.28 |   238.15   238.13 |   -3.19   -0.49   -2.70
G1S24_Th228_P5    583.2         583.19 |   586.70   585.65 |   584.18   584.41 |   +3.51   +1.00   +2.52
