спектр                       часть     χ²/ndf до      после      Δ %  что разошлось; состав (доля %, до → после, > 0.05 п.п.)
AS80_Am241                   known        2.3758     2.3758   +0.000  chi2ndf_pois, model_residual_pct
AS80_Cs137_0cm               known        4.0859     4.0859   +0.000  chi2ndf_pois, mda_peak_counts, model_residual_pct, peak_counts
AS80_Lu176                   known        1.9071     1.9074   +0.016  chi2ndf, chi2ndf_pois, collinearity, decay_s, decay_s, dt_decay_s
AS80_Lu176_v2                known        1.8260     1.8258   -0.011  chi2ndf, chi2ndf_pois, collinearity, decay_s, decay_s, dt_decay_s
AS80_Th232Medal              known       12.7321    12.7309   -0.009  anchor_note, anchor_offset_kev, chi2ndf, chi2ndf_pois, decay_s, decay_s
ASN16_Cs137                  known       13.4532    13.5059   +0.392  anchor_note, anchor_offset_kev, chi2ndf, chi2ndf_pois, collinearity, decay_s
ASN16_Cs137_10cm             known        0.5365     0.5365   +0.000  chi2ndf_pois, mda_peak_counts, model_residual_pct, peak_counts
ASN16_Lu176                  known        3.6363     3.6360   -0.008  chi2ndf, chi2ndf_pois, collinearity, decay_s, decay_s, dt_decay_s
ASN16_Lu176_P0               known        0.4118     0.4118   +0.000  chi2ndf_pois, decay_s, decay_s, dt_decay_s, dt_decay_s, gain
G1S16_Am241_P25              known        1.5921     1.5921   +0.000  chi2ndf_pois, model_residual_pct
G1S16_Am241_P5               known        2.6857     2.6857   +0.000  chi2ndf_pois, dt_decay_s, dt_decay_s, mda_decay_s, mda_decay_s, mda_peak_counts
G1S16_Ba133_P25              known        2.6747     2.6747   +0.000  chi2ndf_pois, inflate, inflate, model_residual_pct, peak_counts
G1S16_Ba133_P5               known       11.5274    11.5289   +0.013  chi2ndf, chi2ndf_pois, collinearity, decay_s, decay_s, dt_decay_s
G1S16_Cd109_P25              known        1.3540     1.3540   +0.000  chi2ndf_pois, model_residual_pct
G1S16_Cd109_P5               known        3.6346     3.6346   +0.000  chi2ndf_pois, model_residual_pct
G1S16_Ce139_P25              known        1.1926     1.1926   +0.000  chi2ndf_pois, model_residual_pct
G1S16_Ce139_P5               known        3.3016     3.3017   +0.003  chi2ndf, chi2ndf_pois, collinearity, decay_s, decay_s, dt_decay_s
G1S16_Co57_P5                known        0.9711     0.9711   +0.000  chi2ndf_pois, model_residual_pct
G1S16_Co60_P25               known        1.7176     1.7176   +0.000  chi2ndf_pois, model_residual_pct
G1S16_Co60_P5                known        9.6196     9.6196   +0.000  chi2ndf_pois, model_residual_pct
G1S16_Cs137_Mar              known        1.5423     1.5423   +0.000  chi2ndf_pois, model_residual_pct
G1S16_Cs137_Mar_2            known        1.7805     1.7805   +0.000  chi2ndf_pois, mda_peak_counts, model_residual_pct, peak_counts
