spectra compared 59: bit-identical 26, moved 33
spectrum                         ctrl  ImageBins   delta%
G1S16_Mn54_P5                  2.8829     2.8360   -1.63
G1S16_Eu152_P25                4.2395     4.2957   +1.33
G1S24_Ba133_P5                21.2241    21.4302   +0.97
G1S16_Ba133_P5                13.5607    13.6778   +0.86
AS80_Cs137_0cm                 4.1154     4.1500   +0.84
G1S16_Eu152_P5                15.6986    15.6009   -0.62
G1S16_Cd109_P5                 3.7212     3.7409   +0.53
G1S24_Th228_P25                4.0507     4.0301   -0.51
G1S24_Th228_P5                22.0934    21.9890   -0.47
G1S16_Mn54_P25                 1.4954     1.4886   -0.45
AS80_Th232Medal               11.7024    11.7497   +0.40
G1S24_Cd109_P5                 3.5919     3.5776   -0.40
G1S24_Bi207_P5                23.4500    23.3705   -0.34
G1S16_Ba133_P25                2.8927     2.9022   +0.33
G1S16_Cs137_P5                 8.2280     8.2119   -0.20
G1S16_Th228_P5                 4.2221     4.2290   +0.16
G1S24_Na22_P5                 35.8688    35.8270   -0.12
G1S24_Cs137_P25                3.1604     3.1632   +0.09
G1S16_Th228_P25                1.1458     1.1448   -0.09
AS80_Lu176                     2.1199     2.1183   -0.08
ASN16_Cs137_10cm               0.5285     0.5288   +0.06
G1S16_Cd109_P25                1.3902     1.3895   -0.05
ASN16_Lu176                    5.1230     5.1255   +0.05
G1S24_Eu152_P5                34.9677    34.9508   -0.05
ASN16_Lu176_P0                 0.5364     0.5362   -0.04
ASN16_Cs137                   14.5167    14.5189   +0.02
G1S24_Na22_P25                 6.7797     6.7805   +0.01
G1S16_Cs137_P25                1.8586     1.8584   -0.01
G1S24_Cs137_P5                14.5024    14.5038   +0.01
G1S16_Co60_P5                  9.5193     9.5189   -0.00
G1S16_Na22_P5                 13.9178    13.9182   +0.00
G1S24_Y88_P5                   7.8390     7.8391   +0.00
G1S24_Co60_P5                 11.6648    11.6649   +0.00
sum over moved: 312.6080 -> 312.6669 (+0.02 %)
better 16, worse 17
