spectrum,peak_kev,fwhm_kev,label,line_kev,intensity_pct,rivals_app,factor_app,rivals_real,factor_real,rivals_xray,rivals_low,cursor_text,table_text,cursor_agrees
AS80_Am241,603.550,48.164,Bi-214,609.000,45.44,2,1.976,2,1.976,0,0,Bi-214,Bi-214,1
AS80_Am241,1415.047,74.001,Bi-214,1377.000,3.985,0,1.000,0,1.000,0,0,(нет),Bi-214 / K-40,0
AS80_Cs137_0cm,62.203,8.173,Am-241,59.541,35.9,0,1.000,0,1.000,1,0,Am-241,Am-241 / W x-ray,0
AS80_Cs137_0cm,201.467,24.082,Lu-176,202.000,77.9688,2,20.043,2,20.043,0,0,Lu-176,Lu-176,1
AS80_Cs137_0cm,653.897,49.862,Cs-137,662.000,85.1,1,11.893,1,11.893,0,0,Cs-137,Cs-137,1
AS80_Cs137_0cm,903.117,74.999,Ac-228,911.000,25.8,0,1.000,0,1.000,0,0,Ac-228,Ac-228,1
AS80_Cs137_0cm,1103.906,73.776,Eu-152,1111.000,13.67,1,1.090,1,1.090,0,0,Eu-152,Eu-152,1
AS80_Cs137_0cm,1456.520,99.488,K-40,1460.000,10.66,0,1.000,0,1.000,0,0,K-40,K-40,1
AS80_Cs137_0cm,1793.201,109.683,Bi-214,1764.000,15.29,0,1.000,0,1.000,0,0,(нет),Bi-214,0
AS80_Cs137_0cm,2225.350,186.794,Bi-214,2204.000,4.92,0,1.000,0,1.000,0,0,Bi-214,Bi-214,1
AS80_Cs137_0cm,2619.477,103.802,Tl-208,2614.000,35.8516,0,1.000,0,1.000,0,0,Tl-208,Tl-208,1
AS80_Lu176,200.486,20.877,Lu-176,202.000,77.9688,1,3.678,1,3.678,0,0,Lu-176,Lu-176,1
AS80_Lu176,304.486,28.907,Lu-176,307.000,93.6,2,58.500,2,58.500,0,0,Lu-176,Lu-176,1
AS80_Lu176,598.126,37.638,Bi-214,609.000,45.44,2,1.976,2,1.976,0,0,Bi-214,Bi-214,1
AS80_Lu176,901.564,52.024,Ac-228,911.000,25.8,0,1.000,0,1.000,0,0,Ac-228,Ac-228,1
AS80_Lu176,1108.092,73.478,Eu-152,1111.000,13.67,1,1.090,1,1.090,0,0,Eu-152,Eu-152,1
AS80_Lu176,1454.857,82.451,K-40,1460.000,10.66,0,1.000,0,1.000,0,0,K-40,K-40,1
AS80_Lu176,1772.757,90.592,Bi-214,1764.000,15.29,0,1.000,0,1.000,0,0,Bi-214,Bi-214,1
AS80_Lu176,2686.554,128.594,Tl-208,2614.000,35.8516,0,1.000,0,1.000,0,0,(нет),Tl-208,0
AS80_Lu176_v2,201.519,20.881,Lu-176,202.000,77.9688,2,20.043,2,20.043,0,0,Lu-176,Lu-176,1
AS80_Lu176_v2,305.581,29.065,Lu-176,307.000,93.6,2,58.500,2,58.500,0,0,Lu-176,Lu-176,1
AS80_Lu176_v2,599.038,36.496,Bi-214,609.000,45.44,2,1.976,2,1.976,0,0,Bi-214,Bi-214,1
AS80_Lu176_v2,917.974,76.430,Ac-228,911.000,25.8,0,1.000,0,1.000,0,0,Ac-228,Ac-228,1
AS80_Lu176_v2,1105.036,68.431,Eu-152,1111.000,13.67,1,1.090,1,1.090,0,0,Eu-152,Eu-152,1
AS80_Lu176_v2,1446.603,81.859,K-40,1460.000,10.66,0,1.000,0,1.000,0,0,K-40,K-40,1
AS80_Lu176_v2,1754.821,89.362,Bi-214,1764.000,15.29,0,1.000,0,1.000,0,0,Bi-214,Bi-214,1
AS80_Lu176_v2,2658.513,123.683,Tl-208,2614.000,35.8516,0,1.000,0,1.000,0,0,(нет),Tl-208,0
AS80_Th232WT20,59.908,10.330,Am-241,59.541,35.9,0,1.000,0,1.000,2,0,Am-241,Am-241 / W x-ray,0
AS80_Th232WT20,129.416,14.618,Ac-228,129.065,2.42,1,11.789,1,11.789,0,0,Ac-228,Ac-228,1
AS80_Th232WT20,240.628,22.857,Pb-214,241.000,7.2615,2,6.004,2,6.004,0,0,Pb-214,Pb-214 / Pb-212,0
AS80_Th232WT20,340.649,29.499,Ac-228,338.000,11.27,3,3.820,3,3.820,0,0,Ac-228,Ac-228 / Eu-152,0
AS80_Th232WT20,406.987,14.189,Ac-228,409.000,1.92,0,1.000,0,1.000,0,0,Ac-228,Ac-228,1
AS80_Th232WT20,464.477,23.453,Ac-228,463.000,4.4,0,1.000,0,1.000,0,0,Ac-228,Ac-228,1
AS80_Th232WT20,585.340,41.686,Tl-208,583.000,30.549,0,1.000,0,1.000,0,0,Tl-208,Tl-208,1
