k (litA) = 2.857; r_model(662) = 1.0091; r_model_norm(100) = 1.0392
       E     model      litA      litB |  s_model   s_litA   s_litB
    10.0    1.1219    1.1200    1.1200 |    +1.22    +1.20    +1.20
    20.0    1.1219    1.1720    1.1720 |    +2.44    +3.44    +3.44
    22.0    1.1219    1.1715    1.1715 |    +2.68    +3.77    +3.77
    31.0    1.0921    1.1666    1.1666 |    +2.85    +5.16    +5.16
    32.0    1.0932    1.1632    1.1632 |    +2.98    +5.22    +5.22
    34.5    1.0957    1.1410    1.1410 |    +3.30    +4.86    +4.86
    40.0    1.0942    1.1505    1.1505 |    +3.77    +6.02    +6.02
    50.0    1.0821    1.1580    1.1580 |    +4.10    +7.90    +7.90
    59.5    1.0650    1.1465    1.1465 |    +3.87    +8.71    +8.71
    77.0    1.0529    1.1293    1.1293 |    +4.07    +9.96    +9.96
    81.0    1.0505    1.1260    1.1260 |    +4.09   +10.20   +10.20
    88.0    1.0455    1.1205    1.1205 |    +4.00   +10.60   +10.60
   100.0    1.0392    1.1120    1.1120 |    +3.92   +11.20   +11.20
   121.8    1.0295    1.0843    1.1003 |    +3.59   +10.27   +12.21
   166.0    1.0192    1.0549    1.0820 |    +3.19    +9.11   +13.60
   238.6    1.0119    1.0341    1.0605 |    +2.84    +8.13   +14.42
   244.7    1.0114    1.0326    1.0590 |    +2.79    +7.98   +14.42
   276.4    1.0098    1.0280    1.0518 |    +2.71    +7.74   +14.30
   302.9    1.0086    1.0246    1.0463 |    +2.61    +7.45   +14.02
   344.3    1.0069    1.0198    1.0387 |    +2.38    +6.81   +13.33
   356.0    1.0065    1.0187    1.0368 |    +2.33    +6.65   +13.07
   383.9    1.0057    1.0163    1.0323 |    +2.18    +6.24   +12.38
   511.0    1.0025    1.0071    1.0153 |    +1.26    +3.61    +7.82
   569.7    1.0014    1.0041    1.0089 |    +0.82    +2.33    +5.05
   583.2    1.0012    1.0035    1.0075 |    +0.70    +2.01    +4.36
   661.7    1.0000    1.0000    1.0000 |    -0.00    -0.00    -0.00
   779.0    0.9987    0.9964    0.9987 |    -0.98    -2.79    -1.00
   834.8    0.9982    0.9949    0.9982 |    -1.49    -4.26    -1.51
   860.6    0.9980    0.9942    0.9980 |    -1.74    -4.96    -1.76
   964.0    0.9971    0.9918    0.9971 |    -2.78    -7.93    -2.80
  1063.7    0.9966    0.9902    0.9966 |    -3.64   -10.41    -3.67
  1112.0    0.9963    0.9895    0.9963 |    -4.08   -11.67    -4.11
  1173.0    0.9960    0.9887    0.9960 |    -4.66   -13.30    -4.69
  1332.0    0.9953    0.9867    0.9953 |    -6.21   -17.74    -6.24
  1408.0    0.9951    0.9861    0.9951 |    -6.84   -19.55    -6.88
  1770.0    0.9944    0.9839    0.9944 |    -9.97   -28.47   -10.01
  2614.0    0.9931    0.9802    0.9931 |   -18.15   -51.84   -18.21
