реконструкция Σ resid²·w_sol/ndf = chi2ndf: расхождений 0 из 168
=== метрика: sol (χ² РЕШАТЕЛЯ (Хубер), как chi2ndf) ===
Σ по 42 спектрам понятной части, по полосам кэВ:
плечо        <45    45-100   100-300  300-1000     >1000     всего
lin        49.55     43.40     93.55     65.61     67.62    319.73
model-b1     51.61     40.98     92.35     65.76     68.07    318.78
lit-b1     54.17     31.21     91.45     78.46     76.41    331.70
kdip-b1     50.29     39.80     89.68     65.00     68.19    312.97
разности к lin:
model-b1-lin     +2.06     -2.42     -1.20     +0.15     +0.45     -0.95
lit-b1-lin     +4.62    -12.18     -2.10    +12.85     +8.79    +11.97
kdip-b1-lin     +0.74     -3.59     -3.86     -0.61     +0.57     -6.76
каналов полосы фита, всего: [1274, 1327, 4774, 16304, 47997] (71676)

поспектрово (sol): плечо lin по полосам | разности model-b1-lin по полосам
AS80_Cs137_0cm    |   5.09   0.25   0.60   1.73   0.73 |  +0.00  -0.01  +0.01  +0.00  -0.00 |  -0.01  -0.10  +0.06  +0.15  +0.00 |  +0.01  -0.02  +0.03  +0.05  +0.00
AS80_Lu176        |   3.99   0.33   0.16   0.42   0.85 |  -0.03  +0.09  +0.08  +0.14  +0.00 |  -0.04  +0.12  +0.28  +0.41  -0.00 |  -0.02  +0.08  +0.07  +0.12  +0.00
ASN16_Lu176       |   0.62   0.31   0.86   0.96   0.41 |  +0.17  +0.72  +0.14  +0.03  +0.00 |  +0.76  +1.34  +0.70  +0.92  +0.00 |  +0.12  +0.68  +0.10  -0.01  +0.00
ASN16_Lu176_P0    |   0.04   0.04   0.08   0.17   0.03 |  +0.01  +0.06  -0.00  +0.00  -0.00 |  +0.02  +0.11  +0.03  +0.04  -0.00 |  +0.01  +0.06  -0.00  +0.00  -0.00
G1S16_Am241_P25   |   1.34   0.31   0.11   0.40   0.50 |  +0.14  +0.00  +0.00  +0.00  +0.00 |  -0.02  +0.00  +0.00  +0.00  +0.00 |  +0.04  -0.00  +0.00  +0.00  +0.00
G1S16_Am241_P5    |   4.19   1.12   0.19   0.27   0.17 |  +0.07  +0.36  -0.00  +0.00  +0.00 |  +0.00  -0.11  +0.00  +0.00  +0.00 |  +0.03  +0.11  -0.00  +0.00  +0.00
G1S16_Ba133_P25   |   0.65   1.16   0.22   0.42   0.66 |  +0.09  -0.31  -0.02  -0.02  +0.00 |  -0.01  -0.57  -0.05  -0.09  +0.00 |  -0.07  -0.34  -0.03  -0.03  +0.00
G1S16_Ba133_P5    |   2.12   6.01   2.64   1.76   0.50 |  +0.50  -1.74  -0.04  -0.12  +0.00 |  +0.62  -4.11  -0.28  -0.36  -0.00 |  -0.09  -1.85  -0.07  -0.16  +0.00
G1S16_Cd109_P25   |   0.25   0.14   0.09   0.25   0.73 |  +0.01  -0.00  -0.00  +0.00  +0.00 |  +0.01  -0.00  -0.00  +0.00  +0.00 |  +0.00  -0.00  -0.00  +0.00  +0.00
G1S16_Cd109_P5    |   1.00   1.12   0.09   0.26   0.59 |  +0.06  +0.01  +0.00  +0.00  +0.00 |  +0.12  +0.00  +0.00  +0.00  +0.00 |  +0.08  +0.01  +0.00  +0.00  +0.00
G1S16_Ce139_P25   |   0.13   0.05   0.19   0.25   0.69 |  +0.00  -0.00  -0.00  +0.00  +0.00 |  -0.01  +0.00  +0.01  +0.00  +0.00 |  -0.01  -0.00  -0.00  +0.00  +0.00
G1S16_Ce139_P5    |   0.59   0.33   1.35   0.39   0.46 |  -0.04  -0.00  +0.01  +0.00  +0.00 |  -0.05  +0.02  +0.05  +0.00  +0.00 |  -0.07  +0.01  +0.01  +0.00  +0.00
G1S16_Co57_P5     |   0.02   0.07   0.16   0.22   0.55 |  -0.00  +0.00  -0.00  +0.00  +0.00 |  -0.00  +0.01  +0.00  +0.00  +0.00 |  -0.00  +0.00  -0.00  +0.00  +0.00
G1S16_Co60_P25    |   0.14   0.10   0.15   0.39   0.89 |  -0.00  -0.01  +0.00  +0.00  +0.03 |  -0.00  -0.04  +0.03  +0.02  +0.18 |  -0.00  -0.01  +0.01  +0.01  +0.03
G1S16_Co60_P5     |   0.50   0.08   3.88   1.50   3.67 |  -0.01  +0.01  -0.06  +0.05  +0.42 |  -0.01  +0.06  -0.07  +0.14  +1.36 |  -0.00  +0.01  -0.04  +0.05  +0.44
G1S16_Cs137_P25   |   0.16   0.17   0.29   0.70   0.63 |  +0.01  -0.00  +0.01  +0.02  +0.00 |  +0.06  -0.03  +0.07  +0.09  -0.00 |  +0.03  -0.01  +0.01  +0.02  +0.00
G1S16_Cs137_P5    |   0.83   0.67   3.48   2.38   0.58 |  +0.00  -0.12  +0.07  +0.12  +0.00 |  +0.16  -0.43  +0.15  +0.52  +0.00 |  +0.11  -0.13  +0.07  +0.14  +0.00
G1S16_Eu152_P25   |   0.36   0.26   1.87   1.01   0.88 |  +0.02  -0.02  -0.16  -0.17  -0.02 |  +0.00  -0.18  -0.99  -0.18  +0.06 |  -0.05  -0.05  -0.43  -0.30  -0.01
G1S16_Eu152_P5    |   0.90   1.90   6.22   3.43   1.92 |  +0.07  +0.11  -0.15  -0.41  -0.11 |  +0.26  -0.90  -2.40  -1.79  -0.15 |  -0.03  +0.12  -0.74  -0.67  -0.21
G1S16_Mn54_P25    |   0.15   0.03   0.17   0.57   0.72 |  -0.00  -0.01  -0.02  +0.02  -0.00 |  -0.00  -0.00  -0.05  +0.10  -0.00 |  -0.00  -0.01  -0.02  +0.01  -0.00
G1S16_Mn54_P5     |   0.34   0.18   0.92   2.05   0.33 |  -0.00  +0.04  +0.03  +0.07  +0.00 |  +0.09  +0.01  +0.07  +0.21  +0.00 |  -0.00  +0.03  +0.02  +0.06  +0.00
G1S16_Na22_P25    |   0.41   0.17   0.73   1.63   1.37 |  +0.00  +0.10  -0.04  -0.20  -0.05 |  +0.00  +0.16  -0.07  -0.23  -0.05 |  +0.00  +0.11  -0.06  -0.23  -0.04
G1S16_Na22_P5     |   0.82   0.81   3.99   2.60   4.48 |  -0.00  +0.02  -0.08  -0.05  -0.00 |  +0.00  +0.04  -0.25  -0.02  -0.01 |  -0.00  +0.02  -0.11  -0.04  +0.01
G1S16_Th228_P25   |   0.03   0.15   0.11   0.23   0.74 |  -0.00  -0.02  +0.01  +0.01  +0.00 |  -0.01  -0.04  -0.00  +0.08  -0.00 |  -0.00  -0.03  +0.01  +0.01  +0.00
