spectrum,part,adc_floor_keV,curve_floor_keV,fit_lo_keV_off,fit_lo_ch_off,fit_lo_keV_adc,fit_lo_ch_adc,fit_lo_keV_20,fit_lo_ch_20,chi2ndf_off,chi2ndf_adc,chi2ndf_20,inflate_off,inflate_adc,inflate_20,data_total_off,data_total_adc,data_total_20
AS80_Cs137_0cm,known,3.02,20.00,-15.04,0,3.02,47,20.22,92,14.6905,11.7516,10.9271,3.8328,3.4281,3.3056,7646138.8,7724450.1,7694293.5
AS80_Lu176,known,11.30,30.00,-7.62,0,11.30,52,20.04,76,5.9294,2.7327,2.4783,2.4350,1.6531,1.5743,771320.0,802132.1,813027.9
AS80_Th232WT20,unknown,10.82,20.00,-6.51,0,10.82,47,20.04,72,22.4109,21.5531,21.0267,4.7340,4.6425,4.5855,45553353.9,45553354.3,45430882.9
ASN16_Cs137,unknown,0.23,16.00,-14.31,0,0.23,38,20.15,90,60.8068,47.2984,49.1699,7.7979,6.8774,7.0121,249221972.4,248064471.3,236881270.7
ASN16_Lu176,known,0.34,30.00,-4.82,0,0.34,14,20.25,68,3.4275,3.3904,2.9272,1.8513,1.8413,1.7109,4359770.1,4359761.7,4265656.6
ASN16_Lu176_P0,known,1.47,30.00,-6.44,0,1.47,21,20.32,71,0.3579,0.3500,0.3213,1.0000,1.0000,1.0000,34951.8,34954.5,33985.8
G1S16_Am241_P25,known,7.23,20.00,-6.78,0,7.23,5,21.27,10,2.4577,2.4436,2.2244,1.5677,1.5632,1.4914,94246.7,94246.7,92005.3
G1S16_Am241_P5,known,4.07,20.00,-10.21,0,4.07,5,21.24,11,8.1861,8.1251,7.1992,2.8611,2.8505,2.6831,664962.7,664962.7,636694.4
G1S16_Ba133_P25,known,2.29,20.00,-12.02,0,2.29,5,22.36,12,9.3261,8.0508,6.6950,3.0539,2.8374,2.5875,379354.2,379354.2,347172.0
G1S16_Ba133_P5,known,1.25,20.00,-13.17,0,1.25,5,21.46,12,34.7359,32.5473,27.3118,5.8937,5.7050,5.2261,4673220.2,4673220.2,4244909.2
G1S16_Cd109_P25,known,2.29,20.00,-12.01,0,2.29,5,22.36,12,2.0657,2.0625,1.3368,1.4373,1.4361,1.1562,16365.2,16365.2,3719.0
G1S16_Cd109_P5,known,1.26,20.00,-13.25,0,1.26,5,21.60,12,6.0128,5.8106,3.0300,2.4521,2.4105,1.7407,240792.8,240792.8,62593.8
G1S16_Ce139_P25,known,2.28,20.00,-11.92,0,2.28,5,22.19,12,1.9614,2.0494,1.8958,1.4005,1.4316,1.3769,18116.3,18116.3,17471.0
G1S16_Ce139_P5,known,1.25,20.00,-13.19,0,1.25,5,21.49,12,6.7914,6.6186,6.0502,2.6060,2.5727,2.4597,249576.7,249576.7,240059.7
G1S16_Co57_P5,known,4.07,20.00,-10.21,0,4.07,5,21.24,11,1.0481,1.0625,1.0492,1.0238,1.0308,1.0243,8186.8,8186.8,8175.7
G1S16_Co60_P25,known,15.03,20.00,0.95,0,15.03,5,20.67,7,1.9355,1.9967,1.8442,1.3912,1.4130,1.3580,430170.2,430170.2,430156.7
G1S16_Co60_P5,known,1.24,20.00,-13.06,0,1.24,5,21.28,12,9.7627,7.4809,6.9230,3.1245,2.7351,2.6312,2911373.2,2911373.2,2897403.2
G1S16_Cs137_P25,known,2.28,20.00,-11.92,0,2.28,5,22.19,12,4.6375,4.6738,4.2573,2.1535,2.1619,2.0633,452832.7,452832.7,446036.4
G1S16_Cs137_P5,known,1.43,20.00,-24.78,0,1.43,9,21.86,16,22.6323,20.2920,17.3992,4.7573,4.5047,4.1712,4955835.8,4949715.0,4566782.5
G1S16_Eu152_P25,known,2.29,20.00,-12.01,0,2.29,5,22.35,12,9.3195,10.2624,9.7467,3.0528,3.2035,3.1220,864447.8,864447.8,858575.3
G1S16_Eu152_P5,known,1.25,20.00,-13.18,0,1.25,5,21.49,12,32.1733,33.1621,31.7321,5.6721,5.7587,5.6331,5019321.6,5019321.6,4986339.6
G1S16_Mn54_P25,known,2.28,20.00,-11.96,0,2.28,5,22.26,12,1.8158,1.8375,1.6976,1.3475,1.3555,1.3029,184435.3,184435.3,183206.0
G1S16_Mn54_P5,known,0.89,20.00,-43.92,0,0.89,15,21.86,22,4.1573,3.9196,3.9170,2.0390,1.9798,1.9791,656470.7,645584.4,634149.2
G1S16_Na22_P25,known,6.21,20.00,-7.97,0,6.21,5,20.41,10,4.5265,3.8073,3.9603,2.1276,1.9512,1.9901,1445830.2,1445830.2,1442367.9
