key,det,part,component,kind,keV,intensity_pct,min_range_keV,curve_floor_keV,col_norm,col_sum,col_sum_below,amplitude,area,area_below,continuum_share,model_share,degenerate
ASN16_Cs137,ASN16,unknown,Xray-CsI,Nuisance,28.612,22.7723,30.00,16.00,1.23972E-06,0.0280796,0.018258,0,0,0,0.009038,0.089897,0
ASN16_Cs137,ASN16,unknown,Xray-CsI,Nuisance,28.317,12.2606,30.00,16.00,6.32743E-07,0.0146385,0.0100081,0,0,0,0.008955,0.087044,0
AS80_Th232WT20,AS80x80,unknown,Xray-NaI,Nuisance,28.612,46.6215,30.00,20.00,2.13412E-05,0.0284196,0.0193091,4.23272E+06,120292,81730.1,0.111381,0.187122,0
AS80_Th232WT20,AS80x80,unknown,Xray-NaI,Nuisance,28.317,25.101,30.00,20.00,1.07072E-05,0.0142973,0.0102959,4.23272E+06,60516.5,43579.7,0.098291,0.164984,0
AS80_Th232WT20,AS80x80,unknown,Esc-NaI,Nuisance,29.154,0.0469259,30.00,20.00,2.441E-08,3.23404E-05,1.94193E-05,4.0582E+07,1312.44,788.075,0.140379,0.968704,0
G1S16_Am241_P25,G1S16,known,Am-241,Single,26.345,2.27,30.00,20.00,3.04605E-07,3.80243E-05,3.80242E-05,6.92875E+07,2634.61,2634.6,0.035846,0.035846,0
G1S16_Ba133_P25,G1S16,known,Esc-NaI,Nuisance,24.550,0.247012,30.00,20.00,1.43264E-08,3.44771E-06,3.44264E-06,1.55523E+07,53.6199,53.541,0.001649,0.021953,0
G1S16_Cd109_P25,G1S16,known,Cd-109,Single,21.990,29.2459,30.00,20.00,1.76087E-06,0.000280861,0.000280858,1.17185E+07,3291.26,3291.23,0.001322,0.001322,0
G1S16_Cd109_P25,G1S16,known,Cd-109,Single,22.163,55.1289,30.00,20.00,3.42241E-06,0.000545353,0.000545347,1.17185E+07,6390.71,6390.65,0.001314,0.001314,0
G1S16_Cd109_P25,G1S16,known,Cd-109,Single,25.030,15.2723,30.00,20.00,1.638E-06,0.000226074,0.000222599,1.17185E+07,2649.25,2608.53,0.000727,0.000727,0
G1S16_Cd109_P25,G1S16,known,Cd-109,Single,25.454,2.65737,30.00,20.00,2.96519E-07,4.10143E-05,4.03932E-05,1.17185E+07,480.626,473.348,0.000728,0.000728,0
G1S16_Am241_P5,G1S16,known,Am-241,Single,26.345,2.27,30.00,20.00,1.51285E-06,0.000651353,0.000651353,2.71615E+07,17691.7,17691.7,0.018682,0.018682,0
G1S16_Ba133_P5,G1S16,known,Esc-NaI,Nuisance,24.550,0.247012,30.00,20.00,5.06655E-08,5.82002E-05,5.81114E-05,0,0,0,0.000119,0.014321,0
G1S16_Cd109_P5,G1S16,known,Cd-109,Single,21.990,29.2459,30.00,20.00,6.73523E-06,0.00462196,0.00462191,9.92475E+06,45871.8,45871.3,0.000000,0.000000,0
G1S16_Cd109_P5,G1S16,known,Cd-109,Single,22.163,55.1289,30.00,20.00,1.31362E-05,0.00899624,0.00899616,9.92475E+06,89285.4,89284.6,0.000000,0.000000,0
G1S16_Cd109_P5,G1S16,known,Cd-109,Single,25.030,15.2723,30.00,20.00,4.10197E-06,0.00381809,0.0037593,9.92475E+06,37893.6,37310.1,0.000000,0.000000,0
G1S16_Cd109_P5,G1S16,known,Cd-109,Single,25.454,2.65737,30.00,20.00,7.44402E-07,0.000696086,0.000685557,9.92475E+06,6908.48,6803.98,0.000000,0.000000,0
G1S24_Am241_P5,G1S24,known,Am-241,Single,26.345,2.27,30.00,20.00,3.38452E-07,0.000651518,0.000651481,1.37359E+08,89492,89486.9,0.017985,0.017985,0
G1S24_Ba133_P5,G1S24,known,Esc-NaI,Nuisance,24.550,0.247012,30.00,20.00,3.59167E-08,5.82002E-05,5.81953E-05,0,0,0,0.023736,0.034883,0
G1S24_Cd109_P5,G1S24,known,Cd-109,Single,21.990,29.2459,30.00,20.00,1.09947E-05,0.00462359,0.004623,1.90525E+06,8809.11,8807.98,0.000364,0.000364,0
G1S24_Cd109_P5,G1S24,known,Cd-109,Single,22.163,55.1289,30.00,20.00,2.13895E-05,0.00899934,0.00899821,1.90525E+06,17146,17143.8,0.000363,0.000363,0
G1S24_Cd109_P5,G1S24,known,Cd-109,Single,25.030,15.2723,30.00,20.00,1.16408E-05,0.0038193,0.00365361,1.90525E+06,7276.73,6961.05,0.030046,0.030046,0
G1S24_Cd109_P5,G1S24,known,Cd-109,Single,25.454,2.65737,30.00,20.00,2.11681E-06,0.000696287,0.00066658,1.90525E+06,1326.6,1270,0.029049,0.029049,0
