spectrum,arm,pairs,E_plain,E_app,fwhm_keV,pass,c_model,c_data,c_data_signed,d_centre,max_model,max_data,d_max,A_model,A_data,ratio,S_share,lo,hi
AS80_Lu176,electron,88+56,144.14,147.23,16.48,1,146.541,150.594,165.678,4.052,146.50,151.63,5.13,36.07,545.63,15.1283,0.0005,130.76,163.71
AS80_Lu176,electron,88+56,144.14,147.23,16.48,2,147.070,154.311,163.058,7.241,146.50,166.31,19.81,35.25,1042.93,29.5843,0.0005,134.12,167.07
AS80_Lu176,electron,202+55;202+56;202+63,258.10,261.04,23.70,1,261.954,269.596,287.163,7.641,259.42,284.53,25.10,1023.11,1060.30,1.0364,0.0195,237.35,284.74
AS80_Lu176,electron,202+55;202+56;202+63,258.10,261.04,23.70,2,267.687,283.655,292.711,15.969,259.42,291.92,32.49,1135.50,3319.10,2.9230,0.0159,245.90,293.29
AS80_Lu176,electron,202+88,290.17,293.03,25.53,1,289.102,293.989,293.184,4.887,267.54,290.44,22.90,849.58,6401.84,7.5353,0.0041,267.50,318.56
AS80_Lu176,electron,202+88,290.17,293.03,25.53,2,289.897,294.756,293.939,4.858,268.65,290.44,21.79,821.90,6550.66,7.9702,0.0039,268.46,319.52
AS80_Lu176,electron,88+55+202;202+88+56;307+55;307+56;307+63,363.12,365.98,29.49,1,369.350,362.401,360.802,-6.949,366.72,361.15,-5.56,1312.30,1490.18,1.1355,0.0708,336.49,395.47
AS80_Lu176,electron,88+55+202;202+88+56;307+55;307+56;307+63,363.12,365.98,29.49,2,367.813,360.745,364.559,-7.068,366.72,361.15,-5.56,1249.02,1186.97,0.9503,0.0632,332.91,391.89
AS80_Lu176,electron,307+88,395.23,397.97,31.15,1,387.490,390.903,349.765,3.412,367.09,367.09,0.00,1044.44,202.02,0.1934,0.0736,366.83,429.12
AS80_Lu176,electron,307+88,395.23,397.97,31.15,2,382.543,380.411,362.870,-2.132,367.09,361.15,-5.94,1271.00,630.85,0.4963,0.0825,359.76,422.05
AS80_Lu176,electron,88+55+307;307+88+56,450.44,456.00,34.05,1,481.838,461.735,466.613,-20.103,489.92,489.92,0.00,1080.55,1444.98,1.3373,0.1099,421.95,490.06
AS80_Lu176,electron,88+55+307;307+88+56,450.44,456.00,34.05,2,487.225,470.303,473.179,-16.922,495.52,495.52,0.00,1926.89,1982.84,1.0290,0.1853,427.68,495.79
AS80_Lu176,electron,307+202,508.70,510.98,36.70,1,510.855,516.279,516.320,5.424,510.84,519.06,8.23,11363.79,13506.12,1.1885,0.5988,474.28,547.68
AS80_Lu176,electron,307+202,508.70,510.98,36.70,2,511.532,516.742,516.514,5.210,510.84,519.06,8.23,11281.42,13350.61,1.1834,0.6020,479.58,552.98
AS80_Lu176,electron,307+202+55;307+202+56;307+202+63,564.99,570.06,39.46,1,541.153,547.472,537.172,6.319,530.66,530.66,0.00,1292.65,1924.89,1.4891,0.1699,530.60,609.52
AS80_Lu176,electron,307+202+55;307+202+56;307+202+63,564.99,570.06,39.46,2,521.903,523.915,520.542,2.012,510.84,518.31,7.48,6662.16,9428.76,1.4153,0.4863,508.01,586.93
AS80_Lu176,electron,202+88+307;401+202,599.53,603.30,40.97,1,595.002,607.657,681.480,12.656,562.49,607.89,45.40,114.96,151.57,1.3185,0.0208,562.33,644.27
AS80_Lu176,electron,202+88+307;401+202,599.53,603.30,40.97,2,597.878,609.994,652.784,12.115,566.99,607.89,40.90,106.23,179.65,1.6911,0.0198,566.69,648.63
AS80_Lu176,electron,401+307,707.98,709.91,45.67,1,711.679,715.180,744.567,3.501,711.85,748.51,36.66,39.38,271.11,6.8843,0.0160,664.25,755.58
AS80_Lu176,electron,401+307,707.98,709.91,45.67,2,712.336,719.233,737.314,6.898,711.85,748.51,36.66,39.33,342.25,8.7013,0.0167,669.51,760.85
AS80_Lu176,electron,307+202+401,909.80,913.80,54.12,1,916.694,912.381,906.441,-4.313,917.20,891.27,-25.93,2.28,406.49,178.4373,0.0013,859.68,967.92
AS80_Lu176,electron,307+202+401,909.80,913.80,54.12,2,916.533,911.434,904.851,-5.099,917.20,891.27,-25.93,2.28,388.86,170.8315,0.0013,858.26,966.50
AS80_Lu176,photon,88+56,144.14,148.36,16.56,1,146.632,151.359,165.521,4.727,146.50,151.63,5.13,36.08,618.88,17.1538,0.0005,131.81,164.92
AS80_Lu176,photon,88+56,144.14,148.36,16.56,2,147.180,154.946,162.603,7.766,146.50,167.41,20.92,34.91,1062.60,30.4375,0.0005,134.80,167.91
AS80_Lu176,photon,202+55;202+56;202+63,258.10,261.97,23.75,1,263.745,271.115,286.943,7.371,261.27,285.64,24.37,1044.03,1302.92,1.2480,0.0193,238.22,285.72
AS80_Lu176,photon,202+55;202+56;202+63,258.10,261.97,23.75,2,269.685,284.386,292.280,14.701,261.27,291.92,30.65,1173.81,3701.17,3.1531,0.0152,247.37,294.86
