spectrum,arm,pairs,E_plain,E_app,fwhm_keV,pass,c_model,c_data,c_data_signed,d_centre,max_model,max_data,d_max,A_model,A_data,ratio,S_share,lo,hi
ASN16_Lu176,electron,88+55;88+56,143.72,147.40,17.85,1,147.151,144.699,140.301,-2.452,147.00,145.13,-1.87,529.01,7208.75,13.6270,0.0023,129.56,165.25
ASN16_Lu176,electron,88+55;88+56,143.72,147.40,17.85,2,146.777,143.956,142.558,-2.820,147.00,145.13,-1.87,525.57,8656.00,16.4697,0.0023,126.85,162.54
ASN16_Lu176,electron,202+55;202+56;202+63;202+65,258.23,261.81,23.84,1,264.118,262.921,268.459,-1.197,261.81,285.32,23.51,8983.24,965.45,0.1075,0.0505,237.97,285.65
ASN16_Lu176,electron,202+55;202+56;202+63;202+65,258.23,261.81,23.84,2,264.702,264.511,270.819,-0.191,261.81,286.46,24.64,9164.07,1383.17,0.1509,0.0486,239.08,286.76
ASN16_Lu176,electron,202+88,290.17,293.81,25.30,1,288.206,291.916,-,3.710,268.63,292.91,24.28,7350.27,-33437.84,-4.5492,0.0069,268.52,319.11
ASN16_Lu176,electron,202+88,290.17,293.81,25.30,2,286.776,291.044,-,4.268,266.74,292.91,26.18,7818.20,-28608.78,-3.6593,0.0075,266.62,317.21
ASN16_Lu176,electron,88+55+202;202+88+56;307+55;307+56;307+63;307+65,363.25,366.73,28.38,1,369.095,367.704,367.704,-1.391,366.12,367.27,1.15,8843.87,24976.65,2.8242,0.1969,338.35,395.10
ASN16_Lu176,electron,88+55+202;202+88+56;307+55;307+56;307+63;307+65,363.25,366.73,28.38,2,369.585,367.937,367.937,-1.648,366.12,367.27,1.15,8971.06,25094.40,2.7973,0.2005,339.33,396.08
ASN16_Lu176,electron,307+88,395.23,398.71,29.64,1,388.470,381.229,377.801,-7.241,369.18,369.18,0.00,6354.91,11451.01,1.8019,0.1840,369.07,428.36
ASN16_Lu176,electron,307+88,395.23,398.71,29.64,2,376.570,371.541,371.470,-5.029,366.12,366.50,0.38,9574.17,23979.75,2.5046,0.2276,351.58,410.87
ASN16_Lu176,electron,88+55+307;307+88+56,450.43,457.31,31.87,1,482.231,480.459,497.355,-1.772,488.95,488.95,0.00,4243.13,3335.11,0.7860,0.1878,425.45,489.18
ASN16_Lu176,electron,88+55+307;307+88+56,450.43,457.31,31.87,2,500.290,500.619,501.017,0.330,510.67,512.22,1.55,34396.36,38092.02,1.1074,0.7101,448.59,512.32
ASN16_Lu176,electron,307+202,508.70,511.66,33.82,1,510.753,513.375,513.375,2.622,510.67,514.16,3.49,61371.66,80051.21,1.3044,0.8643,477.84,545.48
