spectrum,arm,pairs,E_plain,E_app,fwhm_keV,pass,c_model,c_data,c_data_signed,d_centre,max_model,max_data,d_max,A_model,A_data,ratio,S_share,lo,hi
ASN16_Lu176_P0,electron,88+55;88+56,143.72,147.40,17.42,1,148.419,147.680,148.160,-0.739,148.56,144.71,-3.85,4.38,168.09,38.3407,0.0022,129.98,164.82
ASN16_Lu176_P0,electron,88+55;88+56,143.72,147.40,17.42,2,148.436,147.972,148.766,-0.465,148.56,144.71,-3.85,4.38,162.63,37.1321,0.0023,130.26,165.10
ASN16_Lu176_P0,electron,202+55;202+56;202+63;202+65,258.23,261.81,23.75,1,264.851,260.006,-,-4.845,263.30,261.38,-1.93,72.65,-18.72,-0.2576,0.0614,238.06,285.56
ASN16_Lu176_P0,electron,202+55;202+56;202+63;202+65,258.23,261.81,23.75,2,264.143,257.084,-,-7.059,263.30,261.38,-1.93,70.67,-26.13,-0.3698,0.0635,236.25,283.76
ASN16_Lu176_P0,electron,202+88,290.17,293.81,25.30,1,288.445,302.619,306.281,14.174,268.69,302.19,33.50,63.35,695.28,10.9753,0.0076,268.51,319.11
ASN16_Lu176_P0,electron,202+88,290.17,293.81,25.30,2,294.079,304.340,305.665,10.261,292.57,302.19,9.63,48.03,717.53,14.9398,0.0053,277.32,327.92
ASN16_Lu176_P0,electron,88+55+202;202+88+56;307+55;307+56;307+63;307+65,363.25,366.73,28.58,1,369.553,365.958,366.132,-3.595,366.88,359.18,-7.70,72.72,195.26,2.6852,0.8171,338.15,395.31
ASN16_Lu176_P0,electron,88+55+202;202+88+56;307+55;307+56;307+63;307+65,363.25,366.73,28.58,2,369.219,365.565,365.794,-3.654,366.88,359.18,-7.70,72.02,197.15,2.7375,0.7807,337.38,394.54
ASN16_Lu176_P0,electron,307+88,395.23,398.71,29.93,1,388.325,395.031,393.594,6.707,368.80,369.57,0.77,54.73,157.55,2.8787,0.9882,368.78,428.64
ASN16_Lu176_P0,electron,307+88,395.23,398.71,29.93,2,385.735,392.542,391.662,6.807,366.88,367.26,0.39,61.43,166.07,2.7033,0.9906,365.10,424.96
