spectrum,arm,pairs,E_plain,E_app,fwhm_keV,pass,c_model,c_data,c_data_signed,d_centre,max_model,max_data,d_max,A_model,A_data,ratio,S_share,lo,hi
G1S24_Bi207_P5,electron,570+73;570+75,643.87,646.58,46.87,1,645.040,658.543,-,13.502,645.68,654.53,8.86,997.33,-20971.31,-21.0274,0.0028,599.71,693.45
G1S24_Bi207_P5,electron,570+73;570+75,643.87,646.58,46.87,2,646.782,658.543,-,11.761,645.68,654.53,8.86,966.15,-3815.45,-3.9491,0.0036,611.67,705.42
G1S24_Bi207_P5,electron,570+73+75;570+75+85,722.00,727.39,50.52,1,685.965,731.073,-,45.107,678.17,678.17,0.00,55.54,-1568.64,-28.2411,0.0002,676.88,777.91
G1S24_Bi207_P5,electron,570+73+75;570+75+85,722.00,727.39,50.52,2,688.758,750.434,-,61.676,681.13,681.13,0.00,40.92,-1607.66,-39.2841,0.0002,680.56,781.59
G1S24_Bi207_P5,electron,1064+75,1138.63,1141.31,66.78,1,1137.701,1088.331,1085.001,-49.370,1136.68,1079.94,-56.74,360.28,19132.29,53.1044,0.0015,1074.52,1208.09
G1S24_Bi207_P5,electron,1064+75,1138.63,1141.31,66.78,2,1125.121,1081.737,-,-43.384,1136.68,1079.94,-56.74,275.42,-10160.98,-36.8930,0.0003,1021.55,1155.11
G1S24_Bi207_P5,electron,1460+75,1534.97,1537.66,79.56,1,1520.029,1603.405,-,83.375,1515.17,1616.00,100.83,249.92,-4098.59,-16.3994,0.0093,1458.10,1617.22
G1S24_Bi207_P5,electron,1460+75,1534.97,1537.66,79.56,2,1550.201,1643.308,1648.528,93.107,1524.08,1651.52,127.44,114.28,13292.71,116.3217,0.0083,1523.85,1682.96
G1S24_Bi207_P5,electron,1460+73+75;1460+73+85;1460+75+85;1460+75+87,1614.05,1619.40,81.94,1,1562.564,1646.689,1648.978,84.126,1538.92,1651.52,112.60,74.15,14728.28,198.6387,0.0049,1537.46,1701.33
G1S24_Bi207_P5,electron,1460+73+75;1460+73+85;1460+75+85;1460+75+87,1614.05,1619.40,81.94,2,1619.521,1646.722,1640.385,27.201,1565.62,1651.52,85.90,34.01,13822.80,406.3957,0.0015,1564.75,1728.62
G1S24_Bi207_P5,electron,1770+73;1770+75;1770+85,1846.33,1849.02,88.25,1,1828.323,1795.994,1794.901,-32.329,1825.57,1790.25,-35.32,1650.02,4320.40,2.6184,0.0730,1760.77,1937.27
G1S24_Bi207_P5,electron,1770+73;1770+75;1770+85,1846.33,1849.02,88.25,2,1820.646,1792.721,1836.281,-27.925,1825.57,1790.25,-35.32,1612.00,2688.04,1.6675,0.0341,1707.74,1884.25
