n_low,n_miss,low_kev,low_fwhm,excess,band_n,band_kev,band_fwhm,band_sum,key,det,mode,lines,e_lo,ch_lo,ch_work,e_work_kev,lever_ch,lever_frac,gap_kev,gap_fwhm,gap_at_kev,loo_e,loo_kev,loo_fwhm,loo_mode
1,0,-9.3,-1.12,0.0,3,-16.05,-1.21,1.837,ASN3_Tile,ASN3,stored/grp,10,186.2,159,26,26.6,133,0.053,0.0,0.0,26.6,186.2,0.32,0.02,gain
3,7,-80.13,-1.11,-0.04,0,0.0,0.0,0.0,G1S24_K40_Petri_2,G1S24,gain,2,1459.6,494,5,-0.9,489,0.478,10.3,0.12,1466.5,,,,
1,0,-21.85,-1.09,2.13,3,-24.0,-1.55,3.338,GS4000_Th232,GS4000,affine/grp,8,238.9,261,10,-2.3,251,0.063,-7.0,-2.27,-2.3,238.9,3.86,0.18,stored
1,0,-21.17,-1.04,1.23,2,-18.65,-1.36,2.06,G1S16_Th232_Mar,G1S16,affine/grp,9,238.4,85,5,1.4,80,0.078,4.52,1.44,1.4,238.4,-0.08,-0.0,affine
1,0,-11.15,-1.01,1.41,6,10.78,1.79,6.168,ASN16_Charoite_v2,ASN16,affine/grp,12,186.8,510,5,-10.5,505,0.062,-5.9,-1.13,-10.5,186.8,-4.55,-0.21,affine
1,10,-60.8,-0.96,-0.03,1,40.8,0.9,0.904,G1S24_K40_Mar_2,G1S24,gain/grp,2,1460.8,492,5,5.8,487,0.476,5.96,0.09,1461.5,,,,
1,3,27.12,0.9,-0.04,0,0.0,0.0,0.0,G1S16_Y88_P5,G1S16,gain/grp,3,511.0,178,5,1.2,173,0.169,1.86,0.05,506.8,511.0,-4.9,-0.12,gain
2,0,-8.87,-0.76,0.68,4,-14.03,-0.83,2.129,G1S24_Ra226_Petri,G1S24,affine/robust/grp,10,187.4,67,5,2.3,62,0.061,3.46,0.15,181.3,187.4,-5.32,-0.23,poly2
1,3,-13.91,-0.51,-0.02,1,25.66,0.98,0.984,G1S16_Co60_P5,G1S16,gain/grp,5,511.0,178,6,4.1,172,0.168,0.95,0.02,505.9,511.0,-9.16,-0.23,affine
1,0,9.0,0.39,0.47,1,-2.34,-0.08,0.08,G1S24_Cs137_Mar_2,G1S24,affine,4,198.1,70,5,7.9,65,0.064,2.37,0.1,193.5,198.1,-4.38,-0.18,gain
1,1,-12.02,-0.37,0.9,0,0.0,0.0,0.0,G1S24_Zn65_P5,G1S24,affine/grp,3,239.3,82,5,8.9,77,0.075,5.58,0.17,226.9,239.3,-16.69,-0.51,gain
2,0,-4.13,-0.36,1.0,4,-11.28,-0.8,1.587,G1S24_Ra226_Denta120_2,G1S24,affine/grp,11,187.4,68,6,8.3,62,0.061,4.24,0.9,8.3,187.4,-0.72,-0.03,affine
1,0,2.89,0.31,0.62,9,11.57,1.22,4.307,GS4000_U,GS4000,affine,7,26.4,37,10,1.7,27,0.007,-4.57,-0.47,28.0,26.4,4.75,0.5,poly2
2,5,-0.18,-0.23,1.52,4,-1.27,-2.55,3.055,HPGeGMX_Th228,HPGE_GMX,affine,6,510.8,1556,38,13.0,1518,0.185,0.22,0.19,510.7,510.8,-0.05,-0.04,affine
1,0,-2.64,-0.2,0.71,4,-9.67,-0.66,1.145,G1S24_Ra226_Mar_2,G1S24,affine,13,186.2,67,6,12.2,61,0.06,3.62,0.14,186.1,186.2,1.15,0.04,affine
3,9,-0.14,-0.18,2.87,4,-1.08,-3.27,4.924,HPGeGMX_Eu152,HPGE_GMX,affine/grp,7,778.9,2371,42,14.5,2329,0.284,0.34,1.82,14.5,778.9,-0.06,-0.04,affine
2,5,13.82,0.12,-0.0,0,0.0,0.0,0.0,RC103_K40,RC103,gain,1,1459.6,552,0,-11.6,552,0.539,-2.16,-0.02,1459.2,,,,
1,1,-3.68,-0.09,0.06,0,0.0,0.0,0.0,G1S24_K40_Petri,G1S24,poly2/grp,7,239.3,84,5,0.5,79,0.077,7.85,0.2,235.2,239.3,-9.88,-0.25,gain
1,1,2.23,0.08,1.14,3,16.08,2.22,4.085,RC103_Th232Village,RC103,affine,4,238.4,97,0,-17.2,97,0.095,-5.57,-0.7,-17.2,238.4,0.77,0.03,affine
1,2,-2.11,-0.08,-0.02,1,-14.15,-0.63,0.635,G1S16_Y88_P25,G1S16,gain/recal/grp,7,348.7,123,6,5.1,117,0.115,0.36,0.01,343.5,348.7,-3.25,-0.1,gain/recal
1,1,-2.29,-0.08,-0.15,3,16.02,2.83,5.152,G1S24_Th232_Petri,G1S24,gain,11,238.7,86,5,-0.9,81,0.08,1.72,0.06,234.9,238.7,-2.86,-0.11,gain
1,1,-1.68,-0.07,-0.05,2,-19.65,-1.5,2.311,ASN8_Th232_1024,ASN8_1024,gain,11,238.9,83,12,25.6,71,0.069,0.57,0.02,236.2,238.9,-2.24,-0.09,gain
1,1,-2.42,-0.07,0.0,3,5.09,0.98,1.711,AS80_Onyx,AS80x80,stored/grp,8,239.3,683,50,4.1,633,0.077,0.0,0.0,4.1,239.3,-2.89,-0.08,stored
1,5,-1.01,-0.06,-0.0,1,-3.77,-0.17,0.17,G1S16_Cs137_Mar_2,G1S16,gain/grp,1,661.7,228,5,-10.9,223,0.219,3.28,0.1,659.4,,,,
1,2,0.02,0.05,0.54,9,1.53,2.65,5.271,HPGE_Uranium,HPGE,affine/robust/grp,15,63.3,381,20,3.4,361,0.022,0.11,0.22,63.2,63.3,-0.1,-0.19,stored
0,0,0.0,0.0,0.0,5,-7.76,-0.52,1.124,GS4000_Ra226,GS4000,stored/grp,11,47.9,55,10,4.7,45,0.011,0.0,0.0,4.7,47.9,-4.84,-0.44,affine
0,0,0.0,0.0,-0.12,2,-2.96,-0.26,0.38,GS4000_Lu176,GS4000,gain/grp,4,88.3,106,10,4.2,96,0.024,-1.03,-0.09,89.7,88.3,5.38,0.47,affine
0,1,0.0,0.0,0.0,3,-24.42,-1.54,3.345,ASN8_Th232_2048,ASN8_2048,stored/grp,10,238.4,166,24,26.1,142,0.07,0.0,0.0,26.1,238.4,-1.15,-0.04,stored
0,1,0.0,0.0,0.0,3,-25.1,-1.66,3.471,ASN8_Th232_3000,ASN8_3000,stored/grp,10,238.4,244,34,25.5,210,0.07,0.0,0.0,25.5,238.4,-0.16,-0.01,stored
0,1,0.0,0.0,0.0,2,-18.04,-1.34,2.005,ASN8_Th232_4096,ASN8_4096,stored/grp,10,238.4,334,49,26.9,285,0.07,0.0,0.0,26.9,238.4,-0.64,-0.02,stored
0,1,0.0,0.0,0.0,3,-23.8,-1.38,2.957,ASN8_Th232_8192,ASN8_8192,stored/grp,10,238.4,667,99,27.1,568,0.069,0.0,0.0,27.1,238.4,-0.5,-0.02,stored
0,1,0.0,0.0,0.51,5,-15.75,-0.87,1.97,ASN8_UGlass,ASN8_8192,affine/grp,5,50.3,182,101,24.1,81,0.01,-3.72,-0.35,24.1,50.3,7.62,0.5,poly2
0,0,0.0,0.0,0.73,2,25.69,0.83,0.855,ASN8_Am241,ASN8_8192,affine/grp,3,59.5,171,101,33.0,70,0.009,5.52,0.35,59.1,59.5,-5.13,-0.33,gain
0,1,0.0,0.0,0.15,4,-11.19,-0.43,0.755,OBS_UGlass,OBS,affine/grp,3,50.3,33,1,-24.5,32,0.032,-2.62,-0.2,53.7,50.3,6.75,0.52,stored
0,0,0.0,0.0,-0.18,2,52.72,2.98,3.634,RC101_I131,RC101,gain/xlow/grp,4,31.5,15,8,10.9,7,0.007,0.87,0.05,28.3,31.5,24.97,1.3,affine
0,0,0.0,0.0,0.15,4,-10.0,-0.7,1.193,AS1Pro_Ra226,AS1PRO,poly2,12,47.9,141,68,17.0,73,0.009,2.37,0.31,17.0,47.9,-7.89,-0.61,poly2
0,0,0.0,0.0,0.46,4,-26.71,-2.3,6.432,ASN16_Th232_Am241,ASN16,affine/xlow/grp,14,15.4,86,3,-6.6,83,0.01,-2.54,-0.7,-6.6,15.4,10.66,1.92,stored
