RESULT decays=2000000
RESULT any=560429 eps_total=2.802145e-01
RESULT window=661.657 counts=314605 eps=1.573025e-01
HISTBEGIN bins=663 bin_kev=1.000000 decays=2000000
HIST 0 137
HIST 1 439
HIST 2 449
HIST 3 453
HIST 4 474
HIST 5 531
HIST 6 535
HIST 7 549
HIST 8 459
HIST 9 503
HIST 10 550
HIST 11 587
HIST 12 539
HIST 13 553
HIST 14 538
HIST 15 558
HIST 16 541
HIST 17 515
HIST 18 524
HIST 19 532
HIST 20 527
HIST 21 572
HIST 22 541
HIST 23 541
HIST 24 567
HIST 25 527
HIST 26 518
HIST 27 593
HIST 28 529
HIST 29 566
HIST 30 559
HIST 31 552
HIST 32 503
HIST 33 563
HIST 34 531
HIST 35 564
HIST 36 533
HIST 37 550
HIST 38 545
HIST 39 555
HIST 40 543
HIST 41 530
HIST 42 533
HIST 43 527
HIST 44 529
HIST 45 542
HIST 46 563
HIST 47 550
HIST 48 559
HIST 49 554
HIST 50 543
HIST 51 551
HIST 52 559
HIST 53 516
HIST 54 540
HIST 55 520
HIST 56 548
HIST 57 525
HIST 58 526
HIST 59 516
HIST 60 588
HIST 61 512
HIST 62 519
HIST 63 542
HIST 64 551
HIST 65 514
HIST 66 497
HIST 67 553
HIST 68 524
HIST 69 512
HIST 70 557
HIST 71 511
HIST 72 545
HIST 73 553
HIST 74 476
HIST 75 525
HIST 76 523
HIST 77 520
HIST 78 534
HIST 79 555
HIST 80 543
HIST 81 513
HIST 82 491
HIST 83 546
HIST 84 542
HIST 85 505
HIST 86 493
HIST 87 538
HIST 88 515
HIST 89 529
HIST 90 542
HIST 91 540
HIST 92 475
HIST 93 565
HIST 94 561
HIST 95 589
HIST 96 512
HIST 97 538
HIST 98 527
HIST 99 510
HIST 100 536
HIST 101 521
HIST 102 527
HIST 103 563
HIST 104 496
HIST 105 535
HIST 106 489
HIST 107 511
HIST 108 537
HIST 109 487
HIST 110 516
HIST 111 474
HIST 112 560
HIST 113 559
HIST 114 526
HIST 115 554
HIST 116 525
HIST 117 517
HIST 118 504
HIST 119 487
HIST 120 537
HIST 121 550
HIST 122 519
HIST 123 507
HIST 124 529
HIST 125 507
HIST 126 540
HIST 127 525
HIST 128 537
HIST 129 511
HIST 130 553
HIST 131 539
HIST 132 486
HIST 133 511
HIST 134 488
HIST 135 499
HIST 136 488
HIST 137 503
HIST 138 511
HIST 139 522
HIST 140 510
HIST 141 523
HIST 142 508
HIST 143 506
HIST 144 492
HIST 145 478
HIST 146 492
HIST 147 484
HIST 148 479
HIST 149 522
HIST 150 473
HIST 151 530
HIST 152 523
HIST 153 504
HIST 154 496
HIST 155 472
HIST 156 528
HIST 157 525
HIST 158 515
HIST 159 488
HIST 160 500
HIST 161 488
HIST 162 488
HIST 163 518
HIST 164 497
HIST 165 479
HIST 166 506
HIST 167 515
HIST 168 499
HIST 169 477
HIST 170 463
HIST 171 504
HIST 172 529
HIST 173 506
HIST 174 472
HIST 175 490
HIST 176 509
HIST 177 517
HIST 178 517
HIST 179 479
HIST 180 498
HIST 181 502
HIST 182 449
HIST 183 514
HIST 184 520
HIST 185 484
HIST 186 447
HIST 187 456
HIST 188 475
HIST 189 495
HIST 190 530
HIST 191 444
HIST 192 487
HIST 193 484
HIST 194 495
HIST 195 457
HIST 196 489
HIST 197 475
HIST 198 464
HIST 199 487
HIST 200 464
HIST 201 477
HIST 202 466
HIST 203 499
HIST 204 485
HIST 205 452
HIST 206 497
HIST 207 509
HIST 208 524
HIST 209 496
HIST 210 487
HIST 211 493
HIST 212 473
HIST 213 500
HIST 214 489
HIST 215 501
HIST 216 470
HIST 217 466
HIST 218 424
HIST 219 488
HIST 220 499
HIST 221 497
HIST 222 492
HIST 223 464
HIST 224 448
HIST 225 515
HIST 226 453
HIST 227 490
HIST 228 509
HIST 229 505
HIST 230 491
HIST 231 459
HIST 232 465
HIST 233 474
HIST 234 453
HIST 235 494
HIST 236 486
HIST 237 458
HIST 238 500
HIST 239 485
