keV,response
0.000,1.75000000E-006
1.000,4.25000000E-006
2.000,6.00000000E-006
3.000,8.75000000E-006
4.000,9.00000000E-006
5.000,1.05000000E-005
6.000,1.02500000E-005
7.000,8.25000000E-006
8.000,9.25000000E-006
9.000,1.00000000E-005
10.000,9.25000000E-006
11.000,1.07500000E-005
12.000,1.10000000E-005
13.000,1.05000000E-005
14.000,7.00000000E-006
15.000,9.25000000E-006
16.000,8.25000000E-006
17.000,1.05000000E-005
18.000,7.25000000E-006
19.000,1.00000000E-005
20.000,9.25000000E-006
21.000,9.00000000E-006
22.000,1.20000000E-005
23.000,1.02500000E-005
24.000,1.02500000E-005
25.000,8.50000000E-006
26.000,8.00000000E-006
27.000,7.25000000E-006
28.000,1.02500000E-005
29.000,9.00000000E-006
30.000,7.50000000E-006
31.000,9.00000000E-006
32.000,9.50000000E-006
33.000,1.10000000E-005
34.000,8.75000000E-006
35.000,7.25000000E-006
36.000,6.50000000E-006
37.000,8.25000000E-006
38.000,9.75000000E-006
39.000,8.75000000E-006
40.000,8.50000000E-006
41.000,9.75000000E-006
42.000,9.50000000E-006
43.000,1.10000000E-005
44.000,8.75000000E-006
45.000,7.00000000E-006
46.000,1.10000000E-005
47.000,9.75000000E-006
48.000,9.75000000E-006
49.000,1.10000000E-005
50.000,8.00000000E-006
51.000,1.27500000E-005
52.000,8.50000000E-006
53.000,8.50000000E-006
54.000,8.00000000E-006
55.000,1.07500000E-005
56.000,8.50000000E-006
57.000,9.25000000E-006
58.000,9.50000000E-006
59.000,8.50000000E-006
60.000,1.07500000E-005
61.000,8.00000000E-006
62.000,9.75000000E-006
63.000,8.50000000E-006
64.000,9.00000000E-006
65.000,1.12500000E-005
66.000,8.25000000E-006
67.000,8.75000000E-006
68.000,1.07500000E-005
69.000,8.00000000E-006
70.000,9.50000000E-006
71.000,9.75000000E-006
72.000,1.00000000E-005
73.000,9.50000000E-006
74.000,9.00000000E-006
75.000,7.75000000E-006
76.000,8.25000000E-006
77.000,8.00000000E-006
78.000,9.25000000E-006
79.000,1.02500000E-005
80.000,1.17500000E-005
81.000,6.75000000E-006
82.000,7.25000000E-006
83.000,8.50000000E-006
84.000,7.50000000E-006
85.000,1.17500000E-005
86.000,1.15000000E-005
87.000,1.07500000E-005
88.000,8.00000000E-006
89.000,9.50000000E-006
90.000,1.12500000E-005
91.000,9.00000000E-006
92.000,1.07500000E-005
93.000,7.25000000E-006
94.000,1.00000000E-005
95.000,9.75000000E-006
96.000,9.25000000E-006
97.000,1.15000000E-005
98.000,1.07500000E-005
99.000,8.50000000E-006
100.000,6.25000000E-006
101.000,9.75000000E-006
102.000,8.75000000E-006
103.000,1.00000000E-005
104.000,8.00000000E-006
105.000,9.75000000E-006
106.000,9.75000000E-006
107.000,8.50000000E-006
108.000,8.00000000E-006
109.000,1.15000000E-005
