keV,response
0.000,1.96000000E-004
1.000,3.42500000E-004
2.000,3.41500000E-004
3.000,3.29000000E-004
4.000,3.44500000E-004
5.000,3.40500000E-004
6.000,3.59000000E-004
7.000,3.76500000E-004
8.000,3.88000000E-004
9.000,3.57000000E-004
10.000,3.78500000E-004
11.000,3.43500000E-004
12.000,2.56000000E-004
13.000,1.93000000E-004
14.000,1.84000000E-004
15.000,1.41500000E-004
16.000,1.39000000E-004
17.000,1.48500000E-004
18.000,1.42000000E-004
19.000,1.11000000E-004
20.000,1.18500000E-004
21.000,1.04500000E-004
22.000,9.90000000E-005
23.000,9.85000000E-005
24.000,9.65000000E-005
25.000,8.60000000E-005
26.000,1.09500000E-004
27.000,1.86260000E-002
28.000,1.35500000E-004
29.000,2.21500000E-004
30.000,2.05500000E-004
31.000,6.81655000E-002
32.000,3.28000000E-004
33.000,2.98500000E-004
34.000,2.56000000E-004
35.000,2.05000000E-004
36.000,1.68500000E-004
37.000,1.84000000E-004
38.000,1.44000000E-004
39.000,1.58000000E-004
40.000,1.51000000E-004
41.000,1.46000000E-004
42.000,1.39000000E-004
43.000,1.22000000E-004
44.000,1.19500000E-004
45.000,1.10500000E-004
46.000,1.17000000E-004
47.000,1.04500000E-004
48.000,9.20000000E-005
49.000,9.50000000E-005
50.000,8.40000000E-005
51.000,7.45000000E-005
52.000,7.90000000E-005
53.000,6.40000000E-005
54.000,6.10000000E-005
55.000,2.18500000E-004
56.000,2.17000000E-004
57.000,3.40000000E-005
58.000,2.95000000E-005
59.000,1.35000000E-005
60.000,4.01430500E-001
